cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-08 13:15:00,2021-01-08 19:45:00,6.67,35.34
1,2021-01-08 20:30:00,2021-01-08 22:45:00,2.37,12.3
2,2021-01-09 13:15:00,2021-01-09 19:45:00,6.75,36.36
3,2021-01-09 20:45:00,2021-01-09 22:45:00,2.17,11.32
4,2021-01-14 14:00:00,2021-01-14 21:45:00,7.56,39.86
5,2021-01-14 22:45:00,2021-01-14 22:45:00,0.12,0.53
6,2021-01-16 13:15:00,2021-01-16 22:15:00,9.08,48.35
7,2021-01-18 13:15:00,2021-01-18 17:15:00,4.1,21.52
8,2021-01-18 18:45:00,2021-01-18 22:45:00,4.15,20.02
9,2021-01-19 13:15:00,2021-01-19 18:00:00,4.85,25.34
10,2021-01-19 19:15:00,2021-01-19 22:45:00,3.53,17.22
11,2021-01-23 13:15:00,2021-01-23 14:30:00,1.3,6.7
12,2021-01-23 16:15:00,2021-01-23 20:15:00,4.15,21.8
13,2021-01-23 21:30:00,2021-01-23 22:45:00,1.5,7.63
14,2021-01-24 13:30:00,2021-01-24 20:00:00,6.51,34.32
15,2021-01-24 21:15:00,2021-01-24 22:45:00,1.55,7.98
16,2021-01-27 13:15:00,2021-01-27 14:45:00,1.66,8.8
17,2021-01-27 16:15:00,2021-01-27 19:45:00,3.53,18.69
18,2021-01-27 20:30:00,2021-01-27 22:45:00,2.35,12.12
19,2021-01-28 13:45:00,2021-01-28 16:45:00,2.93,14.95
20,2021-01-28 18:45:00,2021-01-28 19:45:00,0.99,5.58
21,2021-01-28 20:15:00,2021-01-28 22:45:00,2.62,13.16
22,2021-01-29 13:15:00,2021-01-29 14:45:00,1.52,7.71
23,2021-01-29 16:30:00,2021-01-29 19:45:00,3.22,16.86
24,2021-01-29 21:15:00,2021-01-30 00:15:00,3.13,15.86
25,2021-01-30 02:15:00,2021-01-30 05:30:00,3.4,17.2
26,2021-01-30 07:30:00,2021-01-30 08:45:00,1.48,7.43
27,2021-02-01 13:30:00,2021-02-01 16:30:00,2.99,15.06
28,2021-02-01 18:45:00,2021-02-01 21:30:00,2.88,14.46
29,2021-02-01 22:15:00,2021-02-01 22:30:00,0.38,2.38
30,2021-02-02 14:15:00,2021-02-02 16:30:00,2.3,11.46
31,2021-02-02 18:45:00,2021-02-02 21:00:00,2.39,12.59
32,2021-02-02 23:00:00,2021-02-03 01:15:00,2.28,11.3
33,2021-02-03 03:30:00,2021-02-03 06:00:00,2.57,12.72
34,2021-02-03 08:15:00,2021-02-03 08:45:00,0.65,3.2
35,2021-02-05 13:15:00,2021-02-05 13:15:00,0.12,0.9
36,2021-02-05 16:15:00,2021-02-05 18:45:00,2.55,12.72
37,2021-02-05 20:45:00,2021-02-05 22:45:00,2.01,10.62
38,2021-02-09 13:15:00,2021-02-09 18:15:00,5.25,27.22
39,2021-02-09 20:00:00,2021-02-09 22:45:00,2.92,14.98
40,2021-02-17 13:15:00,2021-02-17 13:45:00,0.63,3.18
41,2021-02-17 16:15:00,2021-02-17 19:45:00,3.55,18.49
42,2021-02-17 21:00:00,2021-02-17 22:45:00,1.97,10.02
43,2021-02-18 13:30:00,2021-02-18 16:30:00,3.04,15.48
44,2021-02-18 18:15:00,2021-02-18 19:45:00,1.53,8.39
45,2021-02-18 20:45:00,2021-02-19 00:00:00,3.4,17.25
46,2021-02-19 02:00:00,2021-02-19 05:30:00,3.6,18.33
47,2021-02-19 07:30:00,2021-02-19 08:45:00,1.36,6.85
48,2021-02-27 13:15:00,2021-02-27 14:00:00,1.0,5.02
49,2021-02-27 16:45:00,2021-02-27 19:45:00,3.09,14.43
50,2021-02-27 21:00:00,2021-02-27 22:45:00,1.99,10.02
51,2021-02-28 13:15:00,2021-02-28 14:45:00,1.69,8.58
52,2021-02-28 17:00:00,2021-02-28 19:45:00,2.71,14.34
53,2021-02-28 20:45:00,2021-02-28 22:45:00,2.25,11.42
54,2021-03-03 13:30:00,2021-03-03 15:45:00,2.28,11.48
55,2021-03-03 17:30:00,2021-03-03 19:45:00,2.19,11.68
56,2021-03-03 20:45:00,2021-03-03 22:45:00,2.06,10.42
57,2021-03-05 13:15:00,2021-03-05 14:45:00,1.52,7.74
58,2021-03-05 16:30:00,2021-03-05 19:45:00,3.35,17.58
59,2021-03-05 21:00:00,2021-03-05 22:45:00,1.87,9.44
60,2021-03-08 15:00:00,2021-03-08 16:45:00,1.97,9.94
61,2021-03-08 18:30:00,2021-03-08 19:45:00,1.15,6.45
62,2021-03-08 20:15:00,2021-03-08 22:45:00,2.6,13.18
63,2021-03-09 14:00:00,2021-03-09 16:00:00,1.96,9.88
64,2021-03-09 17:45:00,2021-03-09 19:45:00,1.93,10.35
65,2021-03-09 21:00:00,2021-03-09 22:45:00,1.95,9.86
66,2021-03-14 13:15:00,2021-03-14 15:45:00,2.75,14.05
67,2021-03-14 17:45:00,2021-03-14 19:45:00,2.2,11.77
68,2021-03-14 20:30:00,2021-03-14 22:45:00,2.41,12.27
69,2021-03-15 13:15:00,2021-03-15 13:15:00,0.12,1.3
70,2021-03-15 15:15:00,2021-03-15 19:45:00,4.52,23.75
71,2021-03-15 21:00:00,2021-03-15 22:45:00,1.95,9.96
72,2021-03-17 13:15:00,2021-03-17 14:30:00,1.39,7.17
73,2021-03-17 16:30:00,2021-03-17 19:45:00,3.24,17.14
74,2021-03-17 20:45:00,2021-03-18 04:15:00,7.7,39.8
75,2021-03-18 06:00:00,2021-03-18 08:45:00,2.97,15.21
76,2021-03-19 13:15:00,2021-03-19 13:30:00,0.32,1.65
77,2021-03-19 15:30:00,2021-03-19 19:45:00,4.23,22.3
78,2021-03-19 20:45:00,2021-03-19 22:45:00,2.05,10.44
79,2021-03-20 14:30:00,2021-03-20 19:45:00,5.16,26.6
80,2021-03-20 21:00:00,2021-03-20 22:45:00,1.95,10.0
81,2021-04-02 18:15:00,2021-04-02 18:45:00,0.57,3.57
82,2021-04-02 21:45:00,2021-04-02 22:45:00,1.08,5.18
83,2021-04-03 13:15:00,2021-04-03 13:15:00,0.12,0.9
