cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-03-01 23:00:00,2021-03-02 09:45:00,10.99,20.35
1,2021-03-02 11:00:00,2021-03-02 16:15:00,5.47,10.28
2,2021-03-02 17:45:00,2021-03-03 09:45:00,16.24,29.88
3,2021-03-03 11:00:00,2021-03-03 16:15:00,5.47,10.08
4,2021-03-03 17:45:00,2021-03-04 09:45:00,16.24,30.07
5,2021-03-04 11:00:00,2021-03-04 16:15:00,5.47,10.17
6,2021-03-04 17:45:00,2021-03-05 09:45:00,16.24,29.97
7,2021-03-05 11:00:00,2021-03-05 16:15:00,5.47,9.99
8,2021-03-05 17:45:00,2021-03-08 09:45:00,64.24,117.89
9,2021-03-08 11:00:00,2021-03-08 16:15:00,5.47,10.13
10,2021-03-08 17:45:00,2021-03-09 09:45:00,16.24,29.65
11,2021-03-09 11:00:00,2021-03-09 16:15:00,5.47,10.06
12,2021-03-09 17:45:00,2021-03-10 09:45:00,16.24,29.8
13,2021-03-10 11:00:00,2021-03-10 16:15:00,5.47,10.24
14,2021-03-10 17:45:00,2021-03-11 09:45:00,16.24,30.15
15,2021-03-11 11:00:00,2021-03-11 16:15:00,5.47,10.16
16,2021-03-11 17:45:00,2021-03-12 09:45:00,16.24,30.23
17,2021-03-12 11:00:00,2021-03-12 16:15:00,5.47,10.18
18,2021-03-12 17:45:00,2021-03-15 09:45:00,64.24,117.99
19,2021-03-15 11:00:00,2021-03-15 16:15:00,5.48,10.1
20,2021-03-15 17:45:00,2021-03-16 02:15:00,8.73,16.0
21,2021-03-23 23:00:00,2021-03-24 04:30:00,5.75,10.68
22,2021-03-24 13:15:00,2021-03-24 16:15:00,3.25,6.1
23,2021-03-24 17:45:00,2021-03-25 09:45:00,16.24,29.98
24,2021-03-25 11:00:00,2021-03-25 16:15:00,5.47,10.31
25,2021-03-25 17:45:00,2021-03-26 09:45:00,16.24,30.22
26,2021-03-26 11:00:00,2021-03-26 16:15:00,5.47,10.22
27,2021-03-26 17:45:00,2021-03-29 08:45:00,63.24,116.97
28,2021-03-29 10:00:00,2021-03-29 15:15:00,5.47,10.24
29,2021-03-29 16:45:00,2021-03-30 08:45:00,16.24,30.18
30,2021-03-30 10:00:00,2021-03-30 15:15:00,5.47,10.34
31,2021-03-30 16:45:00,2021-03-31 08:45:00,16.24,30.42
32,2021-03-31 10:00:00,2021-03-31 15:15:00,5.47,10.36
33,2021-03-31 16:45:00,2021-04-01 08:45:00,16.24,30.34
34,2021-04-01 10:00:00,2021-04-01 15:15:00,5.48,10.34
35,2021-04-01 16:45:00,2021-04-02 08:45:00,16.24,30.63
36,2021-04-02 10:00:00,2021-04-02 15:15:00,5.48,10.38
37,2021-04-02 16:45:00,2021-04-03 04:45:00,12.24,22.98
