cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-16 01:30:00,2022-04-16 02:00:00,0.52,0.87
1,2022-04-17 01:45:00,2022-04-17 02:15:00,0.52,0.88
2,2022-04-17 03:15:00,2022-04-17 03:45:00,0.51,0.91
3,2022-04-17 05:15:00,2022-04-17 05:45:00,0.52,0.92
4,2022-04-17 07:00:00,2022-04-17 07:30:00,0.51,0.9
5,2022-04-18 00:30:00,2022-04-18 00:45:00,0.48,0.84
6,2022-04-18 02:15:00,2022-04-18 02:45:00,0.51,0.9
7,2022-04-18 04:30:00,2022-04-18 05:00:00,0.51,0.9
8,2022-04-18 06:00:00,2022-04-18 06:30:00,0.51,0.92
9,2022-04-18 23:30:00,2022-04-18 23:45:00,0.49,0.82
10,2022-04-19 02:00:00,2022-04-19 02:30:00,0.52,0.9
11,2022-04-19 04:00:00,2022-04-19 04:30:00,0.52,0.92
12,2022-04-19 05:45:00,2022-04-19 06:00:00,0.49,0.85
13,2022-04-20 02:45:00,2022-04-20 03:15:00,0.52,0.89
14,2022-04-20 05:15:00,2022-04-20 05:30:00,0.48,0.85
15,2022-04-20 23:45:00,2022-04-21 00:15:00,0.51,0.89
16,2022-04-21 01:45:00,2022-04-21 02:15:00,0.51,0.9
17,2022-04-21 03:30:00,2022-04-21 04:00:00,0.5,0.9
18,2022-04-21 05:45:00,2022-04-21 06:15:00,0.51,0.89
19,2022-04-21 20:30:00,2022-04-21 21:00:00,0.51,0.89
20,2022-04-22 03:45:00,2022-04-22 04:15:00,0.51,0.87
21,2022-04-22 06:15:00,2022-04-22 06:45:00,0.52,0.89
22,2022-04-22 20:30:00,2022-04-22 20:45:00,0.49,0.84
23,2022-04-23 04:00:00,2022-04-23 04:15:00,0.47,0.83
24,2022-04-23 19:45:00,2022-04-23 20:15:00,0.51,0.87
25,2022-04-23 21:00:00,2022-04-23 21:15:00,0.49,0.86
26,2022-04-23 23:15:00,2022-04-23 23:45:00,0.51,0.9
27,2022-04-24 01:00:00,2022-04-24 01:30:00,0.52,0.91
28,2022-04-24 03:00:00,2022-04-24 03:15:00,0.47,0.84
