cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:45:00,1.0,2.03
1,2021-01-01 01:15:00,2021-01-01 01:15:00,0.12,0.4
2,2021-01-01 02:00:00,2021-01-01 06:00:00,4.15,12.23
3,2021-01-01 08:45:00,2021-01-01 11:15:00,2.51,7.73
4,2021-01-01 14:15:00,2021-01-01 16:45:00,2.6,7.98
5,2021-01-01 18:45:00,2021-01-01 20:00:00,1.17,3.99
6,2021-01-01 23:00:00,2021-01-02 00:15:00,1.3,6.01
7,2021-01-02 00:45:00,2021-01-02 00:45:00,0.12,0.39
8,2021-01-02 01:30:00,2021-01-02 01:45:00,0.49,0.39
9,2021-01-02 02:30:00,2021-01-02 05:45:00,3.29,10.47
10,2021-01-02 08:45:00,2021-01-02 11:30:00,2.71,8.31
11,2021-01-02 17:15:00,2021-01-02 19:00:00,1.87,6.23
12,2021-01-02 23:00:00,2021-01-02 23:00:00,0.12,1.45
13,2021-01-02 23:30:00,2021-01-02 23:45:00,0.35,0.5
14,2021-01-03 00:15:00,2021-01-03 00:15:00,0.12,0.44
15,2021-01-03 01:00:00,2021-01-03 01:00:00,0.12,0.4
16,2021-01-03 01:45:00,2021-01-03 01:45:00,0.12,0.38
17,2021-01-03 02:15:00,2021-01-03 08:30:00,6.24,19.29
18,2021-01-03 11:00:00,2021-01-03 13:45:00,2.74,8.42
19,2021-01-03 16:45:00,2021-01-03 18:15:00,1.53,4.66
20,2021-01-03 18:45:00,2021-01-03 20:30:00,1.72,5.67
21,2021-01-03 23:00:00,2021-01-04 01:45:00,3.0,9.84
22,2021-01-04 02:30:00,2021-01-04 06:45:00,4.19,13.02
23,2021-01-04 09:15:00,2021-01-04 12:30:00,3.32,10.22
24,2021-01-04 15:15:00,2021-01-04 19:00:00,3.65,11.55
25,2021-01-04 21:45:00,2021-01-05 00:00:00,2.45,7.68
26,2021-01-05 00:45:00,2021-01-05 00:45:00,0.12,0.39
27,2021-01-05 01:45:00,2021-01-05 01:45:00,0.12,0.29
28,2021-01-05 02:30:00,2021-01-05 07:15:00,4.74,14.87
29,2021-01-05 10:00:00,2021-01-05 13:15:00,3.29,10.08
30,2021-01-05 16:00:00,2021-01-05 18:15:00,2.27,6.94
31,2021-01-05 19:00:00,2021-01-05 20:30:00,1.7,5.55
32,2021-01-05 23:00:00,2021-01-06 01:00:00,2.25,7.96
33,2021-01-06 01:45:00,2021-01-06 01:45:00,0.12,0.38
34,2021-01-06 02:30:00,2021-01-06 06:15:00,3.75,11.88
