cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:00:00,2021-01-21 00:15:00,1.43,3.68
1,2021-01-21 02:00:00,2021-01-21 05:00:00,3.06,7.61
2,2021-01-21 08:15:00,2021-01-21 09:15:00,1.05,2.55
3,2021-01-21 14:00:00,2021-01-21 15:15:00,1.35,3.19
4,2021-01-21 18:00:00,2021-01-21 20:45:00,2.95,7.15
5,2021-01-21 23:15:00,2021-01-22 00:45:00,1.62,3.93
6,2021-01-22 03:15:00,2021-01-22 05:15:00,2.18,5.23
7,2021-01-22 07:30:00,2021-01-22 09:30:00,1.92,4.64
8,2021-01-22 14:30:00,2021-01-22 16:15:00,1.84,4.37
9,2021-01-22 18:00:00,2021-01-22 20:15:00,2.29,5.62
10,2021-01-22 22:00:00,2021-01-23 03:00:00,5.01,12.53
11,2021-01-23 04:45:00,2021-01-23 08:30:00,3.66,9.22
12,2021-01-23 10:45:00,2021-01-23 12:30:00,1.65,4.06
13,2021-01-23 15:15:00,2021-01-23 18:00:00,2.93,7.31
14,2021-01-23 20:00:00,2021-01-23 23:15:00,3.29,8.26
15,2021-01-24 01:15:00,2021-01-24 06:45:00,5.71,14.47
16,2021-01-24 08:30:00,2021-01-24 10:45:00,2.18,5.49
17,2021-01-24 13:45:00,2021-01-24 17:15:00,3.7,9.42
18,2021-01-24 19:00:00,2021-01-24 23:00:00,3.92,9.98
19,2021-01-25 00:45:00,2021-01-25 04:45:00,3.86,9.79
20,2021-01-25 06:30:00,2021-01-25 09:45:00,3.39,8.56
21,2021-01-25 12:15:00,2021-01-25 16:00:00,3.88,9.71
22,2021-01-25 18:30:00,2021-01-25 23:30:00,5.17,12.93
23,2021-01-26 01:15:00,2021-01-26 06:30:00,5.22,13.19
24,2021-01-26 08:15:00,2021-01-26 09:45:00,1.62,4.05
25,2021-01-26 11:30:00,2021-01-26 13:15:00,1.86,4.66
26,2021-01-26 15:15:00,2021-01-26 16:45:00,1.62,3.98
27,2021-01-26 18:30:00,2021-01-27 02:15:00,7.81,19.56
28,2021-01-27 03:45:00,2021-01-27 08:30:00,4.74,11.9
29,2021-01-27 11:15:00,2021-01-27 15:00:00,3.93,9.76
30,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.21
