cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 02:30:00,2022-07-12 03:15:00,1.0,1.47
1,2022-07-12 03:45:00,2022-07-12 05:15:00,1.71,2.31
2,2022-07-12 21:15:00,2022-07-13 00:00:00,2.78,11.21
3,2022-07-13 01:00:00,2022-07-13 01:15:00,0.5,0.9
4,2022-07-13 01:45:00,2022-07-13 05:15:00,3.66,4.75
5,2022-07-13 21:15:00,2022-07-14 00:15:00,2.99,12.26
6,2022-07-14 00:45:00,2022-07-14 01:30:00,0.96,1.65
7,2022-07-14 02:00:00,2022-07-14 04:30:00,2.74,3.72
8,2022-07-14 05:00:00,2022-07-14 05:15:00,0.46,0.61
9,2022-07-14 21:15:00,2022-07-15 03:45:00,6.52,16.24
10,2022-07-15 04:15:00,2022-07-15 05:00:00,0.97,1.24
11,2022-07-15 21:15:00,2022-07-16 03:45:00,6.54,16.02
12,2022-07-16 04:15:00,2022-07-16 05:00:00,0.98,1.39
13,2022-07-16 21:15:00,2022-07-17 00:30:00,3.18,31.58
14,2022-07-17 01:00:00,2022-07-17 01:15:00,0.41,1.19
15,2022-07-17 01:45:00,2022-07-17 03:45:00,2.25,3.16
16,2022-07-17 04:15:00,2022-07-17 05:00:00,1.0,1.37
17,2022-07-17 21:15:00,2022-07-18 00:00:00,2.78,23.12
18,2022-07-18 00:30:00,2022-07-18 05:15:00,4.98,6.31
19,2022-07-18 21:15:00,2022-07-19 00:15:00,3.0,12.0
20,2022-07-19 00:45:00,2022-07-19 01:15:00,0.75,1.38
21,2022-07-19 01:45:00,2022-07-19 05:00:00,3.44,4.31
22,2022-07-19 21:15:00,2022-07-20 00:45:00,3.49,13.41
23,2022-07-20 01:15:00,2022-07-20 02:45:00,1.75,2.6
24,2022-07-20 03:15:00,2022-07-20 05:00:00,2.0,2.5
25,2022-07-20 21:15:00,2022-07-21 05:00:00,7.76,17.7
26,2022-07-21 21:15:00,2022-07-21 22:45:00,1.46,8.98
27,2022-07-21 23:15:00,2022-07-22 02:00:00,2.96,5.34
28,2022-07-22 02:30:00,2022-07-22 05:15:00,3.0,3.7
29,2022-07-22 21:15:00,2022-07-23 02:30:00,5.28,15.01
30,2022-07-23 03:00:00,2022-07-23 04:00:00,1.19,1.73
31,2022-07-23 04:30:00,2022-07-23 05:00:00,0.75,0.98
32,2022-07-23 21:15:00,2022-07-24 01:00:00,3.72,13.65
33,2022-07-24 01:30:00,2022-07-24 02:00:00,0.69,1.26
34,2022-07-24 02:30:00,2022-07-24 05:15:00,2.98,3.65
35,2022-07-24 21:15:00,2022-07-25 02:00:00,4.8,20.59
36,2022-07-25 02:30:00,2022-07-25 03:30:00,1.22,1.61
37,2022-07-25 05:00:00,2022-07-25 05:15:00,0.28,1.04
38,2022-07-25 21:30:00,2022-07-26 02:45:00,5.49,15.78
39,2022-07-26 03:45:00,2022-07-26 04:00:00,0.39,1.29
40,2022-07-26 04:30:00,2022-07-26 05:15:00,0.91,1.56
41,2022-07-26 21:15:00,2022-07-26 22:30:00,1.22,11.89
42,2022-07-26 23:00:00,2022-07-26 23:00:00,0.12,0.66
43,2022-07-26 23:30:00,2022-07-27 01:00:00,1.73,2.39
44,2022-07-27 01:45:00,2022-07-27 04:30:00,2.96,4.52
45,2022-07-27 05:00:00,2022-07-27 05:00:00,0.12,0.59
46,2022-07-27 21:15:00,2022-07-28 04:45:00,7.51,17.23
47,2022-07-28 21:15:00,2022-07-28 23:30:00,2.27,10.11
48,2022-07-29 00:00:00,2022-07-29 00:15:00,0.49,1.21
49,2022-07-29 00:45:00,2022-07-29 01:30:00,0.98,1.6
50,2022-07-29 02:00:00,2022-07-29 03:30:00,1.72,2.22
51,2022-07-29 04:30:00,2022-07-29 04:45:00,0.4,1.37
52,2022-07-29 05:15:00,2022-07-29 05:15:00,0.12,0.45
53,2022-07-29 21:15:00,2022-07-29 23:15:00,1.96,19.12
54,2022-07-29 23:45:00,2022-07-30 00:00:00,0.44,1.29
55,2022-07-30 01:00:00,2022-07-30 02:15:00,1.46,1.91
56,2022-07-30 02:45:00,2022-07-30 05:00:00,2.48,3.07
57,2022-07-30 21:15:00,2022-07-30 23:00:00,1.77,9.19
58,2022-07-30 23:30:00,2022-07-31 03:00:00,3.73,5.57
59,2022-07-31 03:30:00,2022-07-31 04:30:00,1.24,1.71
60,2022-07-31 05:00:00,2022-07-31 05:15:00,0.49,0.59
61,2022-07-31 21:15:00,2022-07-31 23:45:00,2.45,23.69
62,2022-08-01 00:15:00,2022-08-01 03:00:00,3.0,4.35
63,2022-08-01 03:30:00,2022-08-01 04:15:00,0.98,1.43
64,2022-08-01 21:15:00,2022-08-01 23:15:00,2.03,10.67
65,2022-08-01 23:45:00,2022-08-02 05:15:00,5.63,7.7
66,2022-08-02 21:15:00,2022-08-02 22:30:00,1.26,7.8
67,2022-08-02 23:00:00,2022-08-02 23:45:00,1.0,2.55
68,2022-08-03 00:15:00,2022-08-03 00:45:00,0.71,1.35
69,2022-08-03 01:15:00,2022-08-03 03:15:00,2.23,3.03
70,2022-08-03 03:45:00,2022-08-03 04:30:00,1.0,1.36
71,2022-08-03 05:00:00,2022-08-03 05:15:00,0.45,0.55
72,2022-08-03 21:15:00,2022-08-03 22:30:00,1.23,7.62
73,2022-08-03 23:00:00,2022-08-03 23:45:00,1.0,2.44
74,2022-08-04 00:15:00,2022-08-04 00:45:00,0.75,1.4
75,2022-08-04 01:15:00,2022-08-04 03:15:00,2.23,2.96
76,2022-08-04 03:45:00,2022-08-04 04:30:00,0.98,1.34
77,2022-08-04 05:00:00,2022-08-04 05:15:00,0.48,0.61
78,2022-08-04 21:15:00,2022-08-05 02:00:00,4.75,21.49
79,2022-08-05 02:30:00,2022-08-05 05:00:00,2.75,3.71
80,2022-08-05 21:15:00,2022-08-06 01:45:00,4.53,15.86
81,2022-08-06 02:15:00,2022-08-06 03:30:00,1.5,1.94
82,2022-08-06 04:45:00,2022-08-06 05:15:00,0.68,1.34
83,2022-08-06 21:15:00,2022-08-06 23:45:00,2.47,11.21
84,2022-08-07 00:15:00,2022-08-07 03:15:00,3.25,4.5
85,2022-08-07 03:45:00,2022-08-07 05:15:00,1.74,1.97
86,2022-08-07 21:15:00,2022-08-08 05:00:00,7.79,32.06
87,2022-08-08 21:15:00,2022-08-08 23:00:00,1.7,17.14
88,2022-08-08 23:30:00,2022-08-09 02:15:00,3.0,4.22
89,2022-08-09 02:45:00,2022-08-09 05:00:00,2.5,2.98
90,2022-08-09 21:15:00,2022-08-09 23:30:00,2.28,10.41
91,2022-08-10 00:00:00,2022-08-10 02:45:00,2.98,4.42
92,2022-08-10 03:15:00,2022-08-10 04:15:00,1.22,1.69
93,2022-08-10 04:45:00,2022-08-10 05:15:00,0.65,0.89
94,2022-08-10 21:15:00,2022-08-10 23:45:00,2.54,21.27
95,2022-08-11 00:15:00,2022-08-11 00:30:00,0.46,1.03
96,2022-08-11 01:00:00,2022-08-11 04:45:00,4.0,5.07
97,2022-08-11 05:15:00,2022-08-11 05:15:00,0.12,0.25
98,2022-08-11 21:15:00,2022-08-12 00:00:00,2.73,12.24
99,2022-08-12 00:30:00,2022-08-12 00:45:00,0.48,1.02
100,2022-08-12 01:15:00,2022-08-12 02:00:00,0.98,1.65
101,2022-08-12 02:30:00,2022-08-12 03:15:00,1.0,1.39
102,2022-08-12 03:45:00,2022-08-12 05:15:00,1.69,2.05
103,2022-08-12 21:15:00,2022-08-12 22:45:00,1.48,9.16
104,2022-08-12 23:15:00,2022-08-13 00:45:00,1.75,3.71
105,2022-08-13 01:15:00,2022-08-13 04:30:00,3.5,4.69
106,2022-08-13 05:00:00,2022-08-13 05:15:00,0.42,0.57
107,2022-08-13 21:15:00,2022-08-14 00:00:00,2.72,12.06
108,2022-08-14 00:30:00,2022-08-14 01:00:00,0.74,1.52
109,2022-08-14 01:30:00,2022-08-14 02:00:00,0.74,1.3
110,2022-08-14 02:30:00,2022-08-14 03:30:00,1.23,1.76
111,2022-08-14 04:00:00,2022-08-14 04:45:00,0.97,1.35
112,2022-08-14 05:15:00,2022-08-14 05:15:00,0.12,0.29
113,2022-08-14 21:15:00,2022-08-15 01:30:00,4.21,41.15
114,2022-08-15 02:00:00,2022-08-15 03:15:00,1.49,2.58
115,2022-08-15 03:45:00,2022-08-15 04:45:00,1.21,1.83
