cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-24 23:30:00,2021-06-25 00:45:00,1.46,3.6
1,2021-06-25 03:45:00,2021-06-25 03:45:00,0.12,0.56
2,2021-06-25 23:30:00,2021-06-26 00:45:00,1.49,3.65
3,2021-06-26 23:30:00,2021-06-27 00:15:00,1.0,2.47
4,2021-06-27 23:30:00,2021-06-28 00:45:00,1.44,3.52
5,2021-06-28 23:30:00,2021-06-29 00:15:00,1.0,2.48
6,2021-06-29 23:30:00,2021-06-30 01:15:00,2.0,4.92
7,2021-06-30 23:30:00,2021-07-01 00:30:00,1.24,3.11
8,2021-07-01 23:30:00,2021-07-02 01:15:00,2.0,4.97
9,2021-07-02 23:30:00,2021-07-03 00:00:00,0.71,1.78
10,2021-07-03 23:30:00,2021-07-04 01:30:00,2.19,5.44
11,2021-07-04 23:30:00,2021-07-05 01:00:00,1.59,3.95
12,2021-07-05 23:30:00,2021-07-06 01:00:00,1.69,4.14
13,2021-07-06 23:30:00,2021-07-07 00:30:00,1.17,2.92
14,2021-07-07 23:30:00,2021-07-08 00:15:00,0.91,2.26
15,2021-07-08 23:30:00,2021-07-09 02:30:00,3.11,7.71
16,2021-07-09 23:30:00,2021-07-10 00:15:00,0.88,2.19
17,2021-07-10 23:30:00,2021-07-11 00:30:00,1.2,3.0
18,2021-07-11 23:30:00,2021-07-12 00:45:00,1.47,3.61
19,2021-07-12 23:30:00,2021-07-13 01:30:00,2.1,5.25
20,2021-07-13 23:30:00,2021-07-14 00:15:00,0.96,2.35
21,2021-07-14 23:30:00,2021-07-15 01:15:00,1.83,4.49
22,2021-07-15 23:30:00,2021-07-16 01:15:00,1.85,4.57
23,2021-07-16 23:30:00,2021-07-17 01:15:00,1.96,4.86
24,2021-07-17 23:30:00,2021-07-18 00:45:00,1.38,3.44
25,2021-07-18 23:30:00,2021-07-19 01:15:00,1.84,4.61
26,2021-07-19 23:30:00,2021-07-20 00:30:00,1.1,2.78
27,2021-07-20 23:30:00,2021-07-21 01:00:00,1.72,4.31
28,2021-07-21 23:30:00,2021-07-22 00:45:00,1.4,3.51
29,2021-07-22 23:30:00,2021-07-23 01:15:00,1.82,4.63
30,2021-07-23 23:30:00,2021-07-24 01:15:00,1.9,4.82
31,2021-07-24 23:30:00,2021-07-25 01:15:00,1.97,4.93
32,2021-07-25 23:30:00,2021-07-26 00:30:00,1.15,2.86
33,2021-07-26 23:30:00,2021-07-27 00:30:00,1.06,2.67
34,2021-07-27 23:30:00,2021-07-28 00:45:00,1.5,3.77
35,2021-07-28 23:30:00,2021-07-29 01:00:00,1.67,4.2
36,2021-07-30 00:30:00,2021-07-30 02:15:00,1.86,4.6
37,2021-07-30 23:30:00,2021-07-31 00:30:00,1.24,3.05
38,2021-07-31 23:30:00,2021-08-01 00:45:00,1.44,3.5
39,2021-08-01 23:30:00,2021-08-02 00:45:00,1.43,3.49
40,2021-08-02 23:30:00,2021-08-03 00:45:00,1.48,3.59
41,2021-08-03 23:30:00,2021-08-04 01:00:00,1.74,4.2
42,2021-08-04 23:30:00,2021-08-05 00:15:00,0.91,2.25
43,2021-08-05 23:30:00,2021-08-06 00:30:00,1.14,2.76
44,2021-08-06 23:30:00,2021-08-07 01:15:00,1.8,4.37
45,2021-08-07 23:30:00,2021-08-08 00:15:00,0.86,2.08
46,2021-08-08 23:30:00,2021-08-09 01:15:00,2.0,4.78
47,2021-08-09 23:30:00,2021-08-10 00:30:00,1.22,3.01
48,2021-08-10 23:30:00,2021-08-11 01:15:00,1.93,4.76
49,2021-08-11 23:30:00,2021-08-12 01:00:00,1.57,3.89
50,2021-08-12 23:30:00,2021-08-13 01:00:00,1.64,4.05
51,2021-08-13 23:30:00,2021-08-14 00:00:00,0.75,1.85
52,2021-08-14 23:30:00,2021-08-15 01:30:00,2.08,5.15
53,2021-08-15 23:30:00,2021-08-16 01:30:00,2.09,5.13
54,2021-08-16 23:30:00,2021-08-17 00:30:00,1.06,2.61
55,2021-08-17 23:30:00,2021-08-18 01:00:00,1.62,3.98
56,2021-08-18 23:30:00,2021-08-19 00:45:00,1.3,3.16
57,2021-08-19 23:30:00,2021-08-20 00:15:00,1.0,2.45
58,2021-08-20 23:30:00,2021-08-21 01:00:00,1.56,3.8
59,2021-08-21 23:30:00,2021-08-22 00:45:00,1.37,3.34
60,2021-08-22 23:30:00,2021-08-23 01:00:00,1.58,3.83
61,2021-08-23 23:30:00,2021-08-24 00:15:00,0.99,2.44
62,2021-08-24 23:30:00,2021-08-25 01:15:00,1.81,4.38
63,2021-08-25 23:30:00,2021-08-26 00:15:00,1.0,2.44
64,2021-08-26 23:30:00,2021-08-27 00:45:00,1.5,3.64
65,2021-08-27 23:30:00,2021-08-28 00:30:00,1.24,3.06
66,2021-08-28 23:30:00,2021-08-29 01:30:00,2.07,5.14
67,2021-08-29 23:30:00,2021-08-30 00:45:00,1.5,3.71
68,2021-08-30 23:30:00,2021-08-31 00:00:00,0.65,1.6
69,2021-08-31 23:30:00,2021-09-01 00:15:00,1.0,2.48
70,2021-09-01 23:30:00,2021-09-02 00:30:00,1.17,2.94
71,2021-09-02 23:30:00,2021-09-03 00:45:00,1.38,3.38
72,2021-09-03 23:30:00,2021-09-04 00:00:00,0.72,1.78
73,2021-09-04 23:30:00,2021-09-05 01:00:00,1.63,4.04
74,2021-09-05 23:30:00,2021-09-06 00:45:00,1.5,3.7
75,2021-09-06 23:30:00,2021-09-07 00:00:00,0.7,1.75
76,2021-09-07 23:30:00,2021-09-08 00:45:00,1.34,3.29
77,2021-09-09 02:45:00,2021-09-09 03:00:00,0.5,1.27
78,2021-09-09 23:30:00,2021-09-10 00:45:00,1.45,3.64
79,2021-09-11 23:30:00,2021-09-12 00:30:00,1.06,2.63
80,2021-09-12 23:30:00,2021-09-13 01:15:00,1.95,4.85
81,2021-09-13 23:30:00,2021-09-14 01:15:00,1.89,4.69
82,2021-09-14 23:30:00,2021-09-15 00:45:00,1.39,3.52
83,2021-09-15 23:30:00,2021-09-16 01:00:00,1.75,4.42
84,2021-09-16 23:30:00,2021-09-17 00:15:00,0.87,2.16
85,2021-09-17 23:30:00,2021-09-18 00:15:00,0.93,2.31
86,2021-09-18 23:30:00,2021-09-19 01:15:00,1.8,4.4
87,2021-09-19 03:15:00,2021-09-19 03:30:00,0.46,0.95
88,2021-09-19 12:15:00,2021-09-19 13:15:00,1.11,3.14
89,2021-09-19 14:45:00,2021-09-19 15:45:00,1.07,1.97
90,2021-09-19 16:45:00,2021-09-19 18:45:00,2.13,3.47
91,2021-09-19 19:45:00,2021-09-19 21:15:00,1.72,2.74
92,2021-09-19 22:30:00,2021-09-20 00:30:00,2.08,5.07
93,2021-09-20 01:00:00,2021-09-20 02:00:00,1.25,1.94
94,2021-09-20 03:15:00,2021-09-20 04:15:00,1.23,1.92
95,2021-09-20 05:15:00,2021-09-20 06:30:00,1.14,1.73
96,2021-09-20 07:30:00,2021-09-20 08:30:00,1.1,1.62
97,2021-09-20 09:45:00,2021-09-20 10:45:00,1.18,1.61
98,2021-09-20 12:45:00,2021-09-20 13:15:00,0.75,0.93
99,2021-09-20 15:00:00,2021-09-20 15:45:00,0.84,1.01
100,2021-09-20 17:15:00,2021-09-20 18:30:00,1.42,1.93
101,2021-09-20 19:30:00,2021-09-20 20:30:00,0.97,1.33
102,2021-09-20 21:30:00,2021-09-20 22:15:00,0.91,1.25
103,2021-09-20 23:15:00,2021-09-21 02:15:00,3.03,9.52
104,2021-09-21 03:15:00,2021-09-21 04:15:00,1.22,1.97
105,2021-09-21 05:15:00,2021-09-21 06:15:00,1.07,1.79
106,2021-09-21 07:15:00,2021-09-21 08:00:00,0.88,1.29
107,2021-09-21 09:45:00,2021-09-21 10:15:00,0.75,0.97
108,2021-09-21 12:30:00,2021-09-21 13:00:00,0.59,0.72
109,2021-09-21 15:15:00,2021-09-21 16:00:00,0.77,0.86
110,2021-09-21 17:30:00,2021-09-21 18:45:00,1.5,2.05
111,2021-09-21 20:00:00,2021-09-21 20:45:00,0.84,1.21
112,2021-09-21 21:45:00,2021-09-21 22:45:00,1.1,1.68
113,2021-09-21 23:30:00,2021-09-22 00:30:00,1.13,3.56
114,2021-09-22 01:15:00,2021-09-22 02:30:00,1.28,2.1
115,2021-09-22 03:30:00,2021-09-22 04:45:00,1.4,2.39
116,2021-09-22 05:45:00,2021-09-22 06:45:00,1.14,1.93
117,2021-09-22 08:00:00,2021-09-22 09:15:00,1.19,1.68
118,2021-09-22 11:00:00,2021-09-22 11:30:00,0.73,0.88
119,2021-09-22 13:45:00,2021-09-22 14:15:00,0.63,0.72
120,2021-09-22 16:15:00,2021-09-22 17:15:00,1.08,1.31
121,2021-09-22 18:15:00,2021-09-22 19:00:00,0.88,1.25
122,2021-09-22 19:45:00,2021-09-22 20:45:00,1.04,1.54
123,2021-09-22 21:45:00,2021-09-22 22:45:00,1.13,1.74
124,2021-09-22 23:30:00,2021-09-23 00:45:00,1.25,5.09
125,2021-09-23 01:30:00,2021-09-23 02:45:00,1.36,2.3
126,2021-09-23 03:45:00,2021-09-23 04:45:00,1.25,2.46
127,2021-09-23 05:45:00,2021-09-23 07:00:00,1.31,2.37
128,2021-09-23 08:30:00,2021-09-23 09:15:00,0.89,1.31
129,2021-09-23 11:30:00,2021-09-23 12:15:00,0.72,0.86
130,2021-09-23 14:45:00,2021-09-23 15:15:00,0.62,0.68
131,2021-09-23 17:15:00,2021-09-23 18:15:00,1.15,1.39
132,2021-09-23 19:15:00,2021-09-23 20:00:00,0.88,1.25
133,2021-09-23 20:45:00,2021-09-23 21:45:00,1.03,1.5
134,2021-09-23 22:45:00,2021-09-24 01:30:00,2.85,7.9
135,2021-09-24 02:30:00,2021-09-24 03:15:00,1.0,1.63
136,2021-09-24 04:15:00,2021-09-24 05:15:00,1.08,1.68
137,2021-09-24 06:15:00,2021-09-24 07:00:00,0.91,1.37
138,2021-09-24 08:30:00,2021-09-24 09:00:00,0.75,1.03
139,2021-09-24 12:00:00,2021-09-24 12:15:00,0.5,0.56
140,2021-09-24 16:00:00,2021-09-24 16:30:00,0.61,0.66
141,2021-09-24 17:45:00,2021-09-24 18:45:00,1.14,1.4
142,2021-09-24 19:45:00,2021-09-24 20:30:00,0.94,1.3
143,2021-09-24 21:30:00,2021-09-24 22:30:00,1.08,1.59
144,2021-09-24 23:15:00,2021-09-25 00:30:00,1.12,4.5
145,2021-09-25 01:15:00,2021-09-25 02:30:00,1.24,1.95
146,2021-09-25 03:15:00,2021-09-25 04:15:00,1.16,1.87
147,2021-09-25 05:15:00,2021-09-25 06:15:00,1.19,1.92
148,2021-09-25 07:15:00,2021-09-25 08:15:00,0.92,1.37
149,2021-09-25 10:30:00,2021-09-25 10:45:00,0.46,0.59
150,2021-09-25 17:30:00,2021-09-25 18:00:00,0.66,0.71
151,2021-09-25 20:00:00,2021-09-25 20:30:00,0.59,0.67
152,2021-09-25 22:30:00,2021-09-25 23:00:00,0.65,0.73
153,2021-09-25 23:30:00,2021-09-26 01:30:00,2.23,4.37
154,2021-09-26 02:45:00,2021-09-26 03:45:00,1.14,1.43
155,2021-09-26 05:00:00,2021-09-26 05:45:00,0.93,1.15
156,2021-09-26 07:15:00,2021-09-26 07:45:00,0.67,0.84
157,2021-09-26 09:45:00,2021-09-26 10:00:00,0.49,0.6
158,2021-09-26 13:15:00,2021-09-26 13:45:00,0.53,0.56
159,2021-09-26 16:45:00,2021-09-26 17:15:00,0.68,0.73
160,2021-09-26 18:45:00,2021-09-26 19:30:00,0.92,1.08
161,2021-09-26 20:45:00,2021-09-26 21:30:00,0.9,1.11
162,2021-09-26 22:45:00,2021-09-27 00:00:00,1.34,3.33
163,2021-09-27 01:00:00,2021-09-27 02:00:00,1.18,1.63
164,2021-09-27 03:15:00,2021-09-27 04:15:00,1.23,1.8
165,2021-09-27 05:30:00,2021-09-27 06:30:00,1.04,1.46
166,2021-09-27 07:45:00,2021-09-27 08:15:00,0.75,0.95
167,2021-09-27 11:45:00,2021-09-27 12:00:00,0.48,0.46
168,2021-09-27 16:00:00,2021-09-27 16:15:00,0.48,0.55
169,2021-09-27 18:15:00,2021-09-27 19:00:00,0.86,0.96
170,2021-09-27 20:30:00,2021-09-27 21:15:00,0.91,1.08
171,2021-09-27 22:30:00,2021-09-28 00:45:00,2.34,5.05
172,2021-09-28 01:15:00,2021-09-28 02:30:00,1.4,1.89
173,2021-09-28 03:45:00,2021-09-28 05:15:00,1.66,2.42
174,2021-09-28 06:45:00,2021-09-28 07:45:00,1.08,1.52
175,2021-09-28 09:30:00,2021-09-28 10:00:00,0.67,0.8
176,2021-09-28 12:15:00,2021-09-28 12:30:00,0.48,0.61
177,2021-09-28 15:15:00,2021-09-28 15:45:00,0.6,0.7
178,2021-09-28 17:15:00,2021-09-28 18:00:00,0.87,1.03
179,2021-09-28 19:30:00,2021-09-28 20:00:00,0.75,0.95
180,2021-09-28 21:30:00,2021-09-28 22:15:00,1.0,1.33
181,2021-09-28 23:30:00,2021-09-29 00:45:00,1.44,4.91
182,2021-09-29 01:30:00,2021-09-29 02:15:00,0.97,1.35
183,2021-09-29 03:30:00,2021-09-29 04:15:00,0.89,1.25
184,2021-09-29 05:15:00,2021-09-29 06:00:00,0.9,1.25
185,2021-09-29 07:30:00,2021-09-29 08:00:00,0.65,0.8
186,2021-09-29 11:00:00,2021-09-29 11:30:00,0.66,0.71
187,2021-09-29 14:15:00,2021-09-29 14:45:00,0.66,0.73
188,2021-09-29 16:15:00,2021-09-29 17:15:00,1.19,1.68
189,2021-09-29 18:30:00,2021-09-29 19:15:00,0.92,1.36
190,2021-09-29 20:30:00,2021-09-29 21:15:00,0.85,1.27
191,2021-09-29 22:15:00,2021-09-30 01:15:00,3.13,5.93
192,2021-09-30 02:15:00,2021-09-30 03:30:00,1.42,2.23
193,2021-09-30 04:15:00,2021-09-30 05:30:00,1.23,2.03
194,2021-09-30 06:15:00,2021-09-30 07:15:00,1.02,1.68
195,2021-09-30 08:30:00,2021-09-30 09:30:00,1.15,1.6
196,2021-09-30 11:45:00,2021-09-30 12:15:00,0.74,0.93
197,2021-09-30 14:00:00,2021-09-30 14:45:00,0.8,0.98
198,2021-09-30 16:15:00,2021-09-30 17:00:00,0.99,1.37
199,2021-09-30 18:00:00,2021-09-30 19:15:00,1.39,2.17
200,2021-09-30 20:00:00,2021-09-30 21:15:00,1.29,2.22
201,2021-09-30 22:15:00,2021-10-01 02:30:00,4.36,12.32
202,2021-10-01 03:15:00,2021-10-01 05:00:00,1.76,4.17
203,2021-10-01 05:45:00,2021-10-01 07:30:00,1.93,3.82
204,2021-10-01 08:45:00,2021-10-01 10:15:00,1.59,2.43
205,2021-10-01 12:30:00,2021-10-01 13:00:00,0.72,0.88
206,2021-10-01 15:30:00,2021-10-01 16:00:00,0.69,0.77
207,2021-10-01 17:15:00,2021-10-01 18:45:00,1.51,2.11
208,2021-10-01 19:45:00,2021-10-01 20:45:00,1.13,1.66
209,2021-10-01 21:45:00,2021-10-01 22:45:00,1.15,1.74
210,2021-10-01 23:30:00,2021-10-02 01:00:00,1.55,4.25
211,2021-10-02 02:00:00,2021-10-02 03:00:00,1.25,1.94
212,2021-10-02 04:00:00,2021-10-02 05:15:00,1.34,2.05
213,2021-10-02 06:15:00,2021-10-02 07:00:00,1.0,1.5
214,2021-10-02 08:45:00,2021-10-02 09:00:00,0.5,0.62
215,2021-10-02 13:00:00,2021-10-02 13:15:00,0.42,0.49
216,2021-10-02 16:30:00,2021-10-02 17:15:00,0.8,0.87
217,2021-10-02 18:15:00,2021-10-02 19:15:00,1.16,1.43
218,2021-10-02 20:15:00,2021-10-02 21:30:00,1.39,1.94
219,2021-10-02 22:45:00,2021-10-03 01:15:00,2.75,5.3
220,2021-10-03 02:15:00,2021-10-03 03:00:00,0.93,1.39
221,2021-10-03 04:15:00,2021-10-03 05:00:00,0.97,1.5
222,2021-10-03 06:00:00,2021-10-03 06:45:00,0.83,1.25
223,2021-10-03 08:15:00,2021-10-03 09:00:00,0.93,1.26
224,2021-10-03 11:00:00,2021-10-03 11:30:00,0.68,0.86
225,2021-10-03 13:30:00,2021-10-03 14:00:00,0.54,0.64
226,2021-10-03 16:15:00,2021-10-03 17:00:00,0.73,0.82
227,2021-10-03 18:30:00,2021-10-03 19:00:00,0.75,0.93
228,2021-10-03 20:30:00,2021-10-03 21:15:00,0.98,1.28
229,2021-10-03 22:30:00,2021-10-04 01:30:00,3.18,7.42
230,2021-10-04 02:30:00,2021-10-04 03:30:00,0.93,1.33
231,2021-10-04 04:30:00,2021-10-04 05:15:00,0.89,1.32
232,2021-10-04 06:15:00,2021-10-04 07:00:00,0.87,1.25
233,2021-10-04 08:00:00,2021-10-04 08:45:00,0.88,1.24
234,2021-10-04 10:00:00,2021-10-04 10:45:00,0.8,1.1
235,2021-10-04 12:15:00,2021-10-04 13:15:00,1.05,1.35
236,2021-10-04 14:30:00,2021-10-04 15:15:00,0.87,1.09
237,2021-10-04 16:30:00,2021-10-04 17:30:00,1.06,1.42
238,2021-10-04 18:30:00,2021-10-04 19:15:00,0.88,1.18
239,2021-10-04 20:30:00,2021-10-04 21:15:00,0.85,1.23
240,2021-10-04 22:15:00,2021-10-04 23:00:00,0.92,1.3
241,2021-10-04 23:30:00,2021-10-05 01:00:00,1.67,2.83
242,2021-10-05 02:00:00,2021-10-05 03:00:00,0.98,1.4
243,2021-10-05 04:00:00,2021-10-05 04:45:00,0.97,1.4
244,2021-10-05 05:45:00,2021-10-05 06:45:00,0.94,1.38
245,2021-10-05 08:00:00,2021-10-05 08:30:00,0.75,1.07
246,2021-10-05 10:00:00,2021-10-05 10:45:00,0.85,1.13
247,2021-10-05 12:15:00,2021-10-05 13:00:00,0.92,1.21
248,2021-10-05 14:30:00,2021-10-05 15:00:00,0.73,0.9
249,2021-10-05 16:30:00,2021-10-05 17:15:00,0.97,1.26
250,2021-10-05 18:15:00,2021-10-05 19:00:00,0.81,1.08
251,2021-10-05 20:00:00,2021-10-05 21:00:00,1.17,1.68
252,2021-10-05 21:45:00,2021-10-05 23:00:00,1.29,1.98
253,2021-10-05 23:30:00,2021-10-06 01:00:00,1.62,4.1
254,2021-10-06 01:45:00,2021-10-06 03:15:00,1.49,2.52
255,2021-10-06 04:00:00,2021-10-06 05:30:00,1.49,2.5
256,2021-10-06 06:15:00,2021-10-06 07:30:00,1.3,2.16
257,2021-10-06 08:30:00,2021-10-06 09:15:00,0.84,1.27
258,2021-10-06 10:30:00,2021-10-06 11:15:00,0.86,1.23
