cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-15 23:00:00,2021-02-15 23:30:00,0.71,2.74
1,2021-02-16 00:15:00,2021-02-16 01:15:00,1.09,4.52
2,2021-02-16 01:45:00,2021-02-16 02:45:00,1.07,4.14
3,2021-02-16 03:15:00,2021-02-16 04:30:00,1.2,5.1
4,2021-02-16 05:00:00,2021-02-16 06:30:00,1.69,6.66
5,2021-02-16 07:00:00,2021-02-16 08:00:00,1.07,4.42
6,2021-02-16 08:45:00,2021-02-16 10:30:00,1.85,6.08
7,2021-02-16 11:15:00,2021-02-16 12:00:00,0.78,3.16
8,2021-02-16 12:45:00,2021-02-16 13:15:00,0.42,1.66
9,2021-02-16 14:00:00,2021-02-16 16:00:00,2.16,6.66
10,2021-02-16 16:30:00,2021-02-16 20:00:00,3.56,14.28
11,2021-02-16 20:45:00,2021-02-16 22:30:00,1.84,6.79
12,2021-02-16 23:15:00,2021-02-17 00:15:00,1.04,3.83
13,2021-02-17 01:00:00,2021-02-17 01:30:00,0.46,1.78
14,2021-02-17 02:00:00,2021-02-17 02:45:00,0.74,2.88
15,2021-02-17 03:15:00,2021-02-17 04:00:00,0.92,3.58
16,2021-02-17 04:45:00,2021-02-17 05:45:00,1.04,4.46
17,2021-02-17 06:15:00,2021-02-17 07:00:00,0.85,3.45
18,2021-02-17 07:30:00,2021-02-17 08:30:00,0.88,3.45
19,2021-02-17 09:00:00,2021-02-17 09:45:00,0.73,2.84
20,2021-02-17 10:15:00,2021-02-17 11:00:00,0.71,2.69
21,2021-02-17 11:45:00,2021-02-17 12:15:00,0.48,2.01
22,2021-02-17 13:00:00,2021-02-17 14:15:00,1.26,4.34
23,2021-02-17 15:00:00,2021-02-17 15:15:00,0.49,1.63
24,2021-02-17 16:00:00,2021-02-17 16:45:00,0.83,3.42
25,2021-02-17 17:15:00,2021-02-17 20:15:00,3.01,12.87
26,2021-02-17 20:45:00,2021-02-17 22:45:00,2.12,8.24
27,2021-02-17 23:15:00,2021-02-18 01:15:00,1.85,7.64
28,2021-02-18 01:45:00,2021-02-18 08:15:00,6.57,27.41
29,2021-02-18 08:45:00,2021-02-18 09:45:00,1.04,4.42
30,2021-02-18 10:30:00,2021-02-18 11:15:00,0.86,3.28
31,2021-02-18 11:45:00,2021-02-18 12:15:00,0.49,2.04
32,2021-02-18 13:00:00,2021-02-18 13:15:00,0.42,1.61
33,2021-02-18 14:15:00,2021-02-18 15:00:00,0.82,3.7
34,2021-02-18 15:30:00,2021-02-18 19:15:00,3.75,13.0
35,2021-02-18 19:45:00,2021-02-18 21:00:00,1.19,4.77
36,2021-02-18 21:30:00,2021-02-18 22:15:00,0.71,2.88
37,2021-02-18 23:00:00,2021-02-19 00:00:00,1.04,4.16
38,2021-02-19 00:30:00,2021-02-19 01:15:00,0.77,3.21
39,2021-02-19 02:00:00,2021-02-19 02:45:00,0.85,3.41
40,2021-02-19 03:15:00,2021-02-19 04:15:00,1.09,4.62
41,2021-02-19 04:45:00,2021-02-19 06:45:00,1.91,7.61
42,2021-02-19 07:15:00,2021-02-19 08:15:00,1.11,4.89
43,2021-02-19 08:45:00,2021-02-19 09:45:00,1.02,4.15
44,2021-02-19 10:30:00,2021-02-19 10:45:00,0.43,2.17
45,2021-02-19 11:45:00,2021-02-19 12:15:00,0.36,1.37
46,2021-02-19 13:15:00,2021-02-19 14:15:00,0.98,3.28
47,2021-02-19 15:30:00,2021-02-19 16:00:00,0.6,2.8
48,2021-02-19 16:45:00,2021-02-19 18:45:00,2.06,7.8
49,2021-02-19 19:15:00,2021-02-19 20:30:00,1.39,5.62
50,2021-02-19 21:15:00,2021-02-19 22:00:00,0.77,3.15
51,2021-02-19 22:30:00,2021-02-19 23:30:00,1.09,4.5
52,2021-02-20 00:15:00,2021-02-20 01:45:00,1.65,6.15
