cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-09-20 12:15:00,2022-09-20 12:30:00,0.45,0.84
1,2022-09-20 13:00:00,2022-09-20 13:15:00,0.34,0.55
2,2022-09-20 14:00:00,2022-09-20 14:00:00,0.12,0.29
3,2022-09-20 15:00:00,2022-09-20 15:00:00,0.12,0.34
4,2022-09-20 16:45:00,2022-09-20 17:00:00,0.48,0.34
5,2022-09-20 18:45:00,2022-09-20 19:00:00,0.35,0.7
6,2022-09-20 19:30:00,2022-09-20 19:45:00,0.4,0.85
7,2022-09-21 04:30:00,2022-09-21 05:30:00,1.24,2.82
8,2022-09-21 06:15:00,2022-09-21 07:00:00,0.78,1.83
9,2022-09-21 07:30:00,2022-09-21 08:00:00,0.5,1.17
10,2022-09-21 08:30:00,2022-09-21 08:45:00,0.46,0.7
11,2022-09-21 09:15:00,2022-09-21 09:30:00,0.36,0.78
12,2022-09-21 10:15:00,2022-09-21 10:30:00,0.28,0.65
13,2022-09-21 12:00:00,2022-09-21 12:00:00,0.12,0.25
14,2022-09-21 18:45:00,2022-09-21 19:00:00,0.29,0.59
15,2022-09-21 19:30:00,2022-09-21 19:45:00,0.47,0.69
