cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 22:00:00,23.13,45.06
1,2021-01-20 22:30:00,2021-01-23 08:30:00,58.16,93.94
2,2021-01-23 09:00:00,2021-01-24 07:30:00,22.71,43.03
3,2021-01-24 08:00:00,2021-01-30 00:00:00,136.17,279.26
4,2021-01-30 00:30:00,2021-01-30 05:00:00,4.65,5.64
5,2021-01-30 05:30:00,2021-02-03 05:15:00,95.93,176.55
6,2021-02-03 05:45:00,2021-02-03 21:45:00,16.09,29.12
7,2021-02-03 22:15:00,2021-02-03 22:30:00,0.49,0.86
8,2021-02-03 23:00:00,2021-02-05 02:45:00,27.81,48.31
9,2021-02-05 03:15:00,2021-02-07 00:30:00,45.47,81.45
10,2021-02-07 01:00:00,2021-02-07 01:15:00,0.49,0.58
11,2021-02-07 01:45:00,2021-02-07 02:00:00,0.48,0.47
12,2021-02-07 02:30:00,2021-02-07 02:45:00,0.5,0.46
13,2021-02-07 03:15:00,2021-02-07 03:30:00,0.48,0.53
14,2021-02-07 04:00:00,2021-02-07 07:00:00,3.25,2.64
15,2021-02-07 07:30:00,2021-02-07 07:45:00,0.43,0.51
16,2021-02-07 08:15:00,2021-02-07 12:00:00,3.94,4.4
17,2021-02-07 12:30:00,2021-02-07 12:45:00,0.45,0.44
18,2021-02-07 13:15:00,2021-02-07 13:30:00,0.47,0.54
19,2021-02-07 14:00:00,2021-02-10 02:15:00,60.41,124.84
20,2021-02-10 02:45:00,2021-02-10 03:00:00,0.43,0.82
21,2021-02-10 03:30:00,2021-02-11 09:45:00,30.39,59.41
22,2021-02-11 10:15:00,2021-02-11 23:15:00,13.11,22.45
23,2021-02-11 23:45:00,2021-02-12 04:15:00,4.75,4.02
24,2021-02-12 04:45:00,2021-02-12 06:30:00,1.95,3.6
25,2021-02-12 07:00:00,2021-02-12 07:15:00,0.49,0.52
26,2021-02-12 07:45:00,2021-02-12 14:30:00,7.0,6.01
27,2021-02-12 15:00:00,2021-02-12 15:15:00,0.49,0.5
28,2021-02-12 15:45:00,2021-02-13 23:15:00,31.68,42.33
29,2021-02-13 23:45:00,2021-02-14 01:45:00,2.23,1.86
30,2021-02-14 02:15:00,2021-02-14 04:15:00,2.25,1.88
31,2021-02-14 04:45:00,2021-02-14 08:00:00,3.41,3.98
32,2021-02-14 08:30:00,2021-02-14 11:30:00,3.2,2.67
33,2021-02-14 12:00:00,2021-02-14 14:00:00,2.22,1.91
34,2021-02-14 14:30:00,2021-02-14 14:45:00,0.49,0.51
35,2021-02-14 15:15:00,2021-02-14 16:30:00,1.48,1.27
36,2021-02-14 17:00:00,2021-02-15 00:15:00,7.38,14.07
37,2021-02-15 00:45:00,2021-02-15 01:00:00,0.49,0.54
38,2021-02-15 01:30:00,2021-02-15 01:45:00,0.48,0.47
39,2021-02-15 02:15:00,2021-02-15 04:00:00,2.0,1.65
40,2021-02-15 04:30:00,2021-02-16 00:30:00,20.1,34.33
41,2021-02-16 01:00:00,2021-02-17 01:30:00,24.74,34.38
42,2021-02-17 02:00:00,2021-02-17 03:30:00,1.75,1.38
43,2021-02-17 04:00:00,2021-02-17 13:00:00,9.25,16.1
44,2021-02-17 13:30:00,2021-02-17 22:15:00,9.0,14.77
45,2021-02-17 22:45:00,2021-02-17 23:30:00,1.0,0.81
46,2021-02-18 00:00:00,2021-02-18 01:30:00,1.75,1.39
47,2021-02-18 02:00:00,2021-02-18 03:30:00,1.75,1.4
48,2021-02-18 04:00:00,2021-02-18 22:30:00,18.75,30.15
49,2021-02-18 23:00:00,2021-02-19 12:45:00,14.0,19.39
50,2021-02-19 13:15:00,2021-02-19 14:45:00,1.75,1.46
51,2021-02-19 15:15:00,2021-02-20 14:00:00,22.98,34.71
52,2021-02-20 14:30:00,2021-02-21 01:00:00,10.75,16.99
53,2021-02-21 01:30:00,2021-02-21 05:30:00,4.25,3.6
54,2021-02-21 06:00:00,2021-02-21 12:00:00,6.15,11.32
55,2021-02-21 12:30:00,2021-02-21 13:15:00,1.0,0.87
56,2021-02-21 13:45:00,2021-02-21 14:30:00,1.0,0.84
57,2021-02-21 15:00:00,2021-02-22 01:30:00,10.67,23.04
58,2021-02-22 02:00:00,2021-02-22 02:45:00,1.0,0.77
59,2021-02-22 03:15:00,2021-02-22 13:00:00,10.0,13.5
60,2021-02-22 13:30:00,2021-02-22 14:15:00,1.0,0.86
61,2021-02-22 14:45:00,2021-02-23 00:30:00,9.98,14.97
62,2021-02-23 01:00:00,2021-02-23 01:45:00,1.0,0.77
63,2021-02-23 02:15:00,2021-02-23 03:00:00,1.0,0.85
64,2021-02-23 03:30:00,2021-02-23 04:15:00,1.0,0.83
65,2021-02-23 04:45:00,2021-02-23 13:45:00,9.1,13.61
66,2021-02-23 14:15:00,2021-02-24 00:30:00,10.46,16.59
67,2021-02-24 01:00:00,2021-02-24 03:45:00,3.0,2.29
68,2021-02-24 04:15:00,2021-02-24 22:45:00,18.69,29.39
69,2021-02-24 23:15:00,2021-02-25 00:00:00,1.0,0.77
70,2021-02-25 00:30:00,2021-02-25 01:15:00,1.0,0.83
71,2021-02-25 01:45:00,2021-02-25 02:30:00,1.0,0.84
72,2021-02-25 03:00:00,2021-02-25 03:15:00,0.45,0.41
73,2021-02-25 03:45:00,2021-02-25 13:15:00,9.75,14.56
74,2021-02-25 13:45:00,2021-02-25 14:30:00,1.0,0.87
75,2021-02-25 15:00:00,2021-02-26 00:00:00,9.25,13.68
76,2021-02-26 00:30:00,2021-02-26 01:15:00,1.0,0.79
77,2021-02-26 01:45:00,2021-02-26 14:00:00,12.5,22.3
78,2021-02-26 14:30:00,2021-02-26 15:15:00,1.0,1.15
79,2021-02-26 15:45:00,2021-02-27 00:45:00,9.21,13.23
80,2021-02-27 01:15:00,2021-02-27 02:45:00,1.75,1.37
81,2021-02-27 03:15:00,2021-02-27 06:45:00,3.74,4.22
82,2021-02-27 07:15:00,2021-02-27 09:30:00,2.5,1.88
83,2021-02-27 10:00:00,2021-02-27 11:30:00,1.75,1.44
84,2021-02-27 12:00:00,2021-02-27 15:00:00,3.25,2.53
85,2021-02-27 15:30:00,2021-02-27 15:45:00,0.5,0.46
86,2021-02-27 16:15:00,2021-02-27 17:45:00,1.75,1.35
87,2021-02-27 18:15:00,2021-02-27 20:30:00,2.5,1.95
88,2021-02-27 21:00:00,2021-02-27 23:15:00,2.5,2.02
89,2021-02-27 23:45:00,2021-02-28 00:00:00,0.5,0.44
90,2021-02-28 00:30:00,2021-02-28 02:00:00,1.75,1.37
91,2021-02-28 02:30:00,2021-02-28 04:45:00,2.5,1.94
92,2021-02-28 05:15:00,2021-02-28 05:30:00,0.49,0.46
93,2021-02-28 06:00:00,2021-02-28 08:15:00,2.5,2.0
94,2021-02-28 08:45:00,2021-02-28 12:15:00,3.75,2.89
95,2021-02-28 12:45:00,2021-02-28 13:00:00,0.45,0.45
96,2021-02-28 13:30:00,2021-02-28 15:00:00,1.75,1.46
97,2021-02-28 15:30:00,2021-02-28 15:45:00,0.46,0.44
98,2021-02-28 16:15:00,2021-02-28 17:00:00,1.0,0.77
99,2021-02-28 17:30:00,2021-02-28 17:45:00,0.5,0.45
100,2021-02-28 18:15:00,2021-02-28 19:45:00,1.75,1.43
101,2021-02-28 20:15:00,2021-03-01 00:30:00,4.5,3.39
102,2021-03-01 01:00:00,2021-03-01 01:15:00,0.5,0.47
103,2021-03-01 01:45:00,2021-03-01 04:00:00,2.5,2.02
104,2021-03-01 04:30:00,2021-03-01 07:30:00,3.23,2.54
105,2021-03-01 08:00:00,2021-03-01 08:15:00,0.49,0.45
106,2021-03-01 08:45:00,2021-03-01 10:15:00,1.75,1.38
107,2021-03-01 10:45:00,2021-03-01 12:15:00,1.75,1.42
108,2021-03-01 12:45:00,2021-03-01 13:30:00,1.0,0.78
109,2021-03-01 14:00:00,2021-03-01 15:30:00,1.75,1.49
110,2021-03-01 16:00:00,2021-03-01 17:30:00,1.75,1.3
111,2021-03-01 18:00:00,2021-03-01 19:30:00,1.75,1.47
112,2021-03-01 20:00:00,2021-03-01 20:15:00,0.47,0.45
113,2021-03-01 20:45:00,2021-03-01 21:30:00,1.0,0.78
114,2021-03-01 22:00:00,2021-03-01 22:15:00,0.48,0.46
115,2021-03-01 22:45:00,2021-03-02 01:00:00,2.5,1.93
116,2021-03-02 01:30:00,2021-03-02 03:45:00,2.5,2.0
117,2021-03-02 04:15:00,2021-03-02 04:30:00,0.49,0.43
118,2021-03-02 05:00:00,2021-03-02 08:00:00,3.25,2.54
119,2021-03-02 08:30:00,2021-03-02 12:00:00,3.75,2.88
120,2021-03-02 12:30:00,2021-03-02 12:45:00,0.48,0.41
121,2021-03-02 13:15:00,2021-03-02 14:00:00,1.0,0.79
122,2021-03-02 14:30:00,2021-03-02 16:00:00,1.75,1.44
123,2021-03-02 16:30:00,2021-03-02 20:00:00,3.7,2.83
124,2021-03-02 20:30:00,2021-03-02 21:15:00,1.0,0.77
125,2021-03-02 21:45:00,2021-03-02 23:15:00,1.75,1.43
126,2021-03-02 23:45:00,2021-03-03 00:00:00,0.44,0.45
127,2021-03-03 00:30:00,2021-03-03 01:15:00,1.0,0.76
128,2021-03-03 01:45:00,2021-03-03 03:15:00,1.75,1.43
129,2021-03-03 03:45:00,2021-03-03 05:15:00,1.75,1.33
130,2021-03-03 05:45:00,2021-03-03 06:00:00,0.49,0.47
131,2021-03-03 06:30:00,2021-03-03 08:00:00,1.75,1.46
132,2021-03-03 08:30:00,2021-03-03 10:00:00,1.75,1.33
133,2021-03-03 10:30:00,2021-03-03 10:45:00,0.46,0.49
134,2021-03-03 11:15:00,2021-03-03 12:00:00,1.0,0.87
135,2021-03-03 12:30:00,2021-03-03 12:45:00,0.43,0.43
136,2021-03-03 13:15:00,2021-03-03 16:00:00,3.0,2.35
137,2021-03-03 16:30:00,2021-03-03 16:45:00,0.48,0.45
138,2021-03-03 17:15:00,2021-03-03 18:45:00,1.75,1.41
139,2021-03-03 19:15:00,2021-03-03 20:45:00,1.75,1.36
140,2021-03-03 21:15:00,2021-03-03 22:45:00,1.75,1.44
141,2021-03-03 23:15:00,2021-03-04 00:45:00,1.75,1.37
142,2021-03-04 01:15:00,2021-03-04 02:45:00,1.75,1.4
143,2021-03-04 03:15:00,2021-03-04 04:45:00,1.75,1.39
144,2021-03-04 05:15:00,2021-03-04 05:30:00,0.46,0.44
145,2021-03-04 06:00:00,2021-03-04 07:30:00,1.75,1.46
146,2021-03-04 08:00:00,2021-03-04 08:15:00,0.44,0.43
147,2021-03-04 08:45:00,2021-03-04 09:30:00,1.0,0.82
148,2021-03-04 10:00:00,2021-03-04 12:45:00,3.0,2.35
149,2021-03-04 13:15:00,2021-03-04 13:30:00,0.45,0.43
150,2021-03-04 14:00:00,2021-03-04 14:45:00,1.0,0.89
151,2021-03-04 15:15:00,2021-03-04 16:00:00,1.0,0.84
