cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-26 01:15:00,2021-06-26 01:15:00,0.12,0.49
1,2021-06-26 01:45:00,2021-06-26 02:00:00,0.35,0.53
2,2021-06-26 02:30:00,2021-06-26 02:45:00,0.36,0.52
3,2021-06-26 03:15:00,2021-06-26 03:15:00,0.12,0.48
4,2021-06-26 03:45:00,2021-06-26 09:15:00,5.69,13.45
5,2021-06-27 01:00:00,2021-06-27 01:15:00,0.37,0.36
6,2021-06-27 03:15:00,2021-06-27 03:30:00,0.46,0.68
7,2021-06-27 04:00:00,2021-06-27 04:30:00,0.64,1.54
8,2021-06-27 05:00:00,2021-06-27 05:15:00,0.42,0.57
9,2021-06-28 04:15:00,2021-06-28 04:30:00,0.44,0.83
10,2021-06-29 04:15:00,2021-06-29 05:45:00,1.57,3.1
11,2021-06-29 11:15:00,2021-06-29 12:15:00,1.13,2.82
12,2021-06-29 14:45:00,2021-06-29 15:30:00,0.77,1.88
13,2021-06-30 02:00:00,2021-06-30 03:00:00,1.13,1.43
14,2021-06-30 03:30:00,2021-06-30 08:45:00,5.5,13.06
15,2021-06-30 11:15:00,2021-06-30 12:00:00,0.7,1.75
16,2021-06-30 13:45:00,2021-06-30 15:45:00,2.07,5.3
17,2021-06-30 17:15:00,2021-06-30 18:15:00,1.04,2.64
18,2021-06-30 18:45:00,2021-06-30 18:45:00,0.12,0.49
19,2021-06-30 19:15:00,2021-06-30 19:30:00,0.38,0.57
20,2021-07-01 00:45:00,2021-07-01 01:00:00,0.4,0.34
21,2021-07-01 02:45:00,2021-07-01 02:45:00,0.12,0.25
22,2021-07-01 03:15:00,2021-07-01 03:30:00,0.49,0.61
23,2021-07-01 04:00:00,2021-07-01 08:45:00,5.0,11.81
24,2021-07-01 10:00:00,2021-07-01 10:00:00,0.12,0.29
25,2021-07-01 11:15:00,2021-07-01 15:45:00,4.66,11.68
26,2021-07-01 17:15:00,2021-07-01 18:15:00,1.03,2.49
27,2021-07-01 19:15:00,2021-07-01 19:15:00,0.12,0.34
28,2021-07-02 02:45:00,2021-07-02 03:30:00,1.0,1.06
29,2021-07-02 04:00:00,2021-07-02 08:45:00,4.9,12.1
30,2021-07-02 11:15:00,2021-07-02 13:30:00,2.4,4.9
31,2021-07-02 14:15:00,2021-07-02 14:15:00,0.12,0.17
32,2021-07-02 15:00:00,2021-07-02 15:00:00,0.12,0.2
33,2021-07-02 17:15:00,2021-07-02 19:45:00,2.75,4.46
34,2021-07-02 22:45:00,2021-07-02 22:45:00,0.12,0.38
35,2021-07-02 23:30:00,2021-07-02 23:45:00,0.43,0.4
36,2021-07-03 00:30:00,2021-07-03 00:30:00,0.12,0.34
37,2021-07-03 01:15:00,2021-07-03 01:15:00,0.12,0.38
38,2021-07-03 02:00:00,2021-07-03 02:15:00,0.48,0.41
39,2021-07-03 03:00:00,2021-07-03 03:00:00,0.12,0.39
40,2021-07-03 03:30:00,2021-07-03 09:30:00,6.17,14.33
41,2021-07-03 11:15:00,2021-07-03 11:30:00,0.42,0.89
42,2021-07-03 17:45:00,2021-07-03 18:15:00,0.75,0.52
43,2021-07-03 19:15:00,2021-07-03 19:30:00,0.34,0.47
44,2021-07-04 03:15:00,2021-07-04 03:30:00,0.35,0.55
45,2021-07-04 04:00:00,2021-07-04 09:30:00,5.56,13.62
46,2021-07-04 11:15:00,2021-07-04 13:00:00,1.9,2.95
47,2021-07-04 13:30:00,2021-07-04 13:30:00,0.12,0.24
48,2021-07-04 14:15:00,2021-07-04 15:00:00,1.0,1.09
49,2021-07-04 15:30:00,2021-07-04 18:00:00,2.69,3.32
50,2021-07-04 18:45:00,2021-07-04 18:45:00,0.12,0.46
51,2021-07-04 19:30:00,2021-07-04 19:30:00,0.12,0.4
52,2021-07-05 02:45:00,2021-07-05 02:45:00,0.12,0.36
53,2021-07-05 03:15:00,2021-07-05 08:45:00,5.75,12.7
54,2021-07-05 11:15:00,2021-07-05 12:30:00,1.39,3.48
55,2021-07-05 13:15:00,2021-07-05 13:15:00,0.12,0.16
56,2021-07-05 15:30:00,2021-07-05 15:30:00,0.12,0.25
57,2021-07-05 17:30:00,2021-07-05 17:30:00,0.12,0.25
58,2021-07-06 01:30:00,2021-07-06 01:30:00,0.12,0.47
59,2021-07-06 02:15:00,2021-07-06 02:15:00,0.12,0.43
60,2021-07-06 03:00:00,2021-07-06 03:00:00,0.12,0.43
61,2021-07-06 03:30:00,2021-07-06 08:45:00,5.5,12.32
62,2021-07-06 11:15:00,2021-07-06 11:30:00,0.46,0.75
63,2021-07-06 12:15:00,2021-07-06 12:15:00,0.12,0.13
64,2021-07-06 17:45:00,2021-07-06 18:00:00,0.39,0.28
65,2021-07-07 03:45:00,2021-07-07 08:45:00,5.06,12.33
66,2021-07-07 10:00:00,2021-07-07 10:15:00,0.39,0.63
67,2021-07-07 11:00:00,2021-07-07 15:45:00,5.0,11.7
68,2021-07-07 17:15:00,2021-07-07 18:15:00,1.03,2.53
69,2021-07-07 21:15:00,2021-07-07 21:15:00,0.12,0.23
70,2021-07-08 03:15:00,2021-07-08 03:30:00,0.5,0.62
71,2021-07-08 04:00:00,2021-07-08 08:45:00,5.0,11.74
72,2021-07-08 10:00:00,2021-07-08 10:15:00,0.46,0.83
73,2021-07-08 10:45:00,2021-07-08 15:45:00,5.12,11.92
74,2021-07-08 17:15:00,2021-07-08 19:00:00,1.96,3.59
75,2021-07-08 19:30:00,2021-07-08 19:45:00,0.36,0.49
76,2021-07-09 03:00:00,2021-07-09 03:15:00,0.35,0.63
77,2021-07-09 03:45:00,2021-07-09 08:45:00,5.25,12.23
78,2021-07-09 10:00:00,2021-07-09 10:00:00,0.12,0.1
