cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-17 04:00:00,2022-05-17 07:00:00,3.2,2.8
1,2022-05-17 08:15:00,2022-05-17 10:30:00,2.5,2.53
2,2022-05-17 16:15:00,2022-05-17 16:30:00,0.4,1.06
3,2022-05-17 18:00:00,2022-05-17 18:15:00,0.49,3.08
4,2022-05-17 19:00:00,2022-05-17 19:15:00,0.42,1.6
5,2022-05-17 20:15:00,2022-05-17 20:15:00,0.12,0.42
6,2022-05-17 21:00:00,2022-05-17 21:15:00,0.37,0.9
7,2022-05-17 22:30:00,2022-05-17 22:30:00,0.12,0.37
8,2022-05-17 23:45:00,2022-05-18 00:00:00,0.44,2.76
9,2022-05-18 03:30:00,2022-05-18 07:45:00,4.5,3.34
10,2022-05-18 12:00:00,2022-05-18 12:00:00,0.12,1.13
11,2022-05-18 19:45:00,2022-05-18 19:45:00,0.12,0.34
12,2022-05-18 21:45:00,2022-05-18 22:00:00,0.48,0.33
13,2022-05-18 23:45:00,2022-05-19 00:00:00,0.32,1.76
14,2022-05-19 04:00:00,2022-05-19 06:15:00,2.29,2.53
15,2022-05-19 07:45:00,2022-05-19 08:00:00,0.35,1.18
16,2022-05-19 16:00:00,2022-05-19 16:15:00,0.38,1.27
17,2022-05-19 17:00:00,2022-05-19 17:00:00,0.12,0.32
18,2022-05-19 19:00:00,2022-05-19 19:00:00,0.12,0.27
19,2022-05-19 21:45:00,2022-05-19 21:45:00,0.12,0.37
20,2022-05-19 23:45:00,2022-05-20 00:00:00,0.39,2.04
21,2022-05-20 04:00:00,2022-05-20 07:30:00,3.52,2.96
22,2022-05-20 08:30:00,2022-05-20 08:30:00,0.12,1.1
23,2022-05-20 15:30:00,2022-05-20 15:30:00,0.12,0.39
24,2022-05-20 20:00:00,2022-05-20 20:00:00,0.12,0.32
25,2022-05-20 22:00:00,2022-05-20 22:00:00,0.12,0.38
26,2022-05-20 23:45:00,2022-05-21 00:00:00,0.35,1.87
27,2022-05-21 04:00:00,2022-05-21 09:00:00,5.25,3.68
28,2022-05-21 11:00:00,2022-05-21 11:30:00,0.32,1.84
29,2022-05-21 21:15:00,2022-05-21 21:15:00,0.12,0.34
30,2022-05-21 23:45:00,2022-05-22 00:00:00,0.32,1.74
31,2022-05-22 04:00:00,2022-05-22 09:00:00,5.25,3.8
32,2022-05-22 09:30:00,2022-05-22 09:45:00,0.37,1.14
33,2022-05-22 14:00:00,2022-05-22 14:15:00,0.4,0.93
