cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-08 02:15:00,2022-06-08 10:45:00,8.66,15.22
1,2022-06-08 12:45:00,2022-06-08 13:00:00,0.28,1.23
2,2022-06-08 16:30:00,2022-06-08 16:45:00,0.4,1.24
3,2022-06-08 20:45:00,2022-06-08 21:00:00,0.28,1.22
4,2022-06-09 00:45:00,2022-06-09 01:00:00,0.31,1.24
5,2022-06-09 03:30:00,2022-06-09 10:45:00,7.4,12.39
6,2022-06-09 12:00:00,2022-06-09 12:15:00,0.44,1.39
7,2022-06-09 15:45:00,2022-06-09 16:00:00,0.28,1.23
8,2022-06-09 20:00:00,2022-06-09 20:15:00,0.48,1.25
9,2022-06-09 22:45:00,2022-06-10 10:45:00,12.25,21.19
10,2022-06-10 12:00:00,2022-06-10 12:15:00,0.46,1.44
11,2022-06-10 16:00:00,2022-06-10 16:15:00,0.38,1.25
12,2022-06-10 20:15:00,2022-06-10 20:30:00,0.34,1.24
13,2022-06-11 00:00:00,2022-06-11 00:30:00,0.57,3.47
14,2022-06-11 04:15:00,2022-06-11 10:15:00,6.25,10.75
15,2022-06-11 11:30:00,2022-06-11 11:45:00,0.33,1.29
16,2022-06-11 15:30:00,2022-06-11 15:45:00,0.45,1.27
17,2022-06-11 19:45:00,2022-06-11 20:00:00,0.31,1.26
18,2022-06-12 00:00:00,2022-06-12 00:15:00,0.33,1.23
19,2022-06-12 07:30:00,2022-06-12 08:00:00,0.3,1.35
20,2022-06-12 11:15:00,2022-06-12 11:30:00,0.3,1.3
21,2022-06-12 14:45:00,2022-06-12 15:00:00,0.29,1.28
22,2022-06-12 19:00:00,2022-06-12 19:15:00,0.29,1.26
23,2022-06-12 23:15:00,2022-06-12 23:15:00,0.12,1.11
24,2022-06-13 06:45:00,2022-06-13 07:00:00,0.31,1.2
25,2022-06-13 10:00:00,2022-06-13 10:15:00,0.4,1.23
26,2022-06-13 13:45:00,2022-06-13 13:45:00,0.12,1.1
27,2022-06-13 18:45:00,2022-06-13 19:00:00,0.36,1.44
28,2022-06-13 22:45:00,2022-06-13 23:00:00,0.28,1.23
29,2022-06-14 03:00:00,2022-06-14 03:15:00,0.39,1.16
30,2022-06-14 06:00:00,2022-06-14 10:15:00,4.24,7.58
31,2022-06-14 13:00:00,2022-06-14 13:15:00,0.34,1.27
32,2022-06-14 16:15:00,2022-06-14 16:30:00,0.38,1.3
33,2022-06-14 20:00:00,2022-06-14 20:15:00,0.4,1.26
34,2022-06-15 00:15:00,2022-06-15 00:30:00,0.32,1.23
35,2022-06-15 07:45:00,2022-06-15 08:00:00,0.28,1.25
36,2022-06-15 12:00:00,2022-06-15 12:15:00,0.39,1.41
37,2022-06-15 16:00:00,2022-06-15 16:15:00,0.31,1.28
38,2022-06-15 20:00:00,2022-06-15 20:15:00,0.28,1.23
39,2022-06-16 00:30:00,2022-06-16 00:45:00,0.28,1.21
40,2022-06-16 07:45:00,2022-06-16 08:00:00,0.37,1.25
41,2022-06-16 12:00:00,2022-06-16 12:15:00,0.38,1.36
42,2022-06-16 16:00:00,2022-06-16 16:15:00,0.36,1.25
