cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-09-26 19:30:00,2021-09-26 19:45:00,0.44,0.93
1,2021-09-26 20:15:00,2021-09-26 20:30:00,0.41,0.32
2,2021-09-26 21:00:00,2021-09-26 21:15:00,0.49,0.23
3,2021-09-26 21:45:00,2021-09-26 22:00:00,0.49,0.22
4,2021-09-26 22:30:00,2021-09-26 23:00:00,0.75,0.31
5,2021-09-27 00:15:00,2021-09-27 01:00:00,0.78,3.63
6,2021-09-27 10:15:00,2021-09-27 10:30:00,0.38,0.35
7,2021-09-27 11:15:00,2021-09-27 11:15:00,0.12,0.33
8,2021-09-27 14:15:00,2021-09-27 14:45:00,0.59,2.78
9,2021-09-27 17:30:00,2021-09-27 18:15:00,0.68,3.2
10,2021-09-27 19:15:00,2021-09-27 19:30:00,0.49,1.27
11,2021-09-27 22:00:00,2021-09-27 22:15:00,0.42,1.1
12,2021-09-27 23:00:00,2021-09-27 23:15:00,0.47,0.24
13,2021-09-27 23:45:00,2021-09-28 00:00:00,0.49,0.25
14,2021-09-28 00:30:00,2021-09-28 00:45:00,0.5,0.23
15,2021-09-28 01:15:00,2021-09-28 01:30:00,0.5,0.22
16,2021-09-28 02:00:00,2021-09-28 02:15:00,0.5,0.21
17,2021-09-28 02:45:00,2021-09-28 03:00:00,0.5,0.2
18,2021-09-28 03:45:00,2021-09-28 04:00:00,0.41,1.17
19,2021-09-28 05:15:00,2021-09-28 05:45:00,0.62,1.65
20,2021-09-28 22:00:00,2021-09-28 22:00:00,0.12,0.15
21,2021-09-28 23:00:00,2021-09-29 00:00:00,0.94,4.36
22,2021-09-29 22:00:00,2021-09-29 22:00:00,0.12,0.18
23,2021-09-30 03:30:00,2021-09-30 04:00:00,0.7,3.27
24,2021-09-30 05:00:00,2021-09-30 06:30:00,1.54,7.17
25,2021-09-30 22:00:00,2021-09-30 22:00:00,0.12,0.22
26,2021-10-01 06:00:00,2021-10-01 06:00:00,0.12,0.42
27,2021-10-01 20:30:00,2021-10-01 21:00:00,0.58,2.75
28,2021-10-01 22:00:00,2021-10-02 00:15:00,2.32,10.79
