cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-23 02:00:00,3.1,12.4
1,2021-01-23 02:30:00,2021-01-23 13:00:00,10.65,46.21
2,2021-01-23 13:30:00,2021-01-23 13:45:00,0.46,3.51
3,2021-01-23 14:15:00,2021-01-23 18:15:00,4.25,21.62
4,2021-01-23 18:45:00,2021-01-23 19:45:00,1.18,6.8
5,2021-01-23 20:15:00,2021-01-23 23:45:00,3.65,17.09
6,2021-01-24 00:15:00,2021-01-24 00:45:00,0.75,2.89
7,2021-01-24 01:15:00,2021-01-24 08:00:00,6.88,32.39
8,2021-01-24 08:30:00,2021-01-26 15:45:00,55.5,805.2
9,2021-01-26 16:15:00,2021-01-26 17:00:00,0.86,7.71
10,2021-01-26 17:30:00,2021-01-28 10:00:00,40.62,597.67
11,2021-01-28 10:30:00,2021-01-28 12:15:00,2.0,5.44
12,2021-01-28 12:45:00,2021-01-28 13:45:00,1.25,3.42
13,2021-01-28 14:15:00,2021-01-28 14:15:00,0.12,1.47
14,2021-01-28 14:45:00,2021-01-28 15:15:00,0.75,2.07
15,2021-01-28 15:45:00,2021-01-28 15:45:00,0.12,1.37
16,2021-01-28 16:15:00,2021-01-28 16:15:00,0.12,1.34
17,2021-01-28 16:45:00,2021-01-28 18:45:00,2.2,6.64
18,2021-01-28 19:15:00,2021-01-28 19:15:00,0.12,1.42
19,2021-01-28 19:45:00,2021-01-28 20:15:00,0.75,2.23
20,2021-01-28 20:45:00,2021-01-29 02:45:00,6.25,18.38
21,2021-01-29 03:15:00,2021-01-29 08:00:00,5.0,17.83
22,2021-01-29 08:30:00,2021-01-29 09:15:00,1.0,2.77
23,2021-01-29 09:45:00,2021-01-29 10:30:00,1.0,3.59
24,2021-01-29 11:00:00,2021-01-29 11:00:00,0.12,1.46
25,2021-01-29 11:30:00,2021-01-29 12:45:00,1.5,4.96
26,2021-01-29 13:15:00,2021-01-29 13:30:00,0.49,1.51
27,2021-01-29 14:00:00,2021-01-30 10:15:00,20.47,76.25
28,2021-01-30 10:45:00,2021-01-30 17:00:00,6.5,23.56
29,2021-01-30 17:30:00,2021-01-30 18:00:00,0.75,2.56
30,2021-01-30 18:30:00,2021-01-30 21:15:00,2.94,14.31
31,2021-01-30 21:45:00,2021-01-30 21:45:00,0.12,0.95
32,2021-01-30 22:15:00,2021-01-30 22:30:00,0.39,3.18
33,2021-01-30 23:00:00,2021-01-31 07:00:00,8.25,29.5
34,2021-01-31 07:30:00,2021-01-31 10:30:00,3.12,13.26
35,2021-01-31 11:00:00,2021-01-31 11:15:00,0.47,0.85
36,2021-01-31 11:45:00,2021-01-31 12:15:00,0.75,2.0
37,2021-01-31 12:45:00,2021-01-31 14:00:00,1.5,4.82
38,2021-01-31 14:30:00,2021-01-31 14:30:00,0.12,0.77
39,2021-01-31 15:00:00,2021-02-03 12:45:00,70.0,849.93
40,2021-02-03 13:15:00,2021-02-03 22:00:00,9.0,34.75
41,2021-02-03 22:30:00,2021-02-04 00:00:00,1.75,4.21
42,2021-02-04 00:30:00,2021-02-05 11:00:00,34.63,335.71
43,2021-02-05 11:30:00,2021-02-05 12:00:00,0.75,1.02
44,2021-02-05 12:30:00,2021-02-05 12:30:00,0.12,0.5
45,2021-02-05 13:00:00,2021-02-05 14:15:00,1.5,2.16
46,2021-02-05 14:45:00,2021-02-06 01:45:00,11.25,123.44
47,2021-02-06 02:15:00,2021-02-06 07:15:00,5.25,20.8
48,2021-02-06 07:45:00,2021-02-06 07:45:00,0.12,0.84
49,2021-02-06 08:15:00,2021-02-06 10:00:00,2.0,9.28
50,2021-02-06 10:30:00,2021-02-06 11:30:00,1.19,3.57
51,2021-02-06 12:00:00,2021-02-06 12:15:00,0.45,1.14
52,2021-02-06 12:45:00,2021-02-06 12:45:00,0.12,0.77
53,2021-02-06 13:15:00,2021-02-06 17:45:00,4.75,14.54
54,2021-02-06 18:15:00,2021-02-06 18:15:00,0.12,1.14
55,2021-02-06 19:15:00,2021-02-06 19:15:00,0.12,0.39
56,2021-02-06 19:45:00,2021-02-06 20:00:00,0.39,0.5
57,2021-02-06 20:30:00,2021-02-06 20:30:00,0.12,0.49
58,2021-02-06 21:00:00,2021-02-06 21:00:00,0.12,0.5
59,2021-02-06 21:30:00,2021-02-06 21:30:00,0.12,0.56
60,2021-02-06 22:00:00,2021-02-07 01:00:00,3.24,11.79
61,2021-02-07 01:30:00,2021-02-07 02:30:00,1.22,5.95
62,2021-02-07 03:00:00,2021-02-07 09:30:00,6.75,23.84
63,2021-02-07 10:00:00,2021-02-07 10:00:00,0.12,1.64
64,2021-02-07 10:30:00,2021-02-08 02:45:00,16.25,227.09
65,2021-02-08 03:15:00,2021-02-08 13:00:00,10.0,120.42
66,2021-02-08 13:30:00,2021-02-08 18:15:00,5.0,22.73
67,2021-02-08 18:45:00,2021-02-09 22:45:00,28.25,353.68
68,2021-02-09 23:15:00,2021-02-10 09:45:00,10.58,123.4
69,2021-02-10 10:15:00,2021-02-10 11:45:00,1.75,4.06
70,2021-02-10 12:15:00,2021-02-10 13:15:00,1.18,4.22
71,2021-02-10 13:45:00,2021-02-12 08:15:00,42.69,606.28
72,2021-02-12 08:45:00,2021-02-12 09:45:00,1.19,5.84
73,2021-02-12 10:15:00,2021-02-12 10:15:00,0.12,1.04
74,2021-02-12 10:45:00,2021-02-12 13:30:00,2.89,16.0
75,2021-02-12 14:00:00,2021-02-12 14:30:00,0.64,4.61
76,2021-02-12 15:00:00,2021-02-15 20:15:00,77.38,1253.1
77,2021-02-15 20:45:00,2021-02-15 21:15:00,0.65,4.16
78,2021-02-15 21:45:00,2021-02-15 21:45:00,0.12,1.02
79,2021-02-15 22:15:00,2021-02-15 23:30:00,1.49,5.36
80,2021-02-16 00:00:00,2021-02-16 04:15:00,4.5,14.39
81,2021-02-16 04:45:00,2021-02-16 07:15:00,2.75,10.46
82,2021-02-16 07:45:00,2021-02-16 07:45:00,0.12,1.34
83,2021-02-16 08:15:00,2021-02-16 11:00:00,2.86,6.16
84,2021-02-16 11:30:00,2021-02-17 18:00:00,30.72,312.77
85,2021-02-17 18:30:00,2021-02-17 20:30:00,2.19,13.64
86,2021-02-17 21:00:00,2021-02-17 22:00:00,1.23,6.13
87,2021-02-17 22:30:00,2021-02-18 00:15:00,1.87,10.62
88,2021-02-18 00:45:00,2021-02-18 01:00:00,0.49,1.54
89,2021-02-18 01:30:00,2021-02-18 03:45:00,2.41,14.48
90,2021-02-18 04:15:00,2021-02-18 04:30:00,0.41,3.63
91,2021-02-18 05:00:00,2021-02-18 08:30:00,3.65,17.5
