cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 01:15:00,2021-01-23 12:00:00,10.88,34.54
1,2021-01-23 13:45:00,2021-01-23 15:45:00,2.24,7.28
2,2021-01-23 23:45:00,2021-01-24 11:00:00,11.32,36.12
3,2021-01-24 13:00:00,2021-01-24 15:30:00,2.47,8.16
4,2021-01-24 21:15:00,2021-01-24 22:00:00,0.9,2.86
5,2021-01-24 23:30:00,2021-01-25 10:15:00,10.82,34.69
6,2021-01-25 12:15:00,2021-01-25 15:30:00,3.25,10.4
7,2021-01-25 23:30:00,2021-01-26 13:00:00,13.39,42.12
8,2021-01-26 14:45:00,2021-01-26 16:00:00,1.37,4.39
9,2021-01-26 21:30:00,2021-01-26 22:45:00,1.13,3.56
10,2021-01-26 23:30:00,2021-01-27 15:30:00,16.02,50.28
11,2021-01-27 23:30:00,2021-01-28 11:00:00,11.46,37.42
12,2021-01-28 13:00:00,2021-01-28 15:30:00,2.45,8.22
13,2021-01-29 02:00:00,2021-01-29 09:30:00,7.42,23.87
14,2021-01-29 11:15:00,2021-01-29 13:45:00,2.4,8.06
15,2021-01-29 16:30:00,2021-01-29 17:45:00,1.26,4.29
16,2021-01-30 02:00:00,2021-01-30 09:45:00,7.78,24.86
17,2021-01-30 11:45:00,2021-01-30 15:30:00,3.83,12.93
18,2021-01-31 02:15:00,2021-01-31 10:15:00,7.98,25.71
19,2021-01-31 12:45:00,2021-01-31 15:30:00,2.76,9.4
20,2021-02-01 01:45:00,2021-02-01 09:45:00,8.02,25.97
21,2021-02-01 12:30:00,2021-02-01 15:15:00,2.95,10.01
22,2021-02-02 03:00:00,2021-02-02 09:15:00,6.47,20.62
23,2021-02-02 12:15:00,2021-02-02 15:00:00,2.77,9.19
24,2021-02-03 03:00:00,2021-02-03 09:00:00,6.09,19.24
25,2021-02-03 12:30:00,2021-02-03 15:30:00,3.0,9.81
26,2021-02-04 01:45:00,2021-02-04 09:30:00,7.88,24.85
27,2021-02-04 13:15:00,2021-02-04 15:30:00,2.29,7.33
28,2021-02-04 23:30:00,2021-02-05 07:45:00,8.23,26.6
29,2021-02-05 12:45:00,2021-02-05 14:30:00,1.8,5.65
30,2021-02-05 18:15:00,2021-02-05 19:30:00,1.46,5.01
31,2021-02-06 02:00:00,2021-02-06 09:00:00,7.21,23.24
32,2021-02-06 11:15:00,2021-02-06 13:30:00,2.45,8.24
33,2021-02-06 16:30:00,2021-02-06 17:45:00,1.3,4.41
34,2021-02-07 01:30:00,2021-02-07 09:30:00,8.24,26.42
35,2021-02-07 12:00:00,2021-02-07 15:30:00,3.4,11.39
36,2021-02-07 23:30:00,2021-02-08 02:00:00,2.43,7.66
37,2021-02-08 03:15:00,2021-02-08 09:15:00,6.07,19.54
38,2021-02-08 11:30:00,2021-02-08 15:15:00,3.82,12.7
39,2021-02-08 19:15:00,2021-02-08 20:30:00,1.43,2.79
40,2021-02-09 01:45:00,2021-02-09 11:00:00,9.11,28.59
41,2021-02-09 13:00:00,2021-02-09 15:30:00,2.57,8.17
42,2021-02-09 19:15:00,2021-02-09 20:00:00,0.75,2.52
43,2021-02-09 23:30:00,2021-02-10 07:15:00,7.85,25.0
44,2021-02-10 08:30:00,2021-02-10 12:15:00,3.88,12.9
45,2021-02-10 13:00:00,2021-02-10 14:00:00,1.18,4.03
46,2021-02-10 16:00:00,2021-02-10 17:00:00,0.83,2.66
47,2021-02-10 21:00:00,2021-02-10 23:30:00,2.55,7.45
48,2021-02-11 00:30:00,2021-02-11 10:15:00,9.79,28.82
49,2021-02-11 12:15:00,2021-02-11 16:15:00,4.06,11.88
50,2021-02-11 17:45:00,2021-02-11 22:00:00,4.32,14.2
51,2021-02-11 23:45:00,2021-02-12 16:00:00,16.26,47.08
52,2021-02-12 16:45:00,2021-02-12 17:15:00,0.5,1.56
53,2021-02-12 19:45:00,2021-02-12 22:00:00,2.21,6.53
54,2021-02-13 00:15:00,2021-02-13 15:15:00,15.19,44.04
55,2021-02-13 18:00:00,2021-02-14 07:15:00,13.26,38.66
56,2021-02-14 08:15:00,2021-02-14 16:15:00,7.94,23.42
57,2021-02-14 18:00:00,2021-02-14 19:00:00,1.01,3.06
58,2021-02-14 19:30:00,2021-02-14 20:00:00,0.62,1.86
59,2021-02-14 22:15:00,2021-02-15 14:45:00,16.55,56.42
60,2021-02-15 19:30:00,2021-02-15 20:45:00,1.25,4.16
61,2021-02-16 00:15:00,2021-02-16 00:30:00,0.48,0.45
62,2021-02-16 02:30:00,2021-02-16 11:00:00,8.53,26.97
63,2021-02-16 13:45:00,2021-02-16 16:15:00,2.55,8.34
64,2021-02-16 19:15:00,2021-02-16 20:00:00,0.95,3.25
65,2021-02-17 03:00:00,2021-02-17 07:30:00,4.74,14.68
66,2021-02-17 09:15:00,2021-02-17 11:15:00,1.95,6.22
67,2021-02-17 14:15:00,2021-02-17 16:45:00,2.5,8.06
68,2021-02-17 19:00:00,2021-02-17 19:30:00,0.66,2.31
69,2021-02-18 00:15:00,2021-02-18 10:15:00,9.93,31.66
70,2021-02-18 14:00:00,2021-02-18 16:45:00,2.84,9.41
71,2021-02-19 00:15:00,2021-02-19 01:15:00,1.03,3.32
72,2021-02-19 03:00:00,2021-02-19 09:15:00,6.37,20.81
73,2021-02-19 14:00:00,2021-02-19 16:15:00,2.2,7.04
74,2021-02-19 19:30:00,2021-02-19 20:15:00,1.0,3.44
75,2021-02-20 00:15:00,2021-02-20 06:15:00,6.01,19.46
76,2021-02-20 08:15:00,2021-02-20 09:30:00,1.28,4.16
77,2021-02-20 13:45:00,2021-02-20 15:30:00,1.85,5.82
78,2021-02-20 17:30:00,2021-02-20 18:45:00,1.31,4.51
79,2021-02-21 00:15:00,2021-02-21 05:30:00,5.21,16.76
80,2021-02-21 07:30:00,2021-02-21 08:15:00,0.77,2.45
81,2021-02-21 11:00:00,2021-02-21 12:30:00,1.61,5.0
82,2021-02-21 16:00:00,2021-02-21 18:00:00,2.05,6.78
83,2021-02-22 00:15:00,2021-02-22 06:15:00,6.03,19.35
84,2021-02-22 08:15:00,2021-02-22 09:15:00,1.2,3.92
85,2021-02-22 15:45:00,2021-02-22 18:15:00,2.55,8.32
86,2021-02-23 00:15:00,2021-02-23 05:45:00,5.49,17.98
87,2021-02-23 07:30:00,2021-02-23 08:30:00,0.88,2.85
88,2021-02-23 15:00:00,2021-02-23 17:15:00,2.3,7.22
89,2021-02-24 00:15:00,2021-02-24 06:15:00,6.09,19.96
90,2021-02-24 15:30:00,2021-02-24 17:45:00,2.31,7.32
91,2021-02-25 00:15:00,2021-02-25 05:15:00,5.18,16.86
92,2021-02-25 07:00:00,2021-02-25 07:45:00,0.82,2.58
93,2021-02-25 11:45:00,2021-02-25 12:30:00,0.96,2.86
94,2021-02-25 16:45:00,2021-02-25 18:45:00,2.19,7.02
95,2021-02-26 02:15:00,2021-02-26 07:30:00,5.32,16.61
96,2021-02-26 15:45:00,2021-02-26 17:15:00,1.67,5.1
97,2021-02-27 03:00:00,2021-02-27 09:30:00,6.57,20.8
98,2021-02-27 13:15:00,2021-02-27 16:00:00,2.69,8.77
99,2021-02-28 00:15:00,2021-02-28 02:00:00,1.87,5.89
