cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-08 23:15:00,2021-10-08 23:30:00,0.35,0.53
1,2021-10-09 00:00:00,2021-10-09 00:00:00,0.12,0.5
2,2021-10-09 00:30:00,2021-10-09 00:30:00,0.12,0.51
3,2021-10-09 01:00:00,2021-10-09 01:00:00,0.12,0.51
4,2021-10-09 01:30:00,2021-10-09 01:30:00,0.12,0.51
5,2021-10-09 02:00:00,2021-10-09 02:00:00,0.12,0.51
6,2021-10-09 02:30:00,2021-10-09 02:30:00,0.12,0.51
7,2021-10-09 03:00:00,2021-10-09 03:00:00,0.12,0.5
8,2021-10-09 03:30:00,2021-10-09 03:30:00,0.12,0.5
9,2021-10-09 04:00:00,2021-10-09 04:00:00,0.12,0.5
10,2021-10-09 04:30:00,2021-10-09 04:30:00,0.12,0.52
11,2021-10-09 05:00:00,2021-10-09 05:00:00,0.12,0.51
12,2021-10-09 05:30:00,2021-10-09 07:00:00,1.73,2.26
13,2021-10-09 07:30:00,2021-10-09 07:30:00,0.12,0.5
14,2021-10-09 08:00:00,2021-10-09 08:00:00,0.12,0.5
15,2021-10-09 08:30:00,2021-10-09 08:30:00,0.12,0.45
16,2021-10-09 09:30:00,2021-10-09 10:00:00,0.67,0.93
17,2021-10-09 10:30:00,2021-10-09 10:45:00,0.32,0.5
18,2021-10-09 11:30:00,2021-10-09 11:30:00,0.12,0.47
19,2021-10-09 12:30:00,2021-10-09 13:00:00,0.75,0.94
20,2021-10-09 13:45:00,2021-10-09 14:00:00,0.31,0.58
21,2021-10-09 14:45:00,2021-10-09 14:45:00,0.12,0.41
22,2021-10-09 15:15:00,2021-10-09 15:15:00,0.12,0.5
23,2021-10-09 15:45:00,2021-10-09 15:45:00,0.12,0.5
24,2021-10-09 16:15:00,2021-10-09 17:45:00,1.75,2.77
25,2021-10-09 18:15:00,2021-10-09 20:00:00,2.0,2.72
26,2021-10-09 20:30:00,2021-10-09 21:15:00,1.0,1.71
27,2021-10-09 21:45:00,2021-10-10 00:00:00,2.5,4.13
28,2021-10-10 00:30:00,2021-10-10 00:30:00,0.12,0.57
29,2021-10-10 01:00:00,2021-10-10 02:00:00,1.25,1.68
30,2021-10-10 02:30:00,2021-10-10 02:30:00,0.12,0.53
31,2021-10-10 03:00:00,2021-10-10 03:00:00,0.12,0.53
32,2021-10-10 03:30:00,2021-10-10 04:00:00,0.75,1.06
33,2021-10-10 04:30:00,2021-10-10 04:30:00,0.12,0.51
34,2021-10-10 05:00:00,2021-10-10 05:00:00,0.12,0.52
35,2021-10-10 05:30:00,2021-10-10 06:45:00,1.5,2.26
36,2021-10-10 07:15:00,2021-10-10 15:00:00,8.0,9.79
37,2021-10-10 15:30:00,2021-10-10 16:45:00,1.5,2.24
38,2021-10-10 17:15:00,2021-10-10 18:00:00,1.0,1.78
39,2021-10-10 18:30:00,2021-10-10 18:45:00,0.49,1.07
40,2021-10-10 19:15:00,2021-10-10 23:00:00,4.0,6.73
41,2021-10-10 23:30:00,2021-10-11 01:30:00,2.25,3.47
42,2021-10-11 02:00:00,2021-10-11 02:00:00,0.12,0.54
43,2021-10-11 02:30:00,2021-10-11 02:30:00,0.12,0.52
44,2021-10-11 03:00:00,2021-10-11 03:45:00,1.0,1.57
45,2021-10-11 04:15:00,2021-10-11 04:15:00,0.12,0.46
46,2021-10-11 04:45:00,2021-10-11 04:45:00,0.12,0.52
47,2021-10-11 05:15:00,2021-10-11 09:45:00,4.75,6.19
48,2021-10-11 10:15:00,2021-10-11 10:45:00,0.75,1.01
49,2021-10-11 11:15:00,2021-10-11 11:15:00,0.12,0.44
50,2021-10-11 11:45:00,2021-10-11 11:45:00,0.12,0.44
51,2021-10-11 12:45:00,2021-10-11 13:00:00,0.49,0.9
52,2021-10-11 13:45:00,2021-10-11 13:45:00,0.12,0.49
53,2021-10-11 14:15:00,2021-10-11 14:30:00,0.36,0.52
54,2021-10-11 15:00:00,2021-10-11 15:00:00,0.12,0.48
55,2021-10-11 15:30:00,2021-10-11 16:00:00,0.74,1.01
56,2021-10-11 16:30:00,2021-10-11 16:30:00,0.12,0.51
57,2021-10-11 17:00:00,2021-10-11 18:30:00,1.75,2.76
58,2021-10-11 19:00:00,2021-10-11 19:00:00,0.12,0.53
59,2021-10-11 19:30:00,2021-10-11 20:15:00,1.0,1.53
60,2021-10-11 20:45:00,2021-10-11 21:30:00,1.0,1.67
61,2021-10-11 22:00:00,2021-10-11 23:15:00,1.5,2.2
62,2021-10-11 23:45:00,2021-10-12 01:30:00,2.0,2.6
63,2021-10-12 02:00:00,2021-10-12 02:00:00,0.12,0.52
64,2021-10-12 02:30:00,2021-10-12 02:30:00,0.12,0.51
65,2021-10-12 03:00:00,2021-10-12 04:15:00,1.5,2.12
66,2021-10-12 04:45:00,2021-10-12 04:45:00,0.12,0.51
67,2021-10-12 05:15:00,2021-10-12 05:15:00,0.12,0.51
68,2021-10-12 05:45:00,2021-10-12 05:45:00,0.12,0.84
69,2021-10-12 06:15:00,2021-10-12 06:15:00,0.12,0.5
70,2021-10-12 06:45:00,2021-10-12 07:00:00,0.35,0.52
71,2021-10-12 07:30:00,2021-10-12 07:30:00,0.12,0.49
72,2021-10-12 08:00:00,2021-10-12 08:00:00,0.12,0.49
73,2021-10-12 08:30:00,2021-10-12 08:30:00,0.12,0.47
74,2021-10-12 09:00:00,2021-10-12 09:00:00,0.12,0.49
75,2021-10-12 09:30:00,2021-10-12 10:00:00,0.69,1.1
76,2021-10-12 10:30:00,2021-10-12 11:00:00,0.54,2.11
77,2021-10-12 11:30:00,2021-10-12 17:15:00,6.0,8.27
78,2021-10-12 17:45:00,2021-10-12 18:30:00,1.0,1.46
79,2021-10-12 19:00:00,2021-10-12 19:00:00,0.12,0.47
80,2021-10-12 19:30:00,2021-10-12 19:30:00,0.12,0.47
81,2021-10-12 20:00:00,2021-10-12 20:45:00,1.0,1.41
82,2021-10-12 21:15:00,2021-10-12 21:15:00,0.12,0.46
83,2021-10-12 21:45:00,2021-10-12 22:30:00,1.0,1.4
84,2021-10-12 23:00:00,2021-10-12 23:00:00,0.12,0.46
85,2021-10-12 23:30:00,2021-10-13 00:15:00,1.0,1.42
86,2021-10-13 00:45:00,2021-10-13 01:30:00,1.0,1.46
87,2021-10-13 02:00:00,2021-10-13 02:15:00,0.5,0.89
88,2021-10-13 02:45:00,2021-10-13 03:30:00,1.0,1.5
89,2021-10-13 04:00:00,2021-10-13 04:00:00,0.12,0.47
90,2021-10-13 04:30:00,2021-10-13 09:45:00,5.46,8.11
91,2021-10-13 10:15:00,2021-10-13 10:30:00,0.5,0.79
92,2021-10-13 11:15:00,2021-10-13 13:00:00,2.0,2.4
93,2021-10-13 13:45:00,2021-10-13 14:00:00,0.47,0.93
94,2021-10-13 14:30:00,2021-10-13 14:30:00,0.12,0.49
95,2021-10-13 15:00:00,2021-10-13 15:45:00,1.0,1.51
96,2021-10-13 16:15:00,2021-10-13 17:15:00,1.23,2.05
97,2021-10-13 17:45:00,2021-10-13 17:45:00,0.12,0.6
98,2021-10-13 18:15:00,2021-10-13 18:30:00,0.49,0.95
99,2021-10-13 19:00:00,2021-10-14 05:00:00,10.24,17.64
100,2021-10-14 05:30:00,2021-10-14 12:00:00,6.7,11.27
101,2021-10-14 12:45:00,2021-10-14 13:15:00,0.75,1.4
102,2021-10-14 14:15:00,2021-10-14 14:15:00,0.12,0.46
103,2021-10-14 15:00:00,2021-10-14 15:00:00,0.12,0.49
104,2021-10-14 15:30:00,2021-10-14 15:30:00,0.12,0.52
105,2021-10-14 16:00:00,2021-10-14 16:00:00,0.12,0.5
106,2021-10-14 16:30:00,2021-10-14 21:00:00,4.75,7.77
107,2021-10-14 21:30:00,2021-10-15 03:00:00,5.7,10.33
108,2021-10-15 03:30:00,2021-10-15 03:45:00,0.46,1.13
109,2021-10-15 04:15:00,2021-10-15 06:00:00,1.81,3.52
110,2021-10-15 06:45:00,2021-10-15 06:45:00,0.12,0.47
111,2021-10-15 07:15:00,2021-10-15 07:45:00,0.75,1.08
