cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:30:00,0.57,1.87
1,2021-01-01 01:00:00,2021-01-01 01:45:00,0.9,2.75
2,2021-01-01 03:00:00,2021-01-01 03:15:00,0.42,1.11
3,2021-01-01 04:15:00,2021-01-01 04:30:00,0.41,1.17
4,2021-01-01 05:15:00,2021-01-01 05:45:00,0.4,1.3
5,2021-01-01 06:30:00,2021-01-01 06:45:00,0.35,1.16
6,2021-01-01 07:45:00,2021-01-01 08:00:00,0.45,1.22
7,2021-01-01 08:45:00,2021-01-01 09:15:00,0.38,1.27
8,2021-01-01 11:00:00,2021-01-01 12:00:00,1.14,3.72
9,2021-01-01 13:00:00,2021-01-01 13:15:00,0.42,1.21
10,2021-01-01 14:00:00,2021-01-01 14:30:00,0.38,1.28
11,2021-01-01 15:15:00,2021-01-01 15:30:00,0.44,1.24
12,2021-01-01 17:15:00,2021-01-01 18:15:00,1.01,3.51
13,2021-01-01 19:00:00,2021-01-01 19:15:00,0.36,1.22
14,2021-01-01 20:15:00,2021-01-01 20:30:00,0.43,1.26
15,2021-01-01 21:15:00,2021-01-01 21:45:00,0.39,1.3
16,2021-01-01 22:30:00,2021-01-01 23:00:00,0.64,2.03
17,2021-01-01 23:45:00,2021-01-02 00:15:00,0.39,1.33
18,2021-01-02 01:00:00,2021-01-02 01:15:00,0.43,1.28
19,2021-01-02 02:00:00,2021-01-02 02:30:00,0.4,1.32
20,2021-01-02 03:15:00,2021-01-02 03:30:00,0.39,1.28
21,2021-01-02 04:15:00,2021-01-02 04:45:00,0.63,2.05
22,2021-01-02 05:45:00,2021-01-02 06:00:00,0.36,1.24
23,2021-01-02 06:45:00,2021-01-02 07:00:00,0.42,1.29
24,2021-01-02 07:45:00,2021-01-02 08:15:00,0.4,1.33
25,2021-01-02 09:00:00,2021-01-02 09:30:00,0.68,1.96
26,2021-01-02 10:15:00,2021-01-02 10:30:00,0.37,1.25
27,2021-01-02 11:30:00,2021-01-02 11:45:00,0.37,1.25
28,2021-01-02 12:30:00,2021-01-02 12:45:00,0.43,1.29
29,2021-01-02 13:30:00,2021-01-02 14:00:00,0.4,1.34
30,2021-01-02 14:45:00,2021-01-02 15:15:00,0.58,1.95
31,2021-01-02 16:00:00,2021-01-02 16:15:00,0.4,1.31
32,2021-01-02 17:00:00,2021-01-02 17:30:00,0.41,1.37
33,2021-01-02 18:15:00,2021-01-02 18:30:00,0.47,1.34
34,2021-01-02 19:15:00,2021-01-02 19:45:00,0.42,1.36
35,2021-01-02 20:15:00,2021-01-02 21:00:00,0.78,2.48
36,2021-01-02 21:30:00,2021-01-02 22:00:00,0.7,2.28
37,2021-01-02 22:30:00,2021-01-03 00:45:00,2.16,5.56
38,2021-01-03 01:15:00,2021-01-03 01:45:00,0.59,1.95
39,2021-01-03 02:15:00,2021-01-03 02:45:00,0.59,1.95
40,2021-01-03 03:15:00,2021-01-03 04:15:00,1.06,3.29
41,2021-01-03 04:45:00,2021-01-03 05:15:00,0.55,1.82
42,2021-01-03 05:45:00,2021-01-03 06:30:00,0.57,1.9
43,2021-01-03 07:00:00,2021-01-03 08:00:00,1.02,3.18
44,2021-01-03 08:30:00,2021-01-03 09:00:00,0.55,1.8
45,2021-01-03 09:30:00,2021-01-03 10:00:00,0.53,1.75
46,2021-01-03 10:45:00,2021-01-03 11:00:00,0.46,1.04
47,2021-01-03 12:15:00,2021-01-03 12:30:00,0.36,1.13
48,2021-01-03 13:30:00,2021-01-03 14:00:00,0.58,1.93
49,2021-01-03 15:00:00,2021-01-03 15:15:00,0.36,1.23
50,2021-01-03 16:00:00,2021-01-03 16:30:00,0.71,2.31
51,2021-01-03 17:00:00,2021-01-03 17:45:00,0.64,2.11
52,2021-01-03 18:15:00,2021-01-03 19:00:00,0.9,2.99
53,2021-01-03 19:30:00,2021-01-03 20:00:00,0.57,1.88
54,2021-01-03 20:30:00,2021-01-03 21:00:00,0.54,1.79
55,2021-01-03 21:45:00,2021-01-03 22:30:00,1.0,3.08
56,2021-01-03 23:15:00,2021-01-03 23:45:00,0.54,1.79
57,2021-01-04 00:15:00,2021-01-04 00:45:00,0.54,1.79
58,2021-01-04 01:15:00,2021-01-04 01:45:00,0.56,1.85
59,2021-01-04 02:15:00,2021-01-04 03:15:00,1.04,3.24
60,2021-01-04 03:45:00,2021-01-04 04:15:00,0.55,1.8
61,2021-01-04 05:00:00,2021-01-04 05:30:00,0.55,1.82
62,2021-01-04 06:00:00,2021-01-04 07:00:00,1.03,3.06
63,2021-01-04 07:30:00,2021-01-04 08:00:00,0.54,1.78
64,2021-01-04 08:30:00,2021-01-04 09:00:00,0.54,1.77
65,2021-01-04 09:45:00,2021-01-04 09:45:00,0.12,0.4
66,2021-01-04 11:00:00,2021-01-04 11:45:00,0.79,2.36
67,2021-01-04 12:45:00,2021-01-04 13:00:00,0.41,1.16
68,2021-01-04 14:00:00,2021-01-04 14:15:00,0.38,1.2
69,2021-01-04 15:00:00,2021-01-04 15:30:00,0.47,1.54
70,2021-01-04 17:15:00,2021-01-04 20:30:00,3.31,10.68
71,2021-01-04 21:00:00,2021-01-04 21:30:00,0.5,1.65
72,2021-01-04 22:00:00,2021-01-04 22:30:00,0.52,1.73
73,2021-01-04 23:00:00,2021-01-04 23:30:00,0.54,1.76
74,2021-01-05 00:15:00,2021-01-05 01:00:00,0.82,2.77
75,2021-01-05 01:30:00,2021-01-05 02:00:00,0.56,1.82
76,2021-01-05 02:30:00,2021-01-05 03:00:00,0.55,1.81
77,2021-01-05 03:45:00,2021-01-05 04:30:00,0.91,2.77
78,2021-01-05 05:00:00,2021-01-05 05:30:00,0.56,1.83
79,2021-01-05 06:00:00,2021-01-05 06:30:00,0.54,1.76
80,2021-01-05 07:15:00,2021-01-05 07:45:00,0.56,1.84
81,2021-01-05 08:15:00,2021-01-05 09:00:00,0.92,2.83
82,2021-01-05 09:45:00,2021-01-05 09:45:00,0.12,0.69
83,2021-01-05 11:00:00,2021-01-05 12:15:00,1.3,4.3
84,2021-01-05 13:00:00,2021-01-05 14:00:00,0.94,3.0
85,2021-01-05 14:30:00,2021-01-05 15:00:00,0.55,1.8
