cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,0.6
1,2021-01-01 00:45:00,2021-01-01 01:15:00,0.57,1.21
2,2021-01-01 02:00:00,2021-01-01 07:45:00,6.0,13.34
3,2021-01-01 08:15:00,2021-01-01 08:30:00,0.43,1.36
4,2021-01-01 09:00:00,2021-01-01 09:15:00,0.49,1.47
5,2021-01-01 09:45:00,2021-01-01 09:45:00,0.12,0.25
6,2021-01-01 11:00:00,2021-01-01 12:45:00,1.95,4.72
7,2021-01-01 13:15:00,2021-01-01 14:45:00,1.65,3.99
8,2021-01-01 15:15:00,2021-01-01 15:45:00,0.58,1.64
9,2021-01-01 17:15:00,2021-01-01 19:00:00,1.88,4.27
10,2021-01-01 20:15:00,2021-01-01 20:30:00,0.39,0.79
11,2021-01-01 21:30:00,2021-01-01 21:45:00,0.42,1.16
12,2021-01-01 22:15:00,2021-01-01 22:45:00,0.41,1.17
13,2021-01-01 23:15:00,2021-01-01 23:30:00,0.45,1.15
14,2021-01-02 00:15:00,2021-01-02 00:30:00,0.37,1.05
15,2021-01-02 01:15:00,2021-01-02 01:45:00,0.42,1.19
16,2021-01-02 02:15:00,2021-01-02 06:45:00,4.75,10.72
17,2021-01-02 07:15:00,2021-01-02 19:00:00,11.85,27.44
18,2021-01-02 20:00:00,2021-01-02 20:15:00,0.32,0.73
19,2021-01-02 20:45:00,2021-01-02 21:00:00,0.47,1.0
20,2021-01-02 21:30:00,2021-01-02 21:45:00,0.38,1.09
21,2021-01-02 22:15:00,2021-01-02 22:30:00,0.48,1.13
22,2021-01-02 23:00:00,2021-01-02 23:30:00,0.35,1.02
23,2021-01-03 00:00:00,2021-01-03 00:15:00,0.42,1.13
24,2021-01-03 00:45:00,2021-01-03 01:00:00,0.43,1.14
25,2021-01-03 01:30:00,2021-01-03 07:00:00,5.63,14.03
26,2021-01-03 07:30:00,2021-01-03 14:00:00,6.75,15.68
27,2021-01-03 14:30:00,2021-01-03 16:00:00,1.75,3.89
28,2021-01-03 16:30:00,2021-01-03 18:45:00,2.5,5.38
29,2021-01-03 20:15:00,2021-01-03 20:30:00,0.31,0.92
30,2021-01-03 21:15:00,2021-01-03 22:00:00,0.85,1.32
31,2021-01-03 22:30:00,2021-01-03 22:45:00,0.36,1.07
32,2021-01-03 23:15:00,2021-01-03 23:30:00,0.49,1.13
33,2021-01-04 00:00:00,2021-01-04 00:15:00,0.36,1.07
34,2021-01-04 00:45:00,2021-01-04 01:00:00,0.43,1.13
35,2021-01-04 01:30:00,2021-01-04 09:45:00,8.5,21.08
36,2021-01-04 11:00:00,2021-01-04 15:45:00,4.93,12.97
37,2021-01-04 17:15:00,2021-01-04 19:00:00,1.92,4.83
38,2021-01-04 19:30:00,2021-01-05 00:45:00,5.35,10.63
39,2021-01-05 01:15:00,2021-01-05 01:30:00,0.47,1.2
40,2021-01-05 02:00:00,2021-01-05 09:45:00,8.0,21.24
41,2021-01-05 11:00:00,2021-01-05 15:45:00,4.77,12.88
42,2021-01-05 17:15:00,2021-01-05 19:00:00,1.79,4.59
