cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-08 01:15:00,2022-06-08 01:30:00,0.32,0.94
1,2022-06-08 02:15:00,2022-06-08 02:15:00,0.12,0.37
2,2022-06-08 03:00:00,2022-06-08 03:00:00,0.12,0.86
3,2022-06-08 04:45:00,2022-06-08 05:00:00,0.45,0.93
4,2022-06-08 06:30:00,2022-06-08 06:30:00,0.12,0.89
5,2022-06-08 08:45:00,2022-06-08 09:00:00,0.49,0.9
6,2022-06-08 12:30:00,2022-06-08 12:45:00,0.44,0.88
7,2022-06-08 15:15:00,2022-06-08 15:30:00,0.34,0.96
8,2022-06-08 16:45:00,2022-06-08 17:00:00,0.47,0.91
9,2022-06-08 20:00:00,2022-06-08 20:15:00,0.34,0.9
10,2022-06-08 21:45:00,2022-06-08 21:45:00,0.12,0.84
11,2022-06-08 23:30:00,2022-06-08 23:45:00,0.34,0.92
12,2022-06-09 01:30:00,2022-06-09 01:30:00,0.12,0.89
13,2022-06-09 02:15:00,2022-06-09 02:15:00,0.12,0.94
14,2022-06-09 03:15:00,2022-06-09 03:30:00,0.46,0.94
15,2022-06-09 05:00:00,2022-06-09 05:15:00,0.43,0.93
16,2022-06-09 06:30:00,2022-06-09 07:00:00,0.5,1.5
17,2022-06-09 08:45:00,2022-06-09 09:00:00,0.37,0.9
18,2022-06-09 11:00:00,2022-06-09 11:15:00,0.38,0.91
19,2022-06-09 13:30:00,2022-06-09 13:30:00,0.12,0.86
20,2022-06-09 15:45:00,2022-06-09 16:00:00,0.28,0.9
21,2022-06-09 18:15:00,2022-06-09 18:30:00,0.32,0.9
22,2022-06-09 19:30:00,2022-06-09 19:45:00,0.49,0.93
23,2022-06-09 21:15:00,2022-06-09 21:30:00,0.37,0.95
24,2022-06-09 22:30:00,2022-06-09 22:45:00,0.37,0.95
25,2022-06-10 00:00:00,2022-06-10 00:45:00,1.0,2.22
26,2022-06-10 01:45:00,2022-06-10 02:15:00,0.59,1.27
27,2022-06-10 03:00:00,2022-06-10 03:15:00,0.3,0.96
28,2022-06-10 04:30:00,2022-06-10 04:45:00,0.3,0.98
29,2022-06-10 05:45:00,2022-06-10 06:00:00,0.49,0.98
30,2022-06-10 07:15:00,2022-06-10 07:30:00,0.42,0.96
31,2022-06-10 09:15:00,2022-06-10 09:15:00,0.12,0.92
32,2022-06-10 11:30:00,2022-06-10 11:45:00,0.49,0.91
33,2022-06-10 14:30:00,2022-06-10 14:45:00,0.45,0.89
34,2022-06-10 20:45:00,2022-06-10 21:00:00,0.4,0.89
35,2022-06-10 22:15:00,2022-06-10 22:30:00,0.38,0.91
36,2022-06-11 00:15:00,2022-06-11 01:00:00,1.0,2.06
37,2022-06-11 02:15:00,2022-06-11 02:45:00,0.58,1.29
38,2022-06-11 04:00:00,2022-06-11 04:15:00,0.46,0.94
39,2022-06-11 05:30:00,2022-06-11 05:45:00,0.32,0.97
40,2022-06-11 07:30:00,2022-06-11 07:45:00,0.29,0.91
41,2022-06-11 11:00:00,2022-06-11 11:15:00,0.33,0.87
42,2022-06-11 19:00:00,2022-06-11 19:15:00,0.31,1.11
43,2022-06-11 21:30:00,2022-06-11 21:45:00,0.5,0.83
44,2022-06-12 00:00:00,2022-06-12 00:15:00,0.35,0.8
45,2022-06-12 02:15:00,2022-06-12 02:30:00,0.33,1.3
46,2022-06-12 04:30:00,2022-06-12 04:30:00,0.12,0.86
47,2022-06-12 06:45:00,2022-06-12 06:45:00,0.12,0.86
48,2022-06-12 16:45:00,2022-06-12 17:00:00,0.29,0.89
49,2022-06-12 22:30:00,2022-06-12 22:45:00,0.45,0.87
50,2022-06-13 01:30:00,2022-06-13 01:30:00,0.12,0.82
51,2022-06-13 02:15:00,2022-06-13 02:15:00,0.12,0.63
52,2022-06-13 05:00:00,2022-06-13 05:00:00,0.12,0.8
53,2022-06-13 06:15:00,2022-06-13 06:15:00,0.12,0.49
54,2022-06-13 08:30:00,2022-06-13 08:30:00,0.12,0.81
55,2022-06-13 14:15:00,2022-06-13 14:30:00,0.3,0.77
56,2022-06-13 18:45:00,2022-06-13 18:45:00,0.12,0.89
57,2022-06-13 22:00:00,2022-06-13 22:15:00,0.3,0.87
58,2022-06-14 00:45:00,2022-06-14 01:00:00,0.33,0.89
59,2022-06-14 02:15:00,2022-06-14 02:15:00,0.12,0.46
60,2022-06-14 03:15:00,2022-06-14 03:30:00,0.34,0.9
61,2022-06-14 05:30:00,2022-06-14 05:45:00,0.32,0.91
62,2022-06-14 08:45:00,2022-06-14 09:00:00,0.4,0.88
63,2022-06-14 18:45:00,2022-06-14 19:00:00,0.42,0.94
64,2022-06-14 21:15:00,2022-06-14 21:30:00,0.37,0.83
65,2022-06-15 00:00:00,2022-06-15 00:15:00,0.3,0.87
66,2022-06-15 02:15:00,2022-06-15 02:15:00,0.12,0.4
67,2022-06-15 03:00:00,2022-06-15 03:15:00,0.29,0.9
68,2022-06-15 05:45:00,2022-06-15 06:00:00,0.43,0.91
69,2022-06-15 23:30:00,2022-06-15 23:30:00,0.12,0.88
70,2022-06-16 01:00:00,2022-06-16 01:00:00,0.12,0.67
71,2022-06-16 02:15:00,2022-06-16 02:15:00,0.12,0.29
72,2022-06-16 04:45:00,2022-06-16 05:00:00,0.3,0.82
73,2022-06-17 01:00:00,2022-06-17 01:00:00,0.12,0.71
74,2022-06-17 02:15:00,2022-06-17 02:15:00,0.12,0.81
75,2022-06-17 05:00:00,2022-06-17 05:00:00,0.12,0.79
76,2022-06-17 06:15:00,2022-06-17 06:30:00,0.34,0.53
77,2022-06-17 18:00:00,2022-06-17 18:15:00,0.29,1.01
78,2022-06-18 01:30:00,2022-06-18 01:30:00,0.12,0.75
79,2022-06-18 02:15:00,2022-06-18 02:15:00,0.12,0.53
