cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-12 05:00:00,2021-10-12 05:15:00,0.47,1.52
1,2021-10-12 06:30:00,2021-10-12 06:45:00,0.38,1.07
2,2021-10-12 08:15:00,2021-10-12 08:30:00,0.29,1.01
3,2021-10-12 10:15:00,2021-10-12 10:30:00,0.31,0.88
4,2021-10-12 12:45:00,2021-10-12 12:45:00,0.12,0.76
5,2021-10-12 14:45:00,2021-10-12 15:00:00,0.36,0.87
6,2021-10-12 16:45:00,2021-10-12 17:00:00,0.34,0.87
7,2021-10-12 18:30:00,2021-10-12 18:45:00,0.47,0.94
8,2021-10-13 05:00:00,2021-10-13 05:15:00,0.48,1.71
9,2021-10-13 06:30:00,2021-10-13 06:45:00,0.41,1.34
10,2021-10-13 08:15:00,2021-10-13 08:30:00,0.43,1.0
11,2021-10-13 10:15:00,2021-10-13 10:15:00,0.12,0.75
12,2021-10-13 12:15:00,2021-10-13 12:30:00,0.3,0.86
13,2021-10-13 15:15:00,2021-10-13 15:30:00,0.41,0.92
14,2021-10-13 17:15:00,2021-10-13 17:30:00,0.44,1.06
15,2021-10-13 19:00:00,2021-10-13 19:15:00,0.38,1.13
16,2021-10-14 04:45:00,2021-10-14 05:30:00,0.75,3.15
17,2021-10-14 07:00:00,2021-10-14 07:15:00,0.31,1.34
18,2021-10-14 08:30:00,2021-10-14 08:45:00,0.45,1.12
19,2021-10-14 10:30:00,2021-10-14 10:45:00,0.4,0.88
20,2021-10-14 14:30:00,2021-10-14 14:45:00,0.46,0.71
21,2021-10-14 17:15:00,2021-10-14 17:15:00,0.12,0.86
22,2021-10-14 18:45:00,2021-10-14 19:00:00,0.38,1.05
23,2021-10-15 04:45:00,2021-10-15 05:30:00,0.72,3.06
24,2021-10-15 06:45:00,2021-10-15 07:00:00,0.36,1.34
25,2021-10-15 08:30:00,2021-10-15 08:45:00,0.45,0.95
26,2021-10-15 11:15:00,2021-10-15 11:30:00,0.49,0.67
27,2021-10-15 16:30:00,2021-10-15 16:30:00,0.12,0.7
28,2021-10-15 18:30:00,2021-10-15 18:45:00,0.36,1.13
29,2021-10-16 05:00:00,2021-10-16 05:30:00,0.67,2.88
30,2021-10-16 06:45:00,2021-10-16 07:00:00,0.36,1.32
31,2021-10-16 08:30:00,2021-10-16 08:45:00,0.39,0.94
32,2021-10-16 11:15:00,2021-10-16 11:15:00,0.12,0.62
33,2021-10-16 16:15:00,2021-10-16 16:15:00,0.12,0.8
34,2021-10-16 18:45:00,2021-10-16 19:00:00,0.45,1.65
35,2021-10-16 20:15:00,2021-10-16 20:15:00,0.12,0.37
36,2021-10-17 04:30:00,2021-10-17 05:15:00,0.68,3.02
37,2021-10-17 06:30:00,2021-10-17 06:45:00,0.46,1.42
38,2021-10-17 08:00:00,2021-10-17 08:15:00,0.39,1.28
39,2021-10-17 09:30:00,2021-10-17 09:45:00,0.38,1.08
40,2021-10-17 11:15:00,2021-10-17 11:30:00,0.36,1.02
41,2021-10-17 14:00:00,2021-10-17 14:00:00,0.12,0.68
42,2021-10-17 16:15:00,2021-10-17 16:15:00,0.12,0.88
43,2021-10-17 18:45:00,2021-10-17 19:00:00,0.4,1.52
44,2021-10-18 04:30:00,2021-10-18 05:00:00,0.47,2.03
45,2021-10-18 06:00:00,2021-10-18 06:30:00,0.34,1.52
46,2021-10-18 07:30:00,2021-10-18 07:45:00,0.39,1.27
47,2021-10-18 09:15:00,2021-10-18 09:15:00,0.12,1.1
48,2021-10-18 11:15:00,2021-10-18 11:15:00,0.12,0.83
49,2021-10-18 15:45:00,2021-10-18 15:45:00,0.12,0.82
50,2021-10-18 18:45:00,2021-10-18 19:00:00,0.45,1.26
51,2021-10-19 04:30:00,2021-10-19 05:00:00,0.43,1.84
52,2021-10-19 06:00:00,2021-10-19 06:15:00,0.32,1.21
53,2021-10-19 07:45:00,2021-10-19 08:00:00,0.4,1.08
54,2021-10-19 10:00:00,2021-10-19 10:15:00,0.32,0.8
55,2021-10-19 12:45:00,2021-10-19 12:45:00,0.12,0.68
56,2021-10-19 16:15:00,2021-10-19 16:30:00,0.29,0.87
57,2021-10-19 19:00:00,2021-10-19 19:15:00,0.28,1.12
58,2021-10-20 04:45:00,2021-10-20 05:00:00,0.36,1.42
59,2021-10-20 06:15:00,2021-10-20 06:30:00,0.31,1.3
60,2021-10-20 08:00:00,2021-10-20 08:00:00,0.12,0.86
61,2021-10-20 10:15:00,2021-10-20 10:30:00,0.37,0.75
62,2021-10-20 13:45:00,2021-10-20 13:45:00,0.12,0.7
63,2021-10-20 16:15:00,2021-10-20 16:15:00,0.12,0.81
64,2021-10-20 19:15:00,2021-10-20 19:15:00,0.12,0.84
65,2021-10-21 04:45:00,2021-10-21 05:00:00,0.36,1.42
66,2021-10-21 06:15:00,2021-10-21 06:30:00,0.36,1.07
67,2021-10-21 08:00:00,2021-10-21 08:00:00,0.12,1.03
68,2021-10-21 09:45:00,2021-10-21 10:00:00,0.49,0.94
69,2021-10-21 12:00:00,2021-10-21 12:15:00,0.45,0.87
70,2021-10-21 15:00:00,2021-10-21 15:00:00,0.12,0.87
71,2021-10-21 18:45:00,2021-10-21 19:00:00,0.3,1.12
72,2021-10-22 04:45:00,2021-10-22 05:00:00,0.41,1.55
73,2021-10-22 06:15:00,2021-10-22 06:30:00,0.47,1.29
74,2021-10-22 07:45:00,2021-10-22 08:00:00,0.29,1.22
