cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 01:30:00,2022-07-12 01:45:00,0.29,0.89
1,2022-07-12 02:45:00,2022-07-12 03:00:00,0.3,0.89
2,2022-07-12 03:45:00,2022-07-12 04:00:00,0.32,1.18
3,2022-07-12 23:00:00,2022-07-12 23:00:00,0.12,0.85
4,2022-07-13 00:15:00,2022-07-13 00:15:00,0.12,0.89
5,2022-07-13 01:30:00,2022-07-13 01:30:00,0.12,0.74
6,2022-07-13 02:45:00,2022-07-13 02:45:00,0.12,0.75
7,2022-07-13 03:45:00,2022-07-13 03:45:00,0.12,0.86
8,2022-07-13 04:45:00,2022-07-13 04:45:00,0.12,0.88
9,2022-07-16 02:15:00,2022-07-16 02:30:00,0.33,0.73
10,2022-07-16 04:15:00,2022-07-16 04:30:00,0.34,0.73
11,2022-07-17 01:15:00,2022-07-17 01:15:00,0.12,0.72
12,2022-07-17 02:45:00,2022-07-17 03:00:00,0.4,0.74
13,2022-07-17 04:30:00,2022-07-17 04:30:00,0.12,0.74
14,2022-07-27 01:15:00,2022-07-27 01:15:00,0.12,0.73
15,2022-07-27 04:00:00,2022-07-27 04:00:00,0.12,0.74
16,2022-07-29 00:45:00,2022-07-29 01:00:00,0.34,0.75
17,2022-07-29 02:45:00,2022-07-29 02:45:00,0.12,0.76
18,2022-07-29 23:00:00,2022-07-29 23:00:00,0.12,0.89
19,2022-07-30 00:15:00,2022-07-30 00:30:00,0.29,0.77
20,2022-07-30 03:15:00,2022-07-30 03:30:00,0.32,0.76
21,2022-07-30 23:00:00,2022-07-30 23:00:00,0.12,0.7
22,2022-07-31 01:15:00,2022-07-31 01:15:00,0.12,0.75
23,2022-07-31 03:00:00,2022-07-31 03:00:00,0.12,0.72
24,2022-07-31 04:45:00,2022-07-31 04:45:00,0.12,0.6
25,2022-08-01 01:15:00,2022-08-01 01:30:00,0.39,0.75
26,2022-08-01 04:00:00,2022-08-01 04:15:00,0.37,0.76
27,2022-08-02 00:30:00,2022-08-02 00:30:00,0.12,0.76
28,2022-08-02 02:45:00,2022-08-02 02:45:00,0.12,0.72
29,2022-08-02 04:45:00,2022-08-02 04:45:00,0.12,0.61
30,2022-08-03 02:30:00,2022-08-03 02:30:00,0.12,0.75
31,2022-08-03 04:45:00,2022-08-03 04:45:00,0.12,0.6
32,2022-08-06 23:00:00,2022-08-06 23:00:00,0.12,0.81
33,2022-08-07 00:15:00,2022-08-07 00:30:00,0.3,0.76
34,2022-08-07 02:00:00,2022-08-07 02:00:00,0.12,0.76
35,2022-08-07 03:45:00,2022-08-07 03:45:00,0.12,0.76
36,2022-08-07 22:45:00,2022-08-07 23:00:00,0.28,0.9
37,2022-08-08 00:15:00,2022-08-08 00:30:00,0.34,0.76
38,2022-08-08 01:45:00,2022-08-08 02:00:00,0.42,0.76
39,2022-08-08 03:15:00,2022-08-08 03:30:00,0.3,1.22
40,2022-08-08 04:30:00,2022-08-08 04:30:00,0.12,0.9
41,2022-08-08 23:15:00,2022-08-08 23:30:00,0.3,0.74
42,2022-08-09 01:00:00,2022-08-09 01:00:00,0.12,0.68
43,2022-08-09 02:30:00,2022-08-09 02:30:00,0.12,0.68
44,2022-08-09 04:15:00,2022-08-09 04:15:00,0.12,0.76
45,2022-08-09 23:15:00,2022-08-09 23:30:00,0.31,0.73
46,2022-08-10 01:30:00,2022-08-10 01:45:00,0.43,0.74
