cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-07 02:30:00,2022-06-07 02:45:00,0.32,1.34
1,2022-06-07 06:00:00,2022-06-07 06:15:00,0.31,0.89
2,2022-06-07 20:45:00,2022-06-07 21:00:00,0.39,1.75
3,2022-06-07 21:30:00,2022-06-07 21:45:00,0.43,0.93
4,2022-06-08 01:45:00,2022-06-08 02:15:00,0.37,1.14
5,2022-06-08 04:00:00,2022-06-08 04:15:00,0.44,1.18
6,2022-06-08 05:30:00,2022-06-08 05:45:00,0.37,1.04
7,2022-06-08 19:15:00,2022-06-08 19:30:00,0.42,1.44
8,2022-06-08 21:15:00,2022-06-08 21:30:00,0.46,0.88
9,2022-06-09 04:00:00,2022-06-09 04:15:00,0.39,1.04
10,2022-06-09 06:15:00,2022-06-09 06:45:00,0.4,1.28
11,2022-06-09 15:00:00,2022-06-09 15:15:00,0.36,1.63
12,2022-06-09 16:00:00,2022-06-09 16:15:00,0.37,1.1
13,2022-06-09 19:15:00,2022-06-09 19:30:00,0.41,1.36
14,2022-06-09 21:45:00,2022-06-09 22:00:00,0.39,1.01
15,2022-06-10 02:30:00,2022-06-10 02:45:00,0.3,0.94
16,2022-06-10 04:00:00,2022-06-10 04:15:00,0.39,1.07
17,2022-06-10 06:00:00,2022-06-10 06:15:00,0.37,1.2
18,2022-06-10 12:00:00,2022-06-10 12:15:00,0.41,1.4
19,2022-06-10 22:00:00,2022-06-10 22:15:00,0.39,0.91
20,2022-06-11 01:00:00,2022-06-11 02:30:00,1.53,10.36
21,2022-06-11 03:30:00,2022-06-11 03:45:00,0.5,1.01
22,2022-06-11 04:30:00,2022-06-11 04:45:00,0.35,1.12
23,2022-06-11 05:45:00,2022-06-11 06:00:00,0.48,1.03
24,2022-06-13 08:30:00,2022-06-13 08:45:00,0.43,1.54
25,2022-06-14 03:15:00,2022-06-14 03:45:00,0.48,2.15
26,2022-06-14 23:30:00,2022-06-15 00:00:00,0.33,1.47
27,2022-06-15 22:00:00,2022-06-15 22:15:00,0.36,1.1
28,2022-06-16 19:15:00,2022-06-16 19:30:00,0.32,1.19
29,2022-06-17 15:15:00,2022-06-17 15:30:00,0.5,1.33
30,2022-06-18 01:00:00,2022-06-18 02:30:00,1.52,8.88
31,2022-06-18 03:45:00,2022-06-18 04:00:00,0.31,0.98
32,2022-06-20 12:00:00,2022-06-20 12:15:00,0.44,1.32
33,2022-06-21 12:00:00,2022-06-21 12:15:00,0.35,1.01
34,2022-06-22 08:00:00,2022-06-22 08:15:00,0.3,1.0
35,2022-06-22 23:45:00,2022-06-23 00:00:00,0.34,1.42
36,2022-06-23 21:45:00,2022-06-23 22:00:00,0.38,1.23
37,2022-06-24 19:15:00,2022-06-24 19:30:00,0.48,1.35
38,2022-06-25 01:00:00,2022-06-25 02:15:00,1.38,8.04
39,2022-06-25 03:45:00,2022-06-25 03:45:00,0.12,0.92
40,2022-06-27 12:00:00,2022-06-27 12:15:00,0.45,1.44
41,2022-06-28 08:45:00,2022-06-28 09:00:00,0.5,1.32
42,2022-06-29 05:45:00,2022-06-29 06:00:00,0.47,1.11
43,2022-06-30 00:45:00,2022-06-30 01:00:00,0.3,1.32
44,2022-06-30 19:45:00,2022-06-30 20:00:00,0.4,1.25
45,2022-07-01 15:00:00,2022-07-01 15:15:00,0.34,1.27
46,2022-07-02 01:00:00,2022-07-02 02:30:00,1.54,8.94
47,2022-07-02 03:45:00,2022-07-02 03:45:00,0.12,0.9
48,2022-07-04 10:00:00,2022-07-04 10:15:00,0.34,1.36
49,2022-07-05 07:00:00,2022-07-05 07:15:00,0.4,1.25
50,2022-07-06 01:15:00,2022-07-06 01:30:00,0.34,1.48
51,2022-07-06 23:30:00,2022-07-06 23:45:00,0.44,1.35
52,2022-07-07 17:00:00,2022-07-07 17:15:00,0.42,1.7
53,2022-07-08 16:15:00,2022-07-08 16:15:00,0.12,1.12
54,2022-07-09 01:00:00,2022-07-09 02:30:00,1.5,8.71
55,2022-07-09 03:45:00,2022-07-09 03:45:00,0.12,0.93
56,2022-07-11 09:45:00,2022-07-11 10:00:00,0.41,1.48
57,2022-07-12 06:30:00,2022-07-12 06:45:00,0.42,1.42
58,2022-07-13 00:45:00,2022-07-13 01:15:00,0.36,1.58
59,2022-07-13 23:00:00,2022-07-13 23:15:00,0.42,1.18
60,2022-07-14 22:15:00,2022-07-14 22:30:00,0.31,0.92
61,2022-07-15 19:45:00,2022-07-15 20:00:00,0.38,1.04
62,2022-07-16 01:00:00,2022-07-16 02:15:00,1.39,7.99
63,2022-07-16 03:45:00,2022-07-16 04:00:00,0.3,0.98
64,2022-07-18 10:15:00,2022-07-18 10:30:00,0.29,1.27
65,2022-07-19 08:15:00,2022-07-19 08:30:00,0.33,1.3
66,2022-07-20 05:45:00,2022-07-20 06:00:00,0.32,1.14
67,2022-07-21 03:15:00,2022-07-21 03:30:00,0.29,1.02
68,2022-07-21 23:00:00,2022-07-21 23:15:00,0.46,1.14
69,2022-07-22 19:30:00,2022-07-22 19:45:00,0.28,1.11
70,2022-07-23 01:00:00,2022-07-23 02:15:00,1.41,8.17
71,2022-07-23 03:45:00,2022-07-23 03:45:00,0.12,0.97
72,2022-07-25 10:45:00,2022-07-25 10:45:00,0.12,0.7
73,2022-07-25 22:45:00,2022-07-25 22:45:00,0.12,1.07
74,2022-07-26 20:30:00,2022-07-26 20:45:00,0.34,1.03
75,2022-07-27 16:00:00,2022-07-27 16:15:00,0.27,1.23
