cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-05 01:45:00,2022-05-05 02:15:00,0.59,5.74
1,2022-05-05 05:00:00,2022-05-05 05:30:00,0.61,4.48
2,2022-05-05 06:45:00,2022-05-05 07:00:00,0.48,2.86
3,2022-05-05 18:00:00,2022-05-05 18:30:00,0.5,2.25
4,2022-05-05 20:15:00,2022-05-05 20:45:00,0.5,2.58
5,2022-05-05 23:00:00,2022-05-05 23:30:00,0.5,2.58
6,2022-05-06 01:45:00,2022-05-06 02:30:00,0.9,8.03
7,2022-05-06 05:30:00,2022-05-06 05:45:00,0.34,1.55
8,2022-05-06 06:30:00,2022-05-06 07:00:00,0.47,2.75
9,2022-05-06 09:15:00,2022-05-06 09:45:00,0.52,2.54
10,2022-05-06 18:15:00,2022-05-06 18:45:00,0.49,2.27
11,2022-05-06 22:15:00,2022-05-06 22:45:00,0.48,2.4
12,2022-05-07 01:45:00,2022-05-07 02:15:00,0.69,6.53
13,2022-05-07 03:30:00,2022-05-07 04:00:00,0.51,2.49
14,2022-05-07 05:00:00,2022-05-07 05:15:00,0.28,1.55
15,2022-05-07 06:30:00,2022-05-07 07:00:00,0.5,2.51
16,2022-05-07 07:30:00,2022-05-07 08:00:00,0.5,2.7
17,2022-05-07 09:00:00,2022-05-07 09:30:00,0.47,2.81
18,2022-05-07 21:00:00,2022-05-07 21:30:00,0.48,2.33
19,2022-05-07 23:45:00,2022-05-08 00:15:00,0.48,2.5
20,2022-05-08 01:45:00,2022-05-08 02:15:00,0.59,5.57
21,2022-05-08 05:45:00,2022-05-08 06:45:00,1.04,3.97
22,2022-05-08 07:15:00,2022-05-08 07:45:00,0.48,2.58
23,2022-05-08 19:30:00,2022-05-08 20:00:00,0.5,2.22
24,2022-05-08 23:45:00,2022-05-09 00:00:00,0.49,2.35
25,2022-05-09 01:45:00,2022-05-09 02:15:00,0.71,6.73
26,2022-05-09 05:15:00,2022-05-09 05:15:00,0.12,1.57
27,2022-05-09 06:15:00,2022-05-09 06:45:00,0.51,2.27
28,2022-05-09 08:15:00,2022-05-09 08:45:00,0.51,2.34
29,2022-05-09 23:00:00,2022-05-09 23:30:00,0.52,2.23
30,2022-05-10 01:45:00,2022-05-10 02:15:00,0.7,6.62
31,2022-05-10 05:00:00,2022-05-10 05:15:00,0.35,1.59
32,2022-05-10 06:15:00,2022-05-10 06:45:00,0.51,2.26
33,2022-05-10 08:45:00,2022-05-10 09:15:00,0.49,2.2
34,2022-05-11 01:45:00,2022-05-11 02:15:00,0.63,8.76
35,2022-05-11 05:15:00,2022-05-11 05:15:00,0.12,1.46
36,2022-05-11 06:45:00,2022-05-11 07:15:00,0.5,2.42
37,2022-05-12 01:45:00,2022-05-12 02:15:00,0.63,6.04
38,2022-05-12 05:00:00,2022-05-12 05:45:00,0.7,3.87
39,2022-05-13 01:45:00,2022-05-13 02:15:00,0.51,4.92
40,2022-05-13 05:30:00,2022-05-13 05:30:00,0.12,1.92
41,2022-05-13 23:15:00,2022-05-13 23:45:00,0.5,2.18
42,2022-05-14 01:45:00,2022-05-14 02:15:00,0.54,5.16
43,2022-05-14 05:45:00,2022-05-14 06:00:00,0.28,1.53
44,2022-05-14 22:45:00,2022-05-14 23:15:00,0.5,1.98
45,2022-05-15 01:45:00,2022-05-15 02:15:00,0.66,6.35
46,2022-05-15 03:30:00,2022-05-15 04:00:00,0.5,2.21
47,2022-05-15 05:00:00,2022-05-15 05:15:00,0.28,1.61
48,2022-05-15 06:30:00,2022-05-15 07:00:00,0.49,2.38
49,2022-05-16 01:45:00,2022-05-16 02:15:00,0.69,6.58
50,2022-05-16 05:00:00,2022-05-16 05:15:00,0.31,1.56
51,2022-05-16 05:45:00,2022-05-16 05:45:00,0.12,1.45
52,2022-05-17 01:45:00,2022-05-17 02:45:00,1.15,7.35
53,2022-05-17 05:30:00,2022-05-17 05:30:00,0.12,1.58
54,2022-05-18 01:45:00,2022-05-18 02:15:00,0.58,5.52
55,2022-05-18 03:30:00,2022-05-18 03:45:00,0.47,2.13
56,2022-05-18 05:30:00,2022-05-18 05:45:00,0.29,1.52
57,2022-05-19 01:45:00,2022-05-19 02:15:00,0.56,5.42
58,2022-05-19 05:30:00,2022-05-19 05:30:00,0.12,1.51
59,2022-05-20 01:45:00,2022-05-20 02:15:00,0.66,6.37
60,2022-05-20 05:15:00,2022-05-20 05:45:00,0.61,3.72
61,2022-05-21 01:45:00,2022-05-21 02:15:00,0.56,5.38
62,2022-05-21 06:00:00,2022-05-21 06:00:00,0.12,1.54
63,2022-05-22 01:30:00,2022-05-22 02:30:00,0.84,9.83
64,2022-05-22 05:00:00,2022-05-22 05:00:00,0.12,1.44
65,2022-05-23 01:45:00,2022-05-23 02:30:00,0.77,7.5
66,2022-05-23 03:45:00,2022-05-23 04:00:00,0.47,2.14
67,2022-05-23 05:00:00,2022-05-23 05:15:00,0.38,1.6
68,2022-05-23 05:45:00,2022-05-23 06:00:00,0.32,1.15
69,2022-05-24 01:45:00,2022-05-24 02:15:00,0.51,6.95
70,2022-05-24 05:30:00,2022-05-24 05:30:00,0.12,1.56
