cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-07 02:45:00,2022-06-07 03:15:00,0.47,1.91
1,2022-06-07 05:30:00,2022-06-07 05:45:00,0.35,0.82
2,2022-06-07 06:15:00,2022-06-07 06:15:00,0.12,0.24
3,2022-06-07 06:45:00,2022-06-07 06:45:00,0.12,0.26
4,2022-06-07 07:15:00,2022-06-07 07:15:00,0.12,0.28
5,2022-06-07 08:00:00,2022-06-07 08:00:00,0.12,0.27
6,2022-06-07 08:30:00,2022-06-07 08:30:00,0.12,0.3
7,2022-06-07 09:00:00,2022-06-07 09:00:00,0.12,0.28
8,2022-06-07 09:30:00,2022-06-07 09:30:00,0.12,0.18
9,2022-06-07 10:15:00,2022-06-07 10:15:00,0.12,0.3
10,2022-06-07 10:45:00,2022-06-07 10:45:00,0.12,0.32
11,2022-06-07 11:30:00,2022-06-07 11:30:00,0.12,0.47
12,2022-06-07 13:00:00,2022-06-07 13:30:00,0.52,2.07
13,2022-06-07 14:45:00,2022-06-07 14:45:00,0.12,0.61
14,2022-06-07 16:15:00,2022-06-07 16:15:00,0.12,0.58
15,2022-06-07 20:30:00,2022-06-07 20:45:00,0.36,0.65
16,2022-06-07 21:15:00,2022-06-07 21:30:00,0.34,0.5
17,2022-06-07 22:00:00,2022-06-07 22:00:00,0.12,0.45
18,2022-06-07 23:00:00,2022-06-07 23:30:00,0.5,2.02
19,2022-06-08 05:30:00,2022-06-08 05:45:00,0.4,1.0
20,2022-06-08 06:15:00,2022-06-08 06:30:00,0.3,0.88
21,2022-06-08 07:00:00,2022-06-08 07:00:00,0.12,0.15
22,2022-06-08 07:30:00,2022-06-08 07:30:00,0.12,0.8
23,2022-06-08 08:15:00,2022-06-08 08:15:00,0.12,0.22
24,2022-06-08 08:45:00,2022-06-08 08:45:00,0.12,0.34
25,2022-06-08 10:15:00,2022-06-08 10:45:00,0.44,1.78
26,2022-06-08 15:45:00,2022-06-08 15:45:00,0.12,0.65
27,2022-06-08 16:15:00,2022-06-08 16:15:00,0.12,0.36
28,2022-06-08 17:00:00,2022-06-08 17:00:00,0.12,0.42
29,2022-06-08 17:30:00,2022-06-08 17:45:00,0.35,0.45
30,2022-06-08 19:15:00,2022-06-08 19:30:00,0.36,1.38
31,2022-06-08 20:30:00,2022-06-08 20:30:00,0.12,0.65
32,2022-06-08 21:15:00,2022-06-08 21:15:00,0.12,0.31
33,2022-06-08 21:45:00,2022-06-08 21:45:00,0.12,0.34
34,2022-06-09 00:15:00,2022-06-09 00:30:00,0.43,1.66
35,2022-06-09 05:30:00,2022-06-09 05:45:00,0.37,0.93
36,2022-06-09 06:15:00,2022-06-09 07:00:00,0.81,2.96
37,2022-06-09 07:30:00,2022-06-09 07:30:00,0.12,1.16
38,2022-06-09 08:15:00,2022-06-09 08:45:00,0.71,0.62
39,2022-06-09 09:15:00,2022-06-09 09:45:00,0.64,0.76
40,2022-06-09 10:15:00,2022-06-09 10:30:00,0.45,0.5
41,2022-06-09 11:00:00,2022-06-09 11:00:00,0.12,0.31
42,2022-06-09 12:00:00,2022-06-09 12:00:00,0.12,1.26
43,2022-06-09 13:45:00,2022-06-09 13:45:00,0.12,0.61
44,2022-06-09 14:30:00,2022-06-09 14:30:00,0.12,0.44
45,2022-06-09 15:00:00,2022-06-09 15:15:00,0.42,1.6
46,2022-06-09 15:45:00,2022-06-09 16:00:00,0.31,0.73
47,2022-06-09 16:30:00,2022-06-09 16:30:00,0.12,0.22
48,2022-06-09 17:00:00,2022-06-09 17:15:00,0.3,0.92
49,2022-06-09 17:45:00,2022-06-09 17:45:00,0.12,0.38
50,2022-06-09 18:15:00,2022-06-09 18:15:00,0.12,0.35
51,2022-06-09 19:00:00,2022-06-09 19:00:00,0.12,0.28
52,2022-06-09 19:30:00,2022-06-09 19:30:00,0.12,0.28
53,2022-06-09 20:00:00,2022-06-09 20:00:00,0.12,0.31
54,2022-06-09 20:30:00,2022-06-09 21:15:00,0.69,1.9
55,2022-06-09 21:45:00,2022-06-09 21:45:00,0.12,0.79
56,2022-06-09 23:00:00,2022-06-09 23:00:00,0.12,0.31
57,2022-06-10 00:15:00,2022-06-10 00:15:00,0.12,0.34
58,2022-06-10 01:30:00,2022-06-10 01:45:00,0.29,0.75
