cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 00:15:00,0.12,0.75
1,2021-01-01 00:45:00,2021-01-01 00:45:00,0.12,0.7
2,2021-01-01 01:15:00,2021-01-01 01:30:00,0.41,0.77
3,2021-01-01 02:00:00,2021-01-01 02:15:00,0.38,1.68
4,2021-01-01 02:45:00,2021-01-01 03:00:00,0.35,1.46
5,2021-01-01 03:30:00,2021-01-01 04:15:00,1.0,2.82
6,2021-01-01 04:45:00,2021-01-01 05:00:00,0.35,1.36
7,2021-01-01 05:30:00,2021-01-01 05:45:00,0.45,1.41
8,2021-01-01 06:15:00,2021-01-01 06:30:00,0.44,1.41
9,2021-01-01 07:00:00,2021-01-01 07:15:00,0.36,1.37
10,2021-01-01 07:45:00,2021-01-01 07:45:00,0.12,1.2
11,2021-01-01 08:15:00,2021-01-01 08:30:00,0.3,1.33
12,2021-01-01 09:00:00,2021-01-01 09:15:00,0.39,1.33
13,2021-01-01 09:45:00,2021-01-01 10:00:00,0.42,1.22
14,2021-01-01 10:30:00,2021-01-01 11:15:00,1.0,2.45
15,2021-01-01 11:45:00,2021-01-01 12:00:00,0.49,1.28
16,2021-01-01 12:30:00,2021-01-01 13:15:00,1.0,2.37
17,2021-01-01 13:45:00,2021-01-01 14:00:00,0.47,1.19
18,2021-01-01 14:30:00,2021-01-01 15:15:00,1.0,2.38
19,2021-01-01 15:45:00,2021-01-01 16:00:00,0.42,1.16
20,2021-01-01 16:30:00,2021-01-01 16:45:00,0.34,1.22
21,2021-01-01 17:15:00,2021-01-01 17:15:00,0.12,1.17
22,2021-01-01 17:45:00,2021-01-01 18:00:00,0.36,1.21
23,2021-01-01 18:30:00,2021-01-01 18:45:00,0.4,1.26
24,2021-01-01 19:15:00,2021-01-01 20:00:00,1.0,2.54
25,2021-01-01 20:30:00,2021-01-01 20:45:00,0.43,1.31
26,2021-01-01 21:15:00,2021-01-01 21:15:00,0.12,0.53
27,2021-01-01 21:45:00,2021-01-01 21:45:00,0.12,0.67
28,2021-01-01 22:15:00,2021-01-01 22:30:00,0.46,0.7
29,2021-01-01 23:00:00,2021-01-01 23:00:00,0.12,0.67
30,2021-01-01 23:30:00,2021-01-01 23:30:00,0.12,0.76
31,2021-01-02 00:00:00,2021-01-02 00:15:00,0.41,0.75
32,2021-01-02 00:45:00,2021-01-02 00:45:00,0.12,0.73
33,2021-01-02 01:15:00,2021-01-02 01:15:00,0.12,0.76
34,2021-01-02 01:45:00,2021-01-02 02:45:00,1.06,3.1
35,2021-01-02 03:15:00,2021-01-02 03:30:00,0.35,1.39
36,2021-01-02 04:00:00,2021-01-02 04:15:00,0.46,1.39
37,2021-01-02 04:45:00,2021-01-02 05:00:00,0.41,1.42
38,2021-01-02 05:30:00,2021-01-02 05:45:00,0.34,1.4
39,2021-01-02 06:15:00,2021-01-02 07:00:00,1.0,2.74
40,2021-01-02 07:30:00,2021-01-02 07:45:00,0.35,1.32
41,2021-01-02 08:15:00,2021-01-02 08:30:00,0.46,1.39
42,2021-01-02 09:00:00,2021-01-02 09:15:00,0.37,1.31
43,2021-01-02 09:45:00,2021-01-02 09:45:00,0.12,1.2
44,2021-01-02 10:15:00,2021-01-02 10:30:00,0.32,1.33
45,2021-01-02 11:00:00,2021-01-02 11:15:00,0.42,1.36
46,2021-01-02 11:45:00,2021-01-02 12:00:00,0.41,1.32
47,2021-01-02 12:30:00,2021-01-02 13:15:00,1.0,2.61
48,2021-01-02 13:45:00,2021-01-02 14:00:00,0.36,1.23
49,2021-01-02 14:30:00,2021-01-02 14:45:00,0.44,1.26
50,2021-01-02 15:15:00,2021-01-02 15:30:00,0.32,1.33
51,2021-01-02 16:00:00,2021-01-02 16:00:00,0.12,1.24
52,2021-01-02 16:30:00,2021-01-02 16:45:00,0.32,1.34
53,2021-01-02 17:15:00,2021-01-02 17:30:00,0.43,1.32
54,2021-01-02 18:00:00,2021-01-02 18:15:00,0.41,1.31
55,2021-01-02 18:45:00,2021-01-02 19:00:00,0.32,1.33
56,2021-01-02 19:30:00,2021-01-02 19:30:00,0.12,1.26
57,2021-01-02 20:00:00,2021-01-02 20:15:00,0.33,1.35
58,2021-01-02 20:45:00,2021-01-02 21:00:00,0.49,1.07
59,2021-01-02 21:30:00,2021-01-02 21:30:00,0.12,0.64
60,2021-01-02 22:00:00,2021-01-02 22:00:00,0.12,0.71
61,2021-01-02 22:30:00,2021-01-02 22:45:00,0.41,0.76
62,2021-01-02 23:15:00,2021-01-02 23:15:00,0.12,0.78
63,2021-01-02 23:45:00,2021-01-03 00:30:00,1.0,1.63
64,2021-01-03 01:00:00,2021-01-03 01:00:00,0.12,0.8
65,2021-01-03 01:30:00,2021-01-03 03:15:00,1.82,4.9
66,2021-01-03 03:45:00,2021-01-03 04:00:00,0.32,1.47
67,2021-01-03 04:30:00,2021-01-03 04:45:00,0.36,1.49
68,2021-01-03 05:15:00,2021-01-03 05:30:00,0.41,1.4
69,2021-01-03 06:00:00,2021-01-03 06:15:00,0.48,1.49
70,2021-01-03 06:45:00,2021-01-03 07:00:00,0.46,1.47
71,2021-01-03 07:30:00,2021-01-03 07:45:00,0.37,1.43
72,2021-01-03 08:15:00,2021-01-03 08:30:00,0.32,1.46
73,2021-01-03 09:00:00,2021-01-03 09:00:00,0.12,1.26
74,2021-01-03 09:30:00,2021-01-03 09:45:00,0.32,1.36
75,2021-01-03 10:15:00,2021-01-03 10:30:00,0.41,1.41
76,2021-01-03 11:00:00,2021-01-03 11:15:00,0.5,1.43
77,2021-01-03 11:45:00,2021-01-03 12:00:00,0.37,1.32
78,2021-01-03 12:30:00,2021-01-03 12:30:00,0.12,1.21
79,2021-01-03 13:00:00,2021-01-03 13:15:00,0.3,1.28
80,2021-01-03 13:45:00,2021-01-03 14:00:00,0.44,1.29
81,2021-01-03 14:30:00,2021-01-03 14:45:00,0.36,1.29
82,2021-01-03 15:15:00,2021-01-03 16:00:00,1.0,2.61
83,2021-01-03 16:30:00,2021-01-03 16:45:00,0.42,1.38
84,2021-01-03 17:15:00,2021-01-03 17:30:00,0.42,1.33
85,2021-01-03 18:00:00,2021-01-03 18:15:00,0.34,1.4
86,2021-01-03 18:45:00,2021-01-03 19:30:00,1.0,2.71
87,2021-01-03 20:00:00,2021-01-03 20:15:00,0.37,1.42
88,2021-01-03 20:45:00,2021-01-03 21:00:00,0.46,1.16
89,2021-01-03 21:30:00,2021-01-03 21:30:00,0.12,0.7
90,2021-01-03 22:00:00,2021-01-03 22:45:00,1.0,1.7
91,2021-01-03 23:15:00,2021-01-03 23:15:00,0.12,0.9
92,2021-01-03 23:45:00,2021-01-04 00:00:00,0.42,0.96
93,2021-01-04 00:30:00,2021-01-04 00:30:00,0.12,0.96
94,2021-01-04 01:00:00,2021-01-04 01:15:00,0.39,1.05
95,2021-01-04 01:45:00,2021-01-04 03:00:00,1.25,4.28
