cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 00:30:00,1.67,4.31
1,2021-01-20 01:00:00,2021-01-20 04:00:00,3.22,14.72
2,2021-01-20 04:30:00,2021-01-20 08:15:00,3.91,10.85
3,2021-01-20 08:45:00,2021-01-20 09:30:00,1.0,2.53
4,2021-01-20 11:00:00,2021-01-20 13:15:00,2.46,5.77
5,2021-01-20 13:45:00,2021-01-20 13:45:00,0.12,0.83
6,2021-01-20 14:15:00,2021-01-20 14:15:00,0.12,0.87
7,2021-01-20 14:45:00,2021-01-20 16:15:00,1.75,4.2
8,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.84
9,2021-01-20 18:15:00,2021-01-20 21:00:00,2.96,8.29
10,2021-01-20 21:30:00,2021-01-20 22:30:00,1.18,3.53
11,2021-01-20 23:00:00,2021-01-21 00:30:00,1.75,4.09
12,2021-01-21 01:00:00,2021-01-21 03:30:00,2.75,12.58
13,2021-01-21 04:00:00,2021-01-21 04:00:00,0.12,0.9
14,2021-01-21 04:30:00,2021-01-21 04:30:00,0.12,0.85
15,2021-01-21 05:00:00,2021-01-21 07:15:00,2.5,4.58
16,2021-01-21 07:45:00,2021-01-21 07:45:00,0.12,0.83
17,2021-01-21 08:15:00,2021-01-21 08:15:00,0.12,0.78
18,2021-01-21 08:45:00,2021-01-21 08:45:00,0.12,0.71
19,2021-01-21 09:15:00,2021-01-21 09:15:00,0.12,0.7
20,2021-01-21 09:45:00,2021-01-21 09:45:00,0.12,0.64
21,2021-01-21 11:00:00,2021-01-21 11:00:00,0.12,0.93
22,2021-01-21 11:30:00,2021-01-21 11:30:00,0.12,0.7
23,2021-01-21 12:00:00,2021-01-21 12:45:00,1.0,1.38
24,2021-01-21 13:15:00,2021-01-21 13:15:00,0.12,0.62
25,2021-01-21 13:45:00,2021-01-21 13:45:00,0.12,0.61
26,2021-01-21 14:15:00,2021-01-21 16:15:00,2.25,3.51
27,2021-01-21 16:45:00,2021-01-21 16:45:00,0.12,0.68
28,2021-01-21 18:15:00,2021-01-21 18:30:00,0.44,1.62
29,2021-01-21 19:00:00,2021-01-21 19:00:00,0.12,0.86
30,2021-01-21 19:30:00,2021-01-21 19:30:00,0.12,0.62
31,2021-01-21 20:00:00,2021-01-21 20:00:00,0.12,0.62
32,2021-01-21 20:30:00,2021-01-21 20:45:00,0.36,0.66
33,2021-01-21 21:15:00,2021-01-21 21:15:00,0.12,0.62
34,2021-01-21 21:45:00,2021-01-21 21:45:00,0.12,0.67
35,2021-01-21 22:15:00,2021-01-22 00:00:00,2.0,2.79
36,2021-01-22 00:30:00,2021-01-22 00:30:00,0.12,0.62
37,2021-01-22 01:00:00,2021-01-22 03:15:00,2.5,12.81
38,2021-01-22 03:45:00,2021-01-22 03:45:00,0.12,0.73
39,2021-01-22 04:15:00,2021-01-22 04:15:00,0.12,0.73
40,2021-01-22 04:45:00,2021-01-22 04:45:00,0.12,0.72
41,2021-01-22 05:15:00,2021-01-22 05:15:00,0.12,0.69
42,2021-01-22 05:45:00,2021-01-22 05:45:00,0.12,0.72
43,2021-01-22 06:15:00,2021-01-22 06:15:00,0.12,0.75
44,2021-01-22 06:45:00,2021-01-22 06:45:00,0.12,0.83
45,2021-01-22 07:15:00,2021-01-22 07:15:00,0.12,0.8
46,2021-01-22 07:45:00,2021-01-22 09:45:00,2.19,4.29
47,2021-01-22 11:00:00,2021-01-22 13:45:00,3.0,4.97
48,2021-01-22 14:15:00,2021-01-22 14:15:00,0.12,0.66
49,2021-01-22 14:45:00,2021-01-22 14:45:00,0.12,0.64
50,2021-01-22 15:15:00,2021-01-22 15:15:00,0.12,0.66
51,2021-01-22 15:45:00,2021-01-22 15:45:00,0.12,0.68
52,2021-01-22 16:15:00,2021-01-22 16:15:00,0.12,0.74
53,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.7
54,2021-01-22 18:15:00,2021-01-22 18:30:00,0.46,1.68
55,2021-01-22 19:00:00,2021-01-22 19:15:00,0.47,1.88
56,2021-01-22 19:45:00,2021-01-23 03:30:00,8.0,20.27
57,2021-01-23 04:00:00,2021-01-23 05:30:00,1.75,4.11
58,2021-01-23 06:00:00,2021-01-23 06:00:00,0.12,1.06
59,2021-01-23 06:30:00,2021-01-23 07:15:00,1.0,2.48
60,2021-01-23 07:45:00,2021-01-23 08:30:00,1.0,2.21
61,2021-01-23 09:00:00,2021-01-23 09:45:00,1.0,2.45
62,2021-01-23 10:15:00,2021-01-23 10:15:00,0.12,0.87
63,2021-01-23 10:45:00,2021-01-23 16:45:00,6.25,11.08
64,2021-01-23 17:15:00,2021-01-23 17:15:00,0.12,0.81
65,2021-01-23 17:45:00,2021-01-23 17:45:00,0.12,0.82
66,2021-01-23 18:15:00,2021-01-23 18:15:00,0.12,0.78
67,2021-01-23 18:45:00,2021-01-23 19:00:00,0.45,1.62
68,2021-01-23 19:30:00,2021-01-23 19:30:00,0.12,0.78
69,2021-01-23 20:00:00,2021-01-23 20:00:00,0.12,0.73
70,2021-01-23 20:30:00,2021-01-23 20:30:00,0.12,0.73
71,2021-01-23 21:00:00,2021-01-23 21:00:00,0.12,0.7
72,2021-01-23 21:30:00,2021-01-23 21:30:00,0.12,0.68
73,2021-01-23 22:00:00,2021-01-23 22:00:00,0.12,0.67
74,2021-01-23 22:30:00,2021-01-23 22:30:00,0.12,0.65
75,2021-01-23 23:00:00,2021-01-23 23:00:00,0.12,0.61
76,2021-01-23 23:30:00,2021-01-24 02:45:00,3.5,12.03
77,2021-01-24 03:15:00,2021-01-24 03:15:00,0.12,0.88
78,2021-01-24 03:45:00,2021-01-24 05:00:00,1.5,3.17
79,2021-01-24 05:30:00,2021-01-24 05:30:00,0.12,1.01
80,2021-01-24 06:00:00,2021-01-24 06:30:00,0.68,2.33
81,2021-01-24 07:00:00,2021-01-24 07:00:00,0.12,0.99
82,2021-01-24 07:30:00,2021-01-24 08:45:00,1.5,3.05
83,2021-01-24 09:15:00,2021-01-24 09:15:00,0.12,0.79
84,2021-01-24 09:45:00,2021-01-24 09:45:00,0.12,0.72
85,2021-01-24 10:15:00,2021-01-24 10:15:00,0.12,0.79
86,2021-01-24 10:45:00,2021-01-24 10:45:00,0.12,0.75
87,2021-01-24 11:15:00,2021-01-24 11:15:00,0.12,0.71
88,2021-01-24 11:45:00,2021-01-24 11:45:00,0.12,0.75
89,2021-01-24 12:15:00,2021-01-24 12:15:00,0.12,0.73
90,2021-01-24 12:45:00,2021-01-24 12:45:00,0.12,0.72
91,2021-01-24 13:15:00,2021-01-24 13:15:00,0.12,0.74
92,2021-01-24 13:45:00,2021-01-24 13:45:00,0.12,0.74
93,2021-01-24 14:15:00,2021-01-24 14:15:00,0.12,0.74
94,2021-01-24 14:45:00,2021-01-24 14:45:00,0.12,0.75
95,2021-01-24 15:15:00,2021-01-24 15:15:00,0.12,0.73
96,2021-01-24 15:45:00,2021-01-24 16:00:00,0.36,1.62
97,2021-01-24 16:30:00,2021-01-24 17:45:00,1.5,3.19
98,2021-01-24 18:15:00,2021-01-24 20:45:00,2.75,6.0
99,2021-01-24 21:15:00,2021-01-24 22:45:00,1.75,4.53
100,2021-01-24 23:15:00,2021-01-25 05:45:00,6.71,23.22
101,2021-01-25 06:15:00,2021-01-25 07:00:00,1.0,2.32
102,2021-01-25 07:30:00,2021-01-25 07:30:00,0.12,1.06
103,2021-01-25 08:00:00,2021-01-25 08:45:00,1.0,2.24
104,2021-01-25 09:15:00,2021-01-25 09:45:00,0.67,2.42
105,2021-01-25 11:00:00,2021-01-25 12:30:00,1.71,4.16
106,2021-01-25 13:00:00,2021-01-25 13:00:00,0.12,0.94
107,2021-01-25 13:30:00,2021-01-25 13:30:00,0.12,0.84
108,2021-01-25 14:00:00,2021-01-25 15:15:00,1.5,3.01
109,2021-01-25 15:45:00,2021-01-25 16:45:00,1.25,3.33
110,2021-01-25 18:15:00,2021-01-25 19:30:00,1.46,4.73
111,2021-01-25 20:00:00,2021-01-25 21:45:00,2.0,4.98
112,2021-01-25 22:15:00,2021-01-25 22:15:00,0.12,1.07
113,2021-01-25 22:45:00,2021-01-25 23:30:00,1.0,2.44
114,2021-01-26 00:00:00,2021-01-26 04:30:00,4.75,24.09
115,2021-01-26 05:00:00,2021-01-26 05:45:00,1.0,2.66
116,2021-01-26 06:15:00,2021-01-26 06:30:00,0.48,1.37
117,2021-01-26 07:00:00,2021-01-26 07:45:00,1.0,2.75
118,2021-01-26 08:15:00,2021-01-26 08:45:00,0.74,2.41
