cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-26 00:30:00,2021-06-26 00:30:00,0.12,0.45
1,2021-06-26 01:00:00,2021-06-26 01:15:00,0.42,0.56
2,2021-06-26 01:45:00,2021-06-26 01:45:00,0.12,0.34
3,2021-06-26 02:15:00,2021-06-26 02:30:00,0.49,0.48
4,2021-06-26 03:00:00,2021-06-26 03:00:00,0.12,0.28
5,2021-06-26 03:30:00,2021-06-26 07:30:00,4.25,7.09
6,2021-06-26 08:00:00,2021-06-26 08:15:00,0.49,0.44
7,2021-06-26 09:00:00,2021-06-26 09:00:00,0.12,0.19
8,2021-06-26 18:45:00,2021-06-26 20:00:00,1.34,8.51
9,2021-06-27 04:30:00,2021-06-27 07:15:00,2.89,2.54
10,2021-06-27 07:45:00,2021-06-27 07:45:00,0.12,0.19
11,2021-06-27 20:00:00,2021-06-27 20:30:00,0.32,1.72
12,2021-06-28 04:45:00,2021-06-28 06:15:00,1.64,1.57
13,2021-06-28 06:45:00,2021-06-28 06:45:00,0.12,0.27
14,2021-06-28 18:45:00,2021-06-28 20:15:00,1.66,10.7
15,2021-06-29 04:45:00,2021-06-29 07:15:00,2.69,2.02
16,2021-06-29 07:45:00,2021-06-29 08:00:00,0.46,0.34
17,2021-06-29 08:30:00,2021-06-29 08:30:00,0.12,0.18
18,2021-06-29 11:30:00,2021-06-29 15:45:00,4.46,5.44
19,2021-06-29 16:15:00,2021-06-29 18:00:00,1.65,10.64
20,2021-06-29 18:30:00,2021-06-29 18:30:00,0.12,1.42
21,2021-06-29 19:15:00,2021-06-29 19:15:00,0.12,0.13
22,2021-06-29 19:45:00,2021-06-29 20:30:00,1.0,0.44
23,2021-06-29 23:15:00,2021-06-29 23:15:00,0.12,0.13
24,2021-06-29 23:45:00,2021-06-30 00:00:00,0.49,0.26
25,2021-06-30 00:30:00,2021-06-30 01:00:00,0.67,0.4
26,2021-06-30 01:30:00,2021-06-30 13:00:00,11.72,18.6
27,2021-06-30 13:30:00,2021-06-30 13:45:00,0.45,0.52
