cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-06 23:00:00,2021-05-06 23:15:00,0.32,1.25
1,2021-05-06 23:45:00,2021-05-07 00:00:00,0.46,1.35
2,2021-05-07 00:30:00,2021-05-07 00:45:00,0.35,1.35
3,2021-05-07 01:30:00,2021-05-07 01:45:00,0.34,1.33
4,2021-05-07 02:15:00,2021-05-07 02:30:00,0.48,1.35
5,2021-05-07 03:00:00,2021-05-07 03:15:00,0.33,1.33
6,2021-05-07 04:00:00,2021-05-07 04:15:00,0.37,1.36
7,2021-05-07 04:45:00,2021-05-07 05:00:00,0.43,1.35
8,2021-05-07 05:30:00,2021-05-07 05:45:00,0.32,1.08
9,2021-05-07 06:45:00,2021-05-07 07:15:00,0.35,1.38
10,2021-05-07 07:45:00,2021-05-07 08:00:00,0.43,1.27
11,2021-05-07 08:30:00,2021-05-07 08:45:00,0.4,1.24
12,2021-05-07 10:00:00,2021-05-07 10:15:00,0.37,1.16
13,2021-05-07 11:00:00,2021-05-07 11:15:00,0.39,0.99
14,2021-05-07 12:15:00,2021-05-07 12:15:00,0.12,0.9
15,2021-05-07 14:00:00,2021-05-07 14:15:00,0.3,0.93
16,2021-05-07 16:15:00,2021-05-07 16:30:00,0.32,1.16
17,2021-05-07 17:00:00,2021-05-07 17:15:00,0.37,1.1
18,2021-05-07 17:45:00,2021-05-07 18:00:00,0.48,1.31
19,2021-05-07 18:30:00,2021-05-07 18:45:00,0.33,1.32
20,2021-05-07 19:30:00,2021-05-07 19:45:00,0.36,1.34
21,2021-05-07 20:15:00,2021-05-07 20:30:00,0.42,1.45
22,2021-05-07 21:00:00,2021-05-07 21:30:00,0.35,1.4
23,2021-05-07 22:00:00,2021-05-07 22:15:00,0.45,1.35
24,2021-05-07 22:45:00,2021-05-07 23:00:00,0.35,1.41
25,2021-05-07 23:45:00,2021-05-08 00:00:00,0.35,1.35
26,2021-05-08 00:30:00,2021-05-08 00:45:00,0.45,1.38
27,2021-05-08 01:15:00,2021-05-08 01:45:00,0.41,1.63
28,2021-05-08 02:15:00,2021-05-08 02:45:00,0.46,1.92
29,2021-05-08 03:15:00,2021-05-08 03:45:00,0.48,2.03
30,2021-05-08 04:15:00,2021-05-08 04:30:00,0.44,1.81
31,2021-05-08 05:15:00,2021-05-08 05:30:00,0.35,1.36
32,2021-05-08 19:00:00,2021-05-08 19:15:00,0.29,0.92
33,2021-05-08 20:00:00,2021-05-08 20:15:00,0.39,1.04
34,2021-05-08 20:45:00,2021-05-08 21:00:00,0.35,1.1
35,2021-05-08 21:30:00,2021-05-08 21:45:00,0.31,1.08
36,2021-05-08 22:30:00,2021-05-08 22:45:00,0.33,1.17
37,2021-05-08 23:15:00,2021-05-08 23:30:00,0.43,1.21
38,2021-05-09 00:00:00,2021-05-09 00:15:00,0.4,1.29
39,2021-05-09 00:45:00,2021-05-09 01:15:00,0.34,1.35
40,2021-05-09 01:45:00,2021-05-09 02:00:00,0.4,1.35
41,2021-05-09 02:30:00,2021-05-09 02:45:00,0.39,1.36
42,2021-05-09 03:15:00,2021-05-09 03:45:00,0.35,1.4
43,2021-05-09 04:15:00,2021-05-09 04:30:00,0.45,1.36
44,2021-05-09 05:00:00,2021-05-09 05:15:00,0.36,1.36
45,2021-05-09 23:15:00,2021-05-09 23:15:00,0.12,0.68
46,2021-05-10 18:00:00,2021-05-10 18:15:00,0.3,0.88
47,2021-05-10 19:15:00,2021-05-10 19:30:00,0.46,0.93
48,2021-05-10 20:15:00,2021-05-10 20:30:00,0.47,0.94
49,2021-05-10 21:15:00,2021-05-10 21:30:00,0.35,0.97
50,2021-05-10 22:00:00,2021-05-10 22:15:00,0.3,1.0
51,2021-05-10 23:00:00,2021-05-10 23:15:00,0.31,1.09
52,2021-05-10 23:45:00,2021-05-11 00:00:00,0.39,1.2
53,2021-05-11 00:30:00,2021-05-11 00:45:00,0.46,1.2
54,2021-05-11 01:15:00,2021-05-11 01:30:00,0.35,1.21
55,2021-05-11 02:00:00,2021-05-11 02:30:00,0.31,1.23
56,2021-05-11 03:00:00,2021-05-11 03:15:00,0.32,1.12
57,2021-05-11 03:45:00,2021-05-11 04:00:00,0.4,1.02
58,2021-05-11 04:45:00,2021-05-11 05:00:00,0.33,0.92
59,2021-05-11 06:00:00,2021-05-11 06:15:00,0.33,0.91
60,2021-05-11 11:15:00,2021-05-11 11:30:00,0.29,0.98
61,2021-05-11 12:15:00,2021-05-11 12:30:00,0.44,0.99
62,2021-05-11 13:15:00,2021-05-11 13:30:00,0.34,0.95
63,2021-05-11 14:15:00,2021-05-11 14:30:00,0.32,0.98
64,2021-05-11 16:15:00,2021-05-11 16:30:00,0.33,1.17
65,2021-05-11 17:00:00,2021-05-11 17:15:00,0.37,1.05
66,2021-05-11 17:45:00,2021-05-11 18:00:00,0.44,1.1
67,2021-05-11 18:30:00,2021-05-11 18:45:00,0.44,1.12
68,2021-05-11 19:15:00,2021-05-11 19:30:00,0.37,1.1
69,2021-05-11 20:00:00,2021-05-11 20:15:00,0.31,1.19
70,2021-05-11 21:00:00,2021-05-11 21:15:00,0.31,1.17
71,2021-05-11 21:45:00,2021-05-11 22:00:00,0.38,1.17
72,2021-05-11 22:30:00,2021-05-11 22:45:00,0.49,1.15
73,2021-05-11 23:15:00,2021-05-11 23:30:00,0.39,1.18
74,2021-05-12 00:00:00,2021-05-12 00:15:00,0.32,1.19
75,2021-05-12 01:00:00,2021-05-12 01:15:00,0.3,1.18
76,2021-05-12 01:45:00,2021-05-12 02:00:00,0.41,1.27
77,2021-05-12 02:30:00,2021-05-12 02:45:00,0.41,1.3
78,2021-05-12 03:15:00,2021-05-12 03:30:00,0.31,1.22
79,2021-05-12 04:15:00,2021-05-12 04:30:00,0.33,1.24
80,2021-05-12 05:00:00,2021-05-12 05:15:00,0.44,1.19
