cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-08 23:15:00,2021-06-08 23:30:00,0.28,1.12
1,2021-06-09 03:00:00,2021-06-09 03:15:00,0.3,1.12
2,2021-06-09 19:45:00,2021-06-09 19:45:00,0.12,1.03
3,2021-06-09 22:00:00,2021-06-09 22:15:00,0.32,1.12
4,2021-06-09 23:15:00,2021-06-09 23:45:00,0.75,8.25
5,2021-06-10 01:00:00,2021-06-10 01:00:00,0.12,1.06
6,2021-06-10 02:15:00,2021-06-10 02:15:00,0.12,1.08
7,2021-06-10 03:15:00,2021-06-10 03:30:00,0.28,1.18
8,2021-06-10 21:30:00,2021-06-10 21:45:00,0.43,1.13
9,2021-06-11 01:30:00,2021-06-11 02:15:00,0.67,5.86
10,2021-06-11 04:15:00,2021-06-11 04:30:00,0.34,1.12
11,2021-06-11 20:45:00,2021-06-11 21:00:00,0.39,1.13
12,2021-06-11 23:15:00,2021-06-11 23:30:00,0.49,4.63
13,2021-06-12 01:45:00,2021-06-12 02:00:00,0.3,1.15
14,2021-06-12 04:30:00,2021-06-12 04:45:00,0.44,1.14
15,2021-06-12 23:15:00,2021-06-12 23:45:00,0.73,7.17
16,2021-06-13 20:00:00,2021-06-13 21:00:00,0.96,6.95
17,2021-06-14 21:45:00,2021-06-14 22:00:00,0.33,1.18
18,2021-06-14 23:15:00,2021-06-14 23:45:00,0.64,6.34
19,2021-06-15 02:45:00,2021-06-15 02:45:00,0.12,1.08
20,2021-06-15 22:15:00,2021-06-15 22:30:00,0.4,1.13
21,2021-06-16 23:15:00,2021-06-17 00:00:00,0.89,8.66
22,2021-06-17 02:15:00,2021-06-17 02:30:00,0.28,1.08
23,2021-06-18 20:00:00,2021-06-18 21:00:00,0.97,6.97
24,2021-06-18 23:15:00,2021-06-19 00:00:00,0.85,8.37
25,2021-06-20 23:15:00,2021-06-20 23:45:00,0.58,5.75
26,2021-06-22 02:45:00,2021-06-22 03:00:00,0.39,1.19
27,2021-06-22 23:15:00,2021-06-22 23:45:00,0.54,7.34
28,2021-06-23 23:00:00,2021-06-23 23:45:00,0.65,6.32
