cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:30:00,2021-01-01 01:00:00,0.45,2.25
1,2021-01-01 02:15:00,2021-01-01 04:15:00,1.98,10.01
2,2021-01-01 05:15:00,2021-01-01 06:45:00,1.58,8.08
3,2021-01-01 08:00:00,2021-01-01 08:45:00,0.83,4.36
4,2021-01-01 09:45:00,2021-01-01 09:45:00,0.12,0.85
5,2021-01-01 11:00:00,2021-01-01 12:15:00,1.5,7.46
6,2021-01-01 13:30:00,2021-01-01 14:00:00,0.65,3.45
7,2021-01-01 15:00:00,2021-01-01 15:45:00,0.67,3.48
8,2021-01-01 17:45:00,2021-01-01 18:45:00,1.1,5.37
9,2021-01-01 21:30:00,2021-01-01 22:00:00,0.45,2.25
10,2021-01-01 23:30:00,2021-01-02 00:00:00,0.45,2.28
11,2021-01-02 01:30:00,2021-01-02 02:00:00,0.45,2.26
12,2021-01-02 03:00:00,2021-01-02 05:00:00,1.93,9.68
13,2021-01-02 06:00:00,2021-01-02 06:45:00,0.89,4.6
14,2021-01-02 07:45:00,2021-01-02 09:00:00,1.34,6.76
15,2021-01-02 10:15:00,2021-01-02 11:00:00,0.83,4.3
16,2021-01-02 12:00:00,2021-01-02 12:30:00,0.66,3.35
17,2021-01-02 13:45:00,2021-01-02 15:00:00,1.33,6.81
18,2021-01-02 16:00:00,2021-01-02 16:45:00,0.84,4.33
19,2021-01-02 17:45:00,2021-01-02 18:45:00,0.92,4.72
20,2021-01-02 22:15:00,2021-01-02 22:45:00,0.49,2.34
21,2021-01-03 00:15:00,2021-01-03 01:15:00,1.01,4.88
22,2021-01-03 02:45:00,2021-01-03 05:15:00,2.43,12.22
23,2021-01-03 06:15:00,2021-01-03 07:00:00,0.92,4.72
24,2021-01-03 08:00:00,2021-01-03 09:30:00,1.54,7.71
25,2021-01-03 10:30:00,2021-01-03 11:30:00,0.85,4.38
26,2021-01-03 12:30:00,2021-01-03 13:00:00,0.65,3.32
27,2021-01-03 14:00:00,2021-01-03 15:30:00,1.48,7.4
28,2021-01-03 16:30:00,2021-01-03 17:30:00,0.88,4.54
29,2021-01-03 18:30:00,2021-01-03 18:45:00,0.38,1.47
30,2021-01-03 21:15:00,2021-01-03 21:45:00,0.49,2.32
31,2021-01-03 22:45:00,2021-01-03 23:45:00,1.09,5.16
32,2021-01-04 00:45:00,2021-01-04 01:15:00,0.52,2.48
33,2021-01-04 02:15:00,2021-01-04 02:45:00,0.51,2.42
34,2021-01-04 03:45:00,2021-01-04 07:00:00,3.17,15.6
35,2021-01-04 08:00:00,2021-01-04 09:00:00,0.93,4.72
36,2021-01-04 11:00:00,2021-01-04 12:45:00,1.86,9.18
37,2021-01-04 13:45:00,2021-01-04 14:45:00,0.89,4.55
38,2021-01-04 15:45:00,2021-01-04 16:15:00,0.73,3.7
39,2021-01-04 17:45:00,2021-01-04 18:45:00,1.12,5.51
40,2021-01-04 19:45:00,2021-01-04 20:30:00,0.75,3.72
41,2021-01-04 22:45:00,2021-01-04 23:15:00,0.49,2.39
42,2021-01-05 00:45:00,2021-01-05 01:00:00,0.49,2.38
43,2021-01-05 02:30:00,2021-01-05 05:15:00,2.79,13.75
44,2021-01-05 06:15:00,2021-01-05 07:00:00,0.95,4.79
45,2021-01-05 08:15:00,2021-01-05 09:45:00,1.59,7.86
46,2021-01-05 11:00:00,2021-01-05 12:00:00,1.22,6.2
47,2021-01-05 13:15:00,2021-01-05 14:15:00,1.04,5.18
48,2021-01-05 15:15:00,2021-01-05 16:15:00,1.22,5.99
49,2021-01-05 17:45:00,2021-01-05 18:45:00,1.07,5.44
50,2021-01-05 22:00:00,2021-01-05 22:30:00,0.48,2.33
51,2021-01-05 23:45:00,2021-01-06 00:15:00,0.48,2.3
52,2021-01-06 01:30:00,2021-01-06 02:00:00,0.53,2.46
53,2021-01-06 03:00:00,2021-01-06 05:15:00,2.34,11.45
54,2021-01-06 06:15:00,2021-01-06 08:00:00,1.74,8.62
55,2021-01-06 09:00:00,2021-01-06 09:45:00,0.83,4.18
56,2021-01-06 11:00:00,2021-01-06 12:15:00,1.38,6.89
57,2021-01-06 13:15:00,2021-01-06 15:00:00,1.69,8.56
58,2021-01-06 16:00:00,2021-01-06 16:15:00,0.42,2.13
59,2021-01-06 17:45:00,2021-01-06 19:00:00,1.32,6.57
60,2021-01-06 21:30:00,2021-01-06 22:00:00,0.52,2.58
61,2021-01-06 23:30:00,2021-01-07 00:00:00,0.5,2.48
62,2021-01-07 01:15:00,2021-01-07 01:45:00,0.46,2.26
