cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 22:45:00,2021-01-22 23:00:00,0.38,0.99
1,2021-01-22 23:30:00,2021-01-23 00:15:00,0.83,2.0
2,2021-01-23 00:45:00,2021-01-23 00:45:00,0.12,0.79
3,2021-01-23 01:15:00,2021-01-23 01:30:00,0.4,0.91
4,2021-01-23 02:00:00,2021-01-23 02:15:00,0.4,0.97
5,2021-01-23 02:45:00,2021-01-23 03:30:00,1.0,1.99
6,2021-01-23 04:00:00,2021-01-23 10:00:00,6.13,16.95
7,2021-01-23 10:30:00,2021-01-23 10:45:00,0.49,1.49
8,2021-01-23 11:15:00,2021-01-23 12:15:00,1.25,3.13
9,2021-01-23 12:45:00,2021-01-23 12:45:00,0.12,0.81
10,2021-01-23 13:15:00,2021-01-23 14:00:00,1.0,1.82
11,2021-01-23 14:30:00,2021-01-23 14:45:00,0.42,1.06
12,2021-01-23 15:15:00,2021-01-23 16:00:00,1.0,1.94
13,2021-01-23 16:30:00,2021-01-23 17:15:00,1.0,1.82
14,2021-01-23 17:45:00,2021-01-23 18:30:00,1.0,1.77
15,2021-01-23 19:00:00,2021-01-23 19:15:00,0.45,1.07
16,2021-01-23 19:45:00,2021-01-23 21:00:00,1.37,3.18
17,2021-01-23 21:30:00,2021-01-23 21:45:00,0.34,0.94
18,2021-01-23 22:15:00,2021-01-23 22:15:00,0.12,0.86
19,2021-01-23 23:00:00,2021-01-23 23:15:00,0.33,0.96
20,2021-01-23 23:45:00,2021-01-24 00:00:00,0.47,1.0
21,2021-01-24 00:30:00,2021-01-24 00:45:00,0.44,1.01
22,2021-01-24 01:15:00,2021-01-24 01:45:00,0.51,1.54
23,2021-01-24 02:15:00,2021-01-24 03:00:00,1.0,1.99
24,2021-01-24 03:30:00,2021-01-24 03:45:00,0.43,1.13
25,2021-01-24 04:15:00,2021-01-24 07:15:00,3.22,10.0
26,2021-01-24 07:45:00,2021-01-24 09:45:00,2.24,6.17
27,2021-01-24 10:15:00,2021-01-24 11:15:00,1.14,3.15
28,2021-01-24 11:45:00,2021-01-24 12:00:00,0.45,1.56
29,2021-01-24 12:30:00,2021-01-24 14:00:00,1.75,3.51
30,2021-01-24 14:30:00,2021-01-24 19:00:00,4.75,12.4
31,2021-01-24 19:30:00,2021-01-24 22:30:00,3.07,8.58
32,2021-01-24 23:00:00,2021-01-24 23:15:00,0.5,1.56
33,2021-01-24 23:45:00,2021-01-25 00:00:00,0.46,1.45
34,2021-01-25 00:30:00,2021-01-25 00:45:00,0.4,1.38
35,2021-01-25 01:15:00,2021-01-25 01:30:00,0.38,1.29
36,2021-01-25 02:00:00,2021-01-25 02:15:00,0.38,1.24
37,2021-01-25 02:45:00,2021-01-25 03:00:00,0.43,1.19
38,2021-01-25 03:30:00,2021-01-25 03:45:00,0.47,1.45
39,2021-01-25 04:15:00,2021-01-25 09:45:00,5.66,14.67
40,2021-01-25 11:00:00,2021-01-25 15:45:00,4.96,11.86
41,2021-01-25 16:15:00,2021-01-25 22:45:00,6.75,15.08
42,2021-01-25 23:15:00,2021-01-25 23:30:00,0.33,1.14
