cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 03:45:00,2021-01-01 04:15:00,0.58,2.17
1,2021-01-01 05:15:00,2021-01-01 09:45:00,4.74,12.0
2,2021-01-01 11:00:00,2021-01-01 16:45:00,5.86,15.16
3,2021-01-01 18:15:00,2021-01-01 21:30:00,3.34,8.67
4,2021-01-02 05:15:00,2021-01-02 11:45:00,6.56,17.17
5,2021-01-02 12:15:00,2021-01-02 21:30:00,9.49,25.02
6,2021-01-03 03:45:00,2021-01-03 04:15:00,0.49,1.9
7,2021-01-03 05:15:00,2021-01-03 18:45:00,13.72,36.16
8,2021-01-03 19:45:00,2021-01-03 21:30:00,1.82,4.78
9,2021-01-04 05:00:00,2021-01-04 09:45:00,4.96,12.71
10,2021-01-04 11:00:00,2021-01-04 16:45:00,5.85,15.12
11,2021-01-04 18:15:00,2021-01-04 21:30:00,3.36,8.74
12,2021-01-05 03:45:00,2021-01-05 04:15:00,0.55,2.1
13,2021-01-05 05:00:00,2021-01-05 09:45:00,4.96,12.47
14,2021-01-05 11:00:00,2021-01-05 16:45:00,5.86,15.13
15,2021-01-05 18:15:00,2021-01-05 21:30:00,3.36,8.84
16,2021-01-06 03:45:00,2021-01-06 04:15:00,0.49,1.94
17,2021-01-06 05:00:00,2021-01-06 09:45:00,4.96,12.46
18,2021-01-06 11:00:00,2021-01-06 16:45:00,5.86,15.16
19,2021-01-06 18:15:00,2021-01-06 21:30:00,3.36,8.74
20,2021-01-07 03:45:00,2021-01-07 04:15:00,0.55,2.11
21,2021-01-07 05:15:00,2021-01-07 09:45:00,4.73,11.88
22,2021-01-07 11:00:00,2021-01-07 16:45:00,5.86,15.13
23,2021-01-07 18:15:00,2021-01-07 21:30:00,3.36,8.75
24,2021-01-08 03:45:00,2021-01-08 04:15:00,0.55,2.11
25,2021-01-08 05:15:00,2021-01-08 09:45:00,4.72,11.87
26,2021-01-08 11:00:00,2021-01-08 16:45:00,5.85,15.51
27,2021-01-08 18:15:00,2021-01-08 21:30:00,3.36,8.65
28,2021-01-09 03:45:00,2021-01-09 04:15:00,0.54,2.04
29,2021-01-09 05:00:00,2021-01-09 21:30:00,16.75,43.05
30,2021-01-10 03:45:00,2021-01-10 04:30:00,0.66,2.5
31,2021-01-10 05:15:00,2021-01-10 21:30:00,16.49,42.7
32,2021-01-11 05:15:00,2021-01-11 09:45:00,4.74,11.92
33,2021-01-11 11:00:00,2021-01-11 16:45:00,5.85,15.4
34,2021-01-11 18:15:00,2021-01-11 21:30:00,3.36,8.7
35,2021-01-12 05:00:00,2021-01-12 09:45:00,4.82,12.14
36,2021-01-12 11:00:00,2021-01-12 16:45:00,5.86,14.92
37,2021-01-12 18:15:00,2021-01-12 21:30:00,3.36,8.63
38,2021-01-13 03:45:00,2021-01-13 04:15:00,0.55,2.11
39,2021-01-13 05:15:00,2021-01-13 09:45:00,4.67,11.64
40,2021-01-13 11:00:00,2021-01-13 16:45:00,5.86,15.45
41,2021-01-13 18:15:00,2021-01-13 21:30:00,3.36,8.62
42,2021-01-18 03:45:00,2021-01-18 04:15:00,0.52,1.99
43,2021-01-18 05:15:00,2021-01-18 09:45:00,4.66,11.67
44,2021-01-18 11:00:00,2021-01-18 16:45:00,5.86,15.08
45,2021-01-18 18:15:00,2021-01-18 21:30:00,3.36,8.69
46,2021-01-19 03:45:00,2021-01-19 04:15:00,0.55,2.08
47,2021-01-19 05:00:00,2021-01-19 09:45:00,4.81,11.95
48,2021-01-19 11:00:00,2021-01-19 16:45:00,5.86,15.05
49,2021-01-19 18:15:00,2021-01-19 21:30:00,3.3,9.02
50,2021-01-20 05:15:00,2021-01-20 09:45:00,4.74,11.75
51,2021-01-20 11:00:00,2021-01-20 16:45:00,5.86,15.16
52,2021-01-20 18:15:00,2021-01-20 21:30:00,3.36,8.64
53,2021-01-21 05:15:00,2021-01-21 09:45:00,4.65,11.73
54,2021-01-21 11:00:00,2021-01-21 16:45:00,5.85,15.02
55,2021-01-21 18:15:00,2021-01-21 21:30:00,3.36,8.68
56,2021-01-22 03:45:00,2021-01-22 04:15:00,0.54,2.06
57,2021-01-22 05:30:00,2021-01-22 09:45:00,4.45,11.15
58,2021-01-22 11:00:00,2021-01-22 16:45:00,5.73,15.34
59,2021-01-22 18:15:00,2021-01-22 21:30:00,3.36,8.69
60,2021-01-23 05:15:00,2021-01-23 21:30:00,16.31,42.31
61,2021-01-24 03:45:00,2021-01-24 04:15:00,0.61,2.28
62,2021-01-24 05:15:00,2021-01-24 21:30:00,16.38,42.71
63,2021-01-25 05:15:00,2021-01-25 09:45:00,4.68,11.96
64,2021-01-25 11:00:00,2021-01-25 16:45:00,5.86,15.11
65,2021-01-25 18:15:00,2021-01-25 21:30:00,3.36,8.72
66,2021-01-26 03:00:00,2021-01-26 03:00:00,0.12,0.41
67,2021-01-26 03:30:00,2021-01-26 09:45:00,6.34,15.9
68,2021-01-26 11:00:00,2021-01-26 16:45:00,5.86,15.17
69,2021-01-26 18:15:00,2021-01-26 21:30:00,3.36,8.86
70,2021-01-27 05:00:00,2021-01-27 09:45:00,4.81,11.94
71,2021-01-27 11:00:00,2021-01-27 16:45:00,5.86,15.11
72,2021-01-27 18:15:00,2021-01-27 21:30:00,3.36,8.61
73,2021-01-28 04:45:00,2021-01-28 09:45:00,5.23,13.16
74,2021-01-28 11:00:00,2021-01-28 16:45:00,5.83,15.53
75,2021-01-28 18:15:00,2021-01-28 21:30:00,3.36,8.65
76,2021-01-29 05:30:00,2021-01-29 09:45:00,4.38,11.13
77,2021-01-29 11:00:00,2021-01-29 16:45:00,5.86,15.05
78,2021-01-29 18:15:00,2021-01-29 21:30:00,3.36,8.71
79,2021-01-30 03:45:00,2021-01-30 04:15:00,0.57,2.12
80,2021-01-30 05:30:00,2021-01-30 21:30:00,16.14,42.08
81,2021-01-31 05:30:00,2021-01-31 21:30:00,16.15,42.56
82,2021-02-01 05:30:00,2021-02-01 09:45:00,4.4,11.4
83,2021-02-01 11:00:00,2021-02-01 16:45:00,5.86,15.29
84,2021-02-01 18:15:00,2021-02-01 21:30:00,3.36,8.85
85,2021-02-02 03:45:00,2021-02-02 04:15:00,0.58,2.21
86,2021-02-02 05:30:00,2021-02-02 09:45:00,4.37,11.14
87,2021-02-02 11:00:00,2021-02-02 16:45:00,5.86,15.39
88,2021-02-02 18:15:00,2021-02-02 21:30:00,3.36,8.94
89,2021-02-03 05:30:00,2021-02-03 09:45:00,4.32,11.06
90,2021-02-03 11:00:00,2021-02-03 16:45:00,5.86,15.46
91,2021-02-03 18:15:00,2021-02-03 21:30:00,3.36,8.88
92,2021-02-04 05:30:00,2021-02-04 09:45:00,4.4,11.45
93,2021-02-04 11:00:00,2021-02-04 16:45:00,5.86,15.39
94,2021-02-04 18:15:00,2021-02-04 21:30:00,3.34,9.29
95,2021-02-05 05:15:00,2021-02-05 09:45:00,4.55,11.58
96,2021-02-05 11:00:00,2021-02-05 16:45:00,5.85,15.36
97,2021-02-05 18:15:00,2021-02-05 21:30:00,3.36,8.87
98,2021-02-06 05:30:00,2021-02-06 21:30:00,16.13,42.61
99,2021-02-07 05:30:00,2021-02-07 21:30:00,16.15,42.7
100,2021-02-08 05:15:00,2021-02-08 09:45:00,4.63,11.81
101,2021-02-08 11:00:00,2021-02-08 16:45:00,5.85,15.56
102,2021-02-08 18:15:00,2021-02-08 21:30:00,3.36,8.85
103,2021-02-09 05:15:00,2021-02-09 09:45:00,4.65,12.0
104,2021-02-09 11:00:00,2021-02-09 16:45:00,5.86,15.29
105,2021-02-09 18:15:00,2021-02-09 21:30:00,3.36,8.79
106,2021-02-10 03:45:00,2021-02-10 04:15:00,0.52,2.0
107,2021-02-10 05:15:00,2021-02-10 09:45:00,4.64,11.72
108,2021-02-10 11:00:00,2021-02-10 16:45:00,5.86,15.28
109,2021-02-10 18:15:00,2021-02-10 21:30:00,3.36,9.22
110,2021-02-11 05:00:00,2021-02-11 09:45:00,4.81,12.04
111,2021-02-11 11:00:00,2021-02-11 16:45:00,5.86,15.26
112,2021-02-11 18:15:00,2021-02-11 21:30:00,3.36,8.69
113,2021-02-12 03:45:00,2021-02-12 04:15:00,0.52,1.97
114,2021-02-12 05:00:00,2021-02-12 09:45:00,4.94,12.26
115,2021-02-12 11:00:00,2021-02-12 16:45:00,5.86,15.16
116,2021-02-12 18:15:00,2021-02-12 21:30:00,3.36,8.58
117,2021-02-13 05:00:00,2021-02-13 21:30:00,16.69,42.88
118,2021-02-14 05:00:00,2021-02-14 21:30:00,16.69,42.73
119,2021-02-15 02:30:00,2021-02-15 02:30:00,0.12,0.36
120,2021-02-15 05:00:00,2021-02-15 09:45:00,4.92,12.13
121,2021-02-15 11:00:00,2021-02-15 16:45:00,5.84,15.06
122,2021-02-15 18:15:00,2021-02-15 21:30:00,3.36,8.56
123,2021-02-16 05:30:00,2021-02-16 09:45:00,4.5,11.34
124,2021-02-16 11:00:00,2021-02-16 16:45:00,5.86,14.93
125,2021-02-16 18:15:00,2021-02-16 21:30:00,3.35,8.84
126,2021-02-17 05:30:00,2021-02-17 09:45:00,4.42,10.98
127,2021-02-17 11:00:00,2021-02-17 16:45:00,5.85,15.23
128,2021-02-17 18:15:00,2021-02-17 21:30:00,3.36,8.68
129,2021-02-18 03:45:00,2021-02-18 04:15:00,0.5,1.87
130,2021-02-18 05:15:00,2021-02-18 09:45:00,4.66,11.64
131,2021-02-18 11:00:00,2021-02-18 16:45:00,5.86,15.16
132,2021-02-18 18:15:00,2021-02-18 21:30:00,3.36,9.08
