cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-26 23:00:00,2021-04-26 23:00:00,0.12,0.36
1,2021-04-26 23:45:00,2021-04-26 23:45:00,0.12,0.35
2,2021-04-27 00:15:00,2021-04-27 00:30:00,0.33,0.36
3,2021-04-27 01:00:00,2021-04-27 01:15:00,0.38,0.42
4,2021-04-27 01:45:00,2021-04-27 01:45:00,0.12,0.41
5,2021-04-27 02:30:00,2021-04-27 02:30:00,0.12,0.42
6,2021-04-27 03:00:00,2021-04-27 03:15:00,0.32,0.45
7,2021-04-27 03:45:00,2021-04-27 04:00:00,0.46,0.45
8,2021-04-27 04:30:00,2021-04-27 04:45:00,0.3,0.62
9,2021-04-27 05:15:00,2021-04-27 05:30:00,0.35,0.69
10,2021-04-27 07:00:00,2021-04-27 07:15:00,0.42,0.61
11,2021-04-27 18:45:00,2021-04-27 18:45:00,0.12,0.29
12,2021-04-27 19:15:00,2021-04-27 20:15:00,0.89,2.7
13,2021-04-27 20:45:00,2021-04-27 20:45:00,0.12,0.35
14,2021-04-27 21:15:00,2021-04-27 21:30:00,0.32,0.52
15,2021-04-27 22:00:00,2021-04-27 22:15:00,0.41,0.46
16,2021-04-27 22:45:00,2021-04-27 23:00:00,0.29,0.66
17,2021-04-27 23:30:00,2021-04-27 23:30:00,0.12,0.41
18,2021-04-28 00:15:00,2021-04-28 00:15:00,0.12,0.37
19,2021-04-28 00:45:00,2021-04-28 01:00:00,0.38,0.55
20,2021-04-28 01:45:00,2021-04-28 01:45:00,0.12,0.26
21,2021-04-28 02:15:00,2021-04-28 02:30:00,0.47,0.4
22,2021-04-28 03:15:00,2021-04-28 03:15:00,0.12,0.4
23,2021-04-28 04:15:00,2021-04-28 04:15:00,0.12,0.41
24,2021-04-28 05:45:00,2021-04-28 06:00:00,0.5,0.41
25,2021-04-28 07:00:00,2021-04-28 07:15:00,0.38,0.63
26,2021-04-28 18:30:00,2021-04-28 18:45:00,0.33,0.61
27,2021-04-28 19:30:00,2021-04-28 21:00:00,1.65,3.81
28,2021-04-28 21:30:00,2021-04-28 21:30:00,0.12,0.32
29,2021-04-28 22:30:00,2021-04-28 22:45:00,0.45,0.59
30,2021-04-29 00:00:00,2021-04-29 00:15:00,0.49,0.37
31,2021-04-29 01:00:00,2021-04-29 01:00:00,0.12,0.18
32,2021-04-29 01:30:00,2021-04-29 01:45:00,0.36,0.57
