cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-23 23:45:00,0.88,7.31
1,2021-01-24 00:15:00,2021-01-24 02:30:00,2.4,7.86
2,2021-01-24 03:00:00,2021-01-24 09:30:00,6.58,26.75
3,2021-01-24 10:00:00,2021-01-24 20:45:00,10.8,46.89
4,2021-01-24 21:15:00,2021-01-25 07:00:00,9.85,38.06
5,2021-01-25 07:30:00,2021-01-25 13:00:00,5.61,26.2
6,2021-01-25 13:30:00,2021-01-25 14:45:00,1.5,6.84
7,2021-01-25 15:15:00,2021-01-25 23:15:00,8.19,37.8
8,2021-01-25 23:45:00,2021-01-26 00:30:00,0.81,5.27
9,2021-01-26 01:00:00,2021-01-26 01:30:00,0.75,2.87
10,2021-01-26 02:00:00,2021-01-26 08:15:00,6.36,25.56
11,2021-01-26 08:45:00,2021-01-26 12:30:00,3.85,19.32
12,2021-01-26 13:00:00,2021-01-26 22:15:00,9.35,39.41
13,2021-01-26 22:45:00,2021-01-27 11:15:00,12.73,56.43
14,2021-01-27 11:45:00,2021-01-27 12:15:00,0.44,3.42
15,2021-01-27 12:45:00,2021-01-27 16:15:00,3.68,17.24
16,2021-01-27 16:45:00,2021-01-27 17:30:00,0.93,3.88
17,2021-01-27 18:00:00,2021-01-27 19:30:00,1.64,7.74
18,2021-01-27 20:00:00,2021-01-27 20:30:00,0.68,2.87
19,2021-01-27 21:00:00,2021-01-27 22:30:00,1.48,11.92
20,2021-01-27 23:00:00,2021-01-27 23:15:00,0.4,1.69
21,2021-01-27 23:45:00,2021-01-28 02:15:00,2.63,10.33
22,2021-01-28 02:45:00,2021-01-28 06:30:00,3.89,14.74
23,2021-01-28 07:00:00,2021-01-28 10:30:00,3.62,15.99
24,2021-01-28 11:00:00,2021-01-28 12:45:00,1.86,8.08
25,2021-01-28 13:15:00,2021-01-28 13:30:00,0.46,1.45
26,2021-01-28 14:00:00,2021-01-28 17:00:00,3.08,14.22
27,2021-01-28 17:30:00,2021-01-28 17:45:00,0.47,1.86
28,2021-01-28 18:15:00,2021-01-28 21:30:00,3.5,12.39
29,2021-01-28 22:00:00,2021-01-29 00:45:00,3.0,12.96
30,2021-01-29 01:15:00,2021-01-29 01:30:00,0.46,1.41
31,2021-01-29 02:00:00,2021-01-29 02:45:00,0.92,4.07
32,2021-01-29 03:15:00,2021-01-29 04:30:00,1.39,5.3
33,2021-01-29 05:00:00,2021-01-29 05:30:00,0.66,3.04
34,2021-01-29 06:00:00,2021-01-29 06:15:00,0.36,3.21
35,2021-01-29 06:45:00,2021-01-29 07:00:00,0.5,1.85
36,2021-01-29 07:30:00,2021-01-29 13:00:00,5.71,29.17
37,2021-01-29 13:30:00,2021-01-29 20:30:00,7.11,28.36
38,2021-01-29 21:00:00,2021-01-29 23:15:00,2.36,7.4
39,2021-01-29 23:45:00,2021-01-30 08:00:00,8.37,26.65
40,2021-01-30 08:30:00,2021-01-30 10:45:00,2.45,13.16
41,2021-01-30 11:15:00,2021-01-30 12:45:00,1.75,4.56
42,2021-01-30 13:15:00,2021-01-30 14:30:00,1.33,8.17
43,2021-01-30 15:00:00,2021-01-30 15:30:00,0.62,5.31
44,2021-01-30 16:00:00,2021-01-30 17:45:00,1.81,8.99
45,2021-01-30 18:15:00,2021-01-30 18:45:00,0.62,2.72
46,2021-01-30 19:15:00,2021-01-30 19:30:00,0.37,2.74
47,2021-01-30 20:00:00,2021-01-30 20:15:00,0.5,2.06
48,2021-01-30 20:45:00,2021-01-30 21:30:00,0.94,4.21
49,2021-01-30 22:00:00,2021-01-30 22:15:00,0.43,1.85
50,2021-01-30 22:45:00,2021-01-30 23:00:00,0.43,1.54
51,2021-01-30 23:30:00,2021-01-31 02:30:00,3.06,10.83
52,2021-01-31 03:00:00,2021-01-31 03:15:00,0.49,1.31
53,2021-01-31 03:45:00,2021-01-31 05:30:00,1.97,7.92
54,2021-01-31 06:00:00,2021-01-31 06:30:00,0.65,3.85
55,2021-01-31 07:00:00,2021-01-31 07:15:00,0.44,1.83
56,2021-01-31 07:45:00,2021-01-31 08:45:00,1.25,4.74
57,2021-01-31 09:15:00,2021-01-31 13:15:00,4.25,19.74
58,2021-01-31 13:45:00,2021-01-31 15:00:00,1.5,5.61
59,2021-01-31 15:30:00,2021-01-31 16:45:00,1.49,4.3
60,2021-01-31 17:15:00,2021-01-31 22:45:00,5.75,20.18
61,2021-01-31 23:15:00,2021-02-01 03:15:00,4.23,10.1
62,2021-02-01 03:45:00,2021-02-01 04:30:00,0.96,3.38
63,2021-02-01 05:00:00,2021-02-01 06:30:00,1.72,5.02
64,2021-02-01 07:00:00,2021-02-01 08:00:00,1.1,4.6
65,2021-02-01 08:30:00,2021-02-01 08:30:00,0.12,0.98
66,2021-02-01 09:00:00,2021-02-01 12:00:00,3.25,16.88
67,2021-02-01 12:30:00,2021-02-01 14:15:00,1.89,5.2
68,2021-02-01 14:45:00,2021-02-01 14:45:00,0.12,0.95
69,2021-02-01 15:15:00,2021-02-01 16:00:00,0.89,3.48
70,2021-02-01 16:30:00,2021-02-01 19:45:00,3.46,11.22
71,2021-02-01 20:15:00,2021-02-01 21:00:00,0.96,7.06
72,2021-02-01 21:30:00,2021-02-01 22:00:00,0.75,0.98
73,2021-02-01 22:30:00,2021-02-01 22:30:00,0.12,0.63
74,2021-02-01 23:00:00,2021-02-01 23:30:00,0.67,2.64
75,2021-02-02 00:00:00,2021-02-02 02:00:00,2.22,5.67
76,2021-02-02 02:30:00,2021-02-02 02:30:00,0.12,0.64
77,2021-02-02 03:00:00,2021-02-02 05:15:00,2.42,7.3
78,2021-02-02 05:45:00,2021-02-02 06:00:00,0.41,1.6
79,2021-02-02 06:30:00,2021-02-02 07:15:00,0.98,3.69
80,2021-02-02 07:45:00,2021-02-02 08:30:00,0.86,3.61
81,2021-02-02 09:00:00,2021-02-02 09:00:00,0.12,0.94
82,2021-02-02 09:30:00,2021-02-02 09:30:00,0.12,0.9
83,2021-02-02 10:00:00,2021-02-02 12:15:00,2.43,14.46
84,2021-02-02 12:45:00,2021-02-02 15:00:00,2.43,5.85
85,2021-02-02 15:30:00,2021-02-02 15:30:00,0.12,0.94
86,2021-02-02 16:00:00,2021-02-02 18:45:00,2.91,11.83
87,2021-02-02 19:15:00,2021-02-02 20:00:00,1.0,2.83
88,2021-02-02 20:30:00,2021-02-02 21:00:00,0.56,2.31
89,2021-02-02 21:30:00,2021-02-02 23:15:00,1.97,8.03
90,2021-02-02 23:45:00,2021-02-03 00:30:00,0.88,4.2
91,2021-02-03 01:00:00,2021-02-03 06:00:00,5.12,14.0
92,2021-02-03 06:30:00,2021-02-03 06:45:00,0.46,1.51
93,2021-02-03 07:15:00,2021-02-03 08:00:00,1.0,2.54
94,2021-02-03 08:30:00,2021-02-03 08:30:00,0.12,1.02
