cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 08:00:00,2022-07-12 08:00:00,0.12,0.45
1,2022-07-12 09:00:00,2022-07-12 09:00:00,0.12,0.54
2,2022-07-12 14:00:00,2022-07-12 14:45:00,0.68,3.23
3,2022-07-12 21:15:00,2022-07-12 21:30:00,0.28,1.46
4,2022-07-12 22:30:00,2022-07-12 23:00:00,0.5,3.06
5,2022-07-13 08:30:00,2022-07-13 08:45:00,0.36,0.52
6,2022-07-13 15:30:00,2022-07-13 16:00:00,0.51,2.51
7,2022-07-13 22:30:00,2022-07-13 23:00:00,0.51,3.04
8,2022-07-14 22:30:00,2022-07-14 23:00:00,0.69,3.97
9,2022-07-15 22:30:00,2022-07-15 23:00:00,0.45,2.72
10,2022-07-16 22:30:00,2022-07-16 23:00:00,0.52,3.03
11,2022-07-17 18:45:00,2022-07-17 19:00:00,0.41,1.99
12,2022-07-17 22:30:00,2022-07-17 22:45:00,0.44,2.67
13,2022-07-18 22:30:00,2022-07-18 23:00:00,0.49,2.88
14,2022-07-19 22:30:00,2022-07-19 23:00:00,0.49,2.93
15,2022-07-20 22:30:00,2022-07-20 22:45:00,0.45,2.55
16,2022-07-21 22:30:00,2022-07-21 23:00:00,0.48,2.83
17,2022-07-22 22:30:00,2022-07-22 23:00:00,0.49,2.87
18,2022-07-23 22:30:00,2022-07-23 23:00:00,0.46,2.78
19,2022-07-24 22:30:00,2022-07-24 22:45:00,0.44,2.56
20,2022-07-25 22:30:00,2022-07-25 22:45:00,0.43,2.61
21,2022-07-26 22:30:00,2022-07-26 23:00:00,0.52,3.01
22,2022-07-27 08:45:00,2022-07-27 08:45:00,0.12,0.39
23,2022-07-27 10:00:00,2022-07-27 10:15:00,0.46,0.55
24,2022-07-27 19:30:00,2022-07-27 20:00:00,0.58,2.73
25,2022-07-27 22:30:00,2022-07-27 22:45:00,0.44,2.64
26,2022-07-28 08:30:00,2022-07-28 08:30:00,0.12,0.47
27,2022-07-28 14:15:00,2022-07-28 14:45:00,0.45,2.28
28,2022-07-28 22:30:00,2022-07-28 23:00:00,0.48,2.87
29,2022-07-29 10:30:00,2022-07-29 10:30:00,0.12,0.46
30,2022-07-29 12:15:00,2022-07-29 12:15:00,0.12,0.4
31,2022-07-29 14:45:00,2022-07-29 15:30:00,0.72,3.58
32,2022-07-29 17:15:00,2022-07-29 17:30:00,0.44,1.9
33,2022-07-29 19:30:00,2022-07-29 20:00:00,0.39,1.99
34,2022-07-29 21:45:00,2022-07-29 22:00:00,0.38,1.87
35,2022-07-29 22:30:00,2022-07-29 23:00:00,0.49,2.99
36,2022-07-30 09:00:00,2022-07-30 09:15:00,0.46,0.54
37,2022-07-30 10:30:00,2022-07-30 10:30:00,0.12,0.48
38,2022-07-30 15:00:00,2022-07-30 15:30:00,0.44,2.26
39,2022-07-30 20:30:00,2022-07-30 20:45:00,0.31,1.3
40,2022-07-30 22:30:00,2022-07-30 23:00:00,0.66,3.82
41,2022-07-31 22:30:00,2022-07-31 23:00:00,0.66,3.69
42,2022-08-01 22:30:00,2022-08-01 22:45:00,0.46,2.39
