cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-31 23:00:00,2021-01-31 23:30:00,0.32,1.2
1,2021-02-01 00:15:00,2021-02-01 00:30:00,0.46,1.48
2,2021-02-01 01:30:00,2021-02-01 01:30:00,0.12,0.94
3,2021-02-01 02:15:00,2021-02-01 02:30:00,0.31,1.02
4,2021-02-01 03:15:00,2021-02-01 03:30:00,0.44,1.35
5,2021-02-01 04:15:00,2021-02-01 04:30:00,0.3,1.11
6,2021-02-01 05:30:00,2021-02-01 05:45:00,0.36,1.17
7,2021-02-01 06:30:00,2021-02-01 06:45:00,0.4,1.47
8,2021-02-01 07:45:00,2021-02-01 08:15:00,0.37,1.38
9,2021-02-01 09:15:00,2021-02-01 09:15:00,0.12,0.92
10,2021-02-01 10:15:00,2021-02-01 10:30:00,0.46,1.27
11,2021-02-01 11:30:00,2021-02-01 11:45:00,0.44,1.37
12,2021-02-01 13:00:00,2021-02-01 13:15:00,0.39,1.44
13,2021-02-01 14:15:00,2021-02-01 14:45:00,0.4,1.46
14,2021-02-01 15:30:00,2021-02-01 15:45:00,0.29,1.02
15,2021-02-01 16:30:00,2021-02-01 17:00:00,0.39,1.41
16,2021-02-01 17:45:00,2021-02-01 18:00:00,0.31,1.15
17,2021-02-01 19:00:00,2021-02-01 19:15:00,0.33,1.06
18,2021-02-01 20:00:00,2021-02-01 20:15:00,0.39,1.46
19,2021-02-01 21:30:00,2021-02-01 21:45:00,0.4,1.35
20,2021-02-01 22:45:00,2021-02-01 23:00:00,0.46,1.51
21,2021-02-02 00:00:00,2021-02-02 00:15:00,0.45,1.19
22,2021-02-02 01:00:00,2021-02-02 01:15:00,0.37,1.36
23,2021-02-02 02:15:00,2021-02-02 02:30:00,0.38,1.27
24,2021-02-02 03:30:00,2021-02-02 03:45:00,0.41,1.34
25,2021-02-02 04:45:00,2021-02-02 05:00:00,0.46,1.35
26,2021-02-02 06:00:00,2021-02-02 06:30:00,0.4,1.49
27,2021-02-02 07:30:00,2021-02-02 08:00:00,0.38,1.36
28,2021-02-02 09:00:00,2021-02-02 09:15:00,0.5,1.25
29,2021-02-02 10:30:00,2021-02-02 10:45:00,0.34,1.15
30,2021-02-02 11:45:00,2021-02-02 12:00:00,0.3,1.08
31,2021-02-02 13:00:00,2021-02-02 13:15:00,0.44,0.98
32,2021-02-02 14:15:00,2021-02-02 14:30:00,0.33,1.03
33,2021-02-02 15:15:00,2021-02-02 15:30:00,0.34,1.01
34,2021-02-02 16:30:00,2021-02-02 16:45:00,0.43,0.98
35,2021-02-02 17:45:00,2021-02-02 17:45:00,0.12,0.86
36,2021-02-02 18:45:00,2021-02-02 19:00:00,0.39,0.97
37,2021-02-02 20:00:00,2021-02-02 20:00:00,0.12,0.88
38,2021-02-02 21:00:00,2021-02-02 21:15:00,0.42,0.9
39,2021-02-02 22:15:00,2021-02-02 22:15:00,0.12,0.85
40,2021-02-02 23:15:00,2021-02-02 23:30:00,0.42,0.98
41,2021-02-03 00:30:00,2021-02-03 00:45:00,0.42,0.9
42,2021-02-03 01:45:00,2021-02-03 02:00:00,0.28,0.94
43,2021-02-03 02:45:00,2021-02-03 03:00:00,0.32,0.9
44,2021-02-03 04:00:00,2021-02-03 04:15:00,0.28,1.03
45,2021-02-03 05:00:00,2021-02-03 05:15:00,0.36,1.03
46,2021-02-03 06:15:00,2021-02-03 06:30:00,0.3,0.94
47,2021-02-03 07:15:00,2021-02-03 07:30:00,0.35,1.25
48,2021-02-03 08:45:00,2021-02-03 09:00:00,0.37,1.22
49,2021-02-03 10:15:00,2021-02-03 10:30:00,0.4,1.02
50,2021-02-03 12:00:00,2021-02-03 12:15:00,0.43,0.96
51,2021-02-03 13:15:00,2021-02-03 13:30:00,0.43,1.05
52,2021-02-03 14:15:00,2021-02-03 14:30:00,0.32,1.17
53,2021-02-03 15:45:00,2021-02-03 16:00:00,0.28,1.01
54,2021-02-03 16:45:00,2021-02-03 17:00:00,0.31,0.93
55,2021-02-03 18:00:00,2021-02-03 18:30:00,0.32,1.16
56,2021-02-03 19:30:00,2021-02-03 19:45:00,0.41,1.24
57,2021-02-03 21:00:00,2021-02-03 21:15:00,0.43,1.27
58,2021-02-03 22:30:00,2021-02-03 22:45:00,0.49,1.32
59,2021-02-03 23:45:00,2021-02-04 00:15:00,0.43,1.54
60,2021-02-04 01:15:00,2021-02-04 01:30:00,0.45,1.39
61,2021-02-04 02:30:00,2021-02-04 02:45:00,0.34,1.19
62,2021-02-04 03:30:00,2021-02-04 03:45:00,0.42,1.44
63,2021-02-04 04:30:00,2021-02-04 04:45:00,0.4,1.33
64,2021-02-04 05:30:00,2021-02-04 05:45:00,0.46,1.25
65,2021-02-04 06:30:00,2021-02-04 07:00:00,0.4,1.5
66,2021-02-04 08:00:00,2021-02-04 08:00:00,0.12,0.94
67,2021-02-04 09:15:00,2021-02-04 09:30:00,0.39,1.22
68,2021-02-04 11:00:00,2021-02-04 11:00:00,0.12,0.9
69,2021-02-04 12:00:00,2021-02-04 12:15:00,0.37,0.99
70,2021-02-04 13:30:00,2021-02-04 13:45:00,0.38,1.19
71,2021-02-04 14:45:00,2021-02-04 15:00:00,0.36,1.15
72,2021-02-04 15:45:00,2021-02-04 16:15:00,0.34,1.25
73,2021-02-04 17:00:00,2021-02-04 17:15:00,0.41,1.2
74,2021-02-04 18:15:00,2021-02-04 18:30:00,0.36,1.32
75,2021-02-04 19:15:00,2021-02-04 19:45:00,0.33,1.22
76,2021-02-04 20:30:00,2021-02-04 20:45:00,0.44,1.37
77,2021-02-04 21:45:00,2021-02-04 22:15:00,0.42,1.5
78,2021-02-04 23:00:00,2021-02-04 23:15:00,0.38,1.33
79,2021-02-05 00:00:00,2021-02-05 00:15:00,0.38,1.42
80,2021-02-05 01:00:00,2021-02-05 01:30:00,0.35,1.32
81,2021-02-05 02:15:00,2021-02-05 02:45:00,0.54,1.9
82,2021-02-05 03:30:00,2021-02-05 03:45:00,0.49,1.14
83,2021-02-05 04:30:00,2021-02-05 05:00:00,0.48,1.85
84,2021-02-05 05:45:00,2021-02-05 06:00:00,0.37,1.4
85,2021-02-05 07:00:00,2021-02-05 07:15:00,0.4,1.34
86,2021-02-05 08:00:00,2021-02-05 08:15:00,0.29,0.94
87,2021-02-05 09:30:00,2021-02-05 09:45:00,0.28,1.01
88,2021-02-05 11:15:00,2021-02-05 11:30:00,0.45,0.94
89,2021-02-05 12:45:00,2021-02-05 13:00:00,0.29,1.0
90,2021-02-05 14:00:00,2021-02-05 14:15:00,0.34,1.09
91,2021-02-05 15:15:00,2021-02-05 15:30:00,0.46,1.16
92,2021-02-05 16:30:00,2021-02-05 16:45:00,0.37,0.95
93,2021-02-05 17:30:00,2021-02-05 17:45:00,0.42,1.2
94,2021-02-05 18:45:00,2021-02-05 19:00:00,0.49,1.25
95,2021-02-05 20:00:00,2021-02-05 20:15:00,0.39,1.3
96,2021-02-05 21:15:00,2021-02-05 21:30:00,0.45,1.44
97,2021-02-05 22:30:00,2021-02-05 22:45:00,0.33,0.8
98,2021-02-05 23:30:00,2021-02-06 00:00:00,0.42,1.58
99,2021-02-06 00:45:00,2021-02-06 01:00:00,0.38,1.09
100,2021-02-06 01:45:00,2021-02-06 02:00:00,0.46,1.58
101,2021-02-06 02:45:00,2021-02-06 03:00:00,0.32,1.0
102,2021-02-06 04:00:00,2021-02-06 04:15:00,0.39,1.46
103,2021-02-06 05:00:00,2021-02-06 05:15:00,0.41,1.53
104,2021-02-06 06:30:00,2021-02-06 06:45:00,0.37,1.4
105,2021-02-06 07:30:00,2021-02-06 07:45:00,0.34,1.13
106,2021-02-06 08:30:00,2021-02-06 08:45:00,0.38,1.12
107,2021-02-06 09:45:00,2021-02-06 10:00:00,0.49,1.33
108,2021-02-06 11:15:00,2021-02-06 11:30:00,0.35,1.31
109,2021-02-06 12:30:00,2021-02-06 12:45:00,0.4,1.31
110,2021-02-06 13:45:00,2021-02-06 14:00:00,0.34,1.16
111,2021-02-06 15:00:00,2021-02-06 15:15:00,0.38,1.24
112,2021-02-06 16:15:00,2021-02-06 16:30:00,0.48,1.39
113,2021-02-06 17:15:00,2021-02-06 17:45:00,0.32,1.18
114,2021-02-06 18:30:00,2021-02-06 19:00:00,0.41,1.56
115,2021-02-06 20:00:00,2021-02-06 20:15:00,0.31,1.13
116,2021-02-06 21:00:00,2021-02-06 21:15:00,0.43,1.31
117,2021-02-06 22:00:00,2021-02-06 22:15:00,0.36,1.09
118,2021-02-06 23:15:00,2021-02-06 23:30:00,0.41,1.48
119,2021-02-07 00:30:00,2021-02-07 00:45:00,0.46,1.57
120,2021-02-07 01:45:00,2021-02-07 02:00:00,0.34,1.27
121,2021-02-07 02:45:00,2021-02-07 03:00:00,0.43,1.6
122,2021-02-07 03:45:00,2021-02-07 04:15:00,0.36,1.36
123,2021-02-07 05:00:00,2021-02-07 05:15:00,0.46,1.23
124,2021-02-07 06:00:00,2021-02-07 06:30:00,0.5,1.93
