cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-21 23:00:00,2021-10-21 23:15:00,0.4,1.33
1,2021-10-22 01:45:00,2021-10-22 02:15:00,0.38,1.3
2,2021-10-22 05:30:00,2021-10-22 06:00:00,0.68,2.33
3,2021-10-22 07:45:00,2021-10-22 08:15:00,0.46,1.57
4,2021-10-22 11:15:00,2021-10-22 11:30:00,0.33,1.12
5,2021-10-22 16:00:00,2021-10-22 16:45:00,0.66,2.21
6,2021-10-22 18:30:00,2021-10-22 19:00:00,0.49,1.68
7,2021-10-22 20:30:00,2021-10-22 21:00:00,0.46,1.58
8,2021-10-22 22:45:00,2021-10-22 23:00:00,0.47,1.51
9,2021-10-23 00:30:00,2021-10-23 02:00:00,1.53,5.23
10,2021-10-23 03:15:00,2021-10-23 03:45:00,0.55,1.86
11,2021-10-23 05:30:00,2021-10-23 05:45:00,0.42,1.33
12,2021-10-23 07:30:00,2021-10-23 07:45:00,0.45,1.38
13,2021-10-23 16:30:00,2021-10-23 17:00:00,0.62,2.08
14,2021-10-23 19:15:00,2021-10-23 19:45:00,0.43,1.46
15,2021-10-23 21:15:00,2021-10-23 21:45:00,0.56,1.9
16,2021-10-23 23:15:00,2021-10-23 23:45:00,0.53,1.8
17,2021-10-24 01:15:00,2021-10-24 01:45:00,0.59,2.01
18,2021-10-24 03:30:00,2021-10-24 04:00:00,0.53,1.8
19,2021-10-24 05:30:00,2021-10-24 06:00:00,0.63,2.16
20,2021-10-24 07:45:00,2021-10-24 08:45:00,1.09,3.74
21,2021-10-24 16:45:00,2021-10-24 17:15:00,0.59,1.96
22,2021-10-24 19:15:00,2021-10-24 19:30:00,0.49,1.6
23,2021-10-24 21:30:00,2021-10-24 22:00:00,0.51,1.73
24,2021-10-25 00:00:00,2021-10-25 00:30:00,0.48,1.62
25,2021-10-25 02:30:00,2021-10-25 03:00:00,0.44,1.52
26,2021-10-25 05:00:00,2021-10-25 05:30:00,0.49,1.67
27,2021-10-25 07:45:00,2021-10-25 08:30:00,0.79,2.72
28,2021-10-25 17:00:00,2021-10-25 17:15:00,0.48,1.61
29,2021-10-25 19:45:00,2021-10-25 20:15:00,0.4,1.36
30,2021-10-25 23:15:00,2021-10-25 23:30:00,0.35,1.21
31,2021-10-26 01:45:00,2021-10-26 02:00:00,0.49,1.4
32,2021-10-26 05:00:00,2021-10-26 05:30:00,0.43,1.46
33,2021-10-26 09:00:00,2021-10-26 09:15:00,0.48,1.07
34,2021-10-26 16:30:00,2021-10-26 17:00:00,0.55,1.86
35,2021-10-26 19:30:00,2021-10-26 20:00:00,0.44,1.52
36,2021-10-26 22:30:00,2021-10-26 22:45:00,0.47,1.5
37,2021-10-27 01:00:00,2021-10-27 01:15:00,0.4,1.35
38,2021-10-27 03:45:00,2021-10-27 04:15:00,0.74,2.54
39,2021-10-27 06:00:00,2021-10-27 06:30:00,0.53,1.81
40,2021-10-27 08:15:00,2021-10-27 08:45:00,0.43,1.47
41,2021-10-27 16:30:00,2021-10-27 17:00:00,0.53,1.76
42,2021-10-27 19:00:00,2021-10-27 19:30:00,0.41,1.42
43,2021-10-27 21:00:00,2021-10-27 22:00:00,1.06,3.66
44,2021-10-27 23:30:00,2021-10-28 00:00:00,0.59,2.04
45,2021-10-28 02:30:00,2021-10-28 02:45:00,0.42,1.24
46,2021-10-28 06:00:00,2021-10-28 06:15:00,0.48,1.18
47,2021-10-28 09:30:00,2021-10-28 09:45:00,0.42,1.3
48,2021-10-28 16:15:00,2021-10-28 16:45:00,0.59,1.97
49,2021-10-28 19:00:00,2021-10-28 19:15:00,0.39,1.32
50,2021-10-28 21:45:00,2021-10-28 22:00:00,0.42,1.45
51,2021-10-29 00:15:00,2021-10-29 00:30:00,0.5,1.46
52,2021-10-29 01:45:00,2021-10-29 03:00:00,1.19,4.14
53,2021-10-29 05:00:00,2021-10-29 05:30:00,0.51,1.72
54,2021-10-29 07:30:00,2021-10-29 08:00:00,0.52,1.78
55,2021-10-29 10:45:00,2021-10-29 11:00:00,0.41,1.39
56,2021-10-29 15:30:00,2021-10-29 16:00:00,0.49,1.66
57,2021-10-29 18:15:00,2021-10-29 18:30:00,0.44,1.51
58,2021-10-29 21:00:00,2021-10-29 21:15:00,0.41,1.42
59,2021-10-29 23:30:00,2021-10-30 00:00:00,0.47,1.65
60,2021-10-30 01:15:00,2021-10-30 02:30:00,1.33,4.57
61,2021-10-30 04:15:00,2021-10-30 04:45:00,0.46,1.59
62,2021-10-30 07:00:00,2021-10-30 07:30:00,0.43,1.47
63,2021-10-30 09:00:00,2021-10-30 09:45:00,0.69,2.33
64,2021-10-30 11:45:00,2021-10-30 12:30:00,0.64,2.15
65,2021-10-30 15:15:00,2021-10-30 15:45:00,0.44,1.5
66,2021-10-30 18:30:00,2021-10-30 18:45:00,0.37,1.25
67,2021-10-30 21:45:00,2021-10-30 22:15:00,0.44,1.51
68,2021-10-31 01:15:00,2021-10-31 01:45:00,0.61,2.1
69,2021-10-31 03:15:00,2021-10-31 03:45:00,0.59,1.98
70,2021-10-31 05:30:00,2021-10-31 06:00:00,0.62,2.08
71,2021-10-31 16:15:00,2021-10-31 16:45:00,0.43,1.42
72,2021-10-31 20:15:00,2021-10-31 20:30:00,0.35,1.17
73,2021-11-01 02:30:00,2021-11-01 03:00:00,0.57,1.94
74,2021-11-01 04:45:00,2021-11-01 05:15:00,0.61,2.06
75,2021-11-01 08:15:00,2021-11-01 08:30:00,0.38,1.3
76,2021-11-01 13:45:00,2021-11-01 14:00:00,0.44,1.17
77,2021-11-01 17:15:00,2021-11-01 17:45:00,0.44,1.52
78,2021-11-01 19:15:00,2021-11-01 20:00:00,0.7,2.41
79,2021-11-01 22:00:00,2021-11-01 22:30:00,0.41,1.41
80,2021-11-02 01:00:00,2021-11-02 01:30:00,0.61,2.08
81,2021-11-02 03:00:00,2021-11-02 03:30:00,0.52,1.79
82,2021-11-02 05:45:00,2021-11-02 06:00:00,0.45,1.4
83,2021-11-02 08:45:00,2021-11-02 09:15:00,0.54,1.88
84,2021-11-02 12:45:00,2021-11-02 13:00:00,0.36,1.13
85,2021-11-02 15:45:00,2021-11-02 16:00:00,0.48,1.56
86,2021-11-02 18:00:00,2021-11-02 18:15:00,0.49,1.67
87,2021-11-02 20:15:00,2021-11-02 20:45:00,0.54,1.85
88,2021-11-02 22:30:00,2021-11-02 23:45:00,1.28,4.42
89,2021-11-03 01:15:00,2021-11-03 02:00:00,0.78,2.68
90,2021-11-03 04:15:00,2021-11-03 04:45:00,0.61,2.05
