cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:15:00,2021-01-21 00:00:00,1.0,0.72
1,2021-01-21 00:30:00,2021-01-21 01:15:00,1.0,0.72
2,2021-01-21 01:45:00,2021-01-21 02:30:00,1.0,0.82
3,2021-01-21 03:00:00,2021-01-21 03:00:00,0.12,0.26
4,2021-01-21 03:30:00,2021-01-21 03:30:00,0.12,0.22
5,2021-01-21 04:00:00,2021-01-21 04:00:00,0.12,0.39
6,2021-01-21 04:30:00,2021-01-21 05:15:00,1.0,1.43
7,2021-01-21 05:45:00,2021-01-21 05:45:00,0.12,0.48
8,2021-01-21 06:15:00,2021-01-21 06:30:00,0.31,0.51
9,2021-01-21 07:45:00,2021-01-21 08:30:00,1.0,1.24
10,2021-01-21 11:15:00,2021-01-21 11:30:00,0.48,0.96
11,2021-01-21 12:00:00,2021-01-21 12:00:00,0.12,0.18
12,2021-01-21 13:15:00,2021-01-21 13:30:00,0.35,0.78
13,2021-01-21 14:00:00,2021-01-21 14:00:00,0.12,0.32
14,2021-01-21 15:30:00,2021-01-21 16:30:00,1.25,1.51
15,2021-01-21 18:30:00,2021-01-21 18:45:00,0.47,0.99
16,2021-01-21 19:15:00,2021-01-21 21:00:00,1.92,1.33
17,2021-01-21 22:30:00,2021-01-21 22:45:00,0.41,0.51
18,2021-01-21 23:15:00,2021-01-21 23:30:00,0.41,0.4
19,2021-01-22 00:15:00,2021-01-22 00:15:00,0.12,0.28
20,2021-01-22 02:00:00,2021-01-22 02:30:00,0.35,0.74
21,2021-01-22 04:15:00,2021-01-22 04:45:00,0.65,1.45
22,2021-01-22 06:00:00,2021-01-22 06:15:00,0.36,0.83
23,2021-01-22 07:45:00,2021-01-22 08:15:00,0.47,1.06
24,2021-01-22 11:15:00,2021-01-22 11:45:00,0.66,1.44
25,2021-01-22 13:45:00,2021-01-22 14:00:00,0.49,1.0
26,2021-01-22 15:30:00,2021-01-22 16:00:00,0.45,1.01
27,2021-01-22 18:30:00,2021-01-22 19:00:00,0.61,1.35
28,2021-01-22 20:15:00,2021-01-22 20:45:00,0.73,0.93
29,2021-01-22 22:45:00,2021-01-22 23:30:00,1.0,0.94
30,2021-01-23 00:30:00,2021-01-23 00:45:00,0.37,0.73
31,2021-01-23 02:00:00,2021-01-23 02:30:00,0.41,0.9
32,2021-01-23 03:45:00,2021-01-23 04:00:00,0.39,0.89
33,2021-01-23 04:30:00,2021-01-23 04:45:00,0.48,0.97
34,2021-01-23 05:45:00,2021-01-23 06:45:00,1.01,1.36
35,2021-01-23 07:30:00,2021-01-23 07:45:00,0.4,0.71
36,2021-01-23 08:15:00,2021-01-23 09:00:00,1.0,0.87
37,2021-01-23 09:30:00,2021-01-23 09:30:00,0.12,0.26
38,2021-01-23 10:00:00,2021-01-23 10:45:00,1.0,0.68
39,2021-01-23 11:15:00,2021-01-23 12:00:00,1.0,0.75
40,2021-01-23 12:30:00,2021-01-23 13:15:00,1.0,0.7
41,2021-01-23 13:45:00,2021-01-23 13:45:00,0.12,0.22
42,2021-01-23 14:15:00,2021-01-23 14:15:00,0.12,0.39
43,2021-01-23 14:45:00,2021-01-23 15:30:00,1.0,0.79
44,2021-01-23 16:00:00,2021-01-23 16:00:00,0.12,0.28
45,2021-01-23 16:30:00,2021-01-23 16:30:00,0.12,0.29
46,2021-01-23 17:00:00,2021-01-23 17:45:00,1.0,0.78
47,2021-01-23 18:15:00,2021-01-23 18:15:00,0.12,0.26
48,2021-01-23 18:45:00,2021-01-23 18:45:00,0.12,0.38
49,2021-01-23 19:15:00,2021-01-23 19:30:00,0.49,0.4
50,2021-01-23 20:00:00,2021-01-23 20:30:00,0.75,0.78
51,2021-01-23 21:00:00,2021-01-23 21:00:00,0.12,0.09
52,2021-01-23 22:30:00,2021-01-23 22:45:00,0.42,0.55
53,2021-01-23 23:15:00,2021-01-23 23:30:00,0.42,0.38
54,2021-01-24 00:00:00,2021-01-24 00:00:00,0.12,0.2
55,2021-01-24 00:30:00,2021-01-24 01:15:00,1.0,0.65
56,2021-01-24 01:45:00,2021-01-24 02:30:00,1.0,0.73
57,2021-01-24 03:00:00,2021-01-24 03:45:00,1.0,0.82
58,2021-01-24 04:15:00,2021-01-24 06:00:00,1.85,2.25
59,2021-01-24 06:45:00,2021-01-24 06:45:00,0.12,0.63
60,2021-01-24 07:15:00,2021-01-24 07:30:00,0.41,0.77
61,2021-01-24 08:30:00,2021-01-24 09:15:00,0.79,1.22
62,2021-01-24 09:45:00,2021-01-24 09:45:00,0.12,0.38
63,2021-01-24 10:15:00,2021-01-24 10:30:00,0.48,0.46
64,2021-01-24 11:00:00,2021-01-24 11:00:00,0.12,0.26
65,2021-01-24 11:30:00,2021-01-24 11:45:00,0.44,0.44
66,2021-01-24 12:15:00,2021-01-24 12:15:00,0.12,0.23
67,2021-01-24 12:45:00,2021-01-24 13:00:00,0.5,0.38
68,2021-01-24 13:30:00,2021-01-24 13:30:00,0.12,0.21
69,2021-01-24 14:00:00,2021-01-24 14:30:00,0.75,0.92
70,2021-01-24 15:45:00,2021-01-24 16:00:00,0.34,0.8
71,2021-01-24 16:30:00,2021-01-24 16:30:00,0.12,0.41
