cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-25 17:15:00,2021-06-25 21:30:00,4.21,7.08
1,2021-06-26 06:30:00,2021-06-26 07:15:00,0.77,1.24
2,2021-06-26 10:00:00,2021-06-26 13:45:00,3.93,6.28
3,2021-06-27 10:15:00,2021-06-27 10:30:00,0.5,0.8
4,2021-06-27 11:00:00,2021-06-27 14:15:00,3.45,5.51
5,2021-06-28 17:15:00,2021-06-28 21:15:00,4.13,7.01
6,2021-06-29 18:30:00,2021-06-29 21:45:00,3.5,5.91
7,2021-06-30 06:45:00,2021-06-30 06:45:00,0.12,0.22
8,2021-06-30 10:00:00,2021-06-30 10:15:00,0.42,0.66
9,2021-06-30 11:00:00,2021-06-30 12:15:00,1.29,2.16
10,2021-06-30 13:45:00,2021-06-30 17:45:00,4.15,7.04
11,2021-07-01 17:15:00,2021-07-01 21:15:00,4.07,6.87
12,2021-07-02 04:15:00,2021-07-02 05:45:00,1.53,2.61
13,2021-07-02 17:00:00,2021-07-02 21:30:00,4.58,7.64
14,2021-07-03 18:30:00,2021-07-03 23:00:00,4.52,7.68
15,2021-07-04 06:45:00,2021-07-04 07:45:00,1.2,2.02
16,2021-07-04 09:15:00,2021-07-04 11:15:00,2.11,3.54
17,2021-07-04 11:45:00,2021-07-04 16:00:00,4.41,7.23
18,2021-07-05 17:00:00,2021-07-05 21:15:00,4.5,7.45
19,2021-07-06 18:45:00,2021-07-06 23:00:00,4.39,7.46
20,2021-07-07 17:00:00,2021-07-07 21:00:00,4.25,7.18
21,2021-07-08 17:15:00,2021-07-08 21:45:00,4.5,7.64
22,2021-07-09 17:15:00,2021-07-09 22:00:00,4.93,8.35
23,2021-07-10 11:45:00,2021-07-10 16:45:00,4.98,7.96
24,2021-07-11 12:45:00,2021-07-11 15:00:00,2.37,3.79
25,2021-07-11 22:45:00,2021-07-12 02:00:00,3.45,5.81
26,2021-07-12 17:00:00,2021-07-12 20:00:00,3.08,4.93
27,2021-07-13 18:30:00,2021-07-13 23:00:00,4.63,7.82
28,2021-07-14 17:00:00,2021-07-14 21:15:00,4.34,7.35
29,2021-07-15 17:00:00,2021-07-15 21:45:00,4.85,8.28
30,2021-07-16 17:00:00,2021-07-16 17:30:00,0.65,1.1
31,2021-07-16 19:45:00,2021-07-17 01:00:00,5.34,9.0
32,2021-07-17 12:45:00,2021-07-17 17:30:00,4.85,8.23
33,2021-07-18 13:15:00,2021-07-18 16:30:00,3.2,5.11
34,2021-07-19 17:30:00,2021-07-19 21:45:00,4.41,7.22
35,2021-07-20 18:30:00,2021-07-20 22:30:00,3.99,6.69
36,2021-07-21 18:30:00,2021-07-21 23:45:00,5.19,8.67
37,2021-07-22 05:30:00,2021-07-22 05:30:00,0.12,0.21
38,2021-07-22 17:00:00,2021-07-22 22:00:00,5.16,8.06
39,2021-07-23 11:15:00,2021-07-23 15:15:00,4.09,6.52
40,2021-07-23 17:45:00,2021-07-23 22:45:00,5.13,8.29
41,2021-07-24 15:30:00,2021-07-24 16:45:00,1.49,2.53
42,2021-07-24 20:30:00,2021-07-25 00:15:00,3.85,6.48
43,2021-07-25 10:45:00,2021-07-25 13:00:00,2.23,3.78
44,2021-07-26 17:00:00,2021-07-26 21:30:00,4.56,7.76
45,2021-07-27 18:30:00,2021-07-27 23:00:00,4.58,7.76
46,2021-07-28 17:00:00,2021-07-28 20:45:00,3.94,6.68
47,2021-07-29 17:30:00,2021-07-29 22:15:00,4.81,7.52
48,2021-08-02 17:00:00,2021-08-02 21:45:00,4.8,8.14
49,2021-08-03 18:30:00,2021-08-03 21:45:00,3.3,5.56
50,2021-08-04 18:45:00,2021-08-04 22:45:00,4.05,6.88
51,2021-08-05 09:45:00,2021-08-05 10:15:00,0.5,0.83
52,2021-08-05 11:30:00,2021-08-05 15:30:00,4.22,7.14
53,2021-08-06 17:00:00,2021-08-06 21:30:00,4.6,7.83
54,2021-08-07 15:45:00,2021-08-07 20:15:00,4.56,7.65
55,2021-08-08 12:30:00,2021-08-08 13:30:00,1.21,2.06
56,2021-08-08 14:30:00,2021-08-08 19:45:00,5.16,8.73
57,2021-08-09 17:00:00,2021-08-09 21:15:00,4.3,7.27
58,2021-08-10 18:30:00,2021-08-10 23:00:00,4.55,7.72
59,2021-08-11 10:30:00,2021-08-11 11:45:00,1.29,2.07
60,2021-08-11 14:00:00,2021-08-11 18:15:00,4.32,6.89
61,2021-08-12 13:45:00,2021-08-12 15:30:00,1.88,3.03
62,2021-08-12 17:45:00,2021-08-12 22:30:00,4.69,7.48
63,2021-08-13 17:00:00,2021-08-13 20:15:00,3.32,5.31
64,2021-08-14 08:30:00,2021-08-14 09:00:00,0.51,0.82
65,2021-08-14 11:30:00,2021-08-14 15:45:00,4.2,6.71
66,2021-08-14 16:30:00,2021-08-14 16:30:00,0.12,0.18
67,2021-08-15 12:45:00,2021-08-15 16:15:00,3.66,5.83
68,2021-08-16 17:00:00,2021-08-16 21:15:00,4.33,7.31
69,2021-08-17 18:30:00,2021-08-17 23:15:00,4.83,8.19
70,2021-08-18 09:15:00,2021-08-18 10:30:00,1.36,2.31
71,2021-08-18 12:30:00,2021-08-18 14:45:00,2.27,3.85
72,2021-08-18 15:15:00,2021-08-18 16:00:00,0.98,1.67
73,2021-08-18 19:30:00,2021-08-19 00:15:00,4.68,7.98
74,2021-08-19 17:00:00,2021-08-19 17:15:00,0.45,0.62
75,2021-08-19 17:45:00,2021-08-19 22:00:00,4.34,7.33
76,2021-08-20 09:15:00,2021-08-20 09:45:00,0.68,1.1
77,2021-08-20 10:15:00,2021-08-20 13:45:00,3.62,5.79
78,2021-08-20 14:15:00,2021-08-20 16:45:00,2.7,4.31
79,2021-08-21 18:30:00,2021-08-21 22:45:00,4.33,7.29
80,2021-08-22 10:00:00,2021-08-22 13:15:00,3.27,5.23
81,2021-08-23 18:45:00,2021-08-23 23:45:00,4.91,8.35
82,2021-08-24 18:30:00,2021-08-24 21:45:00,3.49,5.91
83,2021-08-25 18:15:00,2021-08-25 23:15:00,5.07,8.57
84,2021-08-26 17:15:00,2021-08-26 21:45:00,4.58,7.78
85,2021-09-05 17:30:00,2021-09-05 21:45:00,4.32,7.24
86,2021-09-06 17:00:00,2021-09-06 20:15:00,3.5,5.84
87,2021-09-07 18:30:00,2021-09-07 23:00:00,4.58,7.74
88,2021-09-08 09:00:00,2021-09-08 12:15:00,3.23,5.15
89,2021-09-08 12:45:00,2021-09-08 16:15:00,3.57,5.7
90,2021-09-09 17:00:00,2021-09-09 21:15:00,4.36,7.35
91,2021-09-10 10:00:00,2021-09-10 10:30:00,0.73,1.17
92,2021-09-10 12:30:00,2021-09-10 15:00:00,2.55,4.07
93,2021-09-11 15:30:00,2021-09-11 20:15:00,4.87,7.64
94,2021-09-12 15:30:00,2021-09-12 18:45:00,3.24,5.49
95,2021-09-13 18:30:00,2021-09-13 23:00:00,4.75,8.04
96,2021-09-14 17:00:00,2021-09-14 17:00:00,0.12,0.22
97,2021-09-14 17:30:00,2021-09-14 22:30:00,5.06,8.47
98,2021-09-15 16:45:00,2021-09-15 21:15:00,4.56,7.67
99,2021-09-16 18:30:00,2021-09-16 22:45:00,4.38,7.42
100,2021-09-17 17:00:00,2021-09-17 21:00:00,4.19,7.05
101,2021-09-18 15:00:00,2021-09-18 17:30:00,2.64,4.47
102,2021-09-18 20:00:00,2021-09-19 00:15:00,4.32,7.28
103,2021-09-19 05:45:00,2021-09-19 08:00:00,2.25,3.83
104,2021-09-19 12:00:00,2021-09-19 12:30:00,0.65,1.1
105,2021-09-19 14:00:00,2021-09-19 16:30:00,2.57,4.33
106,2021-09-19 19:30:00,2021-09-19 22:45:00,3.38,5.7
107,2021-09-20 17:00:00,2021-09-20 21:45:00,4.86,8.23
108,2021-09-21 18:30:00,2021-09-21 21:00:00,2.6,4.4
109,2021-09-22 09:30:00,2021-09-22 12:15:00,2.67,4.02
110,2021-09-22 15:15:00,2021-09-22 19:15:00,4.08,6.91
111,2021-09-23 17:15:00,2021-09-23 21:45:00,4.75,8.01
112,2021-09-24 17:00:00,2021-09-24 17:30:00,0.65,1.1
113,2021-09-24 20:45:00,2021-09-25 02:00:00,5.45,9.17
114,2021-09-25 09:30:00,2021-09-25 12:15:00,2.78,4.45
115,2021-09-25 12:45:00,2021-09-25 15:30:00,2.91,4.64
116,2021-09-25 18:45:00,2021-09-25 20:15:00,1.75,2.94
117,2021-09-26 06:00:00,2021-09-26 07:30:00,1.69,2.86
118,2021-09-26 13:45:00,2021-09-26 19:00:00,5.32,8.43
119,2021-09-27 17:00:00,2021-09-27 19:00:00,2.03,3.41
120,2021-09-27 19:30:00,2021-09-28 00:30:00,5.16,8.7
121,2021-09-28 18:30:00,2021-09-28 23:00:00,4.56,7.73
122,2021-09-29 06:45:00,2021-09-29 06:45:00,0.12,0.13
123,2021-09-29 08:30:00,2021-09-29 10:00:00,1.53,2.55
124,2021-09-29 11:45:00,2021-09-29 13:00:00,1.15,1.93
125,2021-09-29 14:15:00,2021-09-29 17:45:00,3.67,6.18
126,2021-09-29 21:30:00,2021-09-30 01:00:00,3.69,6.2
127,2021-09-30 07:45:00,2021-09-30 09:30:00,2.0,3.39
128,2021-09-30 12:15:00,2021-09-30 15:30:00,3.28,5.55
129,2021-09-30 20:15:00,2021-10-01 00:30:00,4.38,7.41
130,2021-10-01 21:45:00,2021-10-02 02:15:00,4.58,7.7
131,2021-10-02 18:30:00,2021-10-02 22:30:00,4.24,7.21
132,2021-10-03 05:45:00,2021-10-03 07:30:00,1.87,3.16
133,2021-10-03 09:15:00,2021-10-03 13:00:00,3.87,6.28
134,2021-10-04 17:45:00,2021-10-04 22:00:00,4.33,7.3
135,2021-10-05 18:30:00,2021-10-05 23:00:00,4.67,7.85
136,2021-10-06 17:00:00,2021-10-06 21:30:00,4.61,7.62
137,2021-10-07 17:00:00,2021-10-07 21:45:00,4.88,8.23
138,2021-10-08 17:00:00,2021-10-08 21:15:00,4.23,7.1
139,2021-10-10 14:45:00,2021-10-10 19:00:00,4.45,7.42
140,2021-10-11 17:00:00,2021-10-11 20:15:00,3.4,5.75
141,2021-10-12 05:00:00,2021-10-14 08:00:00,51.08,190.52
142,2021-10-14 09:15:00,2021-10-14 21:45:00,12.66,38.28
143,2021-10-15 09:45:00,2021-10-15 12:15:00,2.65,4.39
144,2021-10-15 14:15:00,2021-10-15 18:45:00,4.52,8.19
