cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-13 22:00:00,2021-04-13 22:45:00,0.55,3.75
1,2021-04-13 23:30:00,2021-04-14 00:00:00,0.48,3.88
2,2021-04-14 00:30:00,2021-04-14 04:45:00,4.22,31.34
3,2021-04-14 05:30:00,2021-04-14 06:00:00,0.56,3.94
4,2021-04-14 07:15:00,2021-04-14 07:45:00,0.44,3.56
5,2021-04-14 10:00:00,2021-04-14 10:30:00,0.52,5.62
6,2021-04-14 12:00:00,2021-04-14 12:30:00,0.38,2.46
7,2021-04-14 13:45:00,2021-04-14 14:15:00,0.39,2.49
8,2021-04-14 15:30:00,2021-04-14 15:45:00,0.29,1.79
9,2021-04-14 17:15:00,2021-04-14 17:45:00,0.5,6.33
10,2021-04-14 18:45:00,2021-04-14 19:15:00,0.48,3.55
11,2021-04-14 20:00:00,2021-04-14 21:00:00,0.98,5.25
12,2021-04-14 22:00:00,2021-04-14 22:30:00,0.48,3.82
13,2021-04-14 23:30:00,2021-04-15 00:00:00,0.4,2.68
14,2021-04-15 00:30:00,2021-04-15 04:30:00,3.99,25.28
15,2021-04-15 05:15:00,2021-04-15 06:00:00,0.56,3.88
16,2021-04-15 07:00:00,2021-04-15 07:30:00,0.47,3.64
17,2021-04-15 08:45:00,2021-04-15 08:45:00,0.12,0.57
18,2021-04-15 10:00:00,2021-04-15 10:15:00,0.46,4.92
19,2021-04-15 11:45:00,2021-04-15 12:15:00,0.5,3.42
20,2021-04-15 13:45:00,2021-04-15 14:15:00,0.51,3.34
21,2021-04-15 15:45:00,2021-04-15 15:45:00,0.12,0.66
22,2021-04-15 17:15:00,2021-04-15 17:45:00,0.52,6.0
23,2021-04-15 18:30:00,2021-04-15 19:15:00,0.76,4.31
24,2021-04-15 20:00:00,2021-04-15 20:30:00,0.46,3.58
25,2021-04-15 21:30:00,2021-04-15 22:00:00,0.46,3.7
26,2021-04-15 22:45:00,2021-04-15 23:30:00,0.56,3.79
27,2021-04-16 00:15:00,2021-04-16 02:15:00,1.85,14.79
28,2021-04-16 02:45:00,2021-04-16 03:45:00,0.96,5.3
29,2021-04-16 04:15:00,2021-04-16 04:45:00,0.49,5.85
30,2021-04-16 05:30:00,2021-04-16 06:15:00,0.57,3.87
31,2021-04-16 07:15:00,2021-04-16 07:45:00,0.44,3.63
32,2021-04-16 10:00:00,2021-04-16 10:15:00,0.48,5.26
33,2021-04-16 12:15:00,2021-04-16 12:45:00,0.39,3.09
34,2021-04-16 14:15:00,2021-04-16 14:45:00,0.4,2.38
35,2021-04-16 17:15:00,2021-04-16 17:45:00,0.52,5.55
36,2021-04-16 18:45:00,2021-04-16 19:15:00,0.44,3.47
37,2021-04-16 20:15:00,2021-04-16 20:45:00,0.54,3.66
38,2021-04-16 21:45:00,2021-04-16 22:15:00,0.48,3.75
39,2021-04-16 23:15:00,2021-04-16 23:45:00,0.47,3.73
