cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-25 05:30:00,2021-01-25 09:45:00,4.49,5.88
1,2021-01-25 11:15:00,2021-01-25 12:45:00,1.66,2.34
2,2021-01-25 15:30:00,2021-01-25 16:45:00,1.32,1.9
3,2021-01-25 18:15:00,2021-01-25 21:15:00,2.91,4.03
4,2021-01-26 04:45:00,2021-01-26 09:45:00,5.18,6.97
5,2021-01-26 11:15:00,2021-01-26 13:15:00,2.12,2.97
6,2021-01-26 16:00:00,2021-01-26 16:45:00,0.98,1.4
7,2021-01-26 18:15:00,2021-01-26 21:15:00,2.9,3.88
8,2021-01-27 01:45:00,2021-01-27 05:00:00,3.35,4.51
9,2021-01-27 05:30:00,2021-01-27 09:45:00,4.32,6.08
10,2021-01-27 11:00:00,2021-01-27 13:15:00,2.16,3.1
11,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.15
12,2021-01-27 18:30:00,2021-01-27 21:15:00,2.85,3.86
13,2021-01-28 05:30:00,2021-01-28 09:00:00,3.73,4.91
14,2021-01-28 11:15:00,2021-01-28 11:45:00,0.62,0.91
15,2021-01-28 18:30:00,2021-01-28 19:30:00,1.21,1.76
16,2021-01-29 05:30:00,2021-01-29 08:15:00,2.8,4.0
17,2021-01-29 11:15:00,2021-01-29 12:15:00,1.09,1.53
18,2021-01-29 16:30:00,2021-01-29 16:45:00,0.4,0.6
19,2021-01-29 18:15:00,2021-01-29 20:45:00,2.54,3.52
20,2021-01-30 05:30:00,2021-01-30 09:15:00,3.9,5.15
21,2021-01-30 13:15:00,2021-01-30 15:15:00,2.08,2.83
22,2021-01-30 19:00:00,2021-01-30 21:15:00,2.18,2.97
23,2021-01-31 05:30:00,2021-01-31 09:00:00,3.67,4.79
24,2021-01-31 14:30:00,2021-01-31 16:30:00,2.1,2.95
25,2021-01-31 20:15:00,2021-01-31 21:15:00,0.94,1.28
26,2021-02-01 05:30:00,2021-02-01 09:00:00,3.73,4.94
27,2021-02-01 11:15:00,2021-02-01 11:45:00,0.6,0.87
