cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-09-27 13:30:00,2021-09-27 13:45:00,0.3,0.77
1,2021-09-27 16:15:00,2021-09-27 18:45:00,2.73,7.99
2,2021-09-28 02:15:00,2021-09-28 02:15:00,0.12,0.27
3,2021-09-28 02:45:00,2021-09-28 02:45:00,0.12,0.27
4,2021-09-28 03:15:00,2021-09-28 03:30:00,0.44,0.48
5,2021-09-28 04:00:00,2021-09-28 04:00:00,0.12,0.27
6,2021-09-28 04:30:00,2021-09-28 05:15:00,1.0,0.82
7,2021-09-28 05:45:00,2021-09-28 05:45:00,0.12,0.27
8,2021-09-28 06:15:00,2021-09-28 06:15:00,0.12,0.27
9,2021-09-28 07:15:00,2021-09-28 07:30:00,0.44,0.28
10,2021-09-28 08:00:00,2021-09-28 08:00:00,0.12,0.27
11,2021-09-28 08:30:00,2021-09-28 08:30:00,0.12,0.27
12,2021-09-28 10:00:00,2021-09-28 10:00:00,0.12,0.27
13,2021-09-28 13:15:00,2021-09-28 14:00:00,1.0,0.81
14,2021-09-28 14:30:00,2021-09-28 14:30:00,0.12,0.27
15,2021-09-28 16:15:00,2021-09-28 17:00:00,1.0,0.81
16,2021-09-28 17:30:00,2021-09-28 17:30:00,0.12,0.27
17,2021-09-28 19:00:00,2021-09-28 19:00:00,0.12,0.27
18,2021-09-28 19:30:00,2021-09-28 19:30:00,0.12,0.27
19,2021-09-28 20:00:00,2021-09-28 20:15:00,0.42,0.45
20,2021-09-28 20:45:00,2021-09-28 20:45:00,0.12,0.27
21,2021-09-28 21:15:00,2021-09-28 22:00:00,1.0,0.82
22,2021-09-28 23:00:00,2021-09-28 23:30:00,0.71,0.55
23,2021-09-29 00:00:00,2021-09-29 00:00:00,0.12,0.27
24,2021-09-29 00:30:00,2021-09-29 01:15:00,1.0,0.83
25,2021-09-29 01:45:00,2021-09-29 01:45:00,0.12,0.27
26,2021-09-29 02:15:00,2021-09-29 02:30:00,0.43,0.47
27,2021-09-29 03:00:00,2021-09-29 03:00:00,0.12,0.24
28,2021-09-29 03:30:00,2021-09-29 03:30:00,0.12,0.28
29,2021-09-29 04:30:00,2021-09-29 04:30:00,0.12,0.28
30,2021-09-29 05:00:00,2021-09-29 05:45:00,1.0,0.83
31,2021-09-29 06:15:00,2021-09-29 06:15:00,0.12,0.28
32,2021-09-29 07:30:00,2021-09-29 07:30:00,0.12,0.27
33,2021-09-29 08:00:00,2021-09-29 08:00:00,0.12,0.27
34,2021-09-29 10:00:00,2021-09-29 10:00:00,0.12,0.27
35,2021-09-29 14:30:00,2021-09-29 14:30:00,0.12,0.27
36,2021-09-29 16:15:00,2021-09-29 19:15:00,3.17,8.92
37,2021-09-30 02:15:00,2021-09-30 02:15:00,0.12,0.28
38,2021-09-30 02:45:00,2021-09-30 02:45:00,0.12,0.28
39,2021-09-30 03:15:00,2021-09-30 04:00:00,1.0,0.88
40,2021-09-30 04:30:00,2021-09-30 04:30:00,0.12,0.49
41,2021-09-30 05:00:00,2021-09-30 05:00:00,0.12,0.33
42,2021-09-30 05:30:00,2021-09-30 05:30:00,0.12,0.38
43,2021-09-30 06:00:00,2021-09-30 06:45:00,1.0,0.89
44,2021-09-30 07:15:00,2021-09-30 08:45:00,1.6,5.38
45,2021-09-30 10:00:00,2021-09-30 11:00:00,1.08,3.62
46,2021-09-30 16:15:00,2021-09-30 16:15:00,0.12,0.29
47,2021-09-30 18:15:00,2021-09-30 18:15:00,0.12,0.35
48,2021-09-30 18:45:00,2021-10-01 01:30:00,6.78,25.07
49,2021-10-01 03:00:00,2021-10-01 05:45:00,2.84,11.46
50,2021-10-01 08:00:00,2021-10-01 08:45:00,0.85,1.01
51,2021-10-01 10:00:00,2021-10-01 10:00:00,0.12,0.33
52,2021-10-01 11:00:00,2021-10-01 11:15:00,0.41,1.56
53,2021-10-01 11:45:00,2021-10-01 12:00:00,0.42,1.51
54,2021-10-02 06:15:00,2021-10-02 08:30:00,2.28,7.0
55,2021-10-03 03:45:00,2021-10-03 06:15:00,2.66,8.2
56,2021-10-04 03:45:00,2021-10-04 06:15:00,2.67,8.23
57,2021-10-04 16:15:00,2021-10-04 18:00:00,1.77,5.52
58,2021-10-05 05:15:00,2021-10-05 07:45:00,2.68,8.4
59,2021-10-06 00:00:00,2021-10-06 03:15:00,3.09,9.71
60,2021-10-06 10:00:00,2021-10-06 11:45:00,1.86,5.87
61,2021-10-06 22:30:00,2021-10-07 01:45:00,3.26,10.43
62,2021-10-07 10:00:00,2021-10-07 12:00:00,2.21,7.13
63,2021-10-08 00:45:00,2021-10-08 03:45:00,3.2,10.28
64,2021-10-08 10:00:00,2021-10-08 10:45:00,0.8,2.6
65,2021-10-08 23:45:00,2021-10-09 02:45:00,3.04,9.66
66,2021-10-09 15:30:00,2021-10-09 18:00:00,2.58,7.94
67,2021-10-10 01:30:00,2021-10-10 05:15:00,4.0,13.21
68,2021-10-10 17:15:00,2021-10-10 20:45:00,3.74,12.2
69,2021-10-11 03:45:00,2021-10-11 08:30:00,4.84,16.6
70,2021-10-11 22:15:00,2021-10-12 02:00:00,3.79,12.55
71,2021-10-12 10:00:00,2021-10-12 12:15:00,2.34,7.67
72,2021-10-13 00:45:00,2021-10-13 03:45:00,3.14,10.15
73,2021-10-13 10:00:00,2021-10-13 12:15:00,2.37,7.86
74,2021-10-13 22:15:00,2021-10-14 03:15:00,5.09,17.32
75,2021-10-14 10:00:00,2021-10-14 12:15:00,2.35,7.95
76,2021-10-14 23:15:00,2021-10-15 04:15:00,4.97,16.98
77,2021-10-15 10:00:00,2021-10-15 11:15:00,1.34,4.52
78,2021-10-16 00:30:00,2021-10-16 04:45:00,4.43,14.86
79,2021-10-16 19:30:00,2021-10-16 23:00:00,3.47,11.29
80,2021-10-17 07:30:00,2021-10-17 10:45:00,3.27,10.79
81,2021-10-18 00:30:00,2021-10-18 04:30:00,3.94,13.07
82,2021-10-18 10:00:00,2021-10-18 11:30:00,1.58,5.29
83,2021-10-19 02:00:00,2021-10-19 05:30:00,3.52,11.57
84,2021-10-20 00:30:00,2021-10-20 03:45:00,3.32,10.72
85,2021-10-21 08:00:00,2021-10-21 08:45:00,1.0,3.04
86,2021-10-21 10:00:00,2021-10-21 11:00:00,1.19,3.66
87,2021-10-22 02:45:00,2021-10-22 05:30:00,3.0,9.45
88,2021-10-22 10:00:00,2021-10-22 11:00:00,1.03,3.36
89,2021-10-22 16:15:00,2021-10-22 18:30:00,2.41,7.92
90,2021-10-23 01:30:00,2021-10-23 07:30:00,6.05,21.08
91,2021-10-23 21:15:00,2021-10-24 02:00:00,4.79,16.17
92,2021-10-24 10:30:00,2021-10-24 13:15:00,2.78,9.25
93,2021-10-24 23:30:00,2021-10-25 03:45:00,4.32,14.57
94,2021-10-25 10:00:00,2021-10-25 12:15:00,2.31,7.82
95,2021-10-26 00:30:00,2021-10-26 04:00:00,3.55,11.76
96,2021-10-26 10:00:00,2021-10-26 10:30:00,0.7,2.35
97,2021-10-26 21:45:00,2021-10-27 01:45:00,3.94,12.97
98,2021-10-27 10:00:00,2021-10-27 12:45:00,2.77,9.17
99,2021-10-28 00:45:00,2021-10-28 04:15:00,3.62,11.95
100,2021-10-28 10:00:00,2021-10-28 12:00:00,2.08,6.92
101,2021-10-28 23:45:00,2021-10-29 03:30:00,3.79,12.6
102,2021-10-29 10:00:00,2021-10-29 11:00:00,1.13,2.07
