cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-08-02 02:30:00,2022-08-02 02:45:00,0.46,2.59
1,2022-08-02 03:45:00,2022-08-02 04:00:00,0.45,0.81
2,2022-08-02 05:15:00,2022-08-02 05:30:00,0.34,0.79
3,2022-08-03 02:30:00,2022-08-03 03:00:00,0.56,3.28
4,2022-08-03 04:00:00,2022-08-03 04:00:00,0.12,0.84
5,2022-08-03 05:30:00,2022-08-03 05:30:00,0.12,0.63
6,2022-08-04 02:30:00,2022-08-04 02:45:00,0.4,2.22
7,2022-08-04 03:45:00,2022-08-04 03:45:00,0.12,0.79
8,2022-08-04 05:15:00,2022-08-04 05:30:00,0.33,0.7
9,2022-08-05 02:30:00,2022-08-05 02:45:00,0.46,2.58
10,2022-08-05 03:45:00,2022-08-05 03:45:00,0.12,0.72
11,2022-08-05 05:00:00,2022-08-05 05:15:00,0.47,0.67
12,2022-08-05 06:30:00,2022-08-05 06:30:00,0.12,0.64
13,2022-08-06 02:30:00,2022-08-06 02:45:00,0.35,1.94
14,2022-08-06 03:45:00,2022-08-06 03:45:00,0.12,0.66
15,2022-08-06 05:15:00,2022-08-06 05:15:00,0.12,0.63
16,2022-08-06 06:45:00,2022-08-06 06:45:00,0.12,0.55
17,2022-08-07 02:30:00,2022-08-07 02:45:00,0.49,2.72
18,2022-08-07 03:45:00,2022-08-07 04:00:00,0.3,0.78
19,2022-08-07 05:00:00,2022-08-07 05:15:00,0.34,0.71
20,2022-08-07 06:30:00,2022-08-07 06:30:00,0.12,0.62
21,2022-08-08 02:30:00,2022-08-08 02:45:00,0.37,2.14
22,2022-08-08 03:45:00,2022-08-08 03:45:00,0.12,0.71
23,2022-08-08 05:15:00,2022-08-08 05:15:00,0.12,0.63
24,2022-08-09 02:30:00,2022-08-09 03:00:00,0.72,4.1
25,2022-08-09 03:45:00,2022-08-09 03:45:00,0.12,0.76
26,2022-08-09 04:45:00,2022-08-09 04:45:00,0.12,0.66
27,2022-08-09 06:00:00,2022-08-09 06:00:00,0.12,0.62
