cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-30 03:00:00,2021-10-30 03:30:00,0.52,1.0
1,2021-10-30 04:00:00,2021-10-30 04:15:00,0.47,0.73
2,2021-10-30 05:00:00,2021-10-30 05:15:00,0.48,0.72
3,2021-10-30 06:00:00,2021-10-30 06:30:00,0.39,0.75
4,2021-10-30 07:30:00,2021-10-30 07:45:00,0.36,0.71
5,2021-10-30 08:45:00,2021-10-30 09:00:00,0.47,0.72
6,2021-10-30 12:00:00,2021-10-30 12:15:00,0.48,0.7
7,2021-10-30 15:30:00,2021-10-30 15:45:00,0.44,0.73
8,2021-10-30 17:15:00,2021-10-30 17:30:00,0.49,0.71
9,2021-10-30 19:15:00,2021-10-30 19:30:00,0.41,0.71
10,2021-10-31 04:00:00,2021-10-31 04:15:00,0.45,0.78
11,2021-10-31 04:45:00,2021-10-31 05:00:00,0.36,0.71
12,2021-10-31 05:45:00,2021-10-31 06:00:00,0.38,0.7
13,2021-10-31 16:30:00,2021-10-31 16:45:00,0.48,0.68
14,2021-10-31 18:15:00,2021-10-31 18:30:00,0.48,0.75
15,2021-10-31 19:45:00,2021-10-31 20:00:00,0.38,0.7
16,2021-11-01 04:00:00,2021-11-01 04:15:00,0.46,0.69
17,2021-11-01 06:15:00,2021-11-01 06:45:00,0.42,0.8
18,2021-11-01 08:00:00,2021-11-01 08:15:00,0.4,0.71
19,2021-11-01 15:15:00,2021-11-01 15:30:00,0.35,0.67
20,2021-11-01 17:45:00,2021-11-01 18:15:00,0.41,0.79
21,2021-11-01 19:00:00,2021-11-01 19:15:00,0.42,0.77
22,2021-11-01 20:00:00,2021-11-01 20:15:00,0.5,0.7
23,2021-11-02 04:00:00,2021-11-02 05:45:00,1.97,2.5
24,2021-11-02 06:45:00,2021-11-02 07:00:00,0.35,0.69
25,2021-11-02 08:15:00,2021-11-02 08:30:00,0.39,0.68
26,2021-11-02 11:45:00,2021-11-02 12:00:00,0.32,0.57
27,2021-11-02 15:00:00,2021-11-02 15:15:00,0.37,0.71
28,2021-11-02 16:15:00,2021-11-02 16:30:00,0.42,0.76
29,2021-11-02 17:15:00,2021-11-02 17:30:00,0.37,0.71
30,2021-11-02 18:00:00,2021-11-02 18:30:00,0.39,0.77
31,2021-11-02 19:00:00,2021-11-02 19:15:00,0.35,0.69
32,2021-11-02 20:00:00,2021-11-02 20:15:00,0.35,0.68
33,2021-11-03 04:00:00,2021-11-03 05:15:00,1.3,1.87
34,2021-11-03 05:45:00,2021-11-03 06:00:00,0.42,0.74
35,2021-11-03 06:30:00,2021-11-03 07:00:00,0.38,0.75
36,2021-11-03 11:15:00,2021-11-03 11:30:00,0.36,0.7
37,2021-11-03 13:15:00,2021-11-03 13:30:00,0.47,0.7
38,2021-11-03 15:15:00,2021-11-03 15:30:00,0.46,0.83
39,2021-11-03 16:15:00,2021-11-03 16:45:00,0.38,0.74
40,2021-11-03 17:30:00,2021-11-03 17:45:00,0.33,0.65
41,2021-11-03 19:00:00,2021-11-03 19:15:00,0.39,0.71
42,2021-11-03 20:15:00,2021-11-03 20:45:00,0.37,0.73
43,2021-11-04 04:00:00,2021-11-04 04:15:00,0.47,0.92
44,2021-11-04 05:00:00,2021-11-04 05:15:00,0.47,0.74
45,2021-11-04 05:45:00,2021-11-04 06:00:00,0.48,0.74
46,2021-11-04 06:30:00,2021-11-04 06:45:00,0.33,0.66
47,2021-11-04 08:00:00,2021-11-04 08:15:00,0.48,0.71
48,2021-11-04 09:15:00,2021-11-04 09:30:00,0.34,0.67
49,2021-11-04 12:30:00,2021-11-04 12:45:00,0.42,0.7
50,2021-11-04 13:30:00,2021-11-04 13:45:00,0.34,0.62
51,2021-11-04 14:30:00,2021-11-04 14:45:00,0.49,0.71
52,2021-11-04 15:45:00,2021-11-04 16:00:00,0.46,0.87
53,2021-11-04 16:45:00,2021-11-04 17:00:00,0.41,0.72
54,2021-11-04 17:45:00,2021-11-04 18:00:00,0.38,0.74
55,2021-11-04 18:45:00,2021-11-04 19:00:00,0.48,0.74
56,2021-11-04 19:30:00,2021-11-04 19:45:00,0.47,0.66
57,2021-11-04 20:45:00,2021-11-04 20:45:00,0.12,0.46
58,2021-11-05 04:00:00,2021-11-05 05:15:00,1.29,1.82
59,2021-11-05 05:45:00,2021-11-05 06:00:00,0.43,0.74
60,2021-11-05 06:30:00,2021-11-05 07:00:00,0.38,0.74
61,2021-11-05 08:15:00,2021-11-05 08:30:00,0.41,0.64
62,2021-11-05 14:00:00,2021-11-05 14:15:00,0.49,0.76
63,2021-11-05 15:45:00,2021-11-05 16:00:00,0.49,0.84
64,2021-11-05 16:45:00,2021-11-05 17:15:00,0.45,0.87
65,2021-11-05 17:45:00,2021-11-05 18:00:00,0.49,0.74
66,2021-11-05 18:45:00,2021-11-05 19:00:00,0.41,0.76
67,2021-11-05 19:30:00,2021-11-05 19:45:00,0.4,0.8
68,2021-11-05 20:15:00,2021-11-05 20:30:00,0.38,0.76
69,2021-11-06 04:00:00,2021-11-06 05:15:00,1.32,1.88
70,2021-11-06 05:45:00,2021-11-06 06:00:00,0.46,0.72
71,2021-11-06 06:30:00,2021-11-06 07:00:00,0.38,0.74
72,2021-11-06 07:45:00,2021-11-06 08:15:00,0.35,0.69
73,2021-11-06 09:30:00,2021-11-06 09:45:00,0.46,0.69
74,2021-11-06 11:00:00,2021-11-06 11:30:00,0.36,0.71
75,2021-11-06 15:15:00,2021-11-06 15:45:00,0.42,0.82
76,2021-11-06 16:15:00,2021-11-06 16:45:00,0.43,0.83
77,2021-11-06 17:15:00,2021-11-06 17:30:00,0.36,0.7
78,2021-11-06 18:00:00,2021-11-06 18:15:00,0.44,0.79
79,2021-11-06 18:45:00,2021-11-06 19:15:00,0.39,0.78
80,2021-11-06 19:45:00,2021-11-06 20:00:00,0.48,0.74
81,2021-11-06 20:30:00,2021-11-06 20:45:00,0.29,0.58
82,2021-11-07 04:00:00,2021-11-07 05:15:00,1.32,1.84
83,2021-11-07 05:45:00,2021-11-07 07:45:00,2.02,2.49
84,2021-11-07 08:30:00,2021-11-07 08:45:00,0.32,0.61
85,2021-11-07 10:45:00,2021-11-07 11:00:00,0.42,0.73
86,2021-11-07 15:00:00,2021-11-07 15:15:00,0.42,0.68
87,2021-11-07 16:15:00,2021-11-07 16:30:00,0.42,0.75
88,2021-11-07 17:30:00,2021-11-07 17:45:00,0.37,0.72
89,2021-11-07 18:45:00,2021-11-07 19:00:00,0.43,0.71
90,2021-11-07 20:00:00,2021-11-07 20:30:00,0.38,0.74
91,2021-11-08 04:00:00,2021-11-08 04:15:00,0.48,0.92
92,2021-11-08 05:00:00,2021-11-08 05:15:00,0.48,0.74
93,2021-11-08 06:00:00,2021-11-08 06:15:00,0.39,0.73
94,2021-11-08 07:15:00,2021-11-08 07:30:00,0.49,0.7
95,2021-11-08 13:15:00,2021-11-08 13:30:00,0.47,0.79
96,2021-11-08 14:45:00,2021-11-08 15:00:00,0.34,0.66
97,2021-11-08 15:45:00,2021-11-08 16:00:00,0.37,0.73
98,2021-11-08 16:45:00,2021-11-08 17:15:00,0.44,0.86
99,2021-11-08 17:45:00,2021-11-08 18:15:00,0.47,0.93
100,2021-11-08 18:45:00,2021-11-08 19:00:00,0.47,0.78
101,2021-11-08 19:30:00,2021-11-08 20:00:00,0.39,0.76
102,2021-11-08 20:30:00,2021-11-08 20:45:00,0.5,0.75
103,2021-11-09 04:00:00,2021-11-09 05:30:00,1.72,3.06
104,2021-11-09 06:15:00,2021-11-09 06:30:00,0.46,0.75
105,2021-11-09 07:00:00,2021-11-09 07:30:00,0.38,0.76
106,2021-11-09 08:30:00,2021-11-09 08:45:00,0.41,0.71
107,2021-11-09 11:00:00,2021-11-09 11:15:00,0.45,0.72
108,2021-11-09 13:30:00,2021-11-09 13:45:00,0.38,0.73
109,2021-11-09 15:00:00,2021-11-09 15:15:00,0.38,0.7
110,2021-11-09 16:00:00,2021-11-09 16:30:00,0.42,0.81
111,2021-11-09 17:15:00,2021-11-09 17:30:00,0.4,0.73
112,2021-11-09 18:15:00,2021-11-09 18:30:00,0.35,0.68
113,2021-11-09 19:15:00,2021-11-09 19:30:00,0.4,0.79
114,2021-11-09 20:15:00,2021-11-09 20:30:00,0.46,0.77
115,2021-11-10 04:00:00,2021-11-10 04:45:00,0.96,1.9
116,2021-11-10 05:15:00,2021-11-10 05:45:00,0.41,0.8
117,2021-11-14 13:30:00,2021-11-14 14:00:00,0.39,0.75
118,2021-11-14 15:15:00,2021-11-14 15:45:00,0.38,0.74
119,2021-11-14 17:15:00,2021-11-14 17:45:00,0.38,0.72
120,2021-11-14 19:00:00,2021-11-14 19:30:00,0.41,0.8
121,2021-11-14 20:15:00,2021-11-14 20:30:00,0.41,0.71
122,2021-11-15 04:00:00,2021-11-15 04:30:00,0.52,1.01
123,2021-11-15 05:00:00,2021-11-15 05:15:00,0.46,0.74
124,2021-11-15 06:00:00,2021-11-15 06:15:00,0.46,0.74
125,2021-11-15 07:00:00,2021-11-15 07:30:00,0.38,0.73
126,2021-11-15 08:15:00,2021-11-15 08:45:00,0.37,0.72
127,2021-11-15 09:45:00,2021-11-15 10:00:00,0.37,0.7
128,2021-11-15 11:00:00,2021-11-15 11:30:00,0.38,0.74
129,2021-11-15 13:15:00,2021-11-15 13:30:00,0.36,0.67
130,2021-11-15 14:30:00,2021-11-15 14:45:00,0.44,0.71
131,2021-11-15 15:45:00,2021-11-15 16:15:00,0.37,0.72
