cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-24 06:30:00,2022-06-24 07:15:00,0.82,2.38
1,2022-06-25 07:15:00,2022-06-25 08:15:00,1.0,2.84
2,2022-06-26 07:15:00,2022-06-26 07:45:00,0.66,1.94
3,2022-06-26 18:45:00,2022-06-26 19:30:00,0.86,2.45
4,2022-06-27 15:15:00,2022-06-27 15:45:00,0.62,1.83
5,2022-06-28 10:45:00,2022-06-28 10:45:00,0.12,0.31
6,2022-06-28 12:00:00,2022-06-28 12:45:00,0.57,1.68
7,2022-06-29 08:45:00,2022-06-29 09:30:00,0.73,2.11
8,2022-06-30 06:30:00,2022-06-30 07:15:00,0.81,2.35
9,2022-06-30 21:15:00,2022-06-30 22:00:00,0.83,2.37
10,2022-07-01 07:30:00,2022-07-01 08:00:00,0.53,1.28
11,2022-07-01 09:30:00,2022-07-01 09:45:00,0.46,0.63
12,2022-07-01 12:00:00,2022-07-01 12:15:00,0.28,0.7
13,2022-07-01 14:45:00,2022-07-01 15:30:00,0.71,2.07
14,2022-07-02 09:00:00,2022-07-02 09:00:00,0.12,0.57
15,2022-07-02 09:30:00,2022-07-02 10:00:00,0.72,2.1
16,2022-07-03 10:00:00,2022-07-03 10:30:00,0.5,1.54
17,2022-07-03 23:45:00,2022-07-04 00:00:00,0.43,0.52
18,2022-07-04 06:30:00,2022-07-04 07:30:00,1.02,2.9
19,2022-07-05 06:30:00,2022-07-05 07:15:00,0.77,2.26
20,2022-07-05 22:30:00,2022-07-05 23:00:00,0.46,1.28
21,2022-07-06 06:30:00,2022-07-06 07:00:00,0.65,1.89
22,2022-07-07 06:30:00,2022-07-07 07:45:00,1.25,3.5
23,2022-07-08 06:30:00,2022-07-08 07:00:00,0.59,1.76
24,2022-07-09 07:15:00,2022-07-09 07:45:00,0.62,1.86
25,2022-07-09 18:00:00,2022-07-09 19:15:00,1.16,3.21
26,2022-07-10 12:45:00,2022-07-10 13:30:00,0.91,1.98
27,2022-07-10 23:45:00,2022-07-11 00:00:00,0.4,0.8
28,2022-07-11 06:30:00,2022-07-11 07:30:00,1.14,3.26
29,2022-07-12 06:30:00,2022-07-12 07:15:00,0.81,2.35
30,2022-07-12 21:30:00,2022-07-12 22:00:00,0.64,1.89
31,2022-07-13 17:45:00,2022-07-13 17:45:00,0.12,0.11
32,2022-07-13 19:15:00,2022-07-13 20:00:00,0.58,1.71
33,2022-07-14 15:15:00,2022-07-14 16:00:00,0.74,2.18
34,2022-07-15 06:30:00,2022-07-15 07:30:00,1.09,3.08
35,2022-07-16 07:15:00,2022-07-16 07:45:00,0.63,1.86
36,2022-07-16 21:30:00,2022-07-16 22:15:00,0.69,2.01
37,2022-07-17 14:15:00,2022-07-17 14:45:00,0.66,1.95
38,2022-07-18 12:30:00,2022-07-18 13:00:00,0.52,1.59
39,2022-07-19 07:00:00,2022-07-19 07:45:00,0.77,2.21
40,2022-07-20 09:15:00,2022-07-20 09:45:00,0.55,1.6
41,2022-07-20 21:30:00,2022-07-20 22:15:00,0.81,2.31
42,2022-07-21 21:30:00,2022-07-21 22:00:00,0.53,1.6
43,2022-07-22 10:00:00,2022-07-22 10:45:00,0.71,2.07
44,2022-07-23 09:15:00,2022-07-23 09:45:00,0.54,1.65
45,2022-07-24 07:15:00,2022-07-24 07:45:00,0.68,2.01
46,2022-07-24 20:45:00,2022-07-24 21:30:00,0.85,2.46
47,2022-07-25 19:45:00,2022-07-25 20:15:00,0.54,1.65
48,2022-07-26 16:45:00,2022-07-26 17:15:00,0.55,1.66
49,2022-07-27 15:00:00,2022-07-27 15:30:00,0.56,1.66
50,2022-07-28 06:45:00,2022-07-28 07:30:00,0.8,2.29
51,2022-07-29 06:30:00,2022-07-29 07:15:00,0.71,2.1
52,2022-07-29 20:30:00,2022-07-29 21:15:00,0.8,2.29
53,2022-07-30 11:45:00,2022-07-30 12:30:00,0.77,2.24
54,2022-07-31 07:15:00,2022-07-31 07:45:00,0.67,2.0
55,2022-07-31 21:30:00,2022-07-31 22:15:00,0.81,2.33
56,2022-08-01 21:30:00,2022-08-01 22:15:00,0.66,1.97
57,2022-08-02 12:00:00,2022-08-02 13:30:00,1.54,3.83
58,2022-08-03 08:15:00,2022-08-03 09:00:00,0.72,2.12
59,2022-08-04 06:30:00,2022-08-04 07:30:00,1.04,2.95
60,2022-08-05 06:30:00,2022-08-05 07:15:00,0.71,2.1
61,2022-08-05 21:30:00,2022-08-05 22:15:00,0.76,2.23
62,2022-08-06 13:15:00,2022-08-06 13:45:00,0.67,1.99
63,2022-08-07 10:30:00,2022-08-07 11:00:00,0.62,1.82
64,2022-08-08 06:45:00,2022-08-08 07:15:00,0.67,1.98
