cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 08:45:00,2021-01-22 08:45:00,0.12,0.82
1,2021-01-22 09:45:00,2021-01-22 09:45:00,0.12,1.16
2,2021-01-22 11:00:00,2021-01-22 11:15:00,0.36,1.46
3,2021-01-22 12:00:00,2021-01-22 12:30:00,0.5,2.31
4,2021-01-22 13:15:00,2021-01-22 13:45:00,0.49,2.25
5,2021-01-22 14:45:00,2021-01-22 15:00:00,0.39,1.04
6,2021-01-22 15:45:00,2021-01-22 16:15:00,0.61,2.66
7,2021-01-22 18:15:00,2021-01-22 19:00:00,0.89,4.0
8,2021-01-22 20:00:00,2021-01-22 20:15:00,0.49,2.26
9,2021-01-22 21:15:00,2021-01-22 21:45:00,0.54,2.39
10,2021-01-22 22:45:00,2021-01-22 23:00:00,0.44,1.19
11,2021-01-22 23:45:00,2021-01-23 00:15:00,0.58,2.59
12,2021-01-23 01:15:00,2021-01-23 04:15:00,3.01,15.53
13,2021-01-23 05:00:00,2021-01-23 05:45:00,0.77,3.4
14,2021-01-23 06:30:00,2021-01-23 07:15:00,0.71,3.09
15,2021-01-23 08:00:00,2021-01-23 08:30:00,0.49,2.26
16,2021-01-23 09:15:00,2021-01-23 09:45:00,0.43,1.92
17,2021-01-23 10:30:00,2021-01-23 11:00:00,0.46,2.11
18,2021-01-23 11:45:00,2021-01-23 12:15:00,0.39,1.79
19,2021-01-23 13:00:00,2021-01-23 13:15:00,0.43,1.63
20,2021-01-23 14:15:00,2021-01-23 14:30:00,0.48,1.94
21,2021-01-23 15:30:00,2021-01-23 16:00:00,0.55,2.49
22,2021-01-23 16:45:00,2021-01-23 17:15:00,0.49,2.26
23,2021-01-23 18:00:00,2021-01-23 18:30:00,0.43,1.88
24,2021-01-23 19:15:00,2021-01-23 19:45:00,0.49,2.25
25,2021-01-23 20:30:00,2021-01-23 21:00:00,0.5,2.22
26,2021-01-23 21:45:00,2021-01-23 22:00:00,0.45,1.33
27,2021-01-23 22:45:00,2021-01-23 23:15:00,0.43,1.93
28,2021-01-24 00:00:00,2021-01-24 00:30:00,0.42,1.88
29,2021-01-24 01:15:00,2021-01-24 03:15:00,1.89,11.7
30,2021-01-24 03:45:00,2021-01-24 04:15:00,0.55,2.43
31,2021-01-24 05:15:00,2021-01-24 06:00:00,0.88,3.9
32,2021-01-24 07:15:00,2021-01-24 08:00:00,0.92,4.01
33,2021-01-24 09:30:00,2021-01-24 10:00:00,0.7,3.19
34,2021-01-24 11:00:00,2021-01-24 11:00:00,0.12,1.11
35,2021-01-24 12:00:00,2021-01-24 12:15:00,0.46,1.65
36,2021-01-24 13:15:00,2021-01-24 13:15:00,0.12,1.09
37,2021-01-24 14:15:00,2021-01-24 14:30:00,0.37,1.32
38,2021-01-24 15:15:00,2021-01-24 15:45:00,0.39,1.76
39,2021-01-24 16:30:00,2021-01-24 17:15:00,0.79,3.51
40,2021-01-24 18:15:00,2021-01-24 19:15:00,0.99,4.39
41,2021-01-24 20:15:00,2021-01-24 21:15:00,0.96,4.29
42,2021-01-24 22:30:00,2021-01-24 23:30:00,0.91,3.99
43,2021-01-25 00:30:00,2021-01-25 03:30:00,2.87,14.97
44,2021-01-25 04:45:00,2021-01-25 06:00:00,1.25,5.54
45,2021-01-25 07:00:00,2021-01-25 08:00:00,0.95,4.19
46,2021-01-25 09:00:00,2021-01-25 09:45:00,0.78,3.5
47,2021-01-25 11:00:00,2021-01-25 11:45:00,0.74,3.36
48,2021-01-25 12:30:00,2021-01-25 13:00:00,0.61,2.64
49,2021-01-25 13:45:00,2021-01-25 14:15:00,0.56,2.55
50,2021-01-25 15:15:00,2021-01-25 15:45:00,0.71,3.11
51,2021-01-25 16:30:00,2021-01-25 16:45:00,0.33,1.51
52,2021-01-25 18:15:00,2021-01-25 19:15:00,1.15,5.03
53,2021-01-25 20:30:00,2021-01-25 21:15:00,0.96,4.18
54,2021-01-25 22:45:00,2021-01-25 23:30:00,0.89,3.81
55,2021-01-26 00:45:00,2021-01-26 03:45:00,3.01,17.26
56,2021-01-26 04:45:00,2021-01-26 06:00:00,1.22,8.16
57,2021-01-26 07:15:00,2021-01-26 08:15:00,1.08,4.77
58,2021-01-26 09:15:00,2021-01-26 09:45:00,0.53,2.35
59,2021-01-26 11:00:00,2021-01-26 11:45:00,0.94,4.12
60,2021-01-26 12:45:00,2021-01-26 13:15:00,0.59,2.67
61,2021-01-26 14:00:00,2021-01-26 14:30:00,0.49,2.23
62,2021-01-26 15:15:00,2021-01-26 16:00:00,0.76,3.42
63,2021-01-26 16:45:00,2021-01-26 16:45:00,0.12,0.13
64,2021-01-26 18:15:00,2021-01-26 19:30:00,1.32,5.78
65,2021-01-26 20:30:00,2021-01-26 21:30:00,0.95,4.21
66,2021-01-26 22:45:00,2021-01-26 23:45:00,0.88,3.83
67,2021-01-27 00:45:00,2021-01-27 04:00:00,3.13,14.49
68,2021-01-27 04:45:00,2021-01-27 06:15:00,1.6,8.25
69,2021-01-27 07:30:00,2021-01-27 08:30:00,1.05,4.65
70,2021-01-27 09:30:00,2021-01-27 09:45:00,0.34,1.48
71,2021-01-27 11:00:00,2021-01-27 12:00:00,1.16,5.12
72,2021-01-27 13:00:00,2021-01-27 14:00:00,0.95,4.31
73,2021-01-27 15:00:00,2021-01-27 15:45:00,0.91,4.1
74,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,0.2
