cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-07 23:00:00,2021-02-22 20:00:00,357.13,1328.14
1,2021-02-22 20:45:00,2021-03-09 09:15:00,348.74,891.75
2,2021-03-09 09:45:00,2021-03-15 07:15:00,141.45,462.48
3,2021-03-18 07:30:00,2021-03-18 09:00:00,1.68,1.95
4,2021-03-18 10:15:00,2021-03-19 03:30:00,17.27,99.73
5,2021-03-19 07:45:00,2021-03-19 16:00:00,8.3,47.91
6,2021-03-19 20:30:00,2021-03-20 04:30:00,8.08,46.69
7,2021-03-20 08:45:00,2021-03-20 15:15:00,6.56,38.37
8,2021-03-20 19:45:00,2021-03-21 03:30:00,7.75,44.95
9,2021-03-21 08:00:00,2021-03-21 15:30:00,7.53,43.61
10,2021-03-21 20:00:00,2021-03-22 03:15:00,7.28,42.19
11,2021-03-22 07:30:00,2021-03-22 14:15:00,6.73,38.76
12,2021-03-22 19:00:00,2021-03-23 00:45:00,5.72,33.08
13,2021-03-23 05:15:00,2021-03-23 10:45:00,5.71,32.89
14,2021-03-23 16:15:00,2021-03-23 21:45:00,5.51,31.82
15,2021-03-24 02:30:00,2021-03-24 07:45:00,5.34,30.81
16,2021-03-24 13:15:00,2021-03-24 17:30:00,4.41,25.47
17,2021-03-24 22:45:00,2021-03-25 04:00:00,5.08,29.25
18,2021-03-25 09:00:00,2021-03-25 13:00:00,4.12,23.96
19,2021-03-25 18:45:00,2021-03-25 22:45:00,4.03,23.28
20,2021-03-26 03:45:00,2021-03-26 08:15:00,4.4,25.36
21,2021-03-26 14:15:00,2021-03-26 18:00:00,3.79,21.89
22,2021-03-26 23:30:00,2021-03-27 03:15:00,3.77,22.07
23,2021-03-27 08:15:00,2021-03-27 12:00:00,3.77,21.94
24,2021-03-27 17:45:00,2021-03-27 21:45:00,4.02,23.22
25,2021-03-28 02:45:00,2021-03-28 07:00:00,4.09,23.7
26,2021-03-28 12:00:00,2021-03-28 15:30:00,3.61,21.15
27,2021-03-28 21:15:00,2021-03-29 01:15:00,4.05,23.52
28,2021-03-29 06:15:00,2021-03-29 10:00:00,3.75,21.63
29,2021-03-29 16:45:00,2021-03-29 20:30:00,3.71,21.54
30,2021-03-30 02:00:00,2021-03-30 06:00:00,3.93,22.78
31,2021-03-30 12:15:00,2021-03-30 15:30:00,3.27,18.94
32,2021-03-30 21:45:00,2021-03-31 01:15:00,3.56,20.58
33,2021-03-31 06:15:00,2021-03-31 06:30:00,0.47,2.55
34,2021-03-31 07:45:00,2021-03-31 08:45:00,1.13,2.49
35,2021-03-31 20:00:00,2021-03-31 20:30:00,0.46,1.34
36,2021-04-01 00:15:00,2021-04-01 00:45:00,0.65,1.1
37,2021-04-01 02:30:00,2021-04-01 03:00:00,0.75,1.27
38,2021-04-01 05:00:00,2021-04-01 05:30:00,0.73,1.15
39,2021-04-01 07:30:00,2021-04-01 08:00:00,0.41,1.27
40,2021-04-01 17:15:00,2021-04-01 17:45:00,0.38,1.17
41,2021-04-02 06:00:00,2021-04-02 06:15:00,0.49,1.31
42,2021-04-02 10:00:00,2021-04-02 10:15:00,0.47,1.06
43,2021-04-02 12:45:00,2021-04-02 13:15:00,0.44,1.45
44,2021-04-02 18:30:00,2021-04-02 18:45:00,0.36,1.08
45,2021-04-02 23:30:00,2021-04-03 00:15:00,1.0,1.42
46,2021-04-03 02:00:00,2021-04-03 02:45:00,0.85,1.36
47,2021-04-03 04:00:00,2021-04-03 04:30:00,0.62,1.0
48,2021-04-03 06:45:00,2021-04-03 07:15:00,0.5,1.72
49,2021-04-03 13:00:00,2021-04-03 13:15:00,0.37,1.16
50,2021-04-03 17:45:00,2021-04-03 18:45:00,1.16,1.68
51,2021-04-03 20:00:00,2021-04-03 21:00:00,0.97,1.5
52,2021-04-03 21:45:00,2021-04-03 22:15:00,0.38,1.32
53,2021-04-03 23:15:00,2021-04-04 00:45:00,1.47,2.26
54,2021-04-04 01:45:00,2021-04-04 02:30:00,0.68,1.27
55,2021-04-04 03:30:00,2021-04-04 05:30:00,2.25,3.55
56,2021-04-04 06:30:00,2021-04-04 07:00:00,0.43,1.4
57,2021-04-04 15:00:00,2021-04-04 15:15:00,0.47,1.2
58,2021-04-04 19:15:00,2021-04-04 19:45:00,0.75,1.14
59,2021-04-04 21:00:00,2021-04-04 22:00:00,1.25,1.85
60,2021-04-04 23:15:00,2021-04-05 00:30:00,1.33,2.01
61,2021-04-05 01:30:00,2021-04-05 03:30:00,2.17,4.24
62,2021-04-05 04:30:00,2021-04-05 05:30:00,1.11,1.65
63,2021-04-05 08:45:00,2021-04-05 08:45:00,0.12,0.43
64,2021-04-05 10:00:00,2021-04-05 10:30:00,0.43,1.42
65,2021-04-05 17:15:00,2021-04-05 17:30:00,0.42,1.23
66,2021-04-05 19:00:00,2021-04-05 22:45:00,3.74,5.7
67,2021-04-05 23:45:00,2021-04-06 00:30:00,0.82,1.49
68,2021-04-06 01:15:00,2021-04-06 04:30:00,3.24,5.27
69,2021-04-06 05:00:00,2021-04-06 05:30:00,0.45,1.48
70,2021-04-06 07:00:00,2021-04-06 07:45:00,0.86,1.6
