cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:00:00,1.03,3.63
1,2021-01-01 03:15:00,2021-01-01 03:30:00,0.38,1.49
2,2021-01-01 04:00:00,2021-01-01 06:45:00,2.98,8.4
3,2021-01-01 14:15:00,2021-01-01 18:15:00,4.11,11.2
4,2021-01-01 18:45:00,2021-01-01 18:45:00,0.12,0.68
5,2021-01-01 19:15:00,2021-01-01 19:15:00,0.12,0.43
6,2021-01-01 20:00:00,2021-01-01 20:15:00,0.41,1.66
7,2021-01-01 21:45:00,2021-01-01 21:45:00,0.12,0.44
8,2021-01-01 23:45:00,2021-01-02 00:45:00,1.0,3.68
9,2021-01-02 03:45:00,2021-01-02 06:30:00,2.87,7.32
10,2021-01-02 13:15:00,2021-01-02 18:15:00,5.15,16.2
11,2021-01-02 18:45:00,2021-01-02 18:45:00,0.12,0.55
12,2021-01-02 19:15:00,2021-01-02 19:30:00,0.31,0.59
13,2021-01-02 20:15:00,2021-01-02 21:00:00,0.88,1.73
14,2021-01-02 21:30:00,2021-01-02 21:30:00,0.12,0.67
15,2021-01-02 23:45:00,2021-01-03 00:45:00,1.01,3.82
16,2021-01-03 02:45:00,2021-01-03 03:00:00,0.49,0.94
17,2021-01-03 03:45:00,2021-01-03 06:15:00,2.55,7.62
18,2021-01-03 13:15:00,2021-01-03 13:45:00,0.6,2.39
19,2021-01-03 14:30:00,2021-01-03 17:45:00,3.49,12.64
20,2021-01-03 18:45:00,2021-01-03 19:00:00,0.33,0.78
21,2021-01-03 19:30:00,2021-01-03 19:30:00,0.12,0.58
22,2021-01-03 20:30:00,2021-01-03 20:30:00,0.12,0.65
23,2021-01-03 21:45:00,2021-01-03 21:45:00,0.12,0.4
24,2021-01-03 23:30:00,2021-01-04 01:00:00,1.62,4.85
25,2021-01-04 03:45:00,2021-01-04 06:45:00,2.99,11.01
26,2021-01-04 13:15:00,2021-01-04 13:30:00,0.35,1.51
27,2021-01-04 14:15:00,2021-01-04 18:00:00,3.79,12.77
28,2021-01-04 18:30:00,2021-01-04 18:30:00,0.12,0.6
29,2021-01-04 19:15:00,2021-01-04 19:15:00,0.12,0.59
30,2021-01-04 20:30:00,2021-01-04 20:45:00,0.4,0.71
31,2021-01-04 23:45:00,2021-01-05 01:00:00,1.18,4.03
32,2021-01-05 02:45:00,2021-01-05 03:00:00,0.35,1.53
33,2021-01-05 04:00:00,2021-01-05 06:45:00,2.95,10.28
34,2021-01-05 13:15:00,2021-01-05 13:45:00,0.42,1.78
35,2021-01-05 14:15:00,2021-01-05 18:00:00,3.87,11.85
36,2021-01-05 18:30:00,2021-01-05 18:30:00,0.12,0.66
37,2021-01-05 19:00:00,2021-01-05 19:15:00,0.36,0.56
38,2021-01-05 20:15:00,2021-01-05 20:15:00,0.12,0.67
39,2021-01-05 23:00:00,2021-01-05 23:30:00,0.52,2.05
40,2021-01-06 00:00:00,2021-01-06 00:45:00,1.0,3.51
41,2021-01-06 03:45:00,2021-01-06 06:30:00,2.87,9.65
42,2021-01-06 13:15:00,2021-01-06 13:45:00,0.47,1.94
43,2021-01-06 14:30:00,2021-01-06 18:30:00,4.24,12.61
44,2021-01-06 19:00:00,2021-01-06 19:15:00,0.34,0.59
45,2021-01-06 23:45:00,2021-01-07 01:00:00,1.23,4.13
46,2021-01-07 02:45:00,2021-01-07 03:00:00,0.37,1.36
47,2021-01-07 04:00:00,2021-01-07 06:45:00,2.99,9.57
48,2021-01-07 13:15:00,2021-01-07 13:45:00,0.43,1.81
49,2021-01-07 14:30:00,2021-01-07 17:00:00,2.74,7.86
50,2021-01-07 17:30:00,2021-01-07 17:30:00,0.12,0.39
51,2021-01-07 18:15:00,2021-01-07 18:15:00,0.12,0.68
52,2021-01-07 19:00:00,2021-01-07 19:15:00,0.48,0.63
53,2021-01-07 20:30:00,2021-01-07 20:30:00,0.12,0.65
54,2021-01-07 22:30:00,2021-01-07 22:30:00,0.12,0.61
55,2021-01-07 23:30:00,2021-01-08 00:45:00,1.38,4.12
56,2021-01-08 02:45:00,2021-01-08 03:00:00,0.36,1.51
57,2021-01-08 03:45:00,2021-01-08 06:15:00,2.57,8.58
58,2021-01-08 06:45:00,2021-01-08 06:45:00,0.12,0.27
59,2021-01-08 13:15:00,2021-01-08 13:45:00,0.48,1.99
60,2021-01-08 14:30:00,2021-01-08 20:45:00,6.5,15.6
61,2021-01-08 21:15:00,2021-01-08 21:30:00,0.42,0.67
62,2021-01-08 23:45:00,2021-01-09 01:00:00,1.27,4.4
63,2021-01-09 02:45:00,2021-01-09 03:15:00,0.47,1.97
64,2021-01-09 03:45:00,2021-01-09 06:45:00,3.0,10.92
65,2021-01-09 13:15:00,2021-01-09 13:30:00,0.37,1.47
66,2021-01-09 14:30:00,2021-01-09 16:45:00,2.33,6.71
67,2021-01-09 17:15:00,2021-01-09 17:15:00,0.12,0.53
68,2021-01-09 18:00:00,2021-01-09 18:15:00,0.31,0.76
69,2021-01-09 18:45:00,2021-01-09 18:45:00,0.12,0.57
70,2021-01-09 20:45:00,2021-01-09 21:00:00,0.46,0.72
71,2021-01-09 23:45:00,2021-01-10 01:00:00,1.29,4.31
72,2021-01-10 03:00:00,2021-01-10 03:15:00,0.27,1.18
73,2021-01-10 03:45:00,2021-01-10 06:45:00,3.12,9.65
74,2021-01-10 14:30:00,2021-01-10 16:45:00,2.42,7.69
75,2021-01-10 17:30:00,2021-01-10 17:30:00,0.12,0.66
76,2021-01-10 18:30:00,2021-01-10 18:30:00,0.12,0.69
77,2021-01-10 19:45:00,2021-01-10 20:00:00,0.43,0.72
78,2021-01-10 21:00:00,2021-01-10 21:00:00,0.12,0.78
79,2021-01-10 22:00:00,2021-01-10 22:00:00,0.12,0.43
80,2021-01-10 23:15:00,2021-01-10 23:15:00,0.12,0.56
81,2021-01-10 23:45:00,2021-01-11 01:00:00,1.29,4.42
82,2021-01-11 02:45:00,2021-01-11 03:00:00,0.4,1.22
83,2021-01-11 03:45:00,2021-01-11 06:45:00,3.04,10.07
84,2021-01-11 13:15:00,2021-01-11 13:30:00,0.36,1.45
85,2021-01-11 14:15:00,2021-01-11 20:30:00,6.3,16.18
86,2021-01-11 23:45:00,2021-01-12 01:00:00,1.25,4.3
87,2021-01-12 03:45:00,2021-01-12 06:30:00,2.87,9.75
88,2021-01-12 13:15:00,2021-01-12 13:45:00,0.53,2.14
89,2021-01-12 14:15:00,2021-01-12 18:00:00,3.77,11.85
90,2021-01-12 18:30:00,2021-01-12 18:30:00,0.12,0.61
91,2021-01-12 19:00:00,2021-01-12 19:00:00,0.12,0.65
92,2021-01-12 19:30:00,2021-01-12 20:00:00,0.68,1.77
93,2021-01-12 23:45:00,2021-01-13 00:45:00,1.0,3.57
94,2021-01-13 03:45:00,2021-01-13 06:30:00,2.86,9.58
95,2021-01-13 13:15:00,2021-01-13 13:45:00,0.53,2.14
96,2021-01-13 14:30:00,2021-01-13 17:15:00,2.99,7.57
97,2021-01-13 17:45:00,2021-01-13 18:30:00,0.89,1.51
98,2021-02-03 23:45:00,2021-02-04 00:15:00,0.62,2.24
99,2021-02-04 00:45:00,2021-02-04 00:45:00,0.12,0.46
100,2021-02-04 02:30:00,2021-02-04 02:30:00,0.12,0.59
101,2021-02-04 03:00:00,2021-02-04 03:15:00,0.34,0.48
102,2021-02-04 03:45:00,2021-02-04 05:45:00,2.13,6.72
103,2021-02-04 06:15:00,2021-02-04 06:15:00,0.12,0.79
104,2021-02-04 06:45:00,2021-02-04 06:45:00,0.12,0.5
105,2021-02-04 13:15:00,2021-02-04 13:45:00,0.48,1.98
106,2021-02-04 14:30:00,2021-02-04 15:00:00,0.75,1.46
107,2021-02-04 15:30:00,2021-02-04 16:00:00,0.55,2.07
108,2021-02-04 16:30:00,2021-02-04 16:45:00,0.41,0.52
109,2021-02-04 17:30:00,2021-02-04 17:45:00,0.38,0.55
110,2021-02-04 19:00:00,2021-02-04 19:15:00,0.38,0.74
111,2021-02-04 20:15:00,2021-02-04 20:15:00,0.12,0.42
112,2021-02-04 23:45:00,2021-02-05 00:30:00,0.81,2.98
113,2021-02-05 02:45:00,2021-02-05 03:00:00,0.42,1.18
114,2021-02-05 03:45:00,2021-02-05 06:30:00,2.79,7.5
115,2021-02-05 17:45:00,2021-02-05 18:00:00,0.37,0.82
116,2021-02-05 19:15:00,2021-02-05 19:15:00,0.12,0.58
117,2021-02-05 23:45:00,2021-02-06 00:15:00,0.62,2.28
118,2021-02-06 00:45:00,2021-02-06 00:45:00,0.12,0.41
119,2021-02-06 03:45:00,2021-02-06 05:30:00,1.87,4.54
120,2021-02-06 06:00:00,2021-02-06 06:00:00,0.12,0.65
121,2021-02-06 06:30:00,2021-02-06 06:45:00,0.38,0.6
122,2021-02-06 13:15:00,2021-02-06 13:45:00,0.54,2.15
123,2021-02-06 14:30:00,2021-02-06 15:00:00,0.75,1.93
124,2021-02-06 15:30:00,2021-02-06 15:30:00,0.12,0.81
125,2021-02-06 16:00:00,2021-02-06 16:00:00,0.12,0.63
126,2021-02-06 16:30:00,2021-02-06 16:30:00,0.12,0.65
127,2021-02-06 17:00:00,2021-02-06 17:00:00,0.12,0.58
128,2021-02-06 17:45:00,2021-02-06 17:45:00,0.12,0.52
129,2021-02-06 18:30:00,2021-02-06 18:45:00,0.4,1.48
130,2021-02-06 23:45:00,2021-02-07 00:15:00,0.61,2.2
131,2021-02-07 00:45:00,2021-02-07 00:45:00,0.12,0.55
132,2021-02-07 02:30:00,2021-02-07 02:45:00,0.4,0.6
133,2021-02-07 03:15:00,2021-02-07 06:00:00,2.97,6.6
134,2021-02-07 06:30:00,2021-02-07 06:45:00,0.41,1.04
135,2021-02-07 13:15:00,2021-02-07 13:45:00,0.5,2.03
136,2021-02-07 14:30:00,2021-02-07 16:00:00,1.75,3.92
137,2021-02-07 16:30:00,2021-02-07 17:30:00,1.25,1.78
