cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-29 16:00:00,2021-04-29 16:15:00,0.42,0.7
1,2021-04-29 17:00:00,2021-04-29 17:15:00,0.3,0.68
2,2021-04-29 18:15:00,2021-04-29 18:15:00,0.12,0.61
3,2021-04-29 19:15:00,2021-04-29 19:15:00,0.12,0.64
4,2021-04-29 20:15:00,2021-04-29 20:15:00,0.12,0.62
5,2021-04-29 21:15:00,2021-04-29 21:30:00,0.45,0.71
6,2021-04-29 22:30:00,2021-04-29 22:30:00,0.12,0.63
7,2021-04-29 23:30:00,2021-04-29 23:30:00,0.12,0.61
8,2021-04-30 00:30:00,2021-04-30 00:30:00,0.12,0.62
9,2021-04-30 01:30:00,2021-04-30 01:45:00,0.34,0.81
10,2021-04-30 02:30:00,2021-04-30 02:45:00,0.41,0.8
11,2021-04-30 03:30:00,2021-04-30 03:30:00,0.12,0.64
12,2021-04-30 04:15:00,2021-04-30 04:30:00,0.43,0.71
13,2021-04-30 05:45:00,2021-04-30 05:45:00,0.12,0.63
14,2021-05-04 14:30:00,2021-05-04 14:30:00,0.12,0.4
15,2021-05-04 16:00:00,2021-05-04 16:15:00,0.39,0.63
16,2021-05-04 17:00:00,2021-05-04 17:15:00,0.46,0.78
17,2021-05-04 17:45:00,2021-05-04 18:00:00,0.37,0.86
18,2021-05-04 18:45:00,2021-05-04 19:00:00,0.32,0.81
19,2021-05-04 19:30:00,2021-05-04 19:45:00,0.43,0.79
20,2021-05-04 20:15:00,2021-05-04 20:30:00,0.4,0.85
21,2021-05-04 21:15:00,2021-05-04 21:30:00,0.47,0.88
22,2021-05-04 22:15:00,2021-05-04 22:30:00,0.36,0.84
23,2021-05-04 23:00:00,2021-05-04 23:15:00,0.48,0.76
24,2021-05-05 00:00:00,2021-05-05 00:00:00,0.12,0.63
25,2021-05-05 01:00:00,2021-05-05 01:00:00,0.12,0.62
26,2021-05-05 02:00:00,2021-05-05 02:00:00,0.12,0.63
27,2021-05-05 02:45:00,2021-05-05 03:00:00,0.38,0.82
28,2021-05-05 03:30:00,2021-05-05 04:15:00,0.75,1.77
29,2021-05-05 04:45:00,2021-05-05 05:15:00,0.48,1.26
30,2021-05-05 05:45:00,2021-05-05 06:30:00,0.77,1.87
31,2021-05-05 07:00:00,2021-05-05 07:15:00,0.35,0.94
32,2021-05-05 08:15:00,2021-05-05 08:30:00,0.34,0.88
33,2021-05-05 10:00:00,2021-05-05 10:15:00,0.38,0.9
34,2021-05-05 11:00:00,2021-05-05 11:15:00,0.36,0.55
35,2021-05-05 13:30:00,2021-05-05 13:45:00,0.34,0.69
36,2021-05-05 15:30:00,2021-05-05 15:30:00,0.12,0.58
37,2021-05-05 16:30:00,2021-05-05 16:45:00,0.37,0.91
38,2021-05-05 17:30:00,2021-05-05 18:00:00,0.57,1.46
39,2021-05-05 18:30:00,2021-05-05 18:45:00,0.43,1.12
40,2021-05-05 19:30:00,2021-05-05 19:45:00,0.4,1.02
41,2021-05-13 13:15:00,2021-05-13 13:15:00,0.12,0.14
42,2021-05-13 15:00:00,2021-05-13 15:15:00,0.32,0.58
43,2021-05-13 17:00:00,2021-05-13 17:15:00,0.41,0.58
44,2021-05-13 18:00:00,2021-05-13 18:15:00,0.5,0.9
45,2021-05-13 18:45:00,2021-05-13 19:15:00,0.54,1.32
46,2021-05-13 19:45:00,2021-05-13 20:15:00,0.35,0.93
47,2021-06-06 03:45:00,2021-06-06 04:15:00,0.54,1.32
48,2021-06-06 04:45:00,2021-06-06 05:00:00,0.34,0.69
49,2021-06-06 06:15:00,2021-06-06 06:30:00,0.36,0.63
50,2021-06-07 05:00:00,2021-06-07 05:15:00,0.5,0.97
51,2021-06-07 06:00:00,2021-06-07 06:15:00,0.36,0.64
52,2021-06-07 07:15:00,2021-06-07 07:30:00,0.32,0.69
53,2021-06-07 13:15:00,2021-06-07 13:30:00,0.41,0.62
54,2021-06-07 16:00:00,2021-06-07 16:15:00,0.35,0.58
55,2021-06-07 17:45:00,2021-06-07 17:45:00,0.12,0.58
56,2021-06-07 19:00:00,2021-06-07 19:15:00,0.37,0.64
57,2021-06-07 20:00:00,2021-06-07 20:15:00,0.33,0.62
58,2021-06-07 21:00:00,2021-06-07 21:15:00,0.42,0.6
59,2021-06-07 22:15:00,2021-06-07 22:15:00,0.12,0.53
60,2021-06-07 23:45:00,2021-06-07 23:45:00,0.12,0.55
61,2021-06-08 01:15:00,2021-06-08 01:30:00,0.39,0.63
62,2021-06-08 02:15:00,2021-06-08 02:30:00,0.35,0.58
63,2021-06-08 03:30:00,2021-06-08 03:45:00,0.48,0.59
64,2021-06-08 04:45:00,2021-06-08 05:00:00,0.33,0.57
65,2021-06-09 05:00:00,2021-06-09 05:15:00,0.37,0.91
66,2021-06-10 05:30:00,2021-06-10 06:00:00,0.39,0.94
67,2021-06-24 04:30:00,2021-06-24 04:45:00,0.44,1.01
68,2021-06-24 06:15:00,2021-06-24 06:30:00,0.39,0.55
69,2021-06-25 02:15:00,2021-06-25 02:30:00,0.42,0.89
70,2021-06-25 03:15:00,2021-06-25 03:30:00,0.38,0.64
71,2021-06-25 04:15:00,2021-06-25 04:30:00,0.33,0.61
72,2021-06-30 03:30:00,2021-06-30 04:00:00,0.58,1.48
73,2021-06-30 04:30:00,2021-06-30 04:45:00,0.43,0.79
74,2021-06-30 05:30:00,2021-06-30 05:45:00,0.32,0.66
75,2021-06-30 07:30:00,2021-06-30 07:30:00,0.12,0.39
76,2021-06-30 16:30:00,2021-06-30 16:45:00,0.37,0.68
77,2021-06-30 17:45:00,2021-06-30 18:00:00,0.34,0.66
78,2021-06-30 18:45:00,2021-06-30 19:00:00,0.31,0.62
79,2021-06-30 19:45:00,2021-06-30 20:00:00,0.45,0.6
80,2021-06-30 21:00:00,2021-06-30 21:00:00,0.12,0.62
81,2021-06-30 22:15:00,2021-06-30 22:15:00,0.12,0.58
82,2021-06-30 23:15:00,2021-06-30 23:30:00,0.32,0.67
83,2021-07-01 00:45:00,2021-07-01 01:00:00,0.32,0.68
84,2021-07-01 02:00:00,2021-07-01 02:15:00,0.43,0.66
85,2021-07-01 03:30:00,2021-07-01 03:30:00,0.12,0.6
86,2021-07-01 04:45:00,2021-07-01 05:00:00,0.33,0.57
87,2021-07-01 07:45:00,2021-07-01 07:45:00,0.12,0.55
88,2021-07-02 05:00:00,2021-07-02 05:15:00,0.31,0.75
89,2021-07-05 04:00:00,2021-07-05 04:30:00,0.47,1.11
90,2021-07-05 05:15:00,2021-07-05 05:30:00,0.43,0.62
91,2021-07-05 06:45:00,2021-07-05 06:45:00,0.12,0.48
92,2021-07-07 03:00:00,2021-07-07 03:15:00,0.43,1.0
93,2021-07-07 03:45:00,2021-07-07 04:00:00,0.35,0.8
94,2021-07-07 04:45:00,2021-07-07 05:00:00,0.47,0.72
95,2021-07-07 06:00:00,2021-07-07 06:15:00,0.46,0.68
96,2021-07-07 07:30:00,2021-07-07 07:45:00,0.34,0.62
97,2021-07-07 08:45:00,2021-07-07 08:45:00,0.12,0.52
98,2021-07-07 10:15:00,2021-07-07 10:30:00,0.31,0.54
99,2021-07-07 12:15:00,2021-07-07 12:30:00,0.34,0.6
100,2021-07-07 14:00:00,2021-07-07 14:15:00,0.4,0.52
101,2021-07-07 18:00:00,2021-07-07 18:15:00,0.39,0.58
102,2021-07-07 19:00:00,2021-07-07 19:15:00,0.36,0.57
103,2021-07-09 02:30:00,2021-07-09 03:00:00,0.61,1.48
104,2021-07-09 03:45:00,2021-07-09 04:00:00,0.37,0.92
105,2021-07-09 04:30:00,2021-07-09 04:45:00,0.45,0.75
106,2021-07-09 05:30:00,2021-07-09 05:45:00,0.31,0.67
107,2021-07-09 06:15:00,2021-07-09 06:30:00,0.4,0.59
108,2021-07-09 07:45:00,2021-07-09 07:45:00,0.12,0.27
109,2021-07-10 05:15:00,2021-07-10 05:45:00,0.49,1.19
110,2021-07-14 02:00:00,2021-07-14 02:45:00,0.87,2.17
111,2021-07-14 03:15:00,2021-07-14 03:30:00,0.37,0.85
112,2021-07-14 04:15:00,2021-07-14 04:30:00,0.31,0.78
113,2021-07-14 05:00:00,2021-07-14 05:15:00,0.33,0.83
114,2021-07-14 06:00:00,2021-07-14 06:15:00,0.45,0.78
115,2021-07-14 07:15:00,2021-07-14 07:30:00,0.45,0.66
116,2021-07-14 16:30:00,2021-07-14 16:45:00,0.33,0.64
117,2021-07-15 03:00:00,2021-07-15 03:30:00,0.54,1.3
118,2021-07-15 04:00:00,2021-07-15 04:30:00,0.36,0.91
119,2021-07-15 05:00:00,2021-07-15 05:15:00,0.35,0.73
120,2021-07-15 06:00:00,2021-07-15 06:15:00,0.4,0.69
121,2021-07-15 06:45:00,2021-07-15 07:00:00,0.3,0.66
122,2021-07-15 08:00:00,2021-07-15 08:15:00,0.35,0.61
123,2021-07-15 10:45:00,2021-07-15 11:00:00,0.42,0.52
124,2021-07-15 13:15:00,2021-07-15 13:15:00,0.12,0.52
125,2021-07-15 14:15:00,2021-07-15 14:30:00,0.33,0.57
126,2021-07-15 15:45:00,2021-07-15 15:45:00,0.12,0.54
127,2021-07-15 17:45:00,2021-07-15 18:00:00,0.48,0.6
128,2021-07-16 04:15:00,2021-07-16 04:30:00,0.34,0.85
129,2021-07-16 05:15:00,2021-07-16 05:30:00,0.44,0.75
130,2021-07-16 06:15:00,2021-07-16 06:30:00,0.4,0.63
131,2021-07-16 10:15:00,2021-07-16 10:30:00,0.33,0.78
132,2021-07-16 18:30:00,2021-07-16 18:45:00,0.31,0.55
133,2021-07-16 19:30:00,2021-07-16 19:45:00,0.31,0.59
134,2021-08-01 07:15:00,2021-08-01 07:30:00,0.47,1.06
135,2021-08-01 08:15:00,2021-08-01 08:30:00,0.34,0.64
136,2021-08-01 15:30:00,2021-08-01 15:45:00,0.3,0.62
137,2021-08-01 17:15:00,2021-08-01 17:15:00,0.12,0.53
138,2021-08-01 18:30:00,2021-08-01 18:45:00,0.48,0.64
139,2021-08-01 19:45:00,2021-08-01 19:45:00,0.12,0.56
140,2021-08-01 20:30:00,2021-08-01 20:45:00,0.4,0.64
141,2021-08-01 21:30:00,2021-08-01 21:45:00,0.35,0.63
142,2021-08-01 22:30:00,2021-08-01 22:45:00,0.34,0.7
143,2021-08-01 23:15:00,2021-08-01 23:30:00,0.35,0.64
144,2021-08-02 00:15:00,2021-08-02 00:30:00,0.43,0.56
145,2021-08-02 01:30:00,2021-08-02 01:45:00,0.38,0.6
146,2021-08-02 02:30:00,2021-08-02 02:45:00,0.37,0.59
147,2021-08-02 03:45:00,2021-08-02 03:45:00,0.12,0.57
148,2021-08-02 05:15:00,2021-08-02 05:15:00,0.12,0.51
149,2021-08-03 05:00:00,2021-08-03 05:15:00,0.35,0.87
150,2021-08-04 03:00:00,2021-08-04 03:30:00,0.48,1.14
151,2021-08-04 04:15:00,2021-08-04 04:30:00,0.33,0.71
152,2021-08-04 05:00:00,2021-08-04 05:15:00,0.35,0.64
153,2021-08-04 11:15:00,2021-08-04 11:15:00,0.12,0.48
154,2021-08-04 14:15:00,2021-08-04 14:15:00,0.12,0.61
155,2021-08-04 16:00:00,2021-08-04 16:15:00,0.32,0.6
156,2021-08-04 17:15:00,2021-08-04 17:30:00,0.48,0.57
157,2021-08-04 18:15:00,2021-08-04 18:30:00,0.31,0.65
158,2021-08-04 19:45:00,2021-08-04 20:00:00,0.31,0.63
159,2021-08-04 21:00:00,2021-08-04 21:15:00,0.5,0.61
160,2021-08-04 22:30:00,2021-08-04 22:45:00,0.35,0.62
161,2021-08-05 00:00:00,2021-08-05 00:00:00,0.12,0.59
162,2021-08-05 01:00:00,2021-08-05 01:15:00,0.39,0.57
163,2021-08-05 02:15:00,2021-08-05 02:15:00,0.12,0.52
164,2021-08-05 03:30:00,2021-08-05 03:30:00,0.12,0.52
165,2021-08-05 04:30:00,2021-08-05 04:45:00,0.38,0.57
166,2021-08-06 04:45:00,2021-08-06 05:15:00,0.36,0.88
167,2021-08-06 06:00:00,2021-08-06 06:15:00,0.36,0.37
168,2021-08-07 22:00:00,2021-08-07 22:15:00,0.47,1.1
169,2021-08-07 22:45:00,2021-08-07 23:00:00,0.3,0.76
170,2021-08-07 23:45:00,2021-08-07 23:45:00,0.12,0.63
171,2021-08-08 00:30:00,2021-08-08 00:45:00,0.48,0.66
172,2021-08-08 01:45:00,2021-08-08 01:45:00,0.12,0.54
173,2021-08-08 02:45:00,2021-08-08 03:00:00,0.32,0.59
174,2021-08-08 04:00:00,2021-08-08 04:15:00,0.49,0.62
175,2021-08-08 05:15:00,2021-08-08 05:30:00,0.32,0.56
176,2021-08-09 04:45:00,2021-08-09 05:15:00,0.56,1.4
177,2021-08-09 06:00:00,2021-08-09 06:00:00,0.12,0.44
178,2021-08-10 05:30:00,2021-08-10 06:00:00,0.43,1.06
179,2021-08-25 03:45:00,2021-08-25 04:00:00,0.5,1.12
180,2021-08-25 04:45:00,2021-08-25 05:00:00,0.47,0.74
181,2021-08-25 05:45:00,2021-08-25 06:00:00,0.47,0.61
182,2021-08-25 06:45:00,2021-08-25 07:00:00,0.39,0.6
183,2021-08-25 08:15:00,2021-08-25 08:15:00,0.12,0.54
184,2021-08-25 17:45:00,2021-08-25 18:00:00,0.41,0.51
185,2021-08-26 03:30:00,2021-08-26 04:45:00,1.22,2.18
186,2021-08-26 05:15:00,2021-08-26 05:30:00,0.36,0.7
187,2021-08-27 03:45:00,2021-08-27 04:15:00,0.56,1.38
188,2021-08-27 04:45:00,2021-08-27 05:00:00,0.4,0.83
189,2021-08-27 05:45:00,2021-08-27 06:00:00,0.4,0.73
190,2021-08-28 03:15:00,2021-08-28 04:00:00,0.75,1.87
191,2021-08-28 04:30:00,2021-08-28 04:45:00,0.45,0.86
192,2021-08-28 05:15:00,2021-08-28 05:30:00,0.4,0.74
193,2021-08-28 06:45:00,2021-08-28 07:00:00,0.32,0.75
194,2021-08-28 12:30:00,2021-08-28 13:00:00,0.36,0.88
195,2021-08-28 13:30:00,2021-08-28 13:45:00,0.35,0.74
196,2021-08-28 14:30:00,2021-08-28 14:45:00,0.33,0.61
197,2021-08-28 15:45:00,2021-08-28 16:00:00,0.42,0.64
198,2021-08-28 16:45:00,2021-08-28 16:45:00,0.12,0.6
199,2021-08-28 17:30:00,2021-08-28 17:30:00,0.12,0.62
200,2021-08-28 18:15:00,2021-08-28 18:30:00,0.49,0.64
201,2021-08-28 19:15:00,2021-08-28 19:15:00,0.12,0.59
202,2021-08-28 20:15:00,2021-08-28 20:30:00,0.39,0.67
203,2021-08-28 21:15:00,2021-08-28 21:30:00,0.35,0.63
204,2021-08-28 22:15:00,2021-08-28 22:30:00,0.31,0.63
205,2021-08-28 23:15:00,2021-08-28 23:15:00,0.12,0.58
206,2021-08-29 00:15:00,2021-08-29 00:15:00,0.12,0.59
207,2021-08-29 01:15:00,2021-08-29 01:15:00,0.12,0.52
208,2021-08-29 02:15:00,2021-08-29 02:30:00,0.37,0.66
209,2021-08-29 03:30:00,2021-08-29 03:45:00,0.43,0.67
210,2021-08-29 04:45:00,2021-08-29 05:00:00,0.49,0.67
211,2021-08-29 06:15:00,2021-08-29 06:30:00,0.33,0.63
212,2021-08-29 08:15:00,2021-08-29 08:30:00,0.37,0.54
213,2021-08-29 15:30:00,2021-08-29 15:45:00,0.35,0.5
214,2021-08-29 17:00:00,2021-08-29 17:00:00,0.12,0.59
215,2021-08-29 18:15:00,2021-08-29 18:15:00,0.12,0.52
216,2021-08-29 19:15:00,2021-08-29 19:30:00,0.34,0.63
217,2021-08-29 20:15:00,2021-08-29 20:15:00,0.12,0.5
218,2021-08-29 21:30:00,2021-08-29 21:45:00,0.44,0.62
219,2021-08-29 22:45:00,2021-08-29 23:00:00,0.34,0.61
220,2021-08-30 00:00:00,2021-08-30 00:00:00,0.12,0.56
221,2021-08-30 01:15:00,2021-08-30 01:15:00,0.12,0.62
222,2021-08-30 02:30:00,2021-08-30 02:30:00,0.12,0.54
223,2021-08-30 03:45:00,2021-08-30 04:00:00,0.33,0.65
224,2021-08-30 05:00:00,2021-08-30 05:15:00,0.44,0.65
225,2021-08-30 07:45:00,2021-08-30 07:45:00,0.12,0.51
226,2021-08-30 13:00:00,2021-08-30 13:15:00,0.44,0.64
227,2021-08-30 16:00:00,2021-08-30 16:15:00,0.47,0.62
228,2021-08-30 17:00:00,2021-08-30 17:15:00,0.44,0.66
229,2021-08-30 18:00:00,2021-08-30 18:15:00,0.37,0.59
230,2021-08-30 19:00:00,2021-08-30 19:15:00,0.38,0.59
231,2021-08-30 20:15:00,2021-08-30 20:15:00,0.12,0.63
232,2021-08-30 21:30:00,2021-08-30 21:30:00,0.12,0.47
233,2021-08-30 22:30:00,2021-08-30 22:45:00,0.4,0.64
234,2021-08-30 23:45:00,2021-08-31 00:00:00,0.49,0.63
235,2021-08-31 01:00:00,2021-08-31 01:15:00,0.33,0.56
236,2021-08-31 02:00:00,2021-08-31 02:15:00,0.44,0.59
237,2021-08-31 03:15:00,2021-08-31 03:30:00,0.3,0.63
238,2021-08-31 04:45:00,2021-08-31 04:45:00,0.12,0.52
239,2021-08-31 06:00:00,2021-08-31 06:15:00,0.41,0.55
240,2021-09-01 03:30:00,2021-09-01 04:00:00,0.58,1.47
241,2021-09-01 04:30:00,2021-09-01 04:45:00,0.34,0.88
242,2021-09-01 05:30:00,2021-09-01 05:45:00,0.48,0.71
243,2021-09-01 06:45:00,2021-09-01 06:45:00,0.12,0.53
244,2021-09-02 03:45:00,2021-09-02 04:30:00,0.68,1.72
245,2021-09-02 05:00:00,2021-09-02 05:15:00,0.36,0.91
246,2021-09-02 05:45:00,2021-09-02 06:00:00,0.3,0.77
247,2021-09-03 05:45:00,2021-09-03 06:00:00,0.49,1.2
248,2021-09-04 06:30:00,2021-09-04 06:45:00,0.35,0.81
249,2021-09-05 06:45:00,2021-09-05 06:45:00,0.12,0.48
250,2021-09-07 06:30:00,2021-09-07 06:45:00,0.4,0.83
251,2021-09-08 06:15:00,2021-09-08 06:45:00,0.42,1.01
252,2021-09-13 05:00:00,2021-09-13 05:30:00,0.58,1.42
253,2021-09-13 06:15:00,2021-09-13 06:30:00,0.38,0.81
254,2021-09-17 01:45:00,2021-09-17 02:15:00,0.5,1.25
255,2021-09-17 02:45:00,2021-09-17 03:00:00,0.43,0.67
