cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-04-03 22:00:00,2021-04-03 22:15:00,0.45,1.02
1,2021-04-03 22:45:00,2021-04-03 23:00:00,0.44,1.05
2,2021-04-03 23:30:00,2021-04-03 23:45:00,0.41,1.13
3,2021-04-04 00:15:00,2021-04-04 01:15:00,1.25,2.72
4,2021-04-04 01:45:00,2021-04-04 03:45:00,2.15,4.68
5,2021-04-04 04:15:00,2021-04-04 04:30:00,0.43,1.62
6,2021-04-04 05:00:00,2021-04-04 06:15:00,1.35,3.23
7,2021-04-04 06:45:00,2021-04-04 07:30:00,1.0,1.9
8,2021-04-04 08:00:00,2021-04-04 08:15:00,0.37,0.84
9,2021-04-04 08:45:00,2021-04-04 09:00:00,0.46,0.79
10,2021-04-04 09:30:00,2021-04-04 09:45:00,0.37,0.76
11,2021-04-04 10:15:00,2021-04-04 10:30:00,0.39,0.75
12,2021-04-04 11:00:00,2021-04-04 11:15:00,0.44,0.7
13,2021-04-04 12:00:00,2021-04-04 12:00:00,0.12,0.64
14,2021-04-04 12:45:00,2021-04-04 13:00:00,0.31,0.66
15,2021-04-04 13:45:00,2021-04-04 13:45:00,0.12,0.59
16,2021-04-04 14:30:00,2021-04-04 14:45:00,0.34,0.69
17,2021-04-04 15:15:00,2021-04-04 15:30:00,0.49,0.7
18,2021-04-04 16:00:00,2021-04-04 16:15:00,0.5,0.69
19,2021-04-04 16:45:00,2021-04-04 17:00:00,0.48,0.69
20,2021-04-04 17:30:00,2021-04-04 19:30:00,2.13,4.32
21,2021-04-04 20:00:00,2021-04-04 20:15:00,0.43,0.97
22,2021-04-04 20:45:00,2021-04-05 02:15:00,5.73,9.91
23,2021-04-05 02:45:00,2021-04-05 03:00:00,0.45,1.47
24,2021-04-05 03:30:00,2021-04-05 05:30:00,2.14,4.6
25,2021-04-05 06:00:00,2021-04-05 06:15:00,0.42,1.12
26,2021-04-05 06:45:00,2021-04-05 07:30:00,1.0,1.74
27,2021-04-05 08:15:00,2021-04-05 08:15:00,0.12,0.64
28,2021-04-05 10:00:00,2021-04-05 10:15:00,0.47,1.08
29,2021-04-05 10:45:00,2021-04-05 11:00:00,0.36,0.69
30,2021-04-05 11:30:00,2021-04-05 11:45:00,0.39,0.66
31,2021-04-05 12:30:00,2021-04-05 12:45:00,0.44,0.6
32,2021-04-05 13:30:00,2021-04-05 13:45:00,0.35,0.61
33,2021-04-05 14:15:00,2021-04-05 14:30:00,0.4,0.65
34,2021-04-05 16:15:00,2021-04-05 16:30:00,0.45,1.09
35,2021-04-05 17:00:00,2021-04-05 17:45:00,1.0,1.74
36,2021-04-05 18:15:00,2021-04-05 18:30:00,0.39,1.06
37,2021-04-05 19:00:00,2021-04-05 22:00:00,3.1,6.34
38,2021-04-05 22:30:00,2021-04-05 22:45:00,0.47,1.32
39,2021-04-05 23:15:00,2021-04-05 23:30:00,0.43,1.46
40,2021-04-06 00:00:00,2021-04-06 01:15:00,1.37,3.13
41,2021-04-06 01:45:00,2021-04-06 03:00:00,1.42,3.53
42,2021-04-06 03:30:00,2021-04-06 04:45:00,1.44,4.08
43,2021-04-06 05:15:00,2021-04-06 05:45:00,0.64,1.98
44,2021-04-06 06:15:00,2021-04-06 08:45:00,2.68,5.46
45,2021-04-06 10:00:00,2021-04-06 10:30:00,0.62,1.79
46,2021-04-06 11:00:00,2021-04-06 11:15:00,0.49,1.42
47,2021-04-06 11:45:00,2021-04-06 12:00:00,0.44,1.32
48,2021-04-06 12:30:00,2021-04-06 12:45:00,0.42,1.25
49,2021-04-06 13:15:00,2021-04-06 13:30:00,0.4,1.27
50,2021-04-06 14:00:00,2021-04-06 14:45:00,0.89,1.76
51,2021-04-06 16:15:00,2021-04-06 17:00:00,0.97,3.29
52,2021-04-06 17:30:00,2021-04-06 18:00:00,0.67,2.48
53,2021-04-06 18:30:00,2021-04-06 19:00:00,0.65,2.09
54,2021-04-06 19:30:00,2021-04-06 20:00:00,0.7,2.46
55,2021-04-06 20:30:00,2021-04-06 21:45:00,1.42,4.02
56,2021-04-06 22:15:00,2021-04-06 22:45:00,0.64,1.98
57,2021-04-06 23:15:00,2021-04-07 00:30:00,1.43,4.12
58,2021-04-07 01:00:00,2021-04-07 01:30:00,0.65,2.5
59,2021-04-07 02:00:00,2021-04-07 04:45:00,2.85,8.45
