cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-18 10:00:00,2021-08-18 10:00:00,0.12,0.72
1,2021-08-19 00:45:00,2021-08-19 01:00:00,0.35,0.74
2,2021-08-19 15:30:00,2021-08-19 15:30:00,0.12,0.78
3,2021-08-20 05:30:00,2021-08-20 05:45:00,0.32,0.74
4,2021-08-20 12:15:00,2021-08-20 12:30:00,0.49,0.83
5,2021-08-20 23:45:00,2021-08-21 00:00:00,0.3,0.7
6,2021-08-21 18:15:00,2021-08-21 18:30:00,0.42,0.76
7,2021-08-22 14:00:00,2021-08-22 14:00:00,0.12,0.74
8,2021-08-23 04:00:00,2021-08-23 04:15:00,0.44,0.33
9,2021-08-23 06:45:00,2021-08-23 07:00:00,0.29,0.86
10,2021-08-23 17:00:00,2021-08-23 17:15:00,0.33,0.78
11,2021-08-24 04:15:00,2021-08-24 04:30:00,0.31,0.73
12,2021-08-24 05:45:00,2021-08-24 05:45:00,0.12,0.33
13,2021-08-24 10:00:00,2021-08-24 10:00:00,0.12,0.7
14,2021-08-24 16:45:00,2021-08-24 16:45:00,0.12,0.61
15,2021-08-25 00:30:00,2021-08-25 00:45:00,0.44,0.66
16,2021-08-25 04:30:00,2021-08-25 04:30:00,0.12,0.34
17,2021-08-25 05:45:00,2021-08-25 05:45:00,0.12,0.17
18,2021-08-25 06:45:00,2021-08-25 06:45:00,0.12,0.16
19,2021-08-25 14:45:00,2021-08-25 15:00:00,0.33,0.82
20,2021-08-25 22:00:00,2021-08-25 22:00:00,0.12,0.36
21,2021-08-25 23:15:00,2021-08-25 23:15:00,0.12,0.28
22,2021-08-26 00:15:00,2021-08-26 00:45:00,0.42,1.14
23,2021-08-26 01:45:00,2021-08-26 02:00:00,0.42,0.41
24,2021-08-26 03:00:00,2021-08-26 03:00:00,0.12,0.3
25,2021-08-26 04:15:00,2021-08-26 04:15:00,0.12,0.39
26,2021-08-26 05:30:00,2021-08-26 05:30:00,0.12,0.4
27,2021-08-26 06:45:00,2021-08-26 06:45:00,0.12,0.18
28,2021-08-26 14:15:00,2021-08-26 14:30:00,0.31,0.72
29,2021-08-26 21:30:00,2021-08-26 21:45:00,0.35,0.71
30,2021-08-27 01:30:00,2021-08-27 01:45:00,0.42,0.38
31,2021-08-27 02:45:00,2021-08-27 02:45:00,0.12,0.24
32,2021-08-27 04:00:00,2021-08-27 04:00:00,0.12,0.38
33,2021-08-27 05:15:00,2021-08-27 05:15:00,0.12,0.31
34,2021-08-27 06:15:00,2021-08-27 06:15:00,0.12,0.15
35,2021-08-27 10:00:00,2021-08-27 10:15:00,0.33,0.9
36,2021-08-27 21:15:00,2021-08-27 21:15:00,0.12,0.37
37,2021-08-27 22:30:00,2021-08-27 22:30:00,0.12,0.26
38,2021-08-27 23:30:00,2021-08-28 00:00:00,0.44,1.32
39,2021-08-28 01:00:00,2021-08-28 01:15:00,0.32,0.5
40,2021-08-28 02:30:00,2021-08-28 02:30:00,0.12,0.38
41,2021-08-28 03:30:00,2021-08-28 03:45:00,0.3,0.57
42,2021-08-28 05:00:00,2021-08-28 05:15:00,0.32,0.55
43,2021-08-28 06:15:00,2021-08-28 06:15:00,0.12,0.35
44,2021-08-28 07:30:00,2021-08-28 07:30:00,0.12,0.34
45,2021-08-28 08:45:00,2021-08-28 08:45:00,0.12,0.14
46,2021-08-28 15:00:00,2021-08-28 15:15:00,0.32,0.75
47,2021-08-28 17:00:00,2021-08-28 17:00:00,0.12,0.28
48,2021-08-28 18:00:00,2021-08-28 18:15:00,0.45,0.31
49,2021-08-28 19:15:00,2021-08-28 19:15:00,0.12,0.32
50,2021-08-28 20:30:00,2021-08-28 20:30:00,0.12,0.37
51,2021-08-28 21:45:00,2021-08-28 21:45:00,0.12,0.34
52,2021-08-28 22:45:00,2021-08-28 23:00:00,0.38,0.35
53,2021-08-29 00:00:00,2021-08-29 00:15:00,0.39,0.36
54,2021-08-29 01:15:00,2021-08-29 01:15:00,0.12,0.32
55,2021-08-29 02:30:00,2021-08-29 02:30:00,0.12,0.35
56,2021-08-29 03:30:00,2021-08-29 03:45:00,0.36,0.32
57,2021-08-29 04:45:00,2021-08-29 04:45:00,0.12,0.24
58,2021-08-29 06:00:00,2021-08-29 06:00:00,0.12,0.32
59,2021-08-29 07:15:00,2021-08-29 07:15:00,0.12,0.29
60,2021-08-29 08:15:00,2021-08-29 08:30:00,0.38,0.26
61,2021-08-29 09:30:00,2021-08-29 09:30:00,0.12,0.25
62,2021-08-29 10:30:00,2021-08-29 10:45:00,0.31,0.87
63,2021-08-29 18:45:00,2021-08-29 18:45:00,0.12,0.2
64,2021-08-29 20:00:00,2021-08-29 20:00:00,0.12,0.36
65,2021-08-29 21:00:00,2021-08-29 21:15:00,0.47,0.18
66,2021-08-29 22:15:00,2021-08-29 22:15:00,0.12,0.28
67,2021-08-29 23:30:00,2021-08-29 23:30:00,0.12,0.22
68,2021-08-30 00:30:00,2021-08-30 00:30:00,0.12,0.23
69,2021-08-30 01:45:00,2021-08-30 01:45:00,0.12,0.25
70,2021-08-30 02:45:00,2021-08-30 03:00:00,0.38,0.42
71,2021-08-30 04:00:00,2021-08-30 04:30:00,0.44,1.27
72,2021-08-30 05:30:00,2021-08-30 05:30:00,0.12,0.2
73,2021-08-30 06:45:00,2021-08-30 06:45:00,0.12,0.22
74,2021-08-30 07:45:00,2021-08-30 07:45:00,0.12,0.15
75,2021-08-30 10:00:00,2021-08-30 10:00:00,0.12,0.34
76,2021-08-30 11:00:00,2021-08-30 11:15:00,0.29,0.75
77,2021-08-30 17:30:00,2021-08-30 17:30:00,0.12,0.68
78,2021-08-30 18:45:00,2021-08-30 18:45:00,0.12,0.19
79,2021-08-30 19:45:00,2021-08-30 19:45:00,0.12,0.23
80,2021-08-30 21:00:00,2021-08-30 21:00:00,0.12,0.23
81,2021-08-30 22:00:00,2021-08-30 22:00:00,0.12,0.22
82,2021-08-30 23:15:00,2021-08-30 23:15:00,0.12,0.28
83,2021-08-31 00:15:00,2021-08-31 00:30:00,0.41,0.32
84,2021-08-31 01:30:00,2021-08-31 01:45:00,0.36,0.38
85,2021-08-31 02:45:00,2021-08-31 02:45:00,0.12,0.29
86,2021-08-31 04:00:00,2021-08-31 04:00:00,0.12,0.23
87,2021-08-31 05:00:00,2021-08-31 05:30:00,0.45,1.29
88,2021-08-31 06:30:00,2021-08-31 06:30:00,0.12,0.14
89,2021-08-31 10:45:00,2021-08-31 10:45:00,0.12,0.63
90,2021-08-31 17:30:00,2021-08-31 17:30:00,0.12,0.7
91,2021-08-31 21:15:00,2021-08-31 21:30:00,0.44,0.35
92,2021-08-31 22:30:00,2021-08-31 22:30:00,0.12,0.31
93,2021-08-31 23:45:00,2021-08-31 23:45:00,0.12,0.27
94,2021-09-01 00:45:00,2021-09-01 01:00:00,0.46,0.28
95,2021-09-01 02:00:00,2021-09-01 02:00:00,0.12,0.33
96,2021-09-01 03:15:00,2021-09-01 03:15:00,0.12,0.37
97,2021-09-01 04:30:00,2021-09-01 04:30:00,0.12,0.3
98,2021-09-01 05:30:00,2021-09-01 06:00:00,0.43,1.17
99,2021-09-01 07:00:00,2021-09-01 07:00:00,0.12,0.22
100,2021-09-01 13:00:00,2021-09-01 13:15:00,0.44,0.7
101,2021-09-01 22:45:00,2021-09-01 23:00:00,0.42,0.36
102,2021-09-02 00:00:00,2021-09-02 00:00:00,0.12,0.19
103,2021-09-02 01:15:00,2021-09-02 01:15:00,0.12,0.39
104,2021-09-02 02:15:00,2021-09-02 02:45:00,0.4,1.19
105,2021-09-02 03:45:00,2021-09-02 04:00:00,0.33,0.53
106,2021-09-02 05:15:00,2021-09-02 05:15:00,0.12,0.39
107,2021-09-02 06:30:00,2021-09-02 06:30:00,0.12,0.32
108,2021-09-02 11:30:00,2021-09-02 11:45:00,0.46,0.71
109,2021-09-03 00:45:00,2021-09-03 01:15:00,0.42,1.2
110,2021-09-03 02:15:00,2021-09-03 02:30:00,0.35,0.37
111,2021-09-03 03:30:00,2021-09-03 03:45:00,0.38,0.29
112,2021-09-03 04:45:00,2021-09-03 04:45:00,0.12,0.37
113,2021-09-03 06:00:00,2021-09-03 06:00:00,0.12,0.38
114,2021-09-03 10:45:00,2021-09-03 10:45:00,0.12,0.78
115,2021-09-03 18:45:00,2021-09-03 18:45:00,0.12,0.7
116,2021-09-04 02:15:00,2021-09-04 02:30:00,0.43,0.35
117,2021-09-04 03:30:00,2021-09-04 03:30:00,0.12,0.2
118,2021-09-04 04:45:00,2021-09-04 04:45:00,0.12,0.31
119,2021-09-04 05:45:00,2021-09-04 05:45:00,0.12,0.15
120,2021-09-04 07:00:00,2021-09-04 07:00:00,0.12,0.72
121,2021-09-04 15:00:00,2021-09-04 15:15:00,0.45,0.69
122,2021-09-05 03:30:00,2021-09-05 03:30:00,0.12,0.34
123,2021-09-05 04:45:00,2021-09-05 04:45:00,0.12,0.75
124,2021-09-05 06:00:00,2021-09-05 06:00:00,0.12,0.28
125,2021-09-05 11:15:00,2021-09-05 11:30:00,0.4,0.74
