cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-18 23:00:00,2021-01-19 06:00:00,7.23,23.81
1,2021-01-19 06:30:00,2021-01-19 11:00:00,4.75,3.36
2,2021-01-19 15:00:00,2021-01-19 19:00:00,4.11,2.91
3,2021-01-19 21:45:00,2021-01-20 10:00:00,12.32,37.51
4,2021-01-20 11:00:00,2021-01-20 18:45:00,8.0,19.49
5,2021-01-20 19:15:00,2021-01-21 05:45:00,10.53,29.14
6,2021-01-21 06:15:00,2021-01-21 10:00:00,3.91,5.22
7,2021-01-21 12:00:00,2021-01-21 18:45:00,6.8,16.22
8,2021-01-21 19:15:00,2021-01-21 19:30:00,0.4,0.34
9,2021-01-21 20:00:00,2021-01-21 20:00:00,0.12,0.53
10,2021-01-21 20:30:00,2021-01-22 01:00:00,4.75,8.8
11,2021-01-22 01:30:00,2021-01-22 01:30:00,0.12,0.46
12,2021-01-22 02:00:00,2021-01-22 05:30:00,3.75,9.15
13,2021-01-22 06:00:00,2021-01-22 10:30:00,4.54,5.78
14,2021-01-22 15:00:00,2021-01-22 16:15:00,1.42,1.11
15,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.12
16,2021-01-22 17:15:00,2021-01-23 08:00:00,14.79,37.56
17,2021-01-23 12:00:00,2021-01-24 11:45:00,23.93,51.62
18,2021-01-24 15:30:00,2021-01-25 09:45:00,18.45,47.23
19,2021-01-25 11:00:00,2021-01-25 18:45:00,8.0,25.67
20,2021-01-25 19:15:00,2021-01-26 09:45:00,14.73,34.85
21,2021-01-26 11:00:00,2021-01-26 16:30:00,5.72,19.7
22,2021-01-26 17:15:00,2021-01-26 18:00:00,0.73,3.4
23,2021-01-26 20:45:00,2021-01-27 15:45:00,19.19,55.38
24,2021-01-27 17:15:00,2021-01-28 11:15:00,18.08,41.0
25,2021-01-28 11:45:00,2021-01-28 16:30:00,4.98,11.22
26,2021-01-28 17:15:00,2021-01-28 18:45:00,1.59,4.14
27,2021-01-28 20:30:00,2021-01-28 20:30:00,0.12,0.35
28,2021-01-28 21:15:00,2021-01-29 01:15:00,4.25,5.74
29,2021-01-29 01:45:00,2021-01-29 01:45:00,0.12,0.42
30,2021-01-29 02:15:00,2021-01-29 05:30:00,3.38,8.81
31,2021-01-29 06:45:00,2021-01-29 10:30:00,3.92,5.06
32,2021-01-29 11:00:00,2021-01-29 11:15:00,0.38,0.59
33,2021-01-29 11:45:00,2021-01-29 20:30:00,9.0,18.77
34,2021-01-29 21:00:00,2021-01-29 21:00:00,0.12,0.36
35,2021-01-29 21:30:00,2021-01-29 21:45:00,0.46,0.45
36,2021-01-29 22:15:00,2021-01-30 09:45:00,11.75,20.9
37,2021-01-30 10:15:00,2021-01-30 10:15:00,0.12,0.4
38,2021-01-30 10:45:00,2021-01-30 10:45:00,0.12,0.4
39,2021-01-30 11:15:00,2021-01-30 18:45:00,7.75,20.73
40,2021-01-30 19:15:00,2021-01-31 06:15:00,11.13,21.53
41,2021-01-31 06:45:00,2021-01-31 06:45:00,0.12,0.54
42,2021-01-31 07:15:00,2021-01-31 07:30:00,0.48,1.18
43,2021-01-31 08:00:00,2021-01-31 17:30:00,9.69,13.92
44,2021-01-31 19:00:00,2021-02-01 00:15:00,5.32,13.42
45,2021-02-01 00:45:00,2021-02-01 09:00:00,8.5,16.5
46,2021-02-01 09:30:00,2021-02-01 09:30:00,0.12,0.4
47,2021-02-01 11:00:00,2021-02-01 15:45:00,4.9,11.85
48,2021-02-01 17:15:00,2021-02-01 18:45:00,1.6,4.1
49,2021-02-01 19:45:00,2021-02-01 22:45:00,3.15,3.94
50,2021-02-01 23:15:00,2021-02-01 23:15:00,0.12,0.42
51,2021-02-01 23:45:00,2021-02-01 23:45:00,0.12,0.41
52,2021-02-02 00:15:00,2021-02-02 00:15:00,0.12,0.45
53,2021-02-02 00:45:00,2021-02-02 00:45:00,0.12,0.41
54,2021-02-02 01:15:00,2021-02-02 06:15:00,5.24,10.61
55,2021-02-02 07:15:00,2021-02-02 07:15:00,0.12,0.3
56,2021-02-02 08:00:00,2021-02-02 08:00:00,0.12,0.3
57,2021-02-02 08:30:00,2021-02-02 08:45:00,0.35,0.44
58,2021-02-02 09:15:00,2021-02-02 09:15:00,0.12,0.39
59,2021-02-02 09:45:00,2021-02-02 09:45:00,0.12,0.3
60,2021-02-02 10:45:00,2021-02-02 15:45:00,5.09,12.94
61,2021-02-02 17:15:00,2021-02-02 22:30:00,5.25,6.89
62,2021-02-03 01:00:00,2021-02-03 01:15:00,0.4,0.37
63,2021-02-03 02:15:00,2021-02-03 05:30:00,3.32,8.95
64,2021-02-03 06:30:00,2021-02-03 16:00:00,9.54,18.33
65,2021-02-03 16:45:00,2021-02-03 19:00:00,2.25,5.58
66,2021-02-03 19:30:00,2021-02-03 19:30:00,0.12,0.1
67,2021-02-03 20:00:00,2021-02-03 20:00:00,0.12,0.1
68,2021-02-03 21:00:00,2021-02-03 21:00:00,0.12,0.11
69,2021-02-03 21:30:00,2021-02-04 08:30:00,11.23,22.32
70,2021-02-04 09:00:00,2021-02-04 09:15:00,0.42,0.38
71,2021-02-04 11:00:00,2021-02-04 15:45:00,4.95,11.59
72,2021-02-04 17:15:00,2021-02-05 05:30:00,12.3,28.75
73,2021-02-05 06:00:00,2021-02-05 12:15:00,6.49,5.85
74,2021-02-05 16:15:00,2021-02-05 19:45:00,3.63,2.53
75,2021-02-06 00:00:00,2021-02-06 05:30:00,5.74,11.67
76,2021-02-06 07:45:00,2021-02-06 09:15:00,1.57,1.17
77,2021-02-06 12:00:00,2021-02-06 19:30:00,7.58,19.36
78,2021-02-07 00:15:00,2021-02-07 05:45:00,5.52,16.21
79,2021-02-07 07:30:00,2021-02-07 08:00:00,0.74,0.57
80,2021-02-07 12:00:00,2021-02-08 00:45:00,12.79,26.99
81,2021-02-08 01:15:00,2021-02-08 01:45:00,0.74,0.83
82,2021-02-08 02:15:00,2021-02-08 10:15:00,8.25,20.14
83,2021-02-08 12:00:00,2021-02-08 13:00:00,1.08,2.78
84,2021-02-08 13:45:00,2021-02-08 15:45:00,2.25,7.12
85,2021-02-08 17:00:00,2021-02-09 07:15:00,14.3,34.97
86,2021-02-09 08:00:00,2021-02-09 08:15:00,0.47,0.51
87,2021-02-09 08:45:00,2021-02-09 09:15:00,0.74,0.79
88,2021-02-09 09:45:00,2021-02-09 09:45:00,0.12,0.24
89,2021-02-09 11:00:00,2021-02-09 15:45:00,5.0,18.63
90,2021-02-09 17:15:00,2021-02-09 20:15:00,3.09,9.15
91,2021-02-09 20:45:00,2021-02-10 05:45:00,9.03,23.86
92,2021-02-10 06:45:00,2021-02-10 10:00:00,3.36,3.99
93,2021-02-10 11:00:00,2021-02-10 11:00:00,0.12,0.25
94,2021-02-10 11:30:00,2021-02-10 18:45:00,7.5,26.62
95,2021-02-10 19:15:00,2021-02-11 10:30:00,15.47,44.35
96,2021-02-11 11:00:00,2021-02-11 16:45:00,5.87,19.58
97,2021-02-11 20:15:00,2021-02-12 10:30:00,14.32,45.79
98,2021-02-12 16:45:00,2021-02-13 10:30:00,17.86,56.39
99,2021-02-13 14:00:00,2021-02-14 06:45:00,16.74,47.64
100,2021-02-14 10:45:00,2021-02-15 08:30:00,21.86,49.19
101,2021-02-15 09:00:00,2021-02-15 09:45:00,0.93,1.12
102,2021-02-15 11:00:00,2021-02-15 11:00:00,0.12,0.3
103,2021-02-15 11:30:00,2021-02-15 11:30:00,0.12,0.24
104,2021-02-15 12:00:00,2021-02-15 16:15:00,4.4,17.57
105,2021-02-15 17:15:00,2021-02-15 18:45:00,1.58,7.28
106,2021-02-15 21:00:00,2021-02-16 00:30:00,3.74,3.17
107,2021-02-16 01:00:00,2021-02-16 01:00:00,0.12,0.22
108,2021-02-16 01:30:00,2021-02-16 01:30:00,0.12,0.22
109,2021-02-16 02:00:00,2021-02-16 05:45:00,3.74,15.23
110,2021-02-16 06:45:00,2021-02-16 09:15:00,2.69,2.09
111,2021-02-16 12:00:00,2021-02-16 18:45:00,6.82,15.55
112,2021-02-17 00:15:00,2021-02-17 05:30:00,5.41,10.66
113,2021-02-17 07:00:00,2021-02-17 15:45:00,9.0,13.18
114,2021-02-17 16:15:00,2021-02-17 18:45:00,2.7,5.8
115,2021-02-17 20:15:00,2021-02-17 20:15:00,0.12,0.11
116,2021-02-17 20:45:00,2021-02-17 20:45:00,0.12,0.12
117,2021-02-17 21:15:00,2021-02-17 21:15:00,0.12,0.12
118,2021-02-17 21:45:00,2021-02-18 05:45:00,7.88,22.55
119,2021-02-18 06:15:00,2021-02-18 08:15:00,2.0,2.32
120,2021-02-18 12:00:00,2021-02-18 12:15:00,0.33,0.85
121,2021-02-18 13:15:00,2021-02-18 15:45:00,2.69,1.97
122,2021-02-18 18:15:00,2021-02-18 18:45:00,0.66,1.68
123,2021-02-18 22:45:00,2021-02-19 01:30:00,3.0,2.46
124,2021-02-19 02:15:00,2021-02-19 08:15:00,6.06,10.53
125,2021-02-19 12:00:00,2021-02-19 15:45:00,3.83,10.6
126,2021-02-19 17:15:00,2021-02-19 18:45:00,1.66,2.26
127,2021-02-19 21:00:00,2021-02-19 21:45:00,0.96,0.71
128,2021-02-19 22:45:00,2021-02-19 22:45:00,0.12,0.24
129,2021-02-19 23:30:00,2021-02-19 23:30:00,0.12,0.27
130,2021-02-20 00:00:00,2021-02-20 00:00:00,0.12,0.25
131,2021-02-20 00:30:00,2021-02-20 01:00:00,0.75,0.6
132,2021-02-20 01:30:00,2021-02-20 01:30:00,0.12,0.3
133,2021-02-20 02:00:00,2021-02-20 06:15:00,4.5,7.71
134,2021-02-20 06:45:00,2021-02-20 07:00:00,0.5,0.48
135,2021-02-20 07:45:00,2021-02-20 07:45:00,0.12,0.2
136,2021-02-20 08:45:00,2021-02-20 09:15:00,0.72,0.55
137,2021-02-20 12:00:00,2021-02-20 12:00:00,0.12,0.21
138,2021-02-20 12:45:00,2021-02-20 12:45:00,0.12,0.23
139,2021-02-20 14:00:00,2021-02-20 14:00:00,0.12,0.19
140,2021-02-20 14:45:00,2021-02-20 14:45:00,0.12,0.26
141,2021-02-20 15:15:00,2021-02-20 15:45:00,0.75,1.12
142,2021-02-20 16:15:00,2021-02-20 18:45:00,2.75,3.99
143,2021-02-20 21:30:00,2021-02-20 22:15:00,0.96,0.8
144,2021-02-20 22:45:00,2021-02-20 22:45:00,0.12,0.2
145,2021-02-20 23:15:00,2021-02-21 01:00:00,1.97,1.42
146,2021-02-21 01:30:00,2021-02-21 05:30:00,4.25,8.2
147,2021-02-21 06:00:00,2021-02-21 06:30:00,0.71,0.77
148,2021-02-21 07:00:00,2021-02-21 07:15:00,0.46,0.46
149,2021-02-21 08:00:00,2021-02-21 08:00:00,0.12,0.24
150,2021-02-21 09:15:00,2021-02-21 09:45:00,0.66,0.51
151,2021-02-21 12:00:00,2021-02-21 12:15:00,0.43,0.34
152,2021-02-21 12:45:00,2021-02-21 12:45:00,0.12,0.28
153,2021-02-21 13:15:00,2021-02-21 13:15:00,0.12,0.24
154,2021-02-21 14:15:00,2021-02-21 14:15:00,0.12,0.18
155,2021-02-21 14:45:00,2021-02-21 16:45:00,2.25,2.25
156,2021-02-21 17:15:00,2021-02-21 18:45:00,1.65,2.72
157,2021-02-21 21:00:00,2021-02-21 21:30:00,0.65,0.5
158,2021-02-21 22:30:00,2021-02-21 22:30:00,0.12,0.2
159,2021-02-21 23:00:00,2021-02-21 23:30:00,0.66,0.62
160,2021-02-22 00:00:00,2021-02-22 00:00:00,0.12,0.27
