cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:15:00,0.46,1.31
1,2021-01-01 00:45:00,2021-01-01 01:15:00,0.58,1.62
2,2021-01-01 01:45:00,2021-01-01 02:15:00,0.73,2.0
3,2021-01-01 02:45:00,2021-01-01 04:15:00,1.56,3.28
4,2021-01-01 04:45:00,2021-01-01 05:00:00,0.43,1.21
5,2021-01-01 05:30:00,2021-01-01 06:45:00,1.26,2.97
6,2021-01-01 07:15:00,2021-01-01 07:30:00,0.44,1.25
7,2021-01-01 08:00:00,2021-01-01 09:00:00,0.93,2.11
8,2021-01-01 09:30:00,2021-01-01 09:45:00,0.31,0.87
9,2021-01-01 11:00:00,2021-01-01 12:15:00,1.33,3.41
10,2021-01-01 12:45:00,2021-01-01 15:00:00,2.5,4.2
11,2021-01-01 15:30:00,2021-01-01 15:45:00,0.49,0.97
12,2021-01-01 16:15:00,2021-01-01 16:15:00,0.12,0.52
13,2021-01-01 17:45:00,2021-01-01 19:45:00,2.15,5.06
14,2021-01-01 20:15:00,2021-01-01 20:45:00,0.74,1.91
15,2021-01-01 21:15:00,2021-01-01 21:45:00,0.38,1.09
16,2021-01-01 22:15:00,2021-01-01 22:15:00,0.12,0.71
17,2021-01-01 23:00:00,2021-01-01 23:15:00,0.42,0.91
18,2021-01-01 23:45:00,2021-01-02 00:15:00,0.55,1.36
19,2021-01-02 00:45:00,2021-01-02 01:00:00,0.43,0.79
20,2021-01-02 01:30:00,2021-01-02 01:45:00,0.46,0.79
21,2021-01-02 02:15:00,2021-01-02 02:30:00,0.5,0.78
22,2021-01-02 03:00:00,2021-01-02 03:15:00,0.41,1.06
23,2021-01-02 03:45:00,2021-01-02 04:00:00,0.36,0.79
24,2021-01-02 04:30:00,2021-01-02 04:45:00,0.34,0.79
25,2021-01-02 05:15:00,2021-01-02 05:30:00,0.32,0.79
26,2021-01-02 06:00:00,2021-01-02 06:15:00,0.31,0.79
27,2021-01-02 06:45:00,2021-01-02 07:00:00,0.34,0.92
28,2021-01-02 07:30:00,2021-01-02 08:00:00,0.56,1.45
29,2021-01-02 08:30:00,2021-01-02 08:45:00,0.4,0.79
30,2021-01-02 09:15:00,2021-01-02 10:00:00,1.0,1.57
31,2021-01-02 10:30:00,2021-01-02 11:00:00,0.57,1.48
32,2021-01-02 11:30:00,2021-01-02 11:45:00,0.36,0.88
33,2021-01-02 12:15:00,2021-01-02 12:30:00,0.34,0.95
34,2021-01-02 13:00:00,2021-01-02 13:00:00,0.12,0.7
35,2021-01-02 13:30:00,2021-01-02 17:15:00,3.84,9.93
36,2021-01-02 17:45:00,2021-01-02 20:30:00,2.84,6.86
37,2021-01-02 21:00:00,2021-01-02 23:00:00,2.18,5.1
38,2021-01-02 23:30:00,2021-01-03 00:15:00,0.78,2.2
39,2021-01-03 00:45:00,2021-01-03 03:15:00,2.63,6.34
40,2021-01-03 03:45:00,2021-01-03 04:15:00,0.66,1.88
41,2021-01-03 04:45:00,2021-01-03 05:45:00,1.08,2.96
42,2021-01-03 06:15:00,2021-01-03 07:30:00,1.29,3.54
43,2021-01-03 08:00:00,2021-01-03 08:30:00,0.67,1.9
44,2021-01-03 09:00:00,2021-01-03 10:00:00,1.0,2.69
45,2021-01-03 10:30:00,2021-01-03 10:45:00,0.48,1.24
46,2021-01-03 11:15:00,2021-01-03 12:00:00,0.84,2.2
47,2021-01-03 12:30:00,2021-01-03 12:45:00,0.41,1.06
48,2021-01-03 13:15:00,2021-01-03 13:30:00,0.35,0.87
49,2021-01-03 14:15:00,2021-01-03 15:15:00,1.04,2.34
50,2021-01-03 15:45:00,2021-01-03 16:00:00,0.44,1.14
51,2021-01-03 16:30:00,2021-01-03 16:45:00,0.45,1.14
52,2021-01-03 17:15:00,2021-01-03 18:00:00,0.87,2.3
53,2021-01-03 18:30:00,2021-01-04 00:00:00,5.69,13.39
54,2021-01-04 00:30:00,2021-01-04 06:00:00,5.58,13.34
55,2021-01-04 06:30:00,2021-01-04 07:15:00,0.82,2.19
56,2021-01-04 07:45:00,2021-01-04 09:45:00,2.16,5.9
57,2021-01-04 11:00:00,2021-01-04 13:00:00,2.15,5.96
58,2021-01-04 13:30:00,2021-01-04 14:00:00,0.41,1.17
59,2021-01-04 14:30:00,2021-01-04 14:45:00,0.36,1.01
60,2021-01-04 15:15:00,2021-01-04 16:00:00,0.71,1.92
61,2021-01-04 17:45:00,2021-01-04 18:15:00,0.65,1.83
62,2021-01-04 18:45:00,2021-01-04 19:00:00,0.48,1.26
63,2021-01-04 19:30:00,2021-01-04 19:45:00,0.4,1.13
64,2021-01-04 20:15:00,2021-01-04 20:30:00,0.46,1.06
65,2021-01-04 21:00:00,2021-01-05 00:30:00,3.47,9.18
66,2021-01-05 01:00:00,2021-01-05 02:15:00,1.5,4.18
67,2021-01-05 02:45:00,2021-01-05 04:00:00,1.25,3.47
68,2021-01-05 04:30:00,2021-01-05 05:45:00,1.34,3.74
