cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-05 02:45:00,2022-05-05 03:15:00,0.58,1.9
1,2022-05-05 06:30:00,2022-05-05 07:00:00,0.59,1.96
2,2022-05-05 14:15:00,2022-05-05 14:30:00,0.48,1.14
3,2022-05-05 18:45:00,2022-05-05 20:00:00,1.31,5.13
4,2022-05-05 21:45:00,2022-05-05 22:30:00,0.7,2.59
5,2022-05-06 01:15:00,2022-05-06 01:30:00,0.3,0.65
6,2022-05-06 02:45:00,2022-05-06 03:30:00,0.64,2.09
7,2022-05-06 06:15:00,2022-05-06 06:30:00,0.33,0.47
8,2022-05-06 07:45:00,2022-05-06 08:15:00,0.55,2.98
9,2022-05-06 08:45:00,2022-05-06 09:15:00,0.61,1.37
10,2022-05-06 12:00:00,2022-05-06 12:30:00,0.57,2.56
11,2022-05-06 14:15:00,2022-05-06 14:30:00,0.4,0.66
12,2022-05-06 17:15:00,2022-05-06 17:15:00,0.12,0.59
13,2022-05-06 18:45:00,2022-05-06 20:00:00,1.37,4.58
14,2022-05-06 20:30:00,2022-05-06 21:00:00,0.57,1.22
15,2022-05-06 23:00:00,2022-05-06 23:45:00,0.99,2.26
16,2022-05-07 02:45:00,2022-05-07 03:15:00,0.53,1.84
17,2022-05-07 03:45:00,2022-05-07 04:00:00,0.38,0.71
18,2022-05-07 06:00:00,2022-05-07 06:30:00,0.61,2.04
19,2022-05-07 09:30:00,2022-05-07 13:45:00,4.29,8.75
20,2022-05-07 14:30:00,2022-05-07 14:45:00,0.34,0.57
21,2022-05-07 16:15:00,2022-05-07 16:45:00,0.5,1.69
22,2022-05-07 21:00:00,2022-05-07 21:30:00,0.56,1.82
23,2022-05-07 22:00:00,2022-05-07 22:45:00,0.82,1.83
24,2022-05-08 00:45:00,2022-05-08 01:15:00,0.52,1.78
25,2022-05-08 04:00:00,2022-05-08 04:30:00,0.55,1.84
26,2022-05-08 09:45:00,2022-05-08 10:30:00,0.91,2.03
27,2022-05-08 11:15:00,2022-05-08 11:30:00,0.42,0.66
28,2022-05-08 13:30:00,2022-05-08 14:30:00,1.11,2.49
29,2022-05-08 17:15:00,2022-05-08 17:30:00,0.43,0.78
30,2022-05-08 18:45:00,2022-05-08 19:00:00,0.31,0.64
31,2022-05-08 19:45:00,2022-05-08 21:00:00,1.24,3.36
32,2022-05-08 22:30:00,2022-05-08 22:30:00,0.12,0.46
33,2022-05-08 23:15:00,2022-05-08 23:45:00,0.51,1.7
34,2022-05-09 02:00:00,2022-05-09 02:45:00,0.62,2.07
35,2022-05-09 06:15:00,2022-05-09 06:45:00,0.47,2.46
36,2022-05-09 08:00:00,2022-05-09 08:30:00,0.62,1.44
37,2022-05-09 09:30:00,2022-05-09 09:45:00,0.47,0.59
38,2022-05-09 10:15:00,2022-05-09 10:30:00,0.31,0.66
39,2022-05-09 12:30:00,2022-05-09 12:45:00,0.43,0.52
40,2022-05-09 22:30:00,2022-05-09 22:45:00,0.49,1.61
41,2022-05-10 02:00:00,2022-05-10 02:30:00,0.52,1.8
42,2022-05-10 05:15:00,2022-05-10 05:15:00,0.12,0.59
43,2022-05-10 06:30:00,2022-05-10 07:00:00,0.53,1.73
44,2022-05-11 01:30:00,2022-05-11 01:30:00,0.12,0.16
45,2022-05-12 01:30:00,2022-05-12 01:30:00,0.12,0.3
46,2022-05-12 04:30:00,2022-05-12 04:30:00,0.12,0.16
47,2022-05-13 01:30:00,2022-05-13 01:30:00,0.12,0.31
48,2022-05-13 12:30:00,2022-05-13 13:00:00,0.58,1.28
49,2022-05-13 13:45:00,2022-05-13 14:00:00,0.32,0.58
50,2022-05-13 18:45:00,2022-05-13 19:00:00,0.46,0.98
51,2022-05-13 20:45:00,2022-05-13 21:00:00,0.32,0.54
52,2022-05-14 01:30:00,2022-05-14 01:30:00,0.12,0.31
53,2022-05-14 09:15:00,2022-05-14 09:45:00,0.6,1.32
54,2022-05-15 01:30:00,2022-05-15 01:30:00,0.12,0.29
55,2022-05-15 02:15:00,2022-05-15 02:15:00,0.12,0.1
56,2022-05-16 01:30:00,2022-05-16 01:30:00,0.12,0.24
57,2022-05-17 01:30:00,2022-05-17 01:45:00,0.39,0.47
58,2022-05-18 01:30:00,2022-05-18 01:30:00,0.12,0.29
59,2022-05-19 01:30:00,2022-05-19 01:30:00,0.12,0.24
60,2022-05-21 01:30:00,2022-05-21 02:00:00,0.7,0.55
61,2022-05-21 13:30:00,2022-05-21 13:45:00,0.39,0.71
62,2022-05-22 01:30:00,2022-05-22 01:30:00,0.12,0.24
63,2022-05-22 11:00:00,2022-05-22 11:30:00,0.58,1.33
64,2022-05-22 13:15:00,2022-05-22 13:45:00,0.68,1.56
65,2022-05-23 01:30:00,2022-05-23 01:45:00,0.37,0.34
66,2022-05-24 01:30:00,2022-05-24 01:45:00,0.38,0.39
67,2022-05-24 12:30:00,2022-05-24 13:15:00,0.72,1.61
68,2022-05-24 14:00:00,2022-05-24 14:00:00,0.12,0.5
69,2022-05-24 15:45:00,2022-05-24 16:00:00,0.43,0.84
