cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,1.18
1,2021-01-01 00:30:00,2021-01-02 22:00:00,45.56,123.05
2,2021-01-02 22:45:00,2021-01-03 17:30:00,18.59,54.48
3,2021-01-03 18:15:00,2021-01-04 16:30:00,22.37,69.39
4,2021-01-04 17:15:00,2021-01-04 21:00:00,3.73,15.96
5,2021-01-04 21:45:00,2021-01-05 12:30:00,14.7,43.95
6,2021-01-05 13:15:00,2021-01-06 10:30:00,21.23,66.21
7,2021-01-06 11:30:00,2021-01-07 10:30:00,23.22,72.87
8,2021-01-07 11:30:00,2021-01-08 10:00:00,22.75,65.41
9,2021-01-08 11:00:00,2021-01-08 21:30:00,10.38,31.82
10,2021-01-08 22:00:00,2021-01-09 17:15:00,19.28,71.51
11,2021-01-09 17:45:00,2021-01-11 00:45:00,31.01,98.9
12,2021-01-11 01:15:00,2021-01-13 14:00:00,60.88,188.4
13,2021-01-13 14:45:00,2021-01-13 22:45:00,8.05,20.19
14,2021-01-17 23:00:00,2021-01-18 10:15:00,11.33,32.54
15,2021-01-18 10:45:00,2021-01-19 13:45:00,27.16,82.29
16,2021-01-19 14:45:00,2021-01-20 00:30:00,9.81,27.46
17,2021-01-20 01:00:00,2021-01-20 14:15:00,13.37,41.29
18,2021-01-20 15:00:00,2021-01-21 10:30:00,19.48,55.14
19,2021-01-21 11:45:00,2021-01-21 12:30:00,0.81,3.02
20,2021-01-21 13:00:00,2021-01-21 14:30:00,1.57,4.21
21,2021-01-21 15:30:00,2021-01-22 00:00:00,8.59,19.76
22,2021-01-22 00:30:00,2021-01-22 11:00:00,10.45,21.51
23,2021-01-22 12:30:00,2021-01-22 14:30:00,2.03,5.66
24,2021-01-22 15:30:00,2021-01-22 22:15:00,6.84,18.12
25,2021-01-22 22:45:00,2021-01-23 21:15:00,22.56,59.46
26,2021-01-23 22:30:00,2021-01-24 14:00:00,15.42,42.78
27,2021-01-24 16:00:00,2021-01-24 20:45:00,4.84,19.08
28,2021-01-24 22:30:00,2021-01-25 12:15:00,13.76,38.99
29,2021-01-25 13:00:00,2021-01-25 23:45:00,10.75,31.36
30,2021-01-26 00:15:00,2021-01-26 15:15:00,15.13,44.46
31,2021-01-26 16:15:00,2021-01-28 13:30:00,45.41,133.17
32,2021-01-28 14:45:00,2021-01-28 16:15:00,1.6,3.37
33,2021-01-28 17:30:00,2021-01-28 20:00:00,2.58,7.37
34,2021-01-28 20:45:00,2021-01-28 22:00:00,1.38,2.41
35,2021-01-28 23:45:00,2021-01-29 01:15:00,1.62,3.08
36,2021-01-29 03:00:00,2021-01-29 05:45:00,2.73,5.39
37,2021-01-29 07:00:00,2021-01-29 08:45:00,1.85,3.68
38,2021-01-29 10:15:00,2021-01-29 14:00:00,3.87,8.65
39,2021-01-29 15:45:00,2021-01-29 19:00:00,3.28,6.55
40,2021-01-29 20:15:00,2021-01-29 22:00:00,1.95,7.45
41,2021-01-29 22:30:00,2021-01-30 00:15:00,1.75,8.15
42,2021-01-30 00:45:00,2021-01-30 00:45:00,0.12,1.16
43,2021-01-30 01:45:00,2021-01-30 08:45:00,6.97,15.12
44,2021-01-30 10:30:00,2021-01-30 13:30:00,3.25,7.36
45,2021-01-30 14:45:00,2021-01-30 18:15:00,3.64,10.66
46,2021-01-30 18:45:00,2021-01-30 20:30:00,1.83,4.54
47,2021-01-30 22:30:00,2021-01-31 01:30:00,2.93,15.76
48,2021-01-31 02:15:00,2021-01-31 08:30:00,6.15,12.96
49,2021-01-31 09:45:00,2021-01-31 12:15:00,2.59,5.64
50,2021-01-31 14:00:00,2021-01-31 16:15:00,2.33,4.94
51,2021-01-31 17:45:00,2021-01-31 21:45:00,3.97,11.78
52,2021-01-31 22:15:00,2021-02-01 00:45:00,2.6,5.34
53,2021-02-01 02:30:00,2021-02-01 08:15:00,5.89,12.2
54,2021-02-01 09:30:00,2021-02-01 12:00:00,2.56,6.76
55,2021-02-01 12:45:00,2021-02-01 15:00:00,2.37,4.98
56,2021-02-01 16:30:00,2021-02-01 18:45:00,2.37,4.88
57,2021-02-01 20:45:00,2021-02-02 00:00:00,3.29,8.65
58,2021-02-02 01:00:00,2021-02-02 03:30:00,2.38,4.76
59,2021-02-02 04:30:00,2021-02-02 07:45:00,3.39,7.24
60,2021-02-02 09:30:00,2021-02-02 11:30:00,2.03,4.5
61,2021-02-02 13:00:00,2021-02-02 15:45:00,2.86,7.25
62,2021-02-02 17:45:00,2021-02-02 19:00:00,1.34,2.55
63,2021-02-02 21:30:00,2021-02-02 22:45:00,1.27,2.09
64,2021-02-02 23:30:00,2021-02-03 00:15:00,0.84,3.85
65,2021-02-03 01:15:00,2021-02-03 02:30:00,1.38,2.3
66,2021-02-03 03:45:00,2021-02-03 05:30:00,1.78,3.37
67,2021-02-03 07:15:00,2021-02-03 08:45:00,1.59,3.32
68,2021-02-03 10:30:00,2021-02-03 11:45:00,1.3,2.66
69,2021-02-03 13:45:00,2021-02-03 16:30:00,2.75,6.94
70,2021-02-03 18:15:00,2021-02-03 21:00:00,2.85,9.22
71,2021-02-03 22:15:00,2021-02-03 23:30:00,1.4,2.4
72,2021-02-04 01:15:00,2021-02-04 11:00:00,9.79,19.84
73,2021-02-04 11:30:00,2021-02-04 12:15:00,0.7,2.53
74,2021-02-04 13:15:00,2021-02-04 14:45:00,1.45,2.97
75,2021-02-04 16:30:00,2021-02-04 18:15:00,1.74,3.52
76,2021-02-04 19:45:00,2021-02-04 20:45:00,1.01,2.43
77,2021-02-04 22:30:00,2021-02-05 10:30:00,12.01,27.78
78,2021-02-05 12:45:00,2021-02-05 14:30:00,1.78,5.3
79,2021-02-05 16:30:00,2021-02-05 17:45:00,1.42,2.48
80,2021-02-05 19:45:00,2021-02-05 20:45:00,1.1,2.36
81,2021-02-05 22:30:00,2021-02-06 02:15:00,3.6,20.68
82,2021-02-06 03:15:00,2021-02-06 11:15:00,7.97,16.87
83,2021-02-06 12:30:00,2021-02-06 15:15:00,2.87,6.14
84,2021-02-06 16:30:00,2021-02-06 20:45:00,4.35,12.18
85,2021-02-06 22:45:00,2021-02-07 01:30:00,2.66,13.85
