cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,0.84
1,2021-01-01 00:30:00,2021-01-01 01:15:00,0.79,2.22
2,2021-01-01 02:15:00,2021-01-01 02:45:00,0.49,1.51
3,2021-01-01 03:45:00,2021-01-01 04:30:00,0.8,2.33
4,2021-01-01 05:15:00,2021-01-01 05:45:00,0.48,1.44
5,2021-01-01 06:45:00,2021-01-01 07:30:00,0.96,2.85
6,2021-01-01 08:30:00,2021-01-01 09:00:00,0.57,1.76
7,2021-01-01 09:30:00,2021-01-01 09:45:00,0.27,1.21
8,2021-01-01 11:00:00,2021-01-01 11:45:00,0.8,2.19
9,2021-01-01 12:45:00,2021-01-01 13:15:00,0.42,1.31
10,2021-01-01 14:30:00,2021-01-01 16:45:00,2.36,8.64
11,2021-01-01 18:15:00,2021-01-01 18:30:00,0.49,1.18
12,2021-01-01 19:45:00,2021-01-01 20:30:00,0.74,2.01
13,2021-01-01 21:45:00,2021-01-01 22:00:00,0.48,1.03
14,2021-01-01 23:15:00,2021-01-01 23:30:00,0.46,1.17
15,2021-01-02 00:45:00,2021-01-02 01:00:00,0.38,1.14
16,2021-01-02 02:15:00,2021-01-02 02:45:00,0.48,1.48
17,2021-01-02 03:45:00,2021-01-02 04:00:00,0.34,1.06
18,2021-01-02 05:15:00,2021-01-02 05:30:00,0.36,1.12
19,2021-01-02 06:45:00,2021-01-02 07:30:00,0.78,2.11
20,2021-01-02 08:00:00,2021-01-02 08:15:00,0.44,1.39
21,2021-01-02 09:00:00,2021-01-02 09:15:00,0.5,1.11
22,2021-01-02 10:30:00,2021-01-02 10:45:00,0.3,0.92
23,2021-01-02 12:30:00,2021-01-02 13:00:00,0.74,1.92
24,2021-01-02 14:30:00,2021-01-02 14:45:00,0.4,1.05
25,2021-01-02 15:30:00,2021-01-02 16:30:00,1.0,3.3
26,2021-01-02 18:00:00,2021-01-02 18:30:00,0.35,1.07
27,2021-01-02 20:00:00,2021-01-02 21:00:00,1.05,3.28
28,2021-01-02 22:00:00,2021-01-02 22:15:00,0.37,1.14
29,2021-01-02 23:45:00,2021-01-03 00:00:00,0.35,1.09
30,2021-01-03 01:15:00,2021-01-03 01:45:00,0.4,1.24
31,2021-01-03 02:45:00,2021-01-03 03:15:00,0.75,2.05
32,2021-01-03 04:30:00,2021-01-03 05:00:00,0.38,1.16
33,2021-01-03 06:00:00,2021-01-03 06:15:00,0.45,1.39
34,2021-01-03 07:30:00,2021-01-03 08:15:00,0.78,2.15
35,2021-01-03 09:15:00,2021-01-03 10:00:00,0.76,3.04
36,2021-01-03 11:00:00,2021-01-03 11:30:00,0.55,1.54
37,2021-01-03 13:00:00,2021-01-03 13:15:00,0.35,1.06
38,2021-01-03 14:30:00,2021-01-03 14:45:00,0.36,1.13
39,2021-01-03 15:30:00,2021-01-03 17:00:00,1.54,5.15
40,2021-01-03 17:45:00,2021-01-03 18:00:00,0.39,1.16
41,2021-01-03 19:15:00,2021-01-03 19:30:00,0.37,1.15
42,2021-01-03 20:45:00,2021-01-03 21:00:00,0.44,1.08
43,2021-01-03 22:00:00,2021-01-03 22:45:00,0.76,2.11
44,2021-01-04 00:00:00,2021-01-04 00:30:00,0.45,1.37
45,2021-01-04 01:30:00,2021-01-04 02:00:00,0.56,1.73
46,2021-01-04 02:45:00,2021-01-04 03:15:00,0.55,1.68
47,2021-01-04 04:00:00,2021-01-04 04:30:00,0.49,1.5
48,2021-01-04 05:30:00,2021-01-04 06:00:00,0.46,1.42
49,2021-01-04 06:30:00,2021-01-04 07:00:00,0.36,1.6
50,2021-01-04 07:30:00,2021-01-04 08:30:00,1.03,2.88
51,2021-01-04 09:45:00,2021-01-04 09:45:00,0.12,0.38
52,2021-01-04 11:00:00,2021-01-04 11:15:00,0.42,1.33
53,2021-01-04 12:45:00,2021-01-04 13:15:00,0.43,1.32
54,2021-01-04 14:30:00,2021-01-04 15:00:00,0.44,1.36
55,2021-01-04 15:45:00,2021-01-04 16:45:00,1.17,4.35
56,2021-01-04 18:15:00,2021-01-04 18:30:00,0.49,1.18
57,2021-01-04 19:45:00,2021-01-04 20:30:00,0.76,2.06
58,2021-01-04 21:45:00,2021-01-04 22:15:00,0.39,1.18
59,2021-01-04 22:45:00,2021-01-04 23:00:00,0.37,1.55
60,2021-01-04 23:45:00,2021-01-05 00:15:00,0.75,2.05
61,2021-01-05 01:30:00,2021-01-05 02:00:00,0.4,1.22
62,2021-01-05 03:15:00,2021-01-05 03:30:00,0.49,1.47
63,2021-01-05 04:45:00,2021-01-05 05:15:00,0.44,1.34
64,2021-01-05 06:15:00,2021-01-05 06:45:00,0.46,1.43
65,2021-01-05 07:45:00,2021-01-05 09:00:00,1.28,3.92
66,2021-01-05 11:00:00,2021-01-05 11:15:00,0.45,1.26
67,2021-01-05 12:30:00,2021-01-05 13:00:00,0.39,1.21
68,2021-01-05 14:30:00,2021-01-05 15:30:00,1.0,3.43
69,2021-01-05 16:30:00,2021-01-05 16:45:00,0.36,1.11
70,2021-01-05 18:15:00,2021-01-05 18:30:00,0.49,1.17
71,2021-01-05 19:45:00,2021-01-05 20:15:00,0.75,1.99
72,2021-01-05 21:00:00,2021-01-05 21:15:00,0.39,1.52
73,2021-01-05 21:45:00,2021-01-05 22:15:00,0.4,1.23
74,2021-01-05 23:15:00,2021-01-06 00:00:00,0.83,2.29
75,2021-01-06 01:15:00,2021-01-06 01:30:00,0.49,1.3
76,2021-01-06 02:45:00,2021-01-06 03:00:00,0.42,1.33
77,2021-01-06 04:30:00,2021-01-06 05:00:00,0.75,2.12
78,2021-01-06 06:15:00,2021-01-06 06:45:00,0.42,1.27
79,2021-01-06 07:45:00,2021-01-06 08:45:00,1.04,3.58
80,2021-01-06 09:45:00,2021-01-06 09:45:00,0.12,0.56
81,2021-01-06 11:00:00,2021-01-06 11:15:00,0.45,1.27
82,2021-01-06 12:30:00,2021-01-06 14:45:00,2.34,7.95
83,2021-01-06 16:00:00,2021-01-06 16:15:00,0.39,1.12
84,2021-01-06 18:15:00,2021-01-06 18:45:00,0.74,1.96
85,2021-01-06 20:15:00,2021-01-06 20:30:00,0.38,1.06
86,2021-01-06 21:45:00,2021-01-06 22:15:00,0.42,1.28
87,2021-01-06 23:45:00,2021-01-07 00:15:00,0.73,2.37
88,2021-01-07 00:45:00,2021-01-07 01:15:00,0.41,1.25
89,2021-01-07 02:30:00,2021-01-07 02:45:00,0.38,1.16
90,2021-01-07 03:45:00,2021-01-07 04:30:00,0.78,2.17
91,2021-01-07 05:45:00,2021-01-07 06:15:00,0.47,1.45
92,2021-01-07 07:30:00,2021-01-07 07:45:00,0.41,1.29
93,2021-01-07 09:15:00,2021-01-07 09:45:00,0.72,1.95
94,2021-01-07 11:30:00,2021-01-07 11:45:00,0.35,1.06
95,2021-01-07 12:45:00,2021-01-07 13:00:00,0.44,1.5
96,2021-01-07 13:30:00,2021-01-07 14:00:00,0.38,1.14
97,2021-01-07 14:45:00,2021-01-07 15:15:00,0.41,1.22
98,2021-01-07 16:30:00,2021-01-07 16:45:00,0.36,1.12
99,2021-01-07 18:15:00,2021-01-07 18:30:00,0.46,1.26
