cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 04:45:00,2021-01-01 09:45:00,5.08,16.29
1,2021-01-01 11:00:00,2021-01-01 16:00:00,5.02,16.48
2,2021-01-01 19:15:00,2021-01-01 19:45:00,0.57,2.43
3,2021-01-01 20:30:00,2021-01-01 20:45:00,0.35,0.45
4,2021-01-02 04:45:00,2021-01-02 08:45:00,4.01,13.46
5,2021-01-02 09:15:00,2021-01-02 16:30:00,7.48,24.46
6,2021-01-02 20:45:00,2021-01-02 20:45:00,0.12,0.45
7,2021-01-03 04:45:00,2021-01-03 08:45:00,4.0,13.13
8,2021-01-03 09:15:00,2021-01-03 17:15:00,8.23,27.04
9,2021-01-04 04:45:00,2021-01-04 09:45:00,5.08,16.38
10,2021-01-04 11:00:00,2021-01-04 15:00:00,4.15,14.05
11,2021-01-04 17:45:00,2021-01-04 20:45:00,3.01,9.6
12,2021-01-05 04:45:00,2021-01-05 09:45:00,5.07,16.21
13,2021-01-05 11:00:00,2021-01-05 13:30:00,2.57,8.76
14,2021-01-05 14:15:00,2021-01-05 16:15:00,2.24,7.21
15,2021-01-05 17:45:00,2021-01-05 20:45:00,3.01,9.81
16,2021-01-06 04:45:00,2021-01-06 09:45:00,5.08,16.09
17,2021-01-06 11:00:00,2021-01-06 16:15:00,5.4,17.51
18,2021-01-06 17:45:00,2021-01-06 18:45:00,1.15,4.74
19,2021-01-06 19:15:00,2021-01-06 20:45:00,1.41,4.47
20,2021-01-07 04:45:00,2021-01-07 08:00:00,3.33,11.03
21,2021-01-07 08:30:00,2021-01-07 09:45:00,1.49,4.67
22,2021-01-07 11:00:00,2021-01-07 16:15:00,5.4,17.43
23,2021-01-07 17:45:00,2021-01-07 18:45:00,0.96,3.95
24,2021-01-07 20:00:00,2021-01-07 20:45:00,0.84,2.67
25,2021-01-08 04:45:00,2021-01-08 09:45:00,5.08,15.97
26,2021-01-08 11:00:00,2021-01-08 14:45:00,3.9,13.26
27,2021-01-08 17:45:00,2021-01-08 20:45:00,3.01,9.64
28,2021-01-09 03:30:00,2021-01-09 08:45:00,5.28,17.31
29,2021-01-09 09:15:00,2021-01-09 16:45:00,7.67,25.87
30,2021-01-09 18:45:00,2021-01-09 20:45:00,1.97,6.43
