cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:00:00,2021-02-05 16:00:00,377.25,937.25
1,2021-02-05 16:45:00,2021-03-25 06:30:00,1141.92,2726.17
2,2021-03-25 07:00:00,2021-04-01 06:00:00,166.89,244.87
3,2021-04-01 07:00:00,2021-04-01 13:45:00,7.0,3.75
4,2021-04-01 14:15:00,2021-04-01 17:45:00,3.75,1.54
5,2021-04-02 03:30:00,2021-04-22 05:45:00,482.36,931.52
6,2021-04-22 06:30:00,2021-04-28 19:00:00,156.74,197.17
7,2021-04-28 19:30:00,2021-04-28 19:30:00,0.12,0.1
8,2021-04-28 20:30:00,2021-04-28 22:00:00,1.73,17.16
9,2021-04-29 01:15:00,2021-05-05 05:15:00,148.18,239.61
10,2021-05-05 17:45:00,2021-05-05 22:15:00,4.63,26.94
11,2021-05-05 22:45:00,2021-05-06 01:15:00,2.59,5.28
12,2021-05-06 01:45:00,2021-05-06 06:45:00,5.25,8.1
13,2021-05-06 07:15:00,2021-05-09 14:30:00,79.49,110.34
14,2021-05-09 15:00:00,2021-05-10 07:00:00,16.22,9.69
15,2021-05-10 07:30:00,2021-05-10 07:30:00,0.12,0.1
16,2021-05-10 08:15:00,2021-05-10 08:45:00,0.42,1.43
17,2021-05-10 10:00:00,2021-05-10 10:00:00,0.12,0.1
18,2021-05-10 10:30:00,2021-05-10 10:30:00,0.12,0.1
19,2021-05-10 11:15:00,2021-05-10 11:15:00,0.12,0.1
20,2021-05-10 12:00:00,2021-05-10 12:00:00,0.12,0.1
21,2021-05-10 12:45:00,2021-05-10 12:45:00,0.12,0.1
22,2021-05-10 13:15:00,2021-05-10 13:15:00,0.12,0.1
23,2021-05-10 14:00:00,2021-05-10 14:00:00,0.12,0.1
24,2021-05-10 14:45:00,2021-05-10 14:45:00,0.12,0.1
25,2021-05-10 17:00:00,2021-05-10 17:00:00,0.12,0.11
26,2021-05-10 17:45:00,2021-05-10 17:45:00,0.12,0.1
27,2021-05-10 18:15:00,2021-05-10 18:45:00,0.37,1.29
28,2021-05-10 19:15:00,2021-05-10 19:15:00,0.12,0.1
29,2021-05-10 19:45:00,2021-05-10 19:45:00,0.12,0.1
30,2021-05-10 20:30:00,2021-05-10 20:30:00,0.12,0.1
31,2021-05-10 21:00:00,2021-05-10 21:00:00,0.12,0.1
32,2021-05-10 21:45:00,2021-05-10 21:45:00,0.12,0.1
33,2021-05-10 23:00:00,2021-05-10 23:00:00,0.12,0.1
34,2021-05-11 01:30:00,2021-05-28 18:15:00,424.7,620.67
35,2021-05-28 19:00:00,2021-05-28 19:00:00,0.12,0.1
36,2021-05-28 19:30:00,2021-05-28 19:45:00,0.5,0.21
37,2021-05-28 20:15:00,2021-05-28 20:15:00,0.12,0.1
38,2021-05-28 21:00:00,2021-05-28 21:00:00,0.12,0.1
39,2021-05-28 21:45:00,2021-05-28 21:45:00,0.12,0.1
40,2021-05-28 22:30:00,2021-05-28 22:30:00,0.12,0.1
41,2021-05-28 23:15:00,2021-05-28 23:15:00,0.12,0.1
42,2021-05-29 02:45:00,2021-05-29 19:15:00,16.58,16.73
43,2021-05-29 19:45:00,2021-05-29 19:45:00,0.12,0.1
44,2021-05-29 20:30:00,2021-05-29 20:30:00,0.12,0.1
45,2021-05-29 21:15:00,2021-05-29 21:15:00,0.12,0.1
46,2021-05-29 22:15:00,2021-05-29 22:15:00,0.12,0.1
47,2021-05-29 23:00:00,2021-05-29 23:00:00,0.12,0.1
48,2021-05-29 23:45:00,2021-05-29 23:45:00,0.12,0.1
49,2021-05-30 01:30:00,2021-05-30 01:45:00,0.37,1.2
50,2021-05-30 02:30:00,2021-05-30 19:30:00,17.16,15.87
51,2021-05-30 20:15:00,2021-05-30 21:15:00,1.09,1.73
52,2021-05-30 22:00:00,2021-05-30 22:00:00,0.12,0.1
53,2021-05-30 22:30:00,2021-05-30 22:30:00,0.12,0.1
54,2021-05-30 23:15:00,2021-05-30 23:15:00,0.12,0.1
55,2021-05-31 01:15:00,2021-05-31 01:15:00,0.12,0.1
56,2021-05-31 02:30:00,2021-05-31 21:30:00,19.03,17.2
57,2021-05-31 22:00:00,2021-05-31 22:00:00,0.12,0.1
58,2021-05-31 22:45:00,2021-05-31 22:45:00,0.12,0.1
59,2021-05-31 23:30:00,2021-05-31 23:30:00,0.12,0.1
60,2021-06-01 00:15:00,2021-06-01 00:15:00,0.12,0.1
61,2021-06-01 01:00:00,2021-06-01 01:00:00,0.12,0.1
62,2021-06-01 01:45:00,2021-06-01 01:45:00,0.12,0.1
63,2021-06-01 03:00:00,2021-06-01 20:30:00,17.68,14.05
64,2021-06-01 21:00:00,2021-06-01 21:00:00,0.12,0.1
65,2021-06-01 21:30:00,2021-06-01 21:30:00,0.12,0.1
66,2021-06-01 22:15:00,2021-06-01 22:30:00,0.46,1.2
