cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-15 23:45:00,2021-02-16 00:15:00,0.42,1.73
1,2021-02-16 02:15:00,2021-02-16 02:45:00,0.42,1.71
2,2021-02-16 03:15:00,2021-02-16 04:45:00,1.42,6.07
3,2021-02-16 05:15:00,2021-02-16 06:15:00,1.02,4.55
4,2021-02-16 07:00:00,2021-02-16 07:30:00,0.52,2.38
5,2021-02-16 08:30:00,2021-02-16 09:00:00,0.51,2.29
6,2021-02-16 11:00:00,2021-02-16 11:30:00,0.52,2.29
7,2021-02-16 13:00:00,2021-02-16 13:45:00,0.86,3.52
8,2021-02-16 14:45:00,2021-02-16 15:15:00,0.47,2.1
9,2021-02-16 16:15:00,2021-02-16 16:45:00,0.55,2.54
10,2021-02-16 18:15:00,2021-02-16 18:30:00,0.5,1.98
11,2021-02-17 02:45:00,2021-02-17 04:15:00,1.67,7.04
12,2021-02-17 05:00:00,2021-02-17 05:30:00,0.55,2.54
13,2021-02-17 06:15:00,2021-02-17 06:45:00,0.52,2.39
14,2021-02-17 07:30:00,2021-02-17 08:15:00,0.81,3.3
15,2021-02-17 09:30:00,2021-02-17 09:45:00,0.37,1.67
16,2021-02-17 11:00:00,2021-02-17 11:15:00,0.47,2.13
17,2021-02-17 12:45:00,2021-02-17 13:15:00,0.49,2.15
18,2021-02-17 14:45:00,2021-02-17 15:00:00,0.47,2.09
19,2021-02-17 16:00:00,2021-02-17 16:30:00,0.57,2.5
20,2021-02-17 18:15:00,2021-02-17 18:45:00,0.56,1.98
21,2021-02-17 23:00:00,2021-02-17 23:30:00,0.44,1.76
22,2021-02-18 01:15:00,2021-02-18 01:30:00,0.44,1.65
23,2021-02-18 02:45:00,2021-02-18 05:15:00,2.36,10.02
24,2021-02-18 05:45:00,2021-02-18 06:30:00,0.67,3.02
25,2021-02-18 07:00:00,2021-02-18 08:00:00,0.92,3.94
26,2021-02-18 09:15:00,2021-02-18 09:30:00,0.5,2.2
27,2021-02-18 11:00:00,2021-02-18 11:30:00,0.45,2.02
28,2021-02-18 12:45:00,2021-02-18 13:15:00,0.42,1.86
29,2021-02-18 14:30:00,2021-02-18 14:45:00,0.47,2.06
30,2021-02-18 15:45:00,2021-02-18 16:15:00,0.52,2.33
31,2021-02-18 18:15:00,2021-02-18 18:30:00,0.49,1.93
32,2021-02-19 00:15:00,2021-02-19 00:30:00,0.41,1.56
33,2021-02-19 02:45:00,2021-02-19 04:30:00,1.75,7.16
34,2021-02-19 05:15:00,2021-02-19 05:45:00,0.6,2.74
35,2021-02-19 06:30:00,2021-02-19 07:15:00,0.87,3.64
36,2021-02-19 08:30:00,2021-02-19 08:45:00,0.46,2.08
37,2021-02-19 11:00:00,2021-02-19 11:15:00,0.44,1.74
38,2021-02-19 12:30:00,2021-02-19 13:00:00,0.4,1.78
39,2021-02-19 14:15:00,2021-02-19 14:45:00,0.42,1.88
40,2021-02-19 15:45:00,2021-02-19 16:15:00,0.5,2.21
41,2021-02-19 18:15:00,2021-02-19 18:30:00,0.5,1.95
42,2021-02-20 00:00:00,2021-02-20 00:30:00,0.43,1.7
43,2021-02-20 02:15:00,2021-02-20 02:45:00,0.42,1.65
44,2021-02-20 03:15:00,2021-02-20 05:00:00,1.72,7.14
45,2021-02-20 05:30:00,2021-02-20 06:30:00,1.05,4.51
46,2021-02-20 07:15:00,2021-02-20 07:45:00,0.56,2.56
47,2021-02-20 09:00:00,2021-02-20 09:30:00,0.42,1.87
48,2021-02-20 11:30:00,2021-02-20 11:45:00,0.47,1.64
49,2021-02-20 14:00:00,2021-02-20 14:15:00,0.4,1.81
50,2021-02-20 15:30:00,2021-02-20 16:00:00,0.48,2.11
51,2021-02-20 16:45:00,2021-02-20 17:30:00,0.56,2.52
52,2021-02-20 18:15:00,2021-02-20 18:30:00,0.29,1.14
53,2021-02-21 00:15:00,2021-02-21 00:45:00,0.43,1.66
54,2021-02-21 02:30:00,2021-02-21 04:45:00,2.25,9.27
55,2021-02-21 05:15:00,2021-02-21 06:00:00,0.67,3.01
56,2021-02-21 06:30:00,2021-02-21 07:15:00,0.66,2.96
57,2021-02-21 08:45:00,2021-02-21 09:30:00,0.8,3.36
58,2021-02-21 13:00:00,2021-02-21 13:15:00,0.45,1.7
59,2021-02-21 15:00:00,2021-02-21 15:15:00,0.4,1.79
60,2021-02-21 16:15:00,2021-02-21 16:45:00,0.55,2.44
61,2021-02-21 17:45:00,2021-02-21 18:15:00,0.47,2.12
62,2021-02-22 02:45:00,2021-02-22 04:30:00,1.56,6.53
63,2021-02-22 05:00:00,2021-02-22 05:30:00,0.67,2.96
64,2021-02-22 06:15:00,2021-02-22 06:45:00,0.66,2.98
65,2021-02-22 09:00:00,2021-02-22 09:15:00,0.43,1.88
66,2021-02-22 13:00:00,2021-02-22 13:30:00,0.42,1.87
67,2021-02-22 15:15:00,2021-02-22 15:30:00,0.47,1.84
68,2021-02-22 16:30:00,2021-02-22 16:45:00,0.34,1.5
69,2021-02-22 18:15:00,2021-02-22 18:30:00,0.5,1.96
70,2021-02-23 02:15:00,2021-02-23 02:30:00,0.41,1.62
71,2021-02-23 03:00:00,2021-02-23 04:45:00,1.64,6.91
72,2021-02-23 05:15:00,2021-02-23 06:00:00,0.63,2.82
73,2021-02-23 06:45:00,2021-02-23 07:30:00,0.91,3.8
74,2021-02-23 11:30:00,2021-02-23 11:45:00,0.41,1.48
75,2021-02-23 14:30:00,2021-02-23 14:45:00,0.43,1.74
76,2021-02-23 16:00:00,2021-02-23 16:15:00,0.42,1.88
77,2021-02-23 18:15:00,2021-02-23 18:30:00,0.5,1.96
78,2021-02-24 02:45:00,2021-02-24 04:45:00,1.85,7.74
79,2021-02-24 05:15:00,2021-02-24 06:00:00,0.61,2.76
80,2021-02-24 06:45:00,2021-02-24 07:30:00,0.83,3.57
81,2021-02-24 14:15:00,2021-02-24 14:30:00,0.37,1.66
82,2021-02-24 16:00:00,2021-02-24 16:15:00,0.48,2.07
83,2021-02-24 18:15:00,2021-02-24 18:30:00,0.5,1.96
84,2021-02-25 01:15:00,2021-02-25 01:30:00,0.42,1.48
85,2021-02-25 02:45:00,2021-02-25 04:45:00,1.82,7.62
86,2021-02-25 05:15:00,2021-02-25 05:45:00,0.61,2.73
87,2021-02-25 06:30:00,2021-02-25 07:15:00,0.92,3.92
88,2021-02-25 09:45:00,2021-02-25 09:45:00,0.12,0.23
89,2021-02-25 13:30:00,2021-02-25 13:45:00,0.41,1.68
90,2021-02-25 15:30:00,2021-02-25 15:45:00,0.42,1.77
91,2021-02-25 16:45:00,2021-02-25 16:45:00,0.12,0.84
92,2021-02-25 18:15:00,2021-02-25 18:30:00,0.5,1.94
93,2021-02-26 01:15:00,2021-02-26 01:30:00,0.43,1.47
94,2021-02-26 02:45:00,2021-02-26 04:45:00,1.83,7.72
95,2021-02-26 05:15:00,2021-02-26 06:00:00,0.63,2.82
96,2021-02-26 06:45:00,2021-02-26 07:15:00,0.52,2.32
97,2021-02-26 09:00:00,2021-02-26 09:30:00,0.41,1.78
98,2021-02-26 12:45:00,2021-02-26 13:15:00,0.39,1.74
99,2021-02-26 15:00:00,2021-02-26 15:30:00,0.42,1.86
100,2021-02-26 16:30:00,2021-02-26 16:45:00,0.35,1.55
101,2021-02-26 18:15:00,2021-02-26 18:30:00,0.5,1.98
102,2021-02-27 02:45:00,2021-02-27 04:30:00,1.62,6.84
103,2021-02-27 05:15:00,2021-02-27 05:45:00,0.58,2.62
104,2021-02-27 06:30:00,2021-02-27 07:00:00,0.54,2.4
105,2021-02-27 08:00:00,2021-02-27 08:45:00,0.78,3.21
106,2021-02-27 09:30:00,2021-02-27 10:00:00,0.48,2.18
107,2021-02-27 11:00:00,2021-02-27 11:30:00,0.47,2.17
108,2021-02-27 12:15:00,2021-02-27 12:45:00,0.52,2.3
109,2021-02-27 13:45:00,2021-02-27 14:30:00,0.9,3.66
110,2021-02-27 15:45:00,2021-02-27 16:00:00,0.48,2.16
111,2021-02-27 17:00:00,2021-02-27 17:30:00,0.49,2.23
112,2021-02-27 18:15:00,2021-02-27 18:30:00,0.3,1.18
113,2021-02-28 02:45:00,2021-02-28 04:30:00,1.78,7.43
114,2021-02-28 05:15:00,2021-02-28 05:45:00,0.61,2.72
115,2021-02-28 06:30:00,2021-02-28 07:15:00,0.76,3.19
116,2021-02-28 08:15:00,2021-02-28 08:30:00,0.5,2.25
117,2021-02-28 09:30:00,2021-02-28 10:15:00,0.76,3.12
118,2021-02-28 11:30:00,2021-02-28 12:00:00,0.48,2.15
119,2021-02-28 13:15:00,2021-02-28 13:45:00,0.45,2.0
120,2021-02-28 14:45:00,2021-02-28 15:15:00,0.44,1.98
121,2021-02-28 16:15:00,2021-02-28 16:45:00,0.55,2.47
122,2021-02-28 17:30:00,2021-02-28 18:30:00,0.93,4.02
123,2021-03-01 00:30:00,2021-03-01 01:00:00,0.46,1.79
124,2021-03-01 02:45:00,2021-03-01 05:00:00,2.28,9.62
