cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-24 11:00:00,2021-08-24 11:45:00,0.84,3.88
1,2021-08-24 21:45:00,2021-08-24 22:00:00,0.43,1.62
2,2021-08-25 16:00:00,2021-08-25 16:00:00,0.12,0.88
3,2021-08-25 18:15:00,2021-08-25 18:30:00,0.37,1.29
4,2021-08-25 21:15:00,2021-08-25 21:30:00,0.4,1.74
5,2021-08-26 01:15:00,2021-08-26 01:30:00,0.37,1.58
6,2021-08-26 05:00:00,2021-08-26 05:15:00,0.41,1.68
7,2021-08-26 16:30:00,2021-08-26 16:30:00,0.12,1.26
8,2021-08-26 19:45:00,2021-08-26 19:45:00,0.12,1.29
9,2021-08-27 00:15:00,2021-08-27 00:30:00,0.28,1.46
10,2021-08-27 04:00:00,2021-08-27 04:15:00,0.47,1.93
11,2021-08-27 17:15:00,2021-08-27 17:30:00,0.33,1.37
12,2021-08-27 19:30:00,2021-08-27 19:45:00,0.28,1.42
13,2021-08-27 22:15:00,2021-08-27 22:30:00,0.4,1.58
14,2021-08-28 02:00:00,2021-08-28 02:15:00,0.45,2.43
15,2021-08-28 07:15:00,2021-08-28 07:30:00,0.48,1.51
16,2021-08-28 14:45:00,2021-08-28 15:00:00,0.36,1.72
17,2021-08-28 16:15:00,2021-08-28 16:30:00,0.36,1.42
18,2021-08-28 17:30:00,2021-08-28 17:45:00,0.35,1.44
19,2021-08-28 19:00:00,2021-08-28 19:15:00,0.35,1.67
20,2021-08-28 20:45:00,2021-08-28 21:00:00,0.38,1.54
21,2021-08-28 22:30:00,2021-08-28 22:45:00,0.4,1.5
22,2021-08-28 23:45:00,2021-08-29 00:00:00,0.41,1.62
23,2021-08-29 01:15:00,2021-08-29 01:30:00,0.33,1.6
24,2021-08-29 03:00:00,2021-08-29 03:15:00,0.34,1.6
25,2021-08-29 04:30:00,2021-08-29 04:45:00,0.41,1.62
26,2021-08-29 06:30:00,2021-08-29 06:45:00,0.34,1.54
27,2021-08-29 08:15:00,2021-08-29 08:30:00,0.48,1.26
28,2021-08-29 10:45:00,2021-08-29 10:45:00,0.12,1.06
