cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-17 23:15:00,2021-08-17 23:15:00,0.12,0.6
1,2021-08-18 06:15:00,2021-08-18 06:30:00,0.32,0.64
2,2021-08-18 14:15:00,2021-08-18 14:30:00,0.43,0.59
3,2021-08-18 20:45:00,2021-08-18 21:00:00,0.29,0.56
4,2021-08-19 05:45:00,2021-08-19 06:00:00,0.32,0.64
5,2021-08-19 08:15:00,2021-08-19 08:15:00,0.12,0.5
6,2021-08-19 15:15:00,2021-08-19 15:15:00,0.12,0.54
7,2021-08-19 20:00:00,2021-08-19 20:15:00,0.36,0.94
8,2021-08-20 05:00:00,2021-08-20 05:15:00,0.37,0.74
9,2021-08-20 06:15:00,2021-08-20 06:30:00,0.3,0.56
10,2021-08-20 11:30:00,2021-08-20 11:30:00,0.12,0.6
11,2021-08-20 17:15:00,2021-08-20 17:30:00,0.32,0.57
12,2021-08-21 04:30:00,2021-08-21 04:30:00,0.12,0.54
13,2021-08-21 11:15:00,2021-08-21 11:15:00,0.12,0.48
14,2021-08-21 18:30:00,2021-08-21 18:45:00,0.3,0.58
15,2021-08-22 06:30:00,2021-08-22 06:45:00,0.49,0.56
16,2021-08-22 10:45:00,2021-08-22 11:00:00,0.36,0.54
17,2021-08-22 16:15:00,2021-08-22 16:30:00,0.43,0.65
18,2021-08-23 03:45:00,2021-08-23 04:00:00,0.31,0.53
19,2021-08-23 04:45:00,2021-08-23 05:00:00,0.31,0.9
20,2021-08-23 06:15:00,2021-08-23 06:15:00,0.12,0.44
21,2021-08-23 10:30:00,2021-08-23 10:45:00,0.39,0.85
22,2021-08-23 17:00:00,2021-08-23 17:15:00,0.4,0.52
23,2021-08-24 04:30:00,2021-08-24 04:30:00,0.12,0.53
24,2021-08-24 12:00:00,2021-08-24 12:15:00,0.32,0.57
25,2021-08-24 18:00:00,2021-08-24 18:00:00,0.12,0.53
26,2021-08-24 23:30:00,2021-08-24 23:45:00,0.48,0.28
27,2021-08-25 03:15:00,2021-08-25 03:15:00,0.12,0.26
28,2021-08-25 04:45:00,2021-08-25 04:45:00,0.12,0.28
29,2021-08-25 05:15:00,2021-08-25 05:15:00,0.12,0.62
30,2021-08-25 06:00:00,2021-08-25 06:15:00,0.43,0.29
31,2021-08-25 10:15:00,2021-08-25 10:15:00,0.12,0.55
32,2021-08-25 15:45:00,2021-08-25 16:00:00,0.31,0.59
33,2021-08-25 20:00:00,2021-08-25 20:00:00,0.12,0.22
34,2021-08-25 21:00:00,2021-08-25 21:00:00,0.12,0.28
35,2021-08-25 22:00:00,2021-08-25 22:00:00,0.12,0.28
36,2021-08-25 23:00:00,2021-08-25 23:00:00,0.12,0.28
37,2021-08-25 23:45:00,2021-08-25 23:45:00,0.12,0.29
38,2021-08-26 00:30:00,2021-08-26 00:30:00,0.12,0.28
39,2021-08-26 01:00:00,2021-08-26 01:15:00,0.39,0.33
40,2021-08-26 01:45:00,2021-08-26 01:45:00,0.12,0.3
41,2021-08-26 02:30:00,2021-08-26 02:30:00,0.12,0.29
42,2021-08-26 03:00:00,2021-08-26 03:15:00,0.34,0.32
43,2021-08-26 03:45:00,2021-08-26 04:00:00,0.29,0.63
44,2021-08-26 04:30:00,2021-08-26 04:30:00,0.12,0.3
45,2021-08-26 05:00:00,2021-08-26 05:00:00,0.12,0.3
46,2021-08-26 05:45:00,2021-08-26 06:00:00,0.34,0.76
47,2021-08-26 10:30:00,2021-08-26 10:45:00,0.49,0.57
48,2021-08-26 18:45:00,2021-08-26 18:45:00,0.12,0.58
