cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-15 23:00:00,2021-02-15 23:00:00,0.12,0.67
1,2021-02-15 23:30:00,2021-02-15 23:45:00,0.4,0.69
2,2021-02-16 00:15:00,2021-02-16 00:15:00,0.12,0.46
3,2021-02-16 00:45:00,2021-02-16 00:45:00,0.12,0.55
4,2021-02-16 01:15:00,2021-02-16 01:15:00,0.12,0.44
5,2021-02-16 01:45:00,2021-02-16 01:45:00,0.12,0.58
6,2021-02-16 02:15:00,2021-02-16 02:15:00,0.12,0.47
7,2021-02-16 02:45:00,2021-02-16 02:45:00,0.12,0.45
8,2021-02-16 03:15:00,2021-02-16 03:15:00,0.12,0.4
9,2021-02-16 03:45:00,2021-02-16 03:45:00,0.12,0.5
10,2021-02-16 04:15:00,2021-02-16 04:15:00,0.12,0.6
11,2021-02-16 04:45:00,2021-02-16 04:45:00,0.12,0.52
12,2021-02-16 05:15:00,2021-02-16 05:15:00,0.12,0.5
13,2021-02-16 05:45:00,2021-02-16 07:45:00,2.25,2.67
14,2021-02-16 11:00:00,2021-02-16 11:00:00,0.12,0.41
15,2021-02-16 12:15:00,2021-02-16 12:15:00,0.12,0.3
16,2021-02-16 15:15:00,2021-02-16 15:15:00,0.12,0.38
17,2021-02-16 19:00:00,2021-02-16 19:00:00,0.12,0.68
18,2021-02-16 19:45:00,2021-02-16 20:15:00,0.75,1.62
19,2021-02-16 20:45:00,2021-02-16 20:45:00,0.12,0.36
20,2021-02-16 21:15:00,2021-02-16 21:15:00,0.12,0.42
21,2021-02-16 21:45:00,2021-02-16 21:45:00,0.12,0.46
22,2021-02-16 22:15:00,2021-02-16 22:15:00,0.12,0.65
23,2021-02-16 22:45:00,2021-02-16 22:45:00,0.12,0.61
24,2021-02-16 23:15:00,2021-02-16 23:30:00,0.33,0.65
25,2021-02-17 00:00:00,2021-02-17 00:00:00,0.12,0.66
26,2021-02-17 00:30:00,2021-02-17 00:30:00,0.12,0.54
27,2021-02-17 01:00:00,2021-02-17 01:00:00,0.12,0.52
28,2021-02-17 01:30:00,2021-02-17 01:30:00,0.12,0.33
29,2021-02-17 02:00:00,2021-02-17 02:00:00,0.12,0.63
30,2021-02-17 02:30:00,2021-02-17 02:30:00,0.12,0.55
31,2021-02-17 03:00:00,2021-02-17 03:00:00,0.12,0.5
32,2021-02-17 03:30:00,2021-02-17 03:30:00,0.12,0.53
33,2021-02-17 04:00:00,2021-02-17 06:00:00,2.25,2.64
34,2021-02-17 06:30:00,2021-02-17 08:00:00,1.75,2.34
35,2021-02-17 08:30:00,2021-02-17 09:15:00,1.0,1.5
36,2021-02-17 09:45:00,2021-02-17 09:45:00,0.12,0.53
37,2021-02-17 11:00:00,2021-02-17 11:00:00,0.12,0.62
38,2021-02-17 11:45:00,2021-02-17 12:00:00,0.35,0.45
39,2021-02-17 13:30:00,2021-02-17 13:30:00,0.12,0.52
40,2021-02-17 14:45:00,2021-02-17 15:00:00,0.38,0.58
41,2021-02-17 16:00:00,2021-02-17 16:00:00,0.12,0.52
