cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-11-12 23:00:00,2021-11-13 00:30:00,1.54,3.41
1,2021-11-13 01:00:00,2021-11-13 02:15:00,1.5,3.02
2,2021-11-13 02:45:00,2021-11-13 03:15:00,0.75,1.94
3,2021-11-13 03:45:00,2021-11-13 04:30:00,1.0,1.97
4,2021-11-13 05:00:00,2021-11-13 05:00:00,0.12,0.81
5,2021-11-13 05:30:00,2021-11-13 06:45:00,1.5,3.45
6,2021-11-13 07:15:00,2021-11-13 11:30:00,4.5,7.65
7,2021-11-13 12:00:00,2021-11-13 13:45:00,2.0,3.79
8,2021-11-13 14:15:00,2021-11-13 15:00:00,1.0,1.94
9,2021-11-13 15:30:00,2021-11-13 17:15:00,2.0,3.66
10,2021-11-13 17:45:00,2021-11-13 18:30:00,1.0,1.94
11,2021-11-13 19:00:00,2021-11-13 20:15:00,1.5,2.76
12,2021-11-13 20:45:00,2021-11-13 22:00:00,1.5,2.81
13,2021-11-13 22:30:00,2021-11-13 23:45:00,1.5,2.86
14,2021-11-14 00:15:00,2021-11-14 00:30:00,0.46,0.92
15,2021-11-14 01:00:00,2021-11-14 02:15:00,1.5,2.73
16,2021-11-14 02:45:00,2021-11-14 05:15:00,2.75,4.6
17,2021-11-14 05:45:00,2021-11-14 06:30:00,1.0,1.83
18,2021-11-14 07:00:00,2021-11-14 09:30:00,2.75,4.64
19,2021-11-14 10:00:00,2021-11-14 10:45:00,1.0,1.9
20,2021-11-14 11:15:00,2021-11-14 12:30:00,1.5,2.24
21,2021-11-14 13:00:00,2021-11-14 13:45:00,1.0,1.68
22,2021-11-14 14:15:00,2021-11-14 15:00:00,1.0,1.76
23,2021-11-14 15:30:00,2021-11-14 16:15:00,1.0,1.8
24,2021-11-14 16:45:00,2021-11-14 16:45:00,0.12,0.6
25,2021-11-14 17:15:00,2021-11-14 17:15:00,0.12,0.85
26,2021-11-14 17:45:00,2021-11-14 20:15:00,2.75,4.63
27,2021-11-14 20:45:00,2021-11-14 21:30:00,1.0,1.87
28,2021-11-14 22:00:00,2021-11-15 01:45:00,4.0,6.44
29,2021-11-15 02:15:00,2021-11-15 03:00:00,1.0,1.78
30,2021-11-15 03:30:00,2021-11-15 05:30:00,2.25,4.04
31,2021-11-15 06:00:00,2021-11-15 07:15:00,1.5,2.68
32,2021-11-15 07:45:00,2021-11-15 08:30:00,1.0,1.94
33,2021-11-15 09:00:00,2021-11-15 10:15:00,1.5,2.73
34,2021-11-15 10:45:00,2021-11-15 11:30:00,1.0,1.92
35,2021-11-15 12:00:00,2021-11-15 14:30:00,2.75,4.69
36,2021-11-15 15:00:00,2021-11-15 15:45:00,1.0,1.93
37,2021-11-15 16:15:00,2021-11-15 17:30:00,1.5,2.7
38,2021-11-15 18:00:00,2021-11-15 18:45:00,1.0,1.94
39,2021-11-15 19:15:00,2021-11-15 19:15:00,0.12,0.82
40,2021-11-15 19:45:00,2021-11-15 20:30:00,1.0,1.91
41,2021-11-15 21:00:00,2021-11-16 04:15:00,7.5,12.69
42,2021-11-16 04:45:00,2021-11-16 06:00:00,1.5,2.79
